 format: day,hour,value location:96_76 Start : 20220101 
 1, 0000, 175.000000 
 1, 0100, 163.000000 
 1, 0200, 223.000000 
 1, 0300, 184.000000 
 1, 0400, 191.000000 
 1, 0500, 131.000000 
 1, 0600, 267.000000 
 1, 0700, 215.000000 
 1, 0800, 210.000000 
 1, 0900, 4.000000 
 1, 1000, 18.000000 
 1, 1100, 334.000000 
 1, 1200, 349.000000 
 1, 1300, 349.000000 
 1, 1400, 220.000000 
 1, 1500, 341.000000 
 1, 1600, 33.000000 
 1, 1700, 322.000000 
 1, 1800, 264.000000 
 1, 1900, 53.000000 
 1, 2000, 0.000000 
 1, 2100, 19.000000 
 1, 2200, 305.000000 
 1, 2300, 40.000000 
 2, 0000, 107.000000 
 2, 0100, 221.000000 
 2, 0200, 171.000000 
 2, 0300, 209.000000 
 2, 0400, 291.000000 
 2, 0500, 323.000000 
 2, 0600, 296.000000 
 2, 0700, 296.000000 
 2, 0800, 328.000000 
 2, 0900, 331.000000 
 2, 1000, 111.000000 
 2, 1100, 172.000000 
 2, 1200, 233.000000 
 2, 1300, 16.000000 
 2, 1400, 37.000000 
 2, 1500, 11.000000 
 2, 1600, 94.000000 
 2, 1700, 44.000000 
 2, 1800, 50.000000 
 2, 1900, 52.000000 
 2, 2000, 4.000000 
 2, 2100, 81.000000 
 2, 2200, 108.000000 
 2, 2300, 135.000000 
 3, 0000, 176.000000 
 3, 0100, 196.000000 
 3, 0200, 151.000000 
 3, 0300, 259.000000 
 3, 0400, 272.000000 
 3, 0500, 290.000000 
 3, 0600, 314.000000 
 3, 0700, 332.000000 
 3, 0800, 317.000000 
 3, 0900, 302.000000 
 3, 1000, 292.000000 
 3, 1100, 298.000000 
 3, 1200, 257.000000 
 3, 1300, 262.000000 
 3, 1400, 191.000000 
 3, 1500, 177.000000 
 3, 1600, 87.000000 
 3, 1700, 25.000000 
 3, 1800, 51.000000 
 3, 1900, 291.000000 
 3, 2000, 0.000000 
 3, 2100, 34.000000 
 3, 2200, 26.000000 
 3, 2300, 250.000000 
 4, 0000, 284.000000 
 4, 0100, 133.000000 
 4, 0200, 316.000000 
 4, 0300, 261.000000 
 4, 0400, 266.000000 
 4, 0500, 267.000000 
 4, 0600, 301.000000 
 4, 0700, 322.000000 
 4, 0800, 327.000000 
 4, 0900, 327.000000 
 4, 1000, 60.000000 
 4, 1100, 47.000000 
 4, 1200, 347.000000 
 4, 1300, 80.000000 
 4, 1400, 150.000000 
 4, 1500, 100.000000 
 4, 1600, 43.000000 
 4, 1700, 120.000000 
 4, 1800, 353.000000 
 4, 1900, 17.000000 
 4, 2000, 17.000000 
 4, 2100, 82.000000 
 4, 2200, 25.000000 
 4, 2300, 336.000000 
 5, 0000, 204.000000 
 5, 0100, 36.000000 
 5, 0200, 236.000000 
 5, 0300, 146.000000 
 5, 0400, 47.000000 
 5, 0500, 72.000000 
 5, 0600, 44.000000 
 5, 0700, 5.000000 
 5, 0800, 10.000000 
 5, 0900, 29.000000 
 5, 1000, 17.000000 
 5, 1100, 18.000000 
 5, 1200, 27.000000 
 5, 1300, 46.000000 
 5, 1400, 320.000000 
 5, 1500, 318.000000 
 5, 1600, 225.000000 
 5, 1700, 177.000000 
 5, 1800, 153.000000 
 5, 1900, 332.000000 
 5, 2000, 149.000000 
 5, 2100, 153.000000 
 5, 2200, 20.000000 
 5, 2300, 19.000000 
 6, 0000, 347.000000 
 6, 0100, 339.000000 
 6, 0200, 346.000000 
 6, 0300, 344.000000 
 6, 0400, 335.000000 
 6, 0500, 353.000000 
 6, 0600, 329.000000 
 6, 0700, 327.000000 
 6, 0800, 327.000000 
 6, 0900, 306.000000 
 6, 1000, 279.000000 
 6, 1100, 111.000000 
 6, 1200, 52.000000 
 6, 1300, 357.000000 
 6, 1400, 103.000000 
 6, 1500, 215.000000 
 6, 1600, 27.000000 
 6, 1700, 347.000000 
 6, 1800, 107.000000 
 6, 1900, 63.000000 
 6, 2000, 17.000000 
 6, 2100, 344.000000 
 6, 2200, 28.000000 
 6, 2300, -1.000000 
 7, 0000, 66.000000 
 7, 0100, 339.000000 
 7, 0200, 186.000000 
 7, 0300, 208.000000 
 7, 0400, 232.000000 
 7, 0500, 263.000000 
 7, 0600, 229.000000 
 7, 0700, 316.000000 
 7, 0800, 313.000000 
 7, 0900, 125.000000 
 7, 1000, 356.000000 
 7, 1100, 41.000000 
 7, 1200, 8.000000 
 7, 1300, 28.000000 
 7, 1400, 23.000000 
 7, 1500, 75.000000 
 7, 1600, 38.000000 
 7, 1700, 12.000000 
 7, 1800, 24.000000 
 7, 1900, 2.000000 
 7, 2000, 340.000000 
 7, 2100, 0.000000 
 7, 2200, 4.000000 
 7, 2300, 49.000000 
 8, 0000, 51.000000 
 8, 0100, 176.000000 
 8, 0200, 246.000000 
 8, 0300, 255.000000 
 8, 0400, 264.000000 
 8, 0500, 319.000000 
 8, 0600, 277.000000 
 8, 0700, 330.000000 
 8, 0800, 11.000000 
 8, 0900, 319.000000 
 8, 1000, 356.000000 
 8, 1100, 10.000000 
 8, 1200, 333.000000 
 8, 1300, 15.000000 
 8, 1400, 206.000000 
 8, 1500, 147.000000 
 8, 1600, 139.000000 
 8, 1700, 327.000000 
 8, 1800, 356.000000 
 8, 1900, 342.000000 
 8, 2000, 45.000000 
 8, 2100, 10.000000 
 8, 2200, 254.000000 
 8, 2300, 165.000000 
 9, 0000, 223.000000 
 9, 0100, 142.000000 
 9, 0200, 229.000000 
 9, 0300, 260.000000 
 9, 0400, 258.000000 
 9, 0500, 221.000000 
 9, 0600, 203.000000 
 9, 0700, 137.000000 
 9, 0800, 333.000000 
 9, 0900, 0.000000 
 9, 1000, 300.000000 
 9, 1100, 45.000000 
 9, 1200, 2.000000 
 9, 1300, 97.000000 
 9, 1400, 354.000000 
 9, 1500, 58.000000 
 9, 1600, 61.000000 
 9, 1700, 42.000000 
 9, 1800, 42.000000 
 9, 1900, 59.000000 
 9, 2000, 25.000000 
 9, 2100, 193.000000 
 9, 2200, 1.000000 
 9, 2300, 47.000000 
 10, 0000, 69.000000 
 10, 0100, 200.000000 
 10, 0200, 176.000000 
 10, 0300, 216.000000 
 10, 0400, 236.000000 
 10, 0500, 182.000000 
 10, 0600, 160.000000 
 10, 0700, 222.000000 
 10, 0800, 181.000000 
 10, 0900, 37.000000 
 10, 1000, 205.000000 
 10, 1100, 352.000000 
 10, 1200, 336.000000 
 10, 1300, 326.000000 
 10, 1400, 113.000000 
 10, 1500, 326.000000 
 10, 1600, 252.000000 
 10, 1700, 295.000000 
 10, 1800, 343.000000 
 10, 1900, 316.000000 
 10, 2000, 235.000000 
 10, 2100, 291.000000 
 10, 2200, 294.000000 
 10, 2300, 274.000000 
 11, 0000, 294.000000 
 11, 0100, 311.000000 
 11, 0200, 296.000000 
 11, 0300, 282.000000 
 11, 0400, 310.000000 
 11, 0500, 287.000000 
 11, 0600, 324.000000 
 11, 0700, 303.000000 
 11, 0800, 317.000000 
 11, 0900, 331.000000 
 11, 1000, 332.000000 
 11, 1100, 326.000000 
 11, 1200, 303.000000 
 11, 1300, 318.000000 
 11, 1400, 325.000000 
 11, 1500, 324.000000 
 11, 1600, 319.000000 
 11, 1700, 325.000000 
 11, 1800, 298.000000 
 11, 1900, 314.000000 
 11, 2000, 324.000000 
 11, 2100, 322.000000 
 11, 2200, 353.000000 
 11, 2300, 4.000000 
 12, 0000, 355.000000 
 12, 0100, 335.000000 
 12, 0200, 316.000000 
 12, 0300, 271.000000 
 12, 0400, 268.000000 
 12, 0500, 283.000000 
 12, 0600, 271.000000 
 12, 0700, 291.000000 
 12, 0800, 275.000000 
 12, 0900, 273.000000 
 12, 1000, 237.000000 
 12, 1100, 224.000000 
 12, 1200, 263.000000 
 12, 1300, 257.000000 
 12, 1400, 279.000000 
 12, 1500, 281.000000 
 12, 1600, 283.000000 
 12, 1700, 265.000000 
 12, 1800, 274.000000 
 12, 1900, 298.000000 
 12, 2000, 348.000000 
 12, 2100, 270.000000 
 12, 2200, 344.000000 
 12, 2300, 264.000000 
 13, 0000, 275.000000 
 13, 0100, 316.000000 
 13, 0200, 296.000000 
 13, 0300, 270.000000 
 13, 0400, 303.000000 
 13, 0500, 266.000000 
 13, 0600, 294.000000 
 13, 0700, 303.000000 
 13, 0800, 310.000000 
 13, 0900, 268.000000 
 13, 1000, 269.000000 
 13, 1100, 279.000000 
 13, 1200, 304.000000 
 13, 1300, 336.000000 
 13, 1400, 319.000000 
 13, 1500, 295.000000 
 13, 1600, 293.000000 
 13, 1700, 290.000000 
 13, 1800, 303.000000 
 13, 1900, 283.000000 
 13, 2000, 290.000000 
 13, 2100, 310.000000 
 13, 2200, 333.000000 
 13, 2300, 331.000000 
 14, 0000, 282.000000 
 14, 0100, 265.000000 
 14, 0200, 288.000000 
 14, 0300, 293.000000 
 14, 0400, 293.000000 
 14, 0500, 324.000000 
 14, 0600, 317.000000 
 14, 0700, 314.000000 
 14, 0800, 255.000000 
 14, 0900, 125.000000 
 14, 1000, 8.000000 
 14, 1100, 350.000000 
 14, 1200, 101.000000 
 14, 1300, 71.000000 
 14, 1400, 190.000000 
 14, 1500, 39.000000 
 14, 1600, 55.000000 
 14, 1700, 336.000000 
 14, 1800, 329.000000 
 14, 1900, 39.000000 
 14, 2000, 157.000000 
 14, 2100, 80.000000 
 14, 2200, 250.000000 
 14, 2300, 209.000000 
 15, 0000, 186.000000 
 15, 0100, 157.000000 
 15, 0200, 267.000000 
 15, 0300, 241.000000 
 15, 0400, 260.000000 
 15, 0500, 263.000000 
 15, 0600, 263.000000 
 15, 0700, 266.000000 
 15, 0800, 310.000000 
 15, 0900, 150.000000 
 15, 1000, 9.000000 
 15, 1100, 344.000000 
 15, 1200, 15.000000 
 15, 1300, 50.000000 
 15, 1400, 30.000000 
 15, 1500, 92.000000 
 15, 1600, 50.000000 
 15, 1700, 326.000000 
 15, 1800, 344.000000 
 15, 1900, 181.000000 
 15, 2000, 119.000000 
 15, 2100, 89.000000 
 15, 2200, 179.000000 
 15, 2300, 225.000000 
 16, 0000, 216.000000 
 16, 0100, 283.000000 
 16, 0200, 267.000000 
 16, 0300, 291.000000 
 16, 0400, 274.000000 
 16, 0500, 283.000000 
 16, 0600, 301.000000 
