 format: day,hour,value location:101_78 Start : 20200101 
 1, 0000, 69.000000 
 1, 0100, 89.000000 
 1, 0200, 134.000000 
 1, 0300, 204.000000 
 1, 0400, 202.000000 
 1, 0500, 304.000000 
 1, 0600, 283.000000 
 1, 0700, 282.000000 
 1, 0800, 268.000000 
 1, 0900, 320.000000 
 1, 1000, 317.000000 
 1, 1100, 225.000000 
 1, 1200, 288.000000 
 1, 1300, 315.000000 
 1, 1400, 16.000000 
 1, 1500, 334.000000 
 1, 1600, 359.000000 
 1, 1700, 350.000000 
 1, 1800, 332.000000 
 1, 1900, 336.000000 
 1, 2000, 332.000000 
 1, 2100, 315.000000 
 1, 2200, 322.000000 
 1, 2300, 319.000000 
 2, 0000, 255.000000 
 2, 0100, 68.000000 
 2, 0200, 85.000000 
 2, 0300, 91.000000 
 2, 0400, 205.000000 
 2, 0500, 224.000000 
 2, 0600, 281.000000 
 2, 0700, 287.000000 
 2, 0800, 319.000000 
 2, 0900, 351.000000 
 2, 1000, 332.000000 
 2, 1100, 310.000000 
 2, 1200, 309.000000 
 2, 1300, 45.000000 
 2, 1400, 305.000000 
 2, 1500, 304.000000 
 2, 1600, 289.000000 
 2, 1700, 288.000000 
 2, 1800, 19.000000 
 2, 1900, 125.000000 
 2, 2000, 267.000000 
 2, 2100, 343.000000 
 2, 2200, 82.000000 
 2, 2300, 281.000000 
 3, 0000, 132.000000 
 3, 0100, 98.000000 
 3, 0200, 277.000000 
 3, 0300, 285.000000 
 3, 0400, 274.000000 
 3, 0500, 282.000000 
 3, 0600, 284.000000 
 3, 0700, 310.000000 
 3, 0800, 337.000000 
 3, 0900, 344.000000 
 3, 1000, 322.000000 
 3, 1100, 292.000000 
 3, 1200, -1.000000 
 3, 1300, 269.000000 
 3, 1400, 282.000000 
 3, 1500, 283.000000 
 3, 1600, 293.000000 
 3, 1700, 286.000000 
 3, 1800, 287.000000 
 3, 1900, 302.000000 
 3, 2000, 298.000000 
 3, 2100, 303.000000 
 3, 2200, 297.000000 
 3, 2300, 279.000000 
 4, 0000, 275.000000 
 4, 0100, 277.000000 
 4, 0200, 266.000000 
 4, 0300, 83.000000 
 4, 0400, 102.000000 
 4, 0500, 136.000000 
 4, 0600, 282.000000 
 4, 0700, 332.000000 
 4, 0800, 337.000000 
 4, 0900, 325.000000 
 4, 1000, 324.000000 
 4, 1100, 354.000000 
 4, 1200, 339.000000 
 4, 1300, 319.000000 
 4, 1400, 312.000000 
 4, 1500, 317.000000 
 4, 1600, 341.000000 
 4, 1700, 348.000000 
 4, 1800, 1.000000 
 4, 1900, 333.000000 
 4, 2000, 330.000000 
 4, 2100, 334.000000 
 4, 2200, 341.000000 
 4, 2300, 334.000000 
 5, 0000, 332.000000 
 5, 0100, 104.000000 
 5, 0200, 90.000000 
 5, 0300, 112.000000 
 5, 0400, 107.000000 
 5, 0500, 168.000000 
 5, 0600, 156.000000 
 5, 0700, 206.000000 
 5, 0800, 331.000000 
 5, 0900, 334.000000 
 5, 1000, 334.000000 
 5, 1100, 341.000000 
 5, 1200, 341.000000 
 5, 1300, 349.000000 
 5, 1400, 356.000000 
 5, 1500, 12.000000 
 5, 1600, 360.000000 
 5, 1700, 21.000000 
 5, 1800, 3.000000 
 5, 1900, 344.000000 
 5, 2000, 341.000000 
 5, 2100, 338.000000 
 5, 2200, 18.000000 
 5, 2300, 324.000000 
 6, 0000, 359.000000 
 6, 0100, 14.000000 
 6, 0200, 35.000000 
 6, 0300, 4.000000 
 6, 0400, 12.000000 
 6, 0500, 356.000000 
 6, 0600, 7.000000 
 6, 0700, 37.000000 
 6, 0800, 257.000000 
 6, 0900, 322.000000 
 6, 1000, 196.000000 
 6, 1100, 331.000000 
 6, 1200, 18.000000 
 6, 1300, 97.000000 
 6, 1400, 83.000000 
 6, 1500, 31.000000 
 6, 1600, 22.000000 
 6, 1700, 30.000000 
 6, 1800, 27.000000 
 6, 1900, 5.000000 
 6, 2000, 331.000000 
