 format: day,hour,value location:66_99 Start : 20180101 
 1, 0000, 360.000000 
 1, 0100, 24.000000 
 1, 0200, 360.000000 
 1, 0300, 291.000000 
 1, 0400, 307.000000 
 1, 0500, 299.000000 
 1, 0600, 291.000000 
 1, 0700, 274.000000 
 1, 0800, 306.000000 
 1, 0900, 288.000000 
 1, 1000, 262.000000 
 1, 1100, 246.000000 
 1, 1200, 252.000000 
 1, 1300, 231.000000 
 1, 1400, 254.000000 
 1, 1500, 270.000000 
 1, 1600, 171.000000 
 1, 1700, 180.000000 
 1, 1800, 166.000000 
 1, 1900, 276.000000 
 1, 2000, 262.000000 
 1, 2100, 270.000000 
 1, 2200, 247.000000 
 1, 2300, 256.000000 
 2, 0000, 265.000000 
 2, 0100, 290.000000 
 2, 0200, 286.000000 
 2, 0300, 254.000000 
 2, 0400, 250.000000 
 2, 0500, 281.000000 
 2, 0600, 315.000000 
 2, 0700, 305.000000 
 2, 0800, 337.000000 
 2, 0900, 327.000000 
 2, 1000, 339.000000 
 2, 1100, 277.000000 
 2, 1200, 277.000000 
 2, 1300, 286.000000 
 2, 1400, 302.000000 
 2, 1500, 300.000000 
 2, 1600, 288.000000 
 2, 1700, 323.000000 
 2, 1800, 342.000000 
 2, 1900, 317.000000 
 2, 2000, 332.000000 
 2, 2100, 10.000000 
 2, 2200, 340.000000 
 2, 2300, 323.000000 
 3, 0000, 243.000000 
 3, 0100, 265.000000 
 3, 0200, 270.000000 
 3, 0300, 295.000000 
 3, 0400, 297.000000 
 3, 0500, 308.000000 
 3, 0600, 300.000000 
 3, 0700, 312.000000 
 3, 0800, 315.000000 
 3, 0900, 328.000000 
 3, 1000, 344.000000 
 3, 1100, 346.000000 
 3, 1200, 321.000000 
 3, 1300, 312.000000 
 3, 1400, 315.000000 
 3, 1500, 333.000000 
 3, 1600, 328.000000 
 3, 1700, 342.000000 
 3, 1800, 323.000000 
 3, 1900, 11.000000 
 3, 2000, 17.000000 
 3, 2100, 20.000000 
 3, 2200, 13.000000 
 3, 2300, 29.000000 
 4, 0000, 315.000000 
 4, 0100, 24.000000 
 4, 0200, 9.000000 
 4, 0300, 243.000000 
 4, 0400, 68.000000 
 4, 0500, 14.000000 
 4, 0600, 301.000000 
 4, 0700, 34.000000 
 4, 0800, 27.000000 
 4, 0900, 45.000000 
 4, 1000, 14.000000 
 4, 1100, 83.000000 
 4, 1200, 346.000000 
