 format: day,hour,value location:68_101 Start : 20140101 
 1, 0000, 222.000000 
 1, 0100, 210.000000 
 1, 0200, 227.000000 
 1, 0300, 239.000000 
 1, 0400, 235.000000 
 1, 0500, 287.000000 
 1, 0600, 270.000000 
 1, 0700, 273.000000 
 1, 0800, 218.000000 
 1, 0900, 225.000000 
 1, 1000, 204.000000 
 1, 1100, 205.000000 
 1, 1200, 214.000000 
 1, 1300, 215.000000 
 1, 1400, 218.000000 
 1, 1500, 246.000000 
 1, 1600, 281.000000 
 1, 1700, 236.000000 
 1, 1800, 270.000000 
 1, 1900, 180.000000 
 1, 2000, 297.000000 
 1, 2100, 315.000000 
 1, 2200, 135.000000 
 1, 2300, 40.000000 
 2, 0000, 14.000000 
 2, 0100, 180.000000 
 2, 0200, 225.000000 
 2, 0300, 76.000000 
 2, 0400, 63.000000 
 2, 0500, 336.000000 
 2, 0600, 321.000000 
 2, 0700, 346.000000 
 2, 0800, 23.000000 
 2, 0900, 333.000000 
 2, 1000, 180.000000 
 2, 1100, 198.000000 
 2, 1200, 286.000000 
 2, 1300, 270.000000 
 2, 1400, 281.000000 
 2, 1500, 135.000000 
 2, 1600, 117.000000 
 2, 1700, 117.000000 
 2, 1800, 45.000000 
 2, 1900, 90.000000 
 2, 2000, 153.000000 
 2, 2100, 135.000000 
 2, 2200, 135.000000 
 2, 2300, 90.000000 
 3, 0000, 333.000000 
 3, 0100, 333.000000 
 3, 0200, 304.000000 
 3, 0300, 43.000000 
 3, 0400, 354.000000 
 3, 0500, 292.000000 
 3, 0600, 14.000000 
 3, 0700, 330.000000 
 3, 0800, 45.000000 
 3, 0900, 90.000000 
 3, 1000, 121.000000 
 3, 1100, 90.000000 
 3, 1200, 56.000000 
 3, 1300, 63.000000 
 3, 1400, 101.000000 
 3, 1500, 27.000000 
 3, 1600, 45.000000 
 3, 1700, 45.000000 
 3, 1800, 5.000000 
 3, 1900, 360.000000 
 3, 2000, 67.000000 
 3, 2100, 56.000000 
 3, 2200, 360.000000 
 3, 2300, 18.000000 
 4, 0000, 72.000000 
 4, 0100, 104.000000 
 4, 0200, 346.000000 
 4, 0300, 48.000000 
 4, 0400, 350.000000 
 4, 0500, 319.000000 
 4, 0600, 346.000000 
 4, 0700, 347.000000 
 4, 0800, 346.000000 
 4, 0900, 63.000000 
 4, 1000, 344.000000 
 4, 1100, 31.000000 
 4, 1200, 53.000000 
 4, 1300, 333.000000 
 4, 1400, 333.000000 
 4, 1500, 346.000000 
 4, 1600, 360.000000 
 4, 1700, 45.000000 
 4, 1800, 360.000000 
 4, 1900, 333.000000 
 4, 2000, 360.000000 
 4, 2100, 360.000000 
 4, 2200, 90.000000 
 4, 2300, 315.000000 
 5, 0000, 90.000000 
 5, 0100, 90.000000 
 5, 0200, 292.000000 
 5, 0300, 90.000000 
 5, 0400, 297.000000 
 5, 0500, 338.000000 
 5, 0600, 327.000000 
 5, 0700, 337.000000 
 5, 0800, 330.000000 
 5, 0900, 315.000000 
 5, 1000, 326.000000 
 5, 1100, 360.000000 
 5, 1200, 27.000000 
 5, 1300, 18.000000 
 5, 1400, 349.000000 
 5, 1500, 56.000000 
 5, 1600, 311.000000 
 5, 1700, 336.000000 
 5, 1800, 354.000000 
 5, 1900, 315.000000 
 5, 2000, 338.000000 
 5, 2100, 338.000000 
 5, 2200, 360.000000 
 5, 2300, 76.000000 
 6, 0000, 45.000000 
 6, 0100, 315.000000 
 6, 0200, 45.000000 
 6, 0300, 345.000000 
 6, 0400, 14.000000 
 6, 0500, 21.000000 
 6, 0600, 254.000000 
 6, 0700, 24.000000 
 6, 0800, 298.000000 
 6, 0900, 342.000000 
 6, 1000, 33.000000 
 6, 1100, 307.000000 
 6, 1200, 314.000000 
 6, 1300, 349.000000 
 6, 1400, 11.000000 
 6, 1500, 117.000000 
 6, 1600, 126.000000 
 6, 1700, 127.000000 
 6, 1800, 45.000000 
 6, 1900, 218.000000 
 6, 2000, 107.000000 
 6, 2100, 147.000000 
 6, 2200, 195.000000 
 6, 2300, 184.000000 
 7, 0000, 124.000000 
 7, 0100, 197.000000 
 7, 0200, 177.000000 
 7, 0300, 105.000000 
 7, 0400, 137.000000 
 7, 0500, 63.000000 
 7, 0600, 243.000000 
 7, 0700, 240.000000 
 7, 0800, 235.000000 
 7, 0900, 27.000000 
 7, 1000, 282.000000 
 7, 1100, 45.000000 
 7, 1200, 343.000000 
 7, 1300, 69.000000 
 7, 1400, 326.000000 
 7, 1500, 300.000000 
 7, 1600, 328.000000 
 7, 1700, 349.000000 
 7, 1800, 316.000000 
 7, 1900, 326.000000 
 7, 2000, 333.000000 
 7, 2100, 153.000000 
 7, 2200, 144.000000 
 7, 2300, 105.000000 
 8, 0000, 120.000000 
 8, 0100, 156.000000 
 8, 0200, 11.000000 
 8, 0300, 341.000000 
 8, 0400, 337.000000 
 8, 0500, 328.000000 
 8, 0600, 24.000000 
 8, 0700, 27.000000 
 8, 0800, 360.000000 
 8, 0900, 332.000000 
 8, 1000, 333.000000 
 8, 1100, 318.000000 
 8, 1200, 345.000000 
 8, 1300, 294.000000 
 8, 1400, 14.000000 
 8, 1500, 313.000000 
 8, 1600, 359.000000 
 8, 1700, 338.000000 
 8, 1800, 331.000000 
 8, 1900, 331.000000 
 8, 2000, 22.000000 
 8, 2100, 326.000000 
 8, 2200, 21.000000 
 8, 2300, 328.000000 
