 format: day,hour,value location:66_100 Start : 20150101 
 1, 0000, 311.000000 
 1, 0100, 323.000000 
 1, 0200, 326.000000 
 1, 0300, 303.000000 
 1, 0400, 302.000000 
 1, 0500, 293.000000 
 1, 0600, 309.000000 
 1, 0700, 314.000000 
 1, 0800, 303.000000 
 1, 0900, 296.000000 
 1, 1000, 312.000000 
 1, 1100, 298.000000 
 1, 1200, 297.000000 
 1, 1300, 302.000000 
 1, 1400, 315.000000 
 1, 1500, 286.000000 
 1, 1600, 315.000000 
 1, 1700, 346.000000 
 1, 1800, 349.000000 
 1, 1900, 9.000000 
 1, 2000, 37.000000 
 1, 2100, 338.000000 
 1, 2200, 78.000000 
 1, 2300, 18.000000 
 2, 0000, 328.000000 
 2, 0100, 27.000000 
 2, 0200, 53.000000 
 2, 0300, 321.000000 
 2, 0400, 312.000000 
 2, 0500, 301.000000 
 2, 0600, 312.000000 
 2, 0700, 320.000000 
 2, 0800, 310.000000 
 2, 0900, 297.000000 
 2, 1000, 295.000000 
 2, 1100, 293.000000 
 2, 1200, 299.000000 
 2, 1300, 327.000000 
 2, 1400, 315.000000 
 2, 1500, 317.000000 
 2, 1600, 310.000000 
 2, 1700, 327.000000 
 2, 1800, 325.000000 
 2, 1900, 315.000000 
 2, 2000, 288.000000 
 2, 2100, 319.000000 
 2, 2200, 300.000000 
 2, 2300, 287.000000 
 3, 0000, 280.000000 
 3, 0100, 243.000000 
 3, 0200, 117.000000 
 3, 0300, 63.000000 
 3, 0400, 81.000000 
 3, 0500, 45.000000 
 3, 0600, 342.000000 
 3, 0700, 308.000000 
 3, 0800, 195.000000 
 3, 0900, 256.000000 
 3, 1000, 278.000000 
 3, 1100, 254.000000 
 3, 1200, 270.000000 
 3, 1300, 277.000000 
 3, 1400, 290.000000 
 3, 1500, 283.000000 
 3, 1600, 287.000000 
 3, 1700, 299.000000 
 3, 1800, 288.000000 
 3, 1900, 249.000000 
 3, 2000, 267.000000 
 3, 2100, 284.000000 
 3, 2200, 277.000000 
 3, 2300, 280.000000 
 4, 0000, 290.000000 
 4, 0100, 265.000000 
 4, 0200, 231.000000 
 4, 0300, 31.000000 
 4, 0400, 297.000000 
 4, 0500, 254.000000 
 4, 0600, 270.000000 
 4, 0700, 262.000000 
 4, 0800, 249.000000 
 4, 0900, 291.000000 
 4, 1000, 256.000000 
 4, 1100, 278.000000 
 4, 1200, 315.000000 
 4, 1300, 288.000000 
 4, 1400, 301.000000 
 4, 1500, 320.000000 
 4, 1600, 293.000000 
 4, 1700, 277.000000 
 4, 1800, 270.000000 
 4, 1900, 315.000000 
 4, 2000, 270.000000 
 4, 2100, 273.000000 
 4, 2200, 274.000000 
 4, 2300, 281.000000 
 5, 0000, 279.000000 
 5, 0100, 277.000000 
 5, 0200, 292.000000 
 5, 0300, 270.000000 
 5, 0400, 257.000000 
