 format: day,hour,value location:98_74 Start : 20160101 
 1, 0000, 304.000000 
 1, 0100, 294.000000 
 1, 0200, 285.000000 
 1, 0300, 262.000000 
 1, 0400, 250.000000 
 1, 0500, 262.000000 
 1, 0600, 244.000000 
 1, 0700, 243.000000 
 1, 0800, 246.000000 
 1, 0900, 253.000000 
 1, 1000, 255.000000 
 1, 1100, 255.000000 
 1, 1200, 262.000000 
 1, 1300, 254.000000 
 1, 1400, 251.000000 
 1, 1500, 264.000000 
 1, 1600, 264.000000 
 1, 1700, 272.000000 
 1, 1800, 268.000000 
 1, 1900, 263.000000 
 1, 2000, 267.000000 
 1, 2100, 272.000000 
 1, 2200, 292.000000 
 1, 2300, 293.000000 
 2, 0000, 267.000000 
 2, 0100, 266.000000 
 2, 0200, 248.000000 
 2, 0300, 242.000000 
 2, 0400, 255.000000 
 2, 0500, 252.000000 
 2, 0600, 248.000000 
 2, 0700, 248.000000 
 2, 0800, 260.000000 
 2, 0900, 278.000000 
 2, 1000, 275.000000 
 2, 1100, 270.000000 
 2, 1200, 272.000000 
 2, 1300, 279.000000 
 2, 1400, 265.000000 
 2, 1500, 263.000000 
 2, 1600, 268.000000 
 2, 1700, 261.000000 
 2, 1800, 294.000000 
 2, 1900, 289.000000 
 2, 2000, 315.000000 
 2, 2100, 312.000000 
 2, 2200, 310.000000 
 2, 2300, 283.000000 
 3, 0000, 298.000000 
 3, 0100, 311.000000 
 3, 0200, 236.000000 
 3, 0300, 219.000000 
 3, 0400, 241.000000 
 3, 0500, 226.000000 
 3, 0600, 225.000000 
 3, 0700, 230.000000 
 3, 0800, 241.000000 
 3, 0900, 247.000000 
 3, 1000, 248.000000 
 3, 1100, 240.000000 
 3, 1200, 249.000000 
 3, 1300, 270.000000 
 3, 1400, 261.000000 
 3, 1500, 257.000000 
 3, 1600, 263.000000 
 3, 1700, 265.000000 
 3, 1800, 275.000000 
 3, 1900, 288.000000 
 3, 2000, 268.000000 
 3, 2100, 286.000000 
 3, 2200, 327.000000 
 3, 2300, 299.000000 
 4, 0000, 301.000000 
 4, 0100, 253.000000 
 4, 0200, 260.000000 
 4, 0300, 289.000000 
 4, 0400, 289.000000 
 4, 0500, 282.000000 
 4, 0600, 293.000000 
 4, 0700, 292.000000 
 4, 0800, 283.000000 
 4, 0900, 344.000000 
 4, 1000, 317.000000 
 4, 1100, 317.000000 
 4, 1200, 313.000000 
 4, 1300, 316.000000 
 4, 1400, 318.000000 
 4, 1500, 315.000000 
 4, 1600, 312.000000 
 4, 1700, 298.000000 
 4, 1800, 305.000000 
 4, 1900, 331.000000 
 4, 2000, 324.000000 
 4, 2100, 344.000000 
 4, 2200, 301.000000 
 4, 2300, 301.000000 
 5, 0000, 306.000000 
 5, 0100, 306.000000 
 5, 0200, 306.000000 
 5, 0300, 301.000000 
 5, 0400, 293.000000 
 5, 0500, 297.000000 
 5, 0600, 288.000000 
 5, 0700, 282.000000 
 5, 0800, 299.000000 
 5, 0900, 318.000000 
 5, 1000, 316.000000 
 5, 1100, 304.000000 
 5, 1200, 309.000000 
 5, 1300, 310.000000 
 5, 1400, 301.000000 
 5, 1500, 313.000000 
 5, 1600, 296.000000 
 5, 1700, 300.000000 
 5, 1800, 300.000000 
 5, 1900, 309.000000 
 5, 2000, 303.000000 
 5, 2100, 303.000000 
 5, 2200, 303.000000 
 5, 2300, 317.000000 
 6, 0000, 296.000000 
 6, 0100, 295.000000 
 6, 0200, 293.000000 
 6, 0300, 295.000000 
 6, 0400, 299.000000 
 6, 0500, 302.000000 
 6, 0600, 301.000000 
 6, 0700, 310.000000 
 6, 0800, 296.000000 
 6, 0900, 302.000000 
 6, 1000, 297.000000 
 6, 1100, 292.000000 
