 format: day,hour,value location:99_75 Start : 20200101 
 1, 0000, 231.000000 
 1, 0100, 251.000000 
 1, 0200, 244.000000 
 1, 0300, 239.000000 
 1, 0400, 239.000000 
 1, 0500, 217.000000 
 1, 0600, 237.000000 
 1, 0700, 227.000000 
 1, 0800, 156.000000 
 1, 0900, 111.000000 
 1, 1000, 246.000000 
 1, 1100, 29.000000 
 1, 1200, 302.000000 
 1, 1300, 298.000000 
 1, 1400, 61.000000 
 1, 1500, 17.000000 
 1, 1600, 10.000000 
 1, 1700, 355.000000 
 1, 1800, 203.000000 
 1, 1900, 359.000000 
 1, 2000, 23.000000 
 1, 2100, 345.000000 
 1, 2200, 262.000000 
 1, 2300, 243.000000 
 2, 0000, 268.000000 
 2, 0100, 231.000000 
 2, 0200, 174.000000 
 2, 0300, 181.000000 
 2, 0400, 234.000000 
 2, 0500, 228.000000 
 2, 0600, 262.000000 
 2, 0700, 246.000000 
 2, 0800, 312.000000 
 2, 0900, 34.000000 
 2, 1000, 272.000000 
 2, 1100, 154.000000 
 2, 1200, 57.000000 
 2, 1300, 313.000000 
 2, 1400, 293.000000 
 2, 1500, 278.000000 
 2, 1600, 117.000000 
 2, 1700, 359.000000 
 2, 1800, 316.000000 
 2, 1900, 299.000000 
 2, 2000, 329.000000 
 2, 2100, 11.000000 
 2, 2200, 287.000000 
 2, 2300, 189.000000 
 3, 0000, 146.000000 
 3, 0100, 237.000000 
 3, 0200, 262.000000 
 3, 0300, 272.000000 
 3, 0400, 255.000000 
 3, 0500, 329.000000 
 3, 0600, 350.000000 
 3, 0700, 285.000000 
 3, 0800, 284.000000 
 3, 0900, 303.000000 
 3, 1000, 282.000000 
 3, 1100, 291.000000 
 3, 1200, 322.000000 
 3, 1300, 222.000000 
 3, 1400, 21.000000 
 3, 1500, 11.000000 
 3, 1600, 305.000000 
 3, 1700, 285.000000 
 3, 1800, 243.000000 
 3, 1900, 259.000000 
 3, 2000, 244.000000 
 3, 2100, 278.000000 
 3, 2200, 266.000000 
 3, 2300, 249.000000 
 4, 0000, 237.000000 
 4, 0100, 238.000000 
 4, 0200, 238.000000 
 4, 0300, 232.000000 
 4, 0400, 217.000000 
 4, 0500, 259.000000 
 4, 0600, 244.000000 
 4, 0700, 297.000000 
 4, 0800, 0.000000 
 4, 0900, 326.000000 
 4, 1000, 318.000000 
 4, 1100, 288.000000 
 4, 1200, 279.000000 
 4, 1300, 77.000000 
 4, 1400, 5.000000 
 4, 1500, 11.000000 
 4, 1600, 347.000000 
 4, 1700, 256.000000 
 4, 1800, 34.000000 
 4, 1900, 349.000000 
 4, 2000, 213.000000 
 4, 2100, 0.000000 
 4, 2200, 0.000000 
 4, 2300, 193.000000 
 5, 0000, 200.000000 
 5, 0100, 153.000000 
 5, 0200, 205.000000 
 5, 0300, 153.000000 
 5, 0400, 123.000000 
 5, 0500, 169.000000 
 5, 0600, 216.000000 
 5, 0700, 9.000000 
 5, 0800, 0.000000 
 5, 0900, 12.000000 
 5, 1000, 0.000000 
 5, 1100, 260.000000 
 5, 1200, 322.000000 
 5, 1300, 115.000000 
 5, 1400, 273.000000 
 5, 1500, 319.000000 
 5, 1600, 26.000000 
 5, 1700, 37.000000 
 5, 1800, 33.000000 
 5, 1900, 36.000000 
 5, 2000, 239.000000 
 5, 2100, 52.000000 
 5, 2200, 252.000000 
 5, 2300, 43.000000 
 6, 0000, 281.000000 
 6, 0100, 192.000000 
 6, 0200, 20.000000 
 6, 0300, 284.000000 
 6, 0400, 31.000000 
 6, 0500, 14.000000 
 6, 0600, 22.000000 
 6, 0700, 34.000000 
 6, 0800, 26.000000 
 6, 0900, 14.000000 
 6, 1000, 8.000000 
 6, 1100, 30.000000 
 6, 1200, 28.000000 
 6, 1300, 24.000000 
 6, 1400, 28.000000 
 6, 1500, 28.000000 
 6, 1600, 30.000000 
 6, 1700, 30.000000 
 6, 1800, 23.000000 
 6, 1900, 259.000000 
 6, 2000, 214.000000 
 6, 2100, 234.000000 
 6, 2200, 242.000000 
 6, 2300, 225.000000 
 7, 0000, 238.000000 
 7, 0100, 242.000000 
 7, 0200, 237.000000 
 7, 0300, 238.000000 
 7, 0400, 236.000000 
 7, 0500, 244.000000 
 7, 0600, 228.000000 
 7, 0700, 228.000000 
 7, 0800, 229.000000 
 7, 0900, 236.000000 
 7, 1000, 238.000000 
 7, 1100, 239.000000 
 7, 1200, 228.000000 
 7, 1300, 229.000000 
 7, 1400, 227.000000 
 7, 1500, 233.000000 
 7, 1600, 232.000000 
 7, 1700, 225.000000 
 7, 1800, 232.000000 
 7, 1900, 232.000000 
 7, 2000, 225.000000 
 7, 2100, 227.000000 
 7, 2200, 230.000000 
 7, 2300, 217.000000 
 8, 0000, 268.000000 
 8, 0100, 247.000000 
 8, 0200, 202.000000 
 8, 0300, 242.000000 
 8, 0400, 273.000000 
 8, 0500, 251.000000 
 8, 0600, 191.000000 
 8, 0700, 233.000000 
 8, 0800, 257.000000 
 8, 0900, 272.000000 
 8, 1000, 302.000000 
 8, 1100, 282.000000 
 8, 1200, 274.000000 
 8, 1300, 259.000000 
 8, 1400, 271.000000 
 8, 1500, 142.000000 
 8, 1600, 295.000000 
 8, 1700, 205.000000 
 8, 1800, 202.000000 
 8, 1900, 243.000000 
 8, 2000, 225.000000 
 8, 2100, 263.000000 
 8, 2200, 164.000000 
 8, 2300, 106.000000 
 9, 0000, 164.000000 
 9, 0100, 245.000000 
 9, 0200, 258.000000 
 9, 0300, 246.000000 
 9, 0400, 248.000000 
 9, 0500, 233.000000 
 9, 0600, 250.000000 
 9, 0700, 300.000000 
 9, 0800, 281.000000 
 9, 0900, 318.000000 
 9, 1000, 348.000000 
 9, 1100, 96.000000 
 9, 1200, 149.000000 
 9, 1300, 64.000000 
 9, 1400, 328.000000 
 9, 1500, 129.000000 
 9, 1600, 134.000000 
 9, 1700, 87.000000 
 9, 1800, 147.000000 
 9, 1900, 255.000000 
 9, 2000, 229.000000 
 9, 2100, 357.000000 
 9, 2200, 19.000000 
 9, 2300, 199.000000 
 10, 0000, 222.000000 
 10, 0100, 232.000000 
 10, 0200, 263.000000 
 10, 0300, 187.000000 
 10, 0400, 193.000000 
 10, 0500, 206.000000 
 10, 0600, 216.000000 
 10, 0700, 244.000000 
 10, 0800, 309.000000 
 10, 0900, 275.000000 
 10, 1000, 217.000000 
 10, 1100, 69.000000 
 10, 1200, 39.000000 
 10, 1300, 0.000000 
 10, 1400, 19.000000 
 10, 1500, 217.000000 
 10, 1600, 330.000000 
 10, 1700, 91.000000 
 10, 1800, 321.000000 
 10, 1900, 300.000000 
 10, 2000, 332.000000 
 10, 2100, 241.000000 
 10, 2200, 223.000000 
 10, 2300, 216.000000 
 11, 0000, 170.000000 
 11, 0100, 239.000000 
 11, 0200, 239.000000 
 11, 0300, 231.000000 
 11, 0400, 9.000000 
 11, 0500, 87.000000 
 11, 0600, 49.000000 
 11, 0700, 9.000000 
 11, 0800, 167.000000 
 11, 0900, 251.000000 
 11, 1000, 247.000000 
 11, 1100, 4.000000 
 11, 1200, 259.000000 
 11, 1300, 238.000000 
 11, 1400, 16.000000 
 11, 1500, 119.000000 
 11, 1600, 69.000000 
 11, 1700, 334.000000 
 11, 1800, 159.000000 
 11, 1900, 257.000000 
 11, 2000, 89.000000 
 11, 2100, 132.000000 
 11, 2200, 134.000000 
 11, 2300, 204.000000 
 12, 0000, 236.000000 
 12, 0100, 237.000000 
 12, 0200, 239.000000 
 12, 0300, 235.000000 
 12, 0400, 234.000000 
 12, 0500, 231.000000 
 12, 0600, 247.000000 
 12, 0700, 291.000000 
 12, 0800, 270.000000 
 12, 0900, 269.000000 
 12, 1000, 259.000000 
 12, 1100, 263.000000 
 12, 1200, 261.000000 
 12, 1300, 260.000000 
 12, 1400, 282.000000 
 12, 1500, 284.000000 
 12, 1600, 242.000000 
 12, 1700, 229.000000 
 12, 1800, 272.000000 
 12, 1900, 285.000000 
 12, 2000, 270.000000 
 12, 2100, 280.000000 
 12, 2200, 320.000000 
 12, 2300, 276.000000 
 13, 0000, 241.000000 
 13, 0100, 238.000000 
 13, 0200, 244.000000 
 13, 0300, 251.000000 
 13, 0400, 261.000000 
 13, 0500, 294.000000 
 13, 0600, 260.000000 
 13, 0700, 282.000000 
 13, 0800, 291.000000 
 13, 0900, 286.000000 
 13, 1000, 314.000000 
 13, 1100, 332.000000 
 13, 1200, 250.000000 
 13, 1300, 301.000000 
 13, 1400, 328.000000 
 13, 1500, 276.000000 
 13, 1600, 279.000000 
 13, 1700, 52.000000 
 13, 1800, 336.000000 
 13, 1900, 286.000000 
 13, 2000, 335.000000 
 13, 2100, 235.000000 
 13, 2200, 212.000000 
 13, 2300, 252.000000 
 14, 0000, 173.000000 
 14, 0100, 187.000000 
 14, 0200, 222.000000 
 14, 0300, 214.000000 
 14, 0400, 157.000000 
 14, 0500, 176.000000 
 14, 0600, 238.000000 
 14, 0700, 288.000000 
 14, 0800, 297.000000 
 14, 0900, 310.000000 
 14, 1000, 310.000000 
 14, 1100, 313.000000 
