 format: day,hour,value location:96_75 Start : 20220101 
 1, 0000, 28.000000 
 1, 0100, 263.000000 
 1, 0200, 260.000000 
 1, 0300, 242.000000 
 1, 0400, 287.000000 
 1, 0500, 224.000000 
 1, 0600, 210.000000 
 1, 0700, 203.000000 
 1, 0800, 191.000000 
 1, 0900, 0.000000 
 1, 1000, 179.000000 
 1, 1100, 0.000000 
 1, 1200, 0.000000 
 1, 1300, 0.000000 
 1, 1400, 0.000000 
 1, 1500, 346.000000 
 1, 1600, 35.000000 
 1, 1700, 0.000000 
 1, 1800, 0.000000 
 1, 1900, 0.000000 
 1, 2000, 0.000000 
 1, 2100, 0.000000 
 1, 2200, 0.000000 
 1, 2300, 0.000000 
 2, 0000, 0.000000 
 2, 0100, 210.000000 
 2, 0200, 289.000000 
 2, 0300, 150.000000 
 2, 0400, 316.000000 
 2, 0500, 323.000000 
 2, 0600, 324.000000 
 2, 0700, 319.000000 
 2, 0800, 354.000000 
 2, 0900, 327.000000 
 2, 1000, 210.000000 
 2, 1100, 343.000000 
 2, 1200, 54.000000 
 2, 1300, 11.000000 
 2, 1400, 22.000000 
 2, 1500, 19.000000 
 2, 1600, 26.000000 
 2, 1700, 10.000000 
 2, 1800, 16.000000 
 2, 1900, 55.000000 
 2, 2000, 332.000000 
 2, 2100, 306.000000 
 2, 2200, 294.000000 
 2, 2300, 355.000000 
 3, 0000, 344.000000 
 3, 0100, 293.000000 
 3, 0200, 272.000000 
 3, 0300, 308.000000 
 3, 0400, 319.000000 
 3, 0500, 252.000000 
 3, 0600, 326.000000 
 3, 0700, 323.000000 
 3, 0800, 304.000000 
 3, 0900, 282.000000 
 3, 1000, 288.000000 
 3, 1100, 317.000000 
 3, 1200, 280.000000 
 3, 1300, 27.000000 
 3, 1400, 32.000000 
 3, 1500, 127.000000 
 3, 1600, 211.000000 
 3, 1700, 17.000000 
 3, 1800, 338.000000 
 3, 1900, 332.000000 
 3, 2000, 215.000000 
 3, 2100, 30.000000 
 3, 2200, 339.000000 
 3, 2300, 331.000000 
 4, 0000, 38.000000 
 4, 0100, 139.000000 
 4, 0200, 296.000000 
 4, 0300, 300.000000 
 4, 0400, 308.000000 
 4, 0500, 317.000000 
 4, 0600, 295.000000 
 4, 0700, 311.000000 
 4, 0800, 209.000000 
 4, 0900, 84.000000 
 4, 1000, 353.000000 
 4, 1100, 20.000000 
 4, 1200, 32.000000 
 4, 1300, 98.000000 
 4, 1400, 287.000000 
 4, 1500, 336.000000 
 4, 1600, 326.000000 
 4, 1700, 284.000000 
 4, 1800, 309.000000 
 4, 1900, 30.000000 
 4, 2000, 304.000000 
 4, 2100, 329.000000 
 4, 2200, 309.000000 
 4, 2300, 327.000000 
 5, 0000, 316.000000 
 5, 0100, 326.000000 
 5, 0200, 278.000000 
 5, 0300, 323.000000 
 5, 0400, 326.000000 
 5, 0500, 62.000000 
 5, 0600, 39.000000 
 5, 0700, 42.000000 
 5, 0800, 40.000000 
 5, 0900, 29.000000 
 5, 1000, 33.000000 
 5, 1100, 37.000000 
 5, 1200, 29.000000 
 5, 1300, 30.000000 
 5, 1400, 17.000000 
 5, 1500, 29.000000 
 5, 1600, 327.000000 
 5, 1700, 322.000000 
 5, 1800, 319.000000 
 5, 1900, 11.000000 
 5, 2000, 332.000000 
 5, 2100, 2.000000 
 5, 2200, 325.000000 
 5, 2300, 335.000000 
 6, 0000, 318.000000 
 6, 0100, 317.000000 
 6, 0200, 323.000000 
 6, 0300, 324.000000 
 6, 0400, 321.000000 
 6, 0500, 322.000000 
 6, 0600, 319.000000 
 6, 0700, 321.000000 
 6, 0800, 60.000000 
 6, 0900, 341.000000 
 6, 1000, 50.000000 
 6, 1100, 31.000000 
 6, 1200, 177.000000 
 6, 1300, 328.000000 
 6, 1400, 329.000000 
 6, 1500, 23.000000 
 6, 1600, 50.000000 
 6, 1700, 35.000000 
 6, 1800, 50.000000 
 6, 1900, 21.000000 
 6, 2000, 36.000000 
 6, 2100, 28.000000 
 6, 2200, 59.000000 
 6, 2300, -1.000000 
 7, 0000, -1.000000 
 7, 0100, 301.000000 
 7, 0200, 302.000000 
 7, 0300, 309.000000 
 7, 0400, 268.000000 
 7, 0500, 222.000000 
 7, 0600, 220.000000 
 7, 0700, 204.000000 
 7, 0800, 175.000000 
 7, 0900, 36.000000 
 7, 1000, 282.000000 
 7, 1100, 357.000000 
 7, 1200, 24.000000 
 7, 1300, 28.000000 
 7, 1400, 25.000000 
 7, 1500, 16.000000 
 7, 1600, 30.000000 
 7, 1700, 9.000000 
 7, 1800, 353.000000 
 7, 1900, 338.000000 
 7, 2000, 334.000000 
 7, 2100, 357.000000 
 7, 2200, 111.000000 
 7, 2300, 324.000000 
 8, 0000, 288.000000 
 8, 0100, 311.000000 
 8, 0200, 309.000000 
 8, 0300, 311.000000 
 8, 0400, 315.000000 
 8, 0500, 317.000000 
 8, 0600, 321.000000 
 8, 0700, 35.000000 
 8, 0800, 353.000000 
 8, 0900, 27.000000 
 8, 1000, 129.000000 
 8, 1100, 244.000000 
 8, 1200, 171.000000 
 8, 1300, 20.000000 
 8, 1400, 41.000000 
 8, 1500, 201.000000 
 8, 1600, 17.000000 
 8, 1700, 14.000000 
 8, 1800, 23.000000 
 8, 1900, 357.000000 
 8, 2000, 24.000000 
 8, 2100, 11.000000 
 8, 2200, 1.000000 
 8, 2300, 322.000000 
 9, 0000, 235.000000 
 9, 0100, 261.000000 
 9, 0200, 332.000000 
 9, 0300, 302.000000 
 9, 0400, 299.000000 
 9, 0500, 259.000000 
 9, 0600, 270.000000 
 9, 0700, 0.000000 
 9, 0800, 95.000000 
 9, 0900, 20.000000 
 9, 1000, 354.000000 
 9, 1100, 41.000000 
 9, 1200, 348.000000 
 9, 1300, 328.000000 
 9, 1400, 20.000000 
 9, 1500, 33.000000 
 9, 1600, 40.000000 
 9, 1700, 22.000000 
 9, 1800, 324.000000 
 9, 1900, 1.000000 
 9, 2000, 12.000000 
 9, 2100, 320.000000 
 9, 2200, 1.000000 
 9, 2300, 329.000000 
 10, 0000, 314.000000 
 10, 0100, 343.000000 
 10, 0200, 288.000000 
 10, 0300, 304.000000 
 10, 0400, 103.000000 
 10, 0500, 82.000000 
 10, 0600, 196.000000 
 10, 0700, 193.000000 
 10, 0800, 193.000000 
 10, 0900, 201.000000 
 10, 1000, 212.000000 
 10, 1100, 182.000000 
 10, 1200, 193.000000 
 10, 1300, 162.000000 
 10, 1400, 18.000000 
 10, 1500, 317.000000 
 10, 1600, 308.000000 
 10, 1700, 319.000000 
 10, 1800, 321.000000 
 10, 1900, 322.000000 
 10, 2000, 299.000000 
 10, 2100, 320.000000 
 10, 2200, 323.000000 
 10, 2300, 313.000000 
 11, 0000, 294.000000 
 11, 0100, 321.000000 
 11, 0200, 320.000000 
 11, 0300, 315.000000 
 11, 0400, 314.000000 
 11, 0500, 313.000000 
 11, 0600, 324.000000 
 11, 0700, 306.000000 
 11, 0800, 321.000000 
 11, 0900, 320.000000 
 11, 1000, 326.000000 
 11, 1100, 328.000000 
 11, 1200, 319.000000 
 11, 1300, 319.000000 
 11, 1400, 326.000000 
 11, 1500, 326.000000 
 11, 1600, 320.000000 
 11, 1700, 324.000000 
 11, 1800, 288.000000 
 11, 1900, 317.000000 
 11, 2000, 320.000000 
 11, 2100, 302.000000 
 11, 2200, 296.000000 
 11, 2300, 318.000000 
 12, 0000, 316.000000 
 12, 0100, 306.000000 
 12, 0200, 303.000000 
 12, 0300, 300.000000 
 12, 0400, 311.000000 
 12, 0500, 311.000000 
 12, 0600, 303.000000 
 12, 0700, 292.000000 
 12, 0800, 280.000000 
 12, 0900, 276.000000 
 12, 1000, 292.000000 
 12, 1100, 329.000000 
 12, 1200, 323.000000 
 12, 1300, 328.000000 
 12, 1400, 269.000000 
 12, 1500, 290.000000 
 12, 1600, 306.000000 
 12, 1700, 323.000000 
 12, 1800, 321.000000 
 12, 1900, 303.000000 
 12, 2000, 329.000000 
 12, 2100, 12.000000 
 12, 2200, 328.000000 
 12, 2300, 316.000000 
 13, 0000, 308.000000 
 13, 0100, 319.000000 
 13, 0200, 303.000000 
