 format: day,hour,value location:100_77 Start : 20220101 
 1, 0000, 307.000000 
 1, 0100, 331.000000 
 1, 0200, 101.000000 
 1, 0300, 198.000000 
 1, 0400, 195.000000 
 1, 0500, 172.000000 
 1, 0600, 186.000000 
 1, 0700, 218.000000 
 1, 0800, 328.000000 
 1, 0900, 322.000000 
 1, 1000, 329.000000 
 1, 1100, 324.000000 
 1, 1200, 304.000000 
 1, 1300, 296.000000 
 1, 1400, 309.000000 
 1, 1500, 284.000000 
 1, 1600, 303.000000 
 1, 1700, 266.000000 
 1, 1800, 270.000000 
 1, 1900, 289.000000 
 1, 2000, 324.000000 
 1, 2100, 318.000000 
 1, 2200, 292.000000 
 1, 2300, 263.000000 
 2, 0000, 258.000000 
 2, 0100, 242.000000 
 2, 0200, 241.000000 
 2, 0300, 248.000000 
 2, 0400, 271.000000 
 2, 0500, 259.000000 
 2, 0600, 264.000000 
 2, 0700, 269.000000 
 2, 0800, 317.000000 
 2, 0900, 293.000000 
 2, 1000, 291.000000 
 2, 1100, 291.000000 
 2, 1200, 284.000000 
 2, 1300, 300.000000 
 2, 1400, 286.000000 
 2, 1500, 288.000000 
 2, 1600, 265.000000 
 2, 1700, 261.000000 
 2, 1800, 297.000000 
 2, 1900, 287.000000 
 2, 2000, 259.000000 
 2, 2100, 304.000000 
 2, 2200, 93.000000 
 2, 2300, 267.000000 
 3, 0000, 38.000000 
 3, 0100, 86.000000 
 3, 0200, 253.000000 
 3, 0300, 265.000000 
 3, 0400, 288.000000 
 3, 0500, 282.000000 
 3, 0600, 253.000000 
 3, 0700, 287.000000 
 3, 0800, 286.000000 
 3, 0900, 277.000000 
 3, 1000, 311.000000 
 3, 1100, 319.000000 
 3, 1200, 277.000000 
 3, 1300, 5.000000 
 3, 1400, 255.000000 
 3, 1500, 276.000000 
 3, 1600, 266.000000 
 3, 1700, 301.000000 
 3, 1800, 303.000000 
 3, 1900, 299.000000 
 3, 2000, 274.000000 
 3, 2100, 299.000000 
 3, 2200, 312.000000 
 3, 2300, 317.000000 
 4, 0000, 278.000000 
 4, 0100, 261.000000 
 4, 0200, 273.000000 
 4, 0300, 94.000000 
 4, 0400, 96.000000 
 4, 0500, 93.000000 
 4, 0600, 135.000000 
 4, 0700, 333.000000 
 4, 0800, 327.000000 
 4, 0900, 47.000000 
 4, 1000, 62.000000 
 4, 1100, 49.000000 
 4, 1200, 16.000000 
 4, 1300, 300.000000 
 4, 1400, 299.000000 
 4, 1500, 317.000000 
 4, 1600, 47.000000 
 4, 1700, 61.000000 
 4, 1800, 64.000000 
 4, 1900, 56.000000 
 4, 2000, 66.000000 
 4, 2100, 54.000000 
 4, 2200, 66.000000 
 4, 2300, 63.000000 
 5, 0000, 52.000000 
 5, 0100, 58.000000 
 5, 0200, 57.000000 
 5, 0300, 61.000000 
 5, 0400, 63.000000 
 5, 0500, 78.000000 
 5, 0600, 71.000000 
 5, 0700, 48.000000 
 5, 0800, 46.000000 
 5, 0900, 46.000000 
 5, 1000, 51.000000 
 5, 1100, 64.000000 
 5, 1200, 32.000000 
 5, 1300, 299.000000 
 5, 1400, 327.000000 
 5, 1500, 53.000000 
 5, 1600, 59.000000 
 5, 1700, 52.000000 
 5, 1800, 324.000000 
 5, 1900, 321.000000 
 5, 2000, 323.000000 
 5, 2100, 316.000000 
 5, 2200, 304.000000 
 5, 2300, 259.000000 
 6, 0000, 292.000000 
 6, 0100, 331.000000 
 6, 0200, 167.000000 
 6, 0300, 118.000000 
 6, 0400, 246.000000 
 6, 0500, 170.000000 
 6, 0600, 143.000000 
 6, 0700, 58.000000 
 6, 0800, 60.000000 
 6, 0900, 64.000000 
 6, 1000, 53.000000 
 6, 1100, 249.000000 
 6, 1200, 90.000000 
 6, 1300, 352.000000 
 6, 1400, 46.000000 
 6, 1500, 49.000000 
 6, 1600, 341.000000 
 6, 1700, 303.000000 
 6, 1800, 311.000000 
 6, 1900, 292.000000 
 6, 2000, 301.000000 
 6, 2100, 303.000000 
 6, 2200, 325.000000 
 6, 2300, 214.000000 
 7, 0000, 212.000000 
 7, 0100, 184.000000 
 7, 0200, 185.000000 
 7, 0300, 171.000000 
 7, 0400, 194.000000 
 7, 0500, 263.000000 
 7, 0600, 243.000000 
 7, 0700, 274.000000 
 7, 0800, 286.000000 
 7, 0900, 292.000000 
 7, 1000, 304.000000 
 7, 1100, 310.000000 
 7, 1200, 287.000000 
 7, 1300, 294.000000 
 7, 1400, 313.000000 
 7, 1500, 323.000000 
 7, 1600, 299.000000 
 7, 1700, 299.000000 
 7, 1800, 317.000000 
 7, 1900, 283.000000 
 7, 2000, 272.000000 
 7, 2100, 320.000000 
 7, 2200, 321.000000 
 7, 2300, 287.000000 
 8, 0000, 240.000000 
 8, 0100, 201.000000 
 8, 0200, 283.000000 
 8, 0300, 260.000000 
 8, 0400, 246.000000 
 8, 0500, 280.000000 
 8, 0600, 267.000000 
 8, 0700, 274.000000 
 8, 0800, 280.000000 
 8, 0900, 270.000000 
 8, 1000, 264.000000 
 8, 1100, 277.000000 
 8, 1200, 292.000000 
 8, 1300, 12.000000 
 8, 1400, 6.000000 
 8, 1500, 240.000000 
 8, 1600, 248.000000 
 8, 1700, 287.000000 
 8, 1800, 305.000000 
 8, 1900, 319.000000 
 8, 2000, 321.000000 
 8, 2100, 317.000000 
 8, 2200, 305.000000 
 8, 2300, 275.000000 
 9, 0000, 294.000000 
 9, 0100, 50.000000 
 9, 0200, 83.000000 
 9, 0300, 191.000000 
 9, 0400, 166.000000 
 9, 0500, 172.000000 
 9, 0600, 173.000000 
 9, 0700, 320.000000 
 9, 0800, 303.000000 
 9, 0900, 318.000000 
 9, 1000, 315.000000 
 9, 1100, 313.000000 
 9, 1200, 315.000000 
 9, 1300, 310.000000 
 9, 1400, 296.000000 
 9, 1500, 312.000000 
 9, 1600, 320.000000 
 9, 1700, 325.000000 
 9, 1800, 322.000000 
 9, 1900, 311.000000 
 9, 2000, 294.000000 
 9, 2100, 290.000000 
 9, 2200, 325.000000 
 9, 2300, 323.000000 
 10, 0000, 313.000000 
 10, 0100, 217.000000 
 10, 0200, 181.000000 
 10, 0300, 193.000000 
 10, 0400, 170.000000 
 10, 0500, 181.000000 
 10, 0600, 191.000000 
 10, 0700, 220.000000 
 10, 0800, 269.000000 
 10, 0900, 296.000000 
 10, 1000, 301.000000 
 10, 1100, 274.000000 
 10, 1200, 269.000000 
 10, 1300, 280.000000 
 10, 1400, 264.000000 
 10, 1500, 284.000000 
 10, 1600, 34.000000 
 10, 1700, 281.000000 
 10, 1800, 288.000000 
 10, 1900, 276.000000 
 10, 2000, 254.000000 
 10, 2100, 267.000000 
 10, 2200, 277.000000 
 10, 2300, 261.000000 
 11, 0000, 273.000000 
 11, 0100, 292.000000 
 11, 0200, 262.000000 
 11, 0300, 260.000000 
 11, 0400, 250.000000 
 11, 0500, 275.000000 
 11, 0600, 277.000000 
 11, 0700, 294.000000 
 11, 0800, 289.000000 
 11, 0900, 259.000000 
 11, 1000, 246.000000 
 11, 1100, 239.000000 
 11, 1200, 265.000000 
 11, 1300, 115.000000 
 11, 1400, 318.000000 
 11, 1500, 268.000000 
 11, 1600, 56.000000 
 11, 1700, 289.000000 
 11, 1800, 271.000000 
 11, 1900, 277.000000 
 11, 2000, 344.000000 
 11, 2100, 71.000000 
 11, 2200, 7.000000 
 11, 2300, 294.000000 
 12, 0000, 308.000000 
 12, 0100, 282.000000 
 12, 0200, 249.000000 
 12, 0300, 233.000000 
 12, 0400, 248.000000 
 12, 0500, 264.000000 
 12, 0600, 274.000000 
 12, 0700, 276.000000 
 12, 0800, 285.000000 
 12, 0900, 267.000000 
 12, 1000, 296.000000 
 12, 1100, 273.000000 
 12, 1200, 148.000000 
 12, 1300, 280.000000 
 12, 1400, 274.000000 
 12, 1500, 262.000000 
 12, 1600, 253.000000 
 12, 1700, 279.000000 
 12, 1800, 286.000000 
 12, 1900, 272.000000 
 12, 2000, 199.000000 
 12, 2100, 252.000000 
 12, 2200, 252.000000 
 12, 2300, 287.000000 
 13, 0000, 272.000000 
 13, 0100, 276.000000 
 13, 0200, 289.000000 
 13, 0300, 268.000000 
 13, 0400, 262.000000 
 13, 0500, 275.000000 
 13, 0600, 309.000000 
 13, 0700, 270.000000 
 13, 0800, 302.000000 
 13, 0900, 292.000000 
 13, 1000, 276.000000 
 13, 1100, 260.000000 
 13, 1200, 291.000000 
 13, 1300, 276.000000 
 13, 1400, 276.000000 
 13, 1500, 261.000000 
 13, 1600, 276.000000 
 13, 1700, 278.000000 
 13, 1800, 307.000000 
 13, 1900, 36.000000 
 13, 2000, 50.000000 
 13, 2100, 331.000000 
 13, 2200, 54.000000 
 13, 2300, 41.000000 
 14, 0000, 265.000000 
 14, 0100, 81.000000 
 14, 0200, 85.000000 
 14, 0300, 130.000000 
 14, 0400, 130.000000 
 14, 0500, 205.000000 
 14, 0600, 152.000000 
 14, 0700, 31.000000 
 14, 0800, 43.000000 
 14, 0900, 32.000000 
 14, 1000, 310.000000 
 14, 1100, 298.000000 
 14, 1200, 323.000000 
 14, 1300, 324.000000 
 14, 1400, 323.000000 
 14, 1500, 303.000000 
 14, 1600, 294.000000 
 14, 1700, 251.000000 
 14, 1800, 292.000000 
 14, 1900, 305.000000 
 14, 2000, 296.000000 
 14, 2100, 283.000000 
 14, 2200, 273.000000 
 14, 2300, 283.000000 
 15, 0000, 299.000000 
 15, 0100, 233.000000 
 15, 0200, 254.000000 
 15, 0300, 224.000000 
 15, 0400, 222.000000 
 15, 0500, 260.000000 
 15, 0600, 259.000000 
 15, 0700, 13.000000 
 15, 0800, 308.000000 
 15, 0900, 306.000000 
 15, 1000, 308.000000 
 15, 1100, 320.000000 
 15, 1200, 325.000000 
 15, 1300, 314.000000 
 15, 1400, 270.000000 
 15, 1500, 291.000000 
 15, 1600, 301.000000 
 15, 1700, 273.000000 
 15, 1800, 304.000000 
 15, 1900, 197.000000 
 15, 2000, 180.000000 
 15, 2100, 294.000000 
 15, 2200, 228.000000 
 15, 2300, 82.000000 
 16, 0000, 244.000000 
 16, 0100, 279.000000 
 16, 0200, 275.000000 
 16, 0300, 270.000000 
 16, 0400, 262.000000 
 16, 0500, 249.000000 
 16, 0600, 246.000000 
 16, 0700, 258.000000 
 16, 0800, 42.000000 
 16, 0900, 287.000000 
 16, 1000, 288.000000 
 16, 1100, 261.000000 
 16, 1200, 64.000000 
 16, 1300, 266.000000 
 16, 1400, 283.000000 
 16, 1500, 357.000000 
 16, 1600, 346.000000 
 16, 1700, 14.000000 
 16, 1800, 33.000000 
 16, 1900, 19.000000 
 16, 2000, 33.000000 
 16, 2100, 322.000000 
 16, 2200, 290.000000 
 16, 2300, 290.000000 
