 format: day,hour,value location:94_74 Start : 20220101 
 1, 0000, 160.000000 
 1, 0100, 163.000000 
 1, 0200, 187.000000 
 1, 0300, 234.000000 
 1, 0400, 183.000000 
 1, 0500, 211.000000 
 1, 0600, 188.000000 
 1, 0700, 342.000000 
 1, 0800, 39.000000 
 1, 0900, 0.000000 
 1, 1000, 15.000000 
 1, 1100, 48.000000 
 1, 1200, 0.000000 
 1, 1300, 274.000000 
 1, 1400, 66.000000 
 1, 1500, 346.000000 
 1, 1600, 11.000000 
 1, 1700, 1.000000 
 1, 1800, 0.000000 
 1, 1900, 316.000000 
 1, 2000, 14.000000 
 1, 2100, 328.000000 
 1, 2200, 111.000000 
 1, 2300, 88.000000 
 2, 0000, 229.000000 
 2, 0100, 235.000000 
 2, 0200, 247.000000 
 2, 0300, 229.000000 
 2, 0400, 279.000000 
 2, 0500, 302.000000 
 2, 0600, 302.000000 
 2, 0700, 308.000000 
 2, 0800, 40.000000 
 2, 0900, 349.000000 
 2, 1000, 357.000000 
 2, 1100, 5.000000 
 2, 1200, 66.000000 
 2, 1300, 43.000000 
 2, 1400, 34.000000 
 2, 1500, 6.000000 
 2, 1600, 35.000000 
 2, 1700, 33.000000 
 2, 1800, 335.000000 
 2, 1900, 341.000000 
 2, 2000, 226.000000 
 2, 2100, 353.000000 
 2, 2200, 344.000000 
 2, 2300, 74.000000 
 3, 0000, 151.000000 
 3, 0100, 176.000000 
 3, 0200, 156.000000 
 3, 0300, 232.000000 
 3, 0400, 219.000000 
 3, 0500, 215.000000 
 3, 0600, 276.000000 
 3, 0700, 332.000000 
 3, 0800, 20.000000 
 3, 0900, 51.000000 
 3, 1000, 319.000000 
 3, 1100, 43.000000 
 3, 1200, 58.000000 
 3, 1300, 70.000000 
 3, 1400, 35.000000 
 3, 1500, 342.000000 
 3, 1600, 114.000000 
 3, 1700, 87.000000 
 3, 1800, 106.000000 
 3, 1900, 343.000000 
 3, 2000, 13.000000 
 3, 2100, 32.000000 
 3, 2200, 349.000000 
