 format: day,hour,value location:97_75 Start : 20220101 
 1, 0000, 241.000000 
 1, 0100, 250.000000 
 1, 0200, 240.000000 
 1, 0300, 257.000000 
 1, 0400, 259.000000 
 1, 0500, 252.000000 
 1, 0600, 259.000000 
 1, 0700, 306.000000 
 1, 0800, 311.000000 
 1, 0900, 349.000000 
 1, 1000, 326.000000 
 1, 1100, 327.000000 
 1, 1200, 316.000000 
 1, 1300, 287.000000 
 1, 1400, 297.000000 
 1, 1500, 312.000000 
 1, 1600, 308.000000 
 1, 1700, 315.000000 
 1, 1800, 302.000000 
 1, 1900, 305.000000 
 1, 2000, 303.000000 
 1, 2100, 301.000000 
 1, 2200, 281.000000 
 1, 2300, 258.000000 
 2, 0000, 264.000000 
 2, 0100, 267.000000 
 2, 0200, 246.000000 
 2, 0300, 258.000000 
 2, 0400, 256.000000 
 2, 0500, 266.000000 
 2, 0600, 265.000000 
 2, 0700, 71.000000 
 2, 0800, 335.000000 
 2, 0900, 334.000000 
 2, 1000, 343.000000 
 2, 1100, 326.000000 
 2, 1200, 329.000000 
 2, 1300, 339.000000 
 2, 1400, 316.000000 
 2, 1500, 316.000000 
 2, 1600, 313.000000 
 2, 1700, 307.000000 
 2, 1800, 313.000000 
 2, 1900, 276.000000 
 2, 2000, 316.000000 
 2, 2100, 290.000000 
 2, 2200, 273.000000 
 2, 2300, 258.000000 
 3, 0000, 252.000000 
 3, 0100, 257.000000 
 3, 0200, 255.000000 
 3, 0300, 261.000000 
 3, 0400, 276.000000 
 3, 0500, 252.000000 
 3, 0600, 267.000000 
 3, 0700, 303.000000 
 3, 0800, 313.000000 
 3, 0900, 294.000000 
 3, 1000, 296.000000 
 3, 1100, 322.000000 
 3, 1200, 290.000000 
 3, 1300, 291.000000 
 3, 1400, 294.000000 
 3, 1500, 296.000000 
 3, 1600, 327.000000 
 3, 1700, 309.000000 
 3, 1800, 314.000000 
 3, 1900, 343.000000 
 3, 2000, 348.000000 
 3, 2100, 49.000000 
 3, 2200, 111.000000 
 3, 2300, 254.000000 
 4, 0000, 262.000000 
 4, 0100, 255.000000 
 4, 0200, 282.000000 
 4, 0300, 271.000000 
 4, 0400, 273.000000 
 4, 0500, 269.000000 
 4, 0600, 260.000000 
 4, 0700, 325.000000 
 4, 0800, 13.000000 
 4, 0900, 351.000000 
