 format: day,hour,value location:96_74 Start : 20210101 
 1, 0000, 280.000000 
 1, 0100, 265.000000 
 1, 0200, 265.000000 
 1, 0300, 277.000000 
 1, 0400, 265.000000 
 1, 0500, 282.000000 
 1, 0600, 284.000000 
 1, 0700, 287.000000 
 1, 0800, 269.000000 
 1, 0900, 286.000000 
 1, 1000, 312.000000 
 1, 1100, 320.000000 
 1, 1200, 290.000000 
 1, 1300, 268.000000 
 1, 1400, 283.000000 
 1, 1500, 268.000000 
 1, 1600, 270.000000 
 1, 1700, 291.000000 
 1, 1800, 288.000000 
 1, 1900, 332.000000 
 1, 2000, 326.000000 
 1, 2100, 314.000000 
 1, 2200, 333.000000 
 1, 2300, 318.000000 
 2, 0000, 320.000000 
 2, 0100, 318.000000 
 2, 0200, 300.000000 
 2, 0300, 312.000000 
 2, 0400, 315.000000 
 2, 0500, 316.000000 
 2, 0600, 315.000000 
 2, 0700, 317.000000 
 2, 0800, 321.000000 
 2, 0900, 309.000000 
 2, 1000, 307.000000 
 2, 1100, 286.000000 
 2, 1200, 285.000000 
 2, 1300, 307.000000 
 2, 1400, 305.000000 
 2, 1500, 306.000000 
 2, 1600, 310.000000 
 2, 1700, 296.000000 
 2, 1800, 300.000000 
 2, 1900, 306.000000 
 2, 2000, 305.000000 
 2, 2100, 292.000000 
 2, 2200, 308.000000 
 2, 2300, 300.000000 
 3, 0000, 306.000000 
 3, 0100, 313.000000 
 3, 0200, 279.000000 
 3, 0300, 285.000000 
 3, 0400, 294.000000 
 3, 0500, 295.000000 
 3, 0600, 316.000000 
 3, 0700, 324.000000 
 3, 0800, 317.000000 
 3, 0900, 304.000000 
 3, 1000, 294.000000 
 3, 1100, 314.000000 
 3, 1200, 299.000000 
 3, 1300, 288.000000 
 3, 1400, 313.000000 
 3, 1500, 303.000000 
 3, 1600, 304.000000 
 3, 1700, 307.000000 
 3, 1800, 298.000000 
 3, 1900, 324.000000 
 3, 2000, 302.000000 
 3, 2100, 355.000000 
 3, 2200, 324.000000 
 3, 2300, 209.000000 
 4, 0000, 300.000000 
 4, 0100, 316.000000 
 4, 0200, 307.000000 
 4, 0300, 310.000000 
 4, 0400, 303.000000 
 4, 0500, 309.000000 
 4, 0600, 267.000000 
 4, 0700, 323.000000 
 4, 0800, 343.000000 
 4, 0900, 284.000000 
 4, 1000, 311.000000 
 4, 1100, 297.000000 
 4, 1200, 304.000000 
 4, 1300, 308.000000 
 4, 1400, 291.000000 
 4, 1500, 286.000000 
 4, 1600, 309.000000 
 4, 1700, 304.000000 
 4, 1800, 284.000000 
 4, 1900, 271.000000 
 4, 2000, 285.000000 
 4, 2100, 307.000000 
 4, 2200, 288.000000 
 4, 2300, 308.000000 
 5, 0000, 321.000000 
 5, 0100, 311.000000 
 5, 0200, 314.000000 
 5, 0300, 315.000000 
 5, 0400, 324.000000 
 5, 0500, 314.000000 
 5, 0600, 315.000000 
 5, 0700, 330.000000 
 5, 0800, 319.000000 
 5, 0900, 310.000000 
 5, 1000, 324.000000 
 5, 1100, 300.000000 
 5, 1200, 313.000000 
 5, 1300, 301.000000 
 5, 1400, 315.000000 
 5, 1500, 312.000000 
 5, 1600, 310.000000 
 5, 1700, 308.000000 
 5, 1800, 315.000000 
 5, 1900, 308.000000 
 5, 2000, 315.000000 
 5, 2100, 312.000000 
 5, 2200, 321.000000 
 5, 2300, 308.000000 
 6, 0000, 312.000000 
 6, 0100, 310.000000 
 6, 0200, 312.000000 
 6, 0300, 315.000000 
 6, 0400, 317.000000 
 6, 0500, 318.000000 
 6, 0600, 264.000000 
 6, 0700, 302.000000 
 6, 0800, 268.000000 
 6, 0900, 252.000000 
 6, 1000, 294.000000 
