 format: day,hour,value location:97_74 Start : 20160101 
 1, 0000, 309.000000 
 1, 0100, 303.000000 
 1, 0200, 296.000000 
 1, 0300, 273.000000 
 1, 0400, 258.000000 
 1, 0500, 270.000000 
 1, 0600, 250.000000 
 1, 0700, 250.000000 
 1, 0800, 252.000000 
 1, 0900, 258.000000 
 1, 1000, 261.000000 
 1, 1100, 263.000000 
 1, 1200, 268.000000 
 1, 1300, 265.000000 
 1, 1400, 259.000000 
 1, 1500, 270.000000 
 1, 1600, 270.000000 
 1, 1700, 274.000000 
 1, 1800, 272.000000 
 1, 1900, 269.000000 
 1, 2000, 276.000000 
 1, 2100, 282.000000 
 1, 2200, 297.000000 
 1, 2300, 299.000000 
 2, 0000, 277.000000 
 2, 0100, 276.000000 
 2, 0200, 257.000000 
 2, 0300, 254.000000 
 2, 0400, 265.000000 
 2, 0500, 262.000000 
 2, 0600, 256.000000 
 2, 0700, 257.000000 
 2, 0800, 270.000000 
 2, 0900, 282.000000 
 2, 1000, 282.000000 
 2, 1100, 277.000000 
 2, 1200, 280.000000 
 2, 1300, 284.000000 
 2, 1400, 274.000000 
 2, 1500, 272.000000 
 2, 1600, 278.000000 
 2, 1700, 272.000000 
 2, 1800, 301.000000 
 2, 1900, 296.000000 
 2, 2000, 314.000000 
 2, 2100, 311.000000 
 2, 2200, 311.000000 
 2, 2300, 297.000000 
 3, 0000, 313.000000 
 3, 0100, 304.000000 
 3, 0200, 248.000000 
 3, 0300, 227.000000 
 3, 0400, 249.000000 
 3, 0500, 235.000000 
 3, 0600, 232.000000 
 3, 0700, 236.000000 
 3, 0800, 250.000000 
 3, 0900, 260.000000 
 3, 1000, 270.000000 
 3, 1100, 256.000000 
 3, 1200, 265.000000 
 3, 1300, 276.000000 
 3, 1400, 272.000000 
 3, 1500, 270.000000 
 3, 1600, 270.000000 
 3, 1700, 273.000000 
 3, 1800, 286.000000 
 3, 1900, 294.000000 
 3, 2000, 279.000000 
 3, 2100, 291.000000 
 3, 2200, 322.000000 
 3, 2300, 300.000000 
 4, 0000, 306.000000 
 4, 0100, 257.000000 
 4, 0200, 268.000000 
 4, 0300, 293.000000 
 4, 0400, 297.000000 
 4, 0500, 289.000000 
 4, 0600, 294.000000 
 4, 0700, 291.000000 
 4, 0800, 287.000000 
 4, 0900, 345.000000 
 4, 1000, 315.000000 
 4, 1100, 315.000000 
 4, 1200, 315.000000 
 4, 1300, 314.000000 
 4, 1400, 313.000000 
 4, 1500, 313.000000 
 4, 1600, 314.000000 
 4, 1700, 299.000000 
 4, 1800, 307.000000 
 4, 1900, 325.000000 
 4, 2000, 315.000000 
 4, 2100, 337.000000 
 4, 2200, 303.000000 
 4, 2300, 302.000000 
 5, 0000, 305.000000 
 5, 0100, 305.000000 
 5, 0200, 312.000000 
 5, 0300, 308.000000 
 5, 0400, 304.000000 
 5, 0500, 304.000000 
 5, 0600, 299.000000 
 5, 0700, 292.000000 
 5, 0800, 306.000000 
 5, 0900, 319.000000 
 5, 1000, 317.000000 
