 format: day,hour,value location:99_74 Start : 20220101 
 1, 0000, 287.000000 
 1, 0100, 298.000000 
 1, 0200, 260.000000 
 1, 0300, 162.000000 
 1, 0400, 199.000000 
 1, 0500, 126.000000 
 1, 0600, 150.000000 
 1, 0700, 140.000000 
 1, 0800, 249.000000 
 1, 0900, 272.000000 
 1, 1000, 290.000000 
 1, 1100, 311.000000 
 1, 1200, 301.000000 
 1, 1300, 288.000000 
 1, 1400, 298.000000 
 1, 1500, 283.000000 
 1, 1600, 304.000000 
 1, 1700, 292.000000 
 1, 1800, 304.000000 
 1, 1900, 281.000000 
 1, 2000, 284.000000 
 1, 2100, 289.000000 
 1, 2200, 259.000000 
 1, 2300, 265.000000 
 2, 0000, 266.000000 
 2, 0100, 252.000000 
 2, 0200, 223.000000 
 2, 0300, 276.000000 
 2, 0400, 285.000000 
 2, 0500, 284.000000 
 2, 0600, 272.000000 
 2, 0700, 275.000000 
 2, 0800, 303.000000 
 2, 0900, 307.000000 
 2, 1000, 299.000000 
 2, 1100, 297.000000 
 2, 1200, 311.000000 
 2, 1300, 325.000000 
 2, 1400, 316.000000 
 2, 1500, 287.000000 
 2, 1600, 289.000000 
 2, 1700, 310.000000 
 2, 1800, 316.000000 
 2, 1900, 307.000000 
 2, 2000, 289.000000 
 2, 2100, 308.000000 
 2, 2200, 317.000000 
 2, 2300, 204.000000 
 3, 0000, 298.000000 
 3, 0100, 279.000000 
 3, 0200, 285.000000 
 3, 0300, 304.000000 
 3, 0400, 292.000000 
 3, 0500, 292.000000 
 3, 0600, 267.000000 
 3, 0700, 261.000000 
 3, 0800, 283.000000 
 3, 0900, 294.000000 
 3, 1000, 283.000000 
 3, 1100, 237.000000 
 3, 1200, 250.000000 
 3, 1300, 295.000000 
 3, 1400, 268.000000 
 3, 1500, 276.000000 
 3, 1600, 277.000000 
 3, 1700, 329.000000 
 3, 1800, 314.000000 
 3, 1900, 279.000000 
 3, 2000, 242.000000 
 3, 2100, 272.000000 
 3, 2200, 315.000000 
 3, 2300, 325.000000 
 4, 0000, 284.000000 
 4, 0100, 261.000000 
 4, 0200, 253.000000 
 4, 0300, 280.000000 
 4, 0400, 274.000000 
 4, 0500, 282.000000 
 4, 0600, 273.000000 
 4, 0700, 267.000000 
 4, 0800, 306.000000 
 4, 0900, 332.000000 
 4, 1000, 300.000000 
 4, 1100, 296.000000 
 4, 1200, 288.000000 
 4, 1300, 319.000000 
 4, 1400, 335.000000 
 4, 1500, 335.000000 
 4, 1600, 295.000000 
 4, 1700, 320.000000 
 4, 1800, 332.000000 
 4, 1900, 332.000000 
 4, 2000, 323.000000 
 4, 2100, 308.000000 
 4, 2200, 328.000000 
 4, 2300, 325.000000 
 5, 0000, 342.000000 
 5, 0100, 57.000000 
 5, 0200, 44.000000 
 5, 0300, 49.000000 
 5, 0400, 51.000000 
 5, 0500, 60.000000 
 5, 0600, 45.000000 
 5, 0700, 43.000000 
 5, 0800, 50.000000 
 5, 0900, 42.000000 
 5, 1000, 39.000000 
 5, 1100, 48.000000 
 5, 1200, 318.000000 
 5, 1300, 320.000000 
 5, 1400, 325.000000 
 5, 1500, 339.000000 
 5, 1600, 351.000000 
 5, 1700, 299.000000 
 5, 1800, 332.000000 
 5, 1900, 329.000000 
 5, 2000, 321.000000 
 5, 2100, 293.000000 
 5, 2200, 298.000000 
 5, 2300, 279.000000 
 6, 0000, 326.000000 
 6, 0100, 309.000000 
 6, 0200, 301.000000 
 6, 0300, 284.000000 
 6, 0400, 281.000000 
 6, 0500, 308.000000 
 6, 0600, 318.000000 
 6, 0700, 315.000000 
 6, 0800, 304.000000 
 6, 0900, 297.000000 
 6, 1000, 320.000000 
 6, 1100, 318.000000 
 6, 1200, 309.000000 
 6, 1300, 311.000000 
 6, 1400, 286.000000 
 6, 1500, 301.000000 
 6, 1600, 323.000000 
 6, 1700, 309.000000 
 6, 1800, 292.000000 
 6, 1900, 317.000000 
 6, 2000, 316.000000 
 6, 2100, 323.000000 
 6, 2200, 290.000000 
 6, 2300, 214.000000 
 7, 0000, 212.000000 
 7, 0100, 291.000000 
 7, 0200, 280.000000 
 7, 0300, 239.000000 
 7, 0400, 220.000000 
 7, 0500, 228.000000 
 7, 0600, 225.000000 
 7, 0700, 239.000000 
 7, 0800, 246.000000 
 7, 0900, 288.000000 
 7, 1000, 247.000000 
 7, 1100, 268.000000 
 7, 1200, 316.000000 
 7, 1300, 326.000000 
