 format: day,hour,value location:101_79 Start : 20110101 
 1, 0000, 249.000000 
 1, 0100, 30.000000 
 1, 0200, 13.000000 
 1, 0300, 10.000000 
 1, 0400, 358.000000 
 1, 0500, 360.000000 
 1, 0600, 2.000000 
 1, 0700, 355.000000 
 1, 0800, 357.000000 
 1, 0900, 6.000000 
 1, 1000, 3.000000 
 1, 1100, 15.000000 
 1, 1200, 356.000000 
 1, 1300, 357.000000 
 1, 1400, 356.000000 
 1, 1500, 353.000000 
 1, 1600, 350.000000 
 1, 1700, 347.000000 
 1, 1800, 350.000000 
 1, 1900, 352.000000 
 1, 2000, 343.000000 
 1, 2100, 350.000000 
 1, 2200, 339.000000 
 1, 2300, 341.000000 
 2, 0000, 355.000000 
 2, 0100, 13.000000 
 2, 0200, 14.000000 
 2, 0300, 17.000000 
 2, 0400, 36.000000 
 2, 0500, 51.000000 
 2, 0600, 81.000000 
 2, 0700, 34.000000 
 2, 0800, 21.000000 
 2, 0900, 21.000000 
 2, 1000, 18.000000 
 2, 1100, 3.000000 
 2, 1200, 8.000000 
 2, 1300, 5.000000 
 2, 1400, 360.000000 
 2, 1500, 353.000000 
 2, 1600, 357.000000 
 2, 1700, 351.000000 
 2, 1800, 349.000000 
 2, 1900, 348.000000 
 2, 2000, 351.000000 
 2, 2100, 339.000000 
 2, 2200, 354.000000 
 2, 2300, 352.000000 
 3, 0000, 345.000000 
 3, 0100, 355.000000 
 3, 0200, 2.000000 
 3, 0300, 10.000000 
 3, 0400, 27.000000 
 3, 0500, 343.000000 
 3, 0600, 346.000000 
 3, 0700, 360.000000 
 3, 0800, 354.000000 
 3, 0900, 358.000000 
 3, 1000, 331.000000 
 3, 1100, 349.000000 
 3, 1200, 5.000000 
 3, 1300, 360.000000 
 3, 1400, 12.000000 
 3, 1500, 7.000000 
 3, 1600, 343.000000 
 3, 1700, 25.000000 
 3, 1800, 350.000000 
 3, 1900, 360.000000 
 3, 2000, 349.000000 
 3, 2100, 27.000000 
 3, 2200, 27.000000 
 3, 2300, 61.000000 
 4, 0000, 14.000000 
 4, 0100, 337.000000 
 4, 0200, 0.000000 
 4, 0300, 25.000000 
 4, 0400, 341.000000 
 4, 0500, 335.000000 
 4, 0600, 319.000000 
 4, 0700, 330.000000 
 4, 0800, 17.000000 
 4, 0900, 13.000000 
 4, 1000, 349.000000 
 4, 1100, 321.000000 
 4, 1200, 90.000000 
 4, 1300, 307.000000 
 4, 1400, 315.000000 
 4, 1500, 330.000000 
 4, 1600, 282.000000 
 4, 1700, 292.000000 
 4, 1800, 299.000000 
 4, 1900, 339.000000 
 4, 2000, 268.000000 
 4, 2100, 59.000000 
 4, 2200, 239.000000 
 4, 2300, 307.000000 
 5, 0000, 0.000000 
 5, 0100, 315.000000 
 5, 0200, 212.000000 
 5, 0300, 241.000000 
 5, 0400, 230.000000 
 5, 0500, 225.000000 
 5, 0600, 243.000000 
 5, 0700, 225.000000 
 5, 0800, 259.000000 
 5, 0900, 270.000000 
 5, 1000, 315.000000 
 5, 1100, 313.000000 
 5, 1200, 293.000000 
 5, 1300, 307.000000 
 5, 1400, 276.000000 
 5, 1500, 236.000000 
 5, 1600, 305.000000 
 5, 1700, 326.000000 
 5, 1800, 338.000000 
 5, 1900, 9.000000 
 5, 2000, 335.000000 
 5, 2100, 38.000000 
 5, 2200, 344.000000 
 5, 2300, 318.000000 
 6, 0000, 321.000000 
 6, 0100, 340.000000 
 6, 0200, 342.000000 
 6, 0300, 335.000000 
