 format: day,hour,value location:96_74 Start : 20220101 
 1, 0000, 307.000000 
 1, 0100, 280.000000 
 1, 0200, 158.000000 
 1, 0300, 258.000000 
 1, 0400, 244.000000 
 1, 0500, 257.000000 
 1, 0600, 267.000000 
 1, 0700, 293.000000 
 1, 0800, 286.000000 
 1, 0900, 0.000000 
 1, 1000, 0.000000 
 1, 1100, 0.000000 
 1, 1200, 323.000000 
 1, 1300, 300.000000 
 1, 1400, 308.000000 
 1, 1500, 301.000000 
 1, 1600, 279.000000 
 1, 1700, 319.000000 
 1, 1800, 323.000000 
 1, 1900, 326.000000 
 1, 2000, 326.000000 
 1, 2100, 317.000000 
 1, 2200, 325.000000 
 1, 2300, 293.000000 
 2, 0000, 274.000000 
 2, 0100, 264.000000 
 2, 0200, 262.000000 
 2, 0300, 279.000000 
 2, 0400, 267.000000 
 2, 0500, 273.000000 
 2, 0600, 326.000000 
 2, 0700, 318.000000 
 2, 0800, 323.000000 
 2, 0900, 328.000000 
 2, 1000, 318.000000 
 2, 1100, 323.000000 
 2, 1200, 332.000000 
 2, 1300, 333.000000 
 2, 1400, 332.000000 
 2, 1500, 331.000000 
 2, 1600, 331.000000 
 2, 1700, 330.000000 
 2, 1800, 337.000000 
 2, 1900, 317.000000 
 2, 2000, 326.000000 
 2, 2100, 328.000000 
 2, 2200, 323.000000 
 2, 2300, 315.000000 
 3, 0000, 311.000000 
 3, 0100, 309.000000 
 3, 0200, 304.000000 
 3, 0300, 302.000000 
 3, 0400, 308.000000 
 3, 0500, 36.000000 
 3, 0600, 254.000000 
 3, 0700, 229.000000 
 3, 0800, 315.000000 
 3, 0900, 322.000000 
 3, 1000, 316.000000 
 3, 1100, 320.000000 
 3, 1200, 318.000000 
 3, 1300, 323.000000 
 3, 1400, 320.000000 
 3, 1500, 297.000000 
 3, 1600, 327.000000 
 3, 1700, 0.000000 
 3, 1800, 0.000000 
 3, 1900, 261.000000 
 3, 2000, 328.000000 
 3, 2100, 325.000000 
 3, 2200, 343.000000 
 3, 2300, 309.000000 
 4, 0000, 282.000000 
 4, 0100, 310.000000 
 4, 0200, 311.000000 
 4, 0300, 314.000000 
 4, 0400, 309.000000 
 4, 0500, 321.000000 
 4, 0600, 314.000000 
 4, 0700, 329.000000 
 4, 0800, 326.000000 
 4, 0900, 0.000000 
 4, 1000, 330.000000 
 4, 1100, 327.000000 
 4, 1200, 329.000000 
 4, 1300, 336.000000 
 4, 1400, 334.000000 
 4, 1500, 359.000000 
 4, 1600, 344.000000 
 4, 1700, 352.000000 
 4, 1800, 334.000000 
 4, 1900, 318.000000 
