 format: day,hour,value location:97_77 Start : 20220101 
 1, 0000, 1.000000 
 1, 0100, 258.000000 
 1, 0200, 266.000000 
 1, 0300, 254.000000 
 1, 0400, 231.000000 
 1, 0500, 258.000000 
 1, 0600, 218.000000 
 1, 0700, 204.000000 
 1, 0800, 191.000000 
 1, 0900, 43.000000 
 1, 1000, 347.000000 
 1, 1100, 292.000000 
 1, 1200, 333.000000 
 1, 1300, 11.000000 
 1, 1400, 318.000000 
 1, 1500, 11.000000 
 1, 1600, 56.000000 
 1, 1700, 220.000000 
 1, 1800, 20.000000 
 1, 1900, 0.000000 
 1, 2000, 325.000000 
 1, 2100, 359.000000 
 1, 2200, 333.000000 
 1, 2300, 330.000000 
 2, 0000, 231.000000 
 2, 0100, 257.000000 
 2, 0200, 216.000000 
 2, 0300, 216.000000 
 2, 0400, 271.000000 
 2, 0500, 295.000000 
 2, 0600, 291.000000 
 2, 0700, 272.000000 
 2, 0800, 233.000000 
 2, 0900, 102.000000 
 2, 1000, 32.000000 
 2, 1100, 31.000000 
 2, 1200, 328.000000 
 2, 1300, 8.000000 
 2, 1400, 16.000000 
 2, 1500, 27.000000 
 2, 1600, 27.000000 
 2, 1700, 18.000000 
 2, 1800, 3.000000 
 2, 1900, 25.000000 
 2, 2000, 48.000000 
 2, 2100, 100.000000 
 2, 2200, 321.000000 
 2, 2300, 319.000000 
 3, 0000, 272.000000 
 3, 0100, 266.000000 
 3, 0200, 253.000000 
 3, 0300, 236.000000 
 3, 0400, 260.000000 
 3, 0500, 301.000000 
 3, 0600, 296.000000 
 3, 0700, 278.000000 
 3, 0800, 229.000000 
 3, 0900, 235.000000 
 3, 1000, 219.000000 
 3, 1100, 225.000000 
 3, 1200, 218.000000 
 3, 1300, 227.000000 
 3, 1400, 223.000000 
 3, 1500, 237.000000 
 3, 1600, 186.000000 
 3, 1700, 346.000000 
 3, 1800, 122.000000 
 3, 1900, 310.000000 
 3, 2000, 38.000000 
 3, 2100, 13.000000 
 3, 2200, 1.000000 
 3, 2300, 339.000000 
 4, 0000, 255.000000 
 4, 0100, 240.000000 
 4, 0200, 183.000000 
 4, 0300, 260.000000 
 4, 0400, 258.000000 
 4, 0500, 266.000000 
 4, 0600, 255.000000 
 4, 0700, 278.000000 
 4, 0800, 98.000000 
 4, 0900, 20.000000 
 4, 1000, 67.000000 
 4, 1100, 236.000000 
 4, 1200, 316.000000 
 4, 1300, 5.000000 
 4, 1400, 9.000000 
 4, 1500, 10.000000 
 4, 1600, 14.000000 
 4, 1700, 9.000000 
