 format: day,hour,value location:70_105 Start : 20180101 
 1, 0000, 180.000000 
 1, 0100, 16.000000 
 1, 0200, 354.000000 
 1, 0300, 339.000000 
 1, 0400, 348.000000 
 1, 0500, 352.000000 
 1, 0600, 333.000000 
 1, 0700, 319.000000 
 1, 0800, 324.000000 
 1, 0900, 284.000000 
 1, 1000, 326.000000 
 1, 1100, 297.000000 
 1, 1200, 360.000000 
 1, 1300, 270.000000 
 1, 1400, 270.000000 
 1, 1500, 360.000000 
 1, 1600, 180.000000 
 1, 1700, 63.000000 
 1, 1800, 90.000000 
 1, 1900, 360.000000 
 1, 2000, 270.000000 
 1, 2100, 270.000000 
 1, 2200, 225.000000 
 1, 2300, 180.000000 
 2, 0000, 360.000000 
 2, 0100, 14.000000 
 2, 0200, 349.000000 
 2, 0300, 230.000000 
 2, 0400, 5.000000 
 2, 0500, 351.000000 
 2, 0600, 308.000000 
 2, 0700, 308.000000 
 2, 0800, 300.000000 
 2, 0900, 311.000000 
 2, 1000, 315.000000 
 2, 1100, 315.000000 
 2, 1200, 319.000000 
 2, 1300, 307.000000 
 2, 1400, 331.000000 
 2, 1500, 315.000000 
 2, 1600, 308.000000 
 2, 1700, 315.000000 
 2, 1800, 343.000000 
 2, 1900, 281.000000 
 2, 2000, 307.000000 
 2, 2100, 315.000000 
 2, 2200, 333.000000 
 2, 2300, 40.000000 
 3, 0000, 47.000000 
 3, 0100, 346.000000 
 3, 0200, 15.000000 
 3, 0300, 325.000000 
 3, 0400, 305.000000 
 3, 0500, 327.000000 
 3, 0600, 305.000000 
 3, 0700, 321.000000 
 3, 0800, 309.000000 
 3, 0900, 325.000000 
 3, 1000, 350.000000 
 3, 1100, 315.000000 
 3, 1200, 288.000000 
 3, 1300, 297.000000 
 3, 1400, 270.000000 
 3, 1500, 345.000000 
 3, 1600, 353.000000 
 3, 1700, 319.000000 
 3, 1800, 325.000000 
 3, 1900, 315.000000 
 3, 2000, 351.000000 
 3, 2100, 323.000000 
 3, 2200, 297.000000 
 3, 2300, 22.000000 
 4, 0000, 63.000000 
 4, 0100, 30.000000 
 4, 0200, 5.000000 
 4, 0300, 342.000000 
 4, 0400, 3.000000 
 4, 0500, 360.000000 
 4, 0600, 354.000000 
 4, 0700, 345.000000 
 4, 0800, 328.000000 
 4, 0900, 333.000000 
 4, 1000, 333.000000 
 4, 1100, 326.000000 
 4, 1200, 330.000000 
 4, 1300, 333.000000 
 4, 1400, 352.000000 
 4, 1500, 351.000000 
 4, 1600, 360.000000 
 4, 1700, 360.000000 
 4, 1800, 349.000000 
 4, 1900, 304.000000 
 4, 2000, 360.000000 
 4, 2100, 27.000000 
 4, 2200, 270.000000 
 4, 2300, 360.000000 
 5, 0000, 72.000000 
 5, 0100, 262.000000 
 5, 0200, 304.000000 
 5, 0300, 207.000000 
 5, 0400, 15.000000 
 5, 0500, 292.000000 
 5, 0600, 336.000000 
 5, 0700, 340.000000 
 5, 0800, 346.000000 
 5, 0900, 325.000000 
 5, 1000, 307.000000 
 5, 1100, 299.000000 
 5, 1200, 293.000000 
 5, 1300, 279.000000 
 5, 1400, 293.000000 
 5, 1500, 330.000000 
 5, 1600, 319.000000 
 5, 1700, 315.000000 
 5, 1800, 320.000000 
 5, 1900, 307.000000 
 5, 2000, 326.000000 
 5, 2100, 288.000000 
 5, 2200, 326.000000 
 5, 2300, 18.000000 
 6, 0000, 52.000000 
 6, 0100, 315.000000 
 6, 0200, 360.000000 
 6, 0300, 4.000000 
 6, 0400, 23.000000 
 6, 0500, 351.000000 
 6, 0600, 333.000000 
 6, 0700, 315.000000 
 6, 0800, 315.000000 
 6, 0900, 315.000000 
 6, 1000, 333.000000 
 6, 1100, 360.000000 
 6, 1200, 354.000000 
 6, 1300, 270.000000 
 6, 1400, 342.000000 
 6, 1500, 360.000000 
 6, 1600, 360.000000 
 6, 1700, 323.000000 
 6, 1800, 360.000000 
 6, 1900, 354.000000 
 6, 2000, 7.000000 
 6, 2100, 346.000000 
 6, 2200, 360.000000 
 6, 2300, 166.000000 
 7, 0000, 194.000000 
 7, 0100, 207.000000 
 7, 0200, 270.000000 
 7, 0300, 9.000000 
 7, 0400, 270.000000 
 7, 0500, 146.000000 
 7, 0600, 14.000000 
 7, 0700, 360.000000 
 7, 0800, 270.000000 
 7, 0900, 360.000000 
 7, 1000, 333.000000 
 7, 1100, 339.000000 
 7, 1200, 342.000000 
 7, 1300, 337.000000 
 7, 1400, 351.000000 
 7, 1500, 353.000000 
 7, 1600, 11.000000 
 7, 1700, 352.000000 
 7, 1800, 360.000000 
 7, 1900, 355.000000 
 7, 2000, 351.000000 
 7, 2100, 360.000000 
 7, 2200, 45.000000 
 7, 2300, 315.000000 
 8, 0000, 225.000000 
 8, 0100, 360.000000 
 8, 0200, 236.000000 
 8, 0300, 333.000000 
 8, 0400, 14.000000 
 8, 0500, 180.000000 
 8, 0600, 204.000000 
 8, 0700, 208.000000 
 8, 0800, 191.000000 
 8, 0900, 189.000000 
 8, 1000, 195.000000 
 8, 1100, 288.000000 
 8, 1200, 286.000000 
 8, 1300, 317.000000 
 8, 1400, 324.000000 
 8, 1500, 311.000000 
 8, 1600, 293.000000 
 8, 1700, 250.000000 
 8, 1800, 280.000000 
 8, 1900, 331.000000 
 8, 2000, 325.000000 
 8, 2100, 331.000000 
 8, 2200, 333.000000 
 8, 2300, 315.000000 
 9, 0000, 270.000000 
 9, 0100, 355.000000 
 9, 0200, 304.000000 
 9, 0300, 354.000000 
 9, 0400, 360.000000 
 9, 0500, 360.000000 
 9, 0600, 262.000000 
 9, 0700, 330.000000 
 9, 0800, 287.000000 
 9, 0900, 324.000000 
 9, 1000, 262.000000 
 9, 1100, 234.000000 
 9, 1200, 221.000000 
 9, 1300, 198.000000 
 9, 1400, 186.000000 
 9, 1500, 360.000000 
 9, 1600, 254.000000 
 9, 1700, 315.000000 
 9, 1800, 288.000000 
 9, 1900, 348.000000 
 9, 2000, 353.000000 
 9, 2100, 333.000000 
 9, 2200, 333.000000 
 9, 2300, 323.000000 
 10, 0000, 347.000000 
 10, 0100, 347.000000 
 10, 0200, 333.000000 
 10, 0300, 339.000000 
 10, 0400, 307.000000 
 10, 0500, 322.000000 
 10, 0600, 315.000000 
 10, 0700, 324.000000 
 10, 0800, 326.000000 
 10, 0900, 305.000000 
 10, 1000, 322.000000 
 10, 1100, 317.000000 
 10, 1200, 312.000000 
 10, 1300, 328.000000 
 10, 1400, 315.000000 
 10, 1500, 311.000000 
 10, 1600, 322.000000 
 10, 1700, 315.000000 
 10, 1800, 311.000000 
 10, 1900, 339.000000 
 10, 2000, 324.000000 
 10, 2100, 318.000000 
 10, 2200, 327.000000 
 10, 2300, 351.000000 
 11, 0000, 39.000000 
 11, 0100, 353.000000 
 11, 0200, 330.000000 
 11, 0300, 308.000000 
 11, 0400, 338.000000 
 11, 0500, 329.000000 
 11, 0600, 336.000000 
 11, 0700, 329.000000 
 11, 0800, 321.000000 
 11, 0900, 324.000000 
 11, 1000, 312.000000 
 11, 1100, 321.000000 
 11, 1200, 323.000000 
 11, 1300, 340.000000 
 11, 1400, 330.000000 
 11, 1500, 323.000000 
 11, 1600, 324.000000 
 11, 1700, 311.000000 
 11, 1800, 336.000000 
 11, 1900, 329.000000 
 11, 2000, 326.000000 
 11, 2100, 336.000000 
 11, 2200, 342.000000 
 11, 2300, 333.000000 
 12, 0000, 352.000000 
 12, 0100, 270.000000 
 12, 0200, 343.000000 
 12, 0300, 343.000000 
 12, 0400, 337.000000 
 12, 0500, 303.000000 
 12, 0600, 315.000000 
 12, 0700, 302.000000 
 12, 0800, 288.000000 
 12, 0900, 304.000000 
 12, 1000, 346.000000 
 12, 1100, 14.000000 
 12, 1200, 27.000000 
 12, 1300, 22.000000 
 12, 1400, 30.000000 
 12, 1500, 23.000000 
 12, 1600, 8.000000 
 12, 1700, 27.000000 
 12, 1800, 27.000000 
 12, 1900, 9.000000 
 12, 2000, 39.000000 
 12, 2100, 31.000000 
 12, 2200, 22.000000 
 12, 2300, 31.000000 
 13, 0000, 27.000000 
 13, 0100, 344.000000 
 13, 0200, 344.000000 
 13, 0300, 5.000000 
 13, 0400, 356.000000 
 13, 0500, 349.000000 
 13, 0600, 353.000000 
 13, 0700, 351.000000 
 13, 0800, 14.000000 
 13, 0900, 27.000000 
 13, 1000, 9.000000 
 13, 1100, 23.000000 
 13, 1200, 18.000000 
 13, 1300, 27.000000 
 13, 1400, 22.000000 
 13, 1500, 14.000000 
 13, 1600, 18.000000 
 13, 1700, 360.000000 
 13, 1800, 9.000000 
 13, 1900, 45.000000 
 13, 2000, 9.000000 
 13, 2100, 360.000000 
 13, 2200, 360.000000 
 13, 2300, 22.000000 
 14, 0000, 6.000000 
 14, 0100, 333.000000 
 14, 0200, 315.000000 
 14, 0300, 180.000000 
 14, 0400, 117.000000 
 14, 0500, 117.000000 
 14, 0600, 11.000000 
 14, 0700, 76.000000 
 14, 0800, 63.000000 
 14, 0900, 72.000000 
 14, 1000, 6.000000 
 14, 1100, 153.000000 
 14, 1200, 186.000000 
 14, 1300, 180.000000 
 14, 1400, 194.000000 
 14, 1500, 243.000000 
 14, 1600, 243.000000 
 14, 1700, 360.000000 
 14, 1800, 342.000000 
 14, 1900, 225.000000 
 14, 2000, 207.000000 
 14, 2100, 194.000000 
 14, 2200, 207.000000 
 14, 2300, 207.000000 
 15, 0000, 207.000000 
 15, 0100, 249.000000 
 15, 0200, 281.000000 
 15, 0300, 328.000000 
 15, 0400, 315.000000 
 15, 0500, 348.000000 
 15, 0600, 352.000000 
 15, 0700, 346.000000 
 15, 0800, 45.000000 
 15, 0900, 90.000000 
 15, 1000, 27.000000 
 15, 1100, 39.000000 
 15, 1200, 63.000000 
 15, 1300, 153.000000 
 15, 1400, 72.000000 
 15, 1500, 117.000000 
 15, 1600, 18.000000 
 15, 1700, 207.000000 
 15, 1800, 225.000000 
 15, 1900, 180.000000 
 15, 2000, 45.000000 
 15, 2100, 158.000000 
 15, 2200, 90.000000 
 15, 2300, 27.000000 
 16, 0000, 117.000000 
 16, 0100, 124.000000 
 16, 0200, 166.000000 
 16, 0300, 8.000000 
 16, 0400, 355.000000 
 16, 0500, 350.000000 
 16, 0600, 304.000000 
 16, 0700, 342.000000 
 16, 0800, 189.000000 
 16, 0900, 170.000000 
 16, 1000, 180.000000 
 16, 1100, 90.000000 
 16, 1200, 90.000000 
 16, 1300, 360.000000 
 16, 1400, 360.000000 
 16, 1500, 5.000000 
 16, 1600, 5.000000 
 16, 1700, 339.000000 
 16, 1800, 352.000000 
 16, 1900, 360.000000 
 16, 2000, 14.000000 
 16, 2100, 9.000000 
 16, 2200, 360.000000 
 16, 2300, 164.000000 
 17, 0000, 162.000000 
 17, 0100, 279.000000 
 17, 0200, 225.000000 
 17, 0300, 270.000000 
 17, 0400, 342.000000 
 17, 0500, 124.000000 
 17, 0600, 174.000000 
 17, 0700, 297.000000 
 17, 0800, 326.000000 
 17, 0900, 135.000000 
 17, 1000, 166.000000 
 17, 1100, 90.000000 
 17, 1200, 135.000000 
 17, 1300, 194.000000 
 17, 1400, 233.000000 
 17, 1500, 196.000000 
 17, 1600, 198.000000 
 17, 1700, 326.000000 
 17, 1800, 194.000000 
 17, 1900, 360.000000 
 17, 2000, 270.000000 
 17, 2100, 342.000000 
 17, 2200, 307.000000 
 17, 2300, 315.000000 
 18, 0000, 333.000000 
 18, 0100, 355.000000 
 18, 0200, 349.000000 
 18, 0300, 5.000000 
 18, 0400, 326.000000 
 18, 0500, 304.000000 
 18, 0600, 299.000000 
 18, 0700, 315.000000 
 18, 0800, 307.000000 
