 format: day,hour,value location:67_106 Start : 20140101 
 1, 0000, 253.000000 
 1, 0100, 227.000000 
 1, 0200, 238.000000 
 1, 0300, 235.000000 
 1, 0400, 254.000000 
 1, 0500, 270.000000 
 1, 0600, 270.000000 
 1, 0700, 248.000000 
 1, 0800, 258.000000 
 1, 0900, 246.000000 
 1, 1000, 243.000000 
 1, 1100, 250.000000 
 1, 1200, 260.000000 
 1, 1300, 256.000000 
 1, 1400, 294.000000 
 1, 1500, 285.000000 
 1, 1600, 308.000000 
 1, 1700, 319.000000 
 1, 1800, 281.000000 
 1, 1900, 293.000000 
 1, 2000, 304.000000 
 1, 2100, 270.000000 
 1, 2200, 63.000000 
 1, 2300, 54.000000 
 2, 0000, 56.000000 
 2, 0100, 138.000000 
 2, 0200, 302.000000 
 2, 0300, 187.000000 
 2, 0400, 8.000000 
 2, 0500, 329.000000 
 2, 0600, 298.000000 
 2, 0700, 302.000000 
 2, 0800, 343.000000 
 2, 0900, 281.000000 
 2, 1000, 243.000000 
 2, 1100, 108.000000 
 2, 1200, 98.000000 
 2, 1300, 342.000000 
 2, 1400, 270.000000 
 2, 1500, 8.000000 
 2, 1600, 270.000000 
 2, 1700, 225.000000 
 2, 1800, 323.000000 
 2, 1900, 225.000000 
 2, 2000, 191.000000 
 2, 2100, 333.000000 
 2, 2200, 180.000000 
 2, 2300, 166.000000 
 3, 0000, 304.000000 
 3, 0100, 288.000000 
 3, 0200, 347.000000 
 3, 0300, 49.000000 
 3, 0400, 108.000000 
 3, 0500, 141.000000 
 3, 0600, 288.000000 
 3, 0700, 225.000000 
 3, 0800, 162.000000 
 3, 0900, 315.000000 
 3, 1000, 302.000000 
 3, 1100, 291.000000 
 3, 1200, 315.000000 
 3, 1300, 90.000000 
 3, 1400, 304.000000 
 3, 1500, 300.000000 
 3, 1600, 335.000000 
 3, 1700, 322.000000 
 3, 1800, 318.000000 
 3, 1900, 315.000000 
 3, 2000, 304.000000 
 3, 2100, 331.000000 
 3, 2200, 326.000000 
 3, 2300, 330.000000 
 4, 0000, 322.000000 
 4, 0100, 90.000000 
 4, 0200, 306.000000 
 4, 0300, 342.000000 
 4, 0400, 117.000000 
 4, 0500, 270.000000 
 4, 0600, 360.000000 
 4, 0700, 281.000000 
 4, 0800, 315.000000 
 4, 0900, 321.000000 
 4, 1000, 315.000000 
 4, 1100, 304.000000 
 4, 1200, 11.000000 
 4, 1300, 329.000000 
 4, 1400, 333.000000 
 4, 1500, 342.000000 
 4, 1600, 323.000000 
 4, 1700, 27.000000 
 4, 1800, 27.000000 
 4, 1900, 345.000000 
 4, 2000, 347.000000 
 4, 2100, 360.000000 
 4, 2200, 45.000000 
 4, 2300, 27.000000 
 5, 0000, 342.000000 
 5, 0100, 360.000000 
 5, 0200, 180.000000 
 5, 0300, 360.000000 
 5, 0400, 45.000000 
 5, 0500, 135.000000 
 5, 0600, 332.000000 
 5, 0700, 283.000000 
 5, 0800, 305.000000 
 5, 0900, 305.000000 
 5, 1000, 286.000000 
 5, 1100, 319.000000 
 5, 1200, 9.000000 
 5, 1300, 90.000000 
 5, 1400, 214.000000 
 5, 1500, 37.000000 
 5, 1600, 324.000000 
 5, 1700, 340.000000 
 5, 1800, 13.000000 
 5, 1900, 225.000000 
 5, 2000, 153.000000 
 5, 2100, 207.000000 
 5, 2200, 63.000000 
 5, 2300, 90.000000 
 6, 0000, 117.000000 
 6, 0100, 135.000000 
 6, 0200, 180.000000 
 6, 0300, 315.000000 
 6, 0400, 32.000000 
 6, 0500, 15.000000 
 6, 0600, 252.000000 
 6, 0700, 337.000000 
 6, 0800, 285.000000 
