 format: day,hour,value location:68_107 Start : 20120101 
 1, 0000, 0.000000 
 1, 0100, 351.000000 
 1, 0200, 265.000000 
 1, 0300, 281.000000 
 1, 0400, 292.000000 
 1, 0500, 301.000000 
 1, 0600, 299.000000 
 1, 0700, 309.000000 
 1, 0800, 317.000000 
 1, 0900, 291.000000 
 1, 1000, 295.000000 
 1, 1100, 328.000000 
 1, 1200, 0.000000 
 1, 1300, 318.000000 
 1, 1400, 309.000000 
 1, 1500, 259.000000 
 1, 1600, 281.000000 
 1, 1700, 248.000000 
 1, 1800, 0.000000 
 1, 1900, 140.000000 
 1, 2000, 27.000000 
 1, 2100, 22.000000 
 1, 2200, 0.000000 
 1, 2300, 163.000000 
 2, 0000, 145.000000 
 2, 0100, 156.000000 
 2, 0200, 177.000000 
 2, 0300, 262.000000 
 2, 0400, 282.000000 
 2, 0500, 338.000000 
 2, 0600, 288.000000 
 2, 0700, 360.000000 
 2, 0800, 330.000000 
 2, 0900, 353.000000 
 2, 1000, 45.000000 
 2, 1100, 326.000000 
 2, 1200, 27.000000 
 2, 1300, 67.000000 
 2, 1400, 0.000000 
 2, 1500, 0.000000 
 2, 1600, 0.000000 
 2, 1700, 276.000000 
 2, 1800, 217.000000 
 2, 1900, 0.000000 
 2, 2000, 210.000000 
 2, 2100, 0.000000 
 2, 2200, 166.000000 
 2, 2300, 264.000000 
 3, 0000, 262.000000 
 3, 0100, 321.000000 
 3, 0200, 8.000000 
 3, 0300, 188.000000 
 3, 0400, 141.000000 
 3, 0500, 160.000000 
 3, 0600, 234.000000 
 3, 0700, 295.000000 
 3, 0800, 243.000000 
 3, 0900, 282.000000 
 3, 1000, 293.000000 
 3, 1100, 315.000000 
 3, 1200, 302.000000 
 3, 1300, 289.000000 
 3, 1400, 305.000000 
 3, 1500, 297.000000 
 3, 1600, 286.000000 
 3, 1700, 324.000000 
 3, 1800, 285.000000 
 3, 1900, 323.000000 
 3, 2000, 310.000000 
 3, 2100, 348.000000 
 3, 2200, 317.000000 
 3, 2300, 293.000000 
 4, 0000, 302.000000 
 4, 0100, 288.000000 
 4, 0200, 310.000000 
 4, 0300, 300.000000 
 4, 0400, 285.000000 
 4, 0500, 294.000000 
 4, 0600, 277.000000 
 4, 0700, 278.000000 
 4, 0800, 283.000000 
 4, 0900, 293.000000 
 4, 1000, 323.000000 
 4, 1100, 281.000000 
 4, 1200, 275.000000 
 4, 1300, 283.000000 
 4, 1400, 317.000000 
 4, 1500, 324.000000 
 4, 1600, 276.000000 
 4, 1700, 286.000000 
 4, 1800, 263.000000 
 4, 1900, 264.000000 
 4, 2000, 254.000000 
 4, 2100, 169.000000 
 4, 2200, 0.000000 
 4, 2300, 162.000000 
 5, 0000, 0.000000 
 5, 0100, 257.000000 
 5, 0200, 267.000000 
 5, 0300, 270.000000 
 5, 0400, 277.000000 
 5, 0500, 270.000000 
 5, 0600, 320.000000 
 5, 0700, 300.000000 
 5, 0800, 294.000000 
 5, 0900, 282.000000 
 5, 1000, 283.000000 
 5, 1100, 0.000000 
 5, 1200, 309.000000 
 5, 1300, 263.000000 
 5, 1400, 278.000000 
 5, 1500, 180.000000 
 5, 1600, 0.000000 
 5, 1700, 143.000000 
 5, 1800, 328.000000 
 5, 1900, 0.000000 
 5, 2000, 329.000000 
 5, 2100, 0.000000 
 5, 2200, 270.000000 
 5, 2300, 0.000000 
 6, 0000, 301.000000 
 6, 0100, 288.000000 
 6, 0200, 243.000000 
 6, 0300, 333.000000 
 6, 0400, 281.000000 
 6, 0500, 270.000000 
 6, 0600, 288.000000 
 6, 0700, 304.000000 
 6, 0800, 295.000000 
 6, 0900, 309.000000 
 6, 1000, 325.000000 
 6, 1100, 324.000000 
 6, 1200, 270.000000 
 6, 1300, 263.000000 
 6, 1400, 259.000000 
 6, 1500, 180.000000 
 6, 1600, 0.000000 
 6, 1700, 0.000000 
 6, 1800, 0.000000 
 6, 1900, 0.000000 
 6, 2000, 0.000000 
 6, 2100, 0.000000 
 6, 2200, 0.000000 
 6, 2300, 0.000000 
 7, 0000, 0.000000 
 7, 0100, 338.000000 
 7, 0200, 344.000000 
 7, 0300, 180.000000 
 7, 0400, 157.000000 
 7, 0500, 148.000000 
 7, 0600, 333.000000 
 7, 0700, 311.000000 
 7, 0800, 323.000000 
 7, 0900, 281.000000 
 7, 1000, 342.000000 
 7, 1100, 0.000000 
 7, 1200, 0.000000 
 7, 1300, 159.000000 
 7, 1400, 333.000000 
 7, 1500, 0.000000 
 7, 1600, 337.000000 
 7, 1700, 0.000000 
 7, 1800, 353.000000 
 7, 1900, 338.000000 
 7, 2000, 0.000000 
 7, 2100, 342.000000 
 7, 2200, 0.000000 
 7, 2300, 323.000000 
 8, 0000, 0.000000 
 8, 0100, 281.000000 
 8, 0200, 349.000000 
 8, 0300, 231.000000 
 8, 0400, 311.000000 
 8, 0500, 270.000000 
 8, 0600, 334.000000 
 8, 0700, 329.000000 
 8, 0800, 302.000000 
 8, 0900, 294.000000 
 8, 1000, 306.000000 
 8, 1100, 300.000000 
 8, 1200, 270.000000 
 8, 1300, 0.000000 
 8, 1400, 0.000000 
 8, 1500, 0.000000 
 8, 1600, 180.000000 
 8, 1700, 180.000000 
 8, 1800, 172.000000 
 8, 1900, 0.000000 
 8, 2000, 0.000000 
 8, 2100, 0.000000 
 8, 2200, 0.000000 
 8, 2300, 270.000000 
 9, 0000, 0.000000 
 9, 0100, 333.000000 
 9, 0200, 320.000000 
 9, 0300, 304.000000 
 9, 0400, 4.000000 
 9, 0500, 39.000000 
 9, 0600, 243.000000 
 9, 0700, 225.000000 
 9, 0800, 270.000000 
 9, 0900, 270.000000 
 9, 1000, 288.000000 
 9, 1100, 333.000000 
 9, 1200, 0.000000 
 9, 1300, 0.000000 
 9, 1400, 0.000000 
