 format: day,hour,value location:68_105 Start : 20170101 
 1, 0000, 207.000000 
 1, 0100, 45.000000 
 1, 0200, 11.000000 
 1, 0300, 63.000000 
 1, 0400, 166.000000 
 1, 0500, 160.000000 
 1, 0600, 221.000000 
 1, 0700, 243.000000 
 1, 0800, 27.000000 
 1, 0900, 45.000000 
 1, 1000, 45.000000 
 1, 1100, 18.000000 
 1, 1200, 352.000000 
 1, 1300, 315.000000 
 1, 1400, 45.000000 
 1, 1500, 124.000000 
 1, 1600, 18.000000 
 1, 1700, 180.000000 
 1, 1800, 304.000000 
 1, 1900, 360.000000 
 1, 2000, 315.000000 
 1, 2100, 284.000000 
 1, 2200, 207.000000 
 1, 2300, 90.000000 
 2, 0000, 207.000000 
 2, 0100, 217.000000 
 2, 0200, 196.000000 
 2, 0300, 174.000000 
 2, 0400, 198.000000 
 2, 0500, 198.000000 
 2, 0600, 240.000000 
 2, 0700, 225.000000 
 2, 0800, 233.000000 
 2, 0900, 246.000000 
 2, 1000, 309.000000 
 2, 1100, 333.000000 
 2, 1200, 309.000000 
 2, 1300, 278.000000 
 2, 1400, 286.000000 
 2, 1500, 253.000000 
 2, 1600, 297.000000 
 2, 1700, 326.000000 
 2, 1800, 297.000000 
 2, 1900, 281.000000 
 2, 2000, 259.000000 
 2, 2100, 252.000000 
 2, 2200, 243.000000 
 2, 2300, 225.000000 
 3, 0000, 135.000000 
 3, 0100, 180.000000 
 3, 0200, 198.000000 
 3, 0300, 225.000000 
 3, 0400, 231.000000 
 3, 0500, 195.000000 
 3, 0600, 212.000000 
 3, 0700, 232.000000 
 3, 0800, 245.000000 
 3, 0900, 225.000000 
 3, 1000, 243.000000 
 3, 1100, 252.000000 
 3, 1200, 225.000000 
 3, 1300, 297.000000 
 3, 1400, 270.000000 
 3, 1500, 117.000000 
 3, 1600, 90.000000 
 3, 1700, 360.000000 
 3, 1800, 146.000000 
 3, 1900, 0.000000 
 3, 2000, 27.000000 
 3, 2100, 45.000000 
 3, 2200, 315.000000 
 3, 2300, 18.000000 
 4, 0000, 27.000000 
 4, 0100, 22.000000 
 4, 0200, 0.000000 
 4, 0300, 203.000000 
 4, 0400, 186.000000 
 4, 0500, 270.000000 
 4, 0600, 299.000000 
 4, 0700, 324.000000 
 4, 0800, 302.000000 
 4, 0900, 315.000000 
 4, 1000, 328.000000 
 4, 1100, 335.000000 
 4, 1200, 291.000000 
 4, 1300, 301.000000 
 4, 1400, 315.000000 
 4, 1500, 270.000000 
 4, 1600, 45.000000 
 4, 1700, 360.000000 
 4, 1800, 344.000000 
 4, 1900, 351.000000 
 4, 2000, 360.000000 
 4, 2100, 22.000000 
 4, 2200, 11.000000 
 4, 2300, 360.000000 
 5, 0000, 18.000000 
 5, 0100, 360.000000 
 5, 0200, 39.000000 
 5, 0300, 34.000000 
 5, 0400, 73.000000 
 5, 0500, 94.000000 
 5, 0600, 119.000000 
 5, 0700, 125.000000 
 5, 0800, 121.000000 
 5, 0900, 95.000000 
 5, 1000, 146.000000 
 5, 1100, 144.000000 
 5, 1200, 151.000000 
 5, 1300, 135.000000 
 5, 1400, 131.000000 
 5, 1500, 157.000000 
 5, 1600, 158.000000 
 5, 1700, 34.000000 
 5, 1800, 63.000000 
 5, 1900, 56.000000 
 5, 2000, 90.000000 
 5, 2100, 146.000000 
 5, 2200, 243.000000 
 5, 2300, 8.000000 
 6, 0000, 360.000000 
 6, 0100, 180.000000 
 6, 0200, 153.000000 
 6, 0300, 165.000000 
 6, 0400, 153.000000 
 6, 0500, 163.000000 
 6, 0600, 101.000000 
 6, 0700, 185.000000 
 6, 0800, 248.000000 
 6, 0900, 333.000000 
 6, 1000, 349.000000 
 6, 1100, 0.000000 
 6, 1200, 117.000000 
 6, 1300, 63.000000 
 6, 1400, 18.000000 
 6, 1500, 360.000000 
 6, 1600, 342.000000 
 6, 1700, 18.000000 
 6, 1800, 360.000000 
 6, 1900, 360.000000 
 6, 2000, 360.000000 
 6, 2100, 346.000000 
 6, 2200, 333.000000 
 6, 2300, 315.000000 
 7, 0000, 315.000000 
 7, 0100, 346.000000 
 7, 0200, 320.000000 
 7, 0300, 333.000000 
 7, 0400, 351.000000 
 7, 0500, 342.000000 
 7, 0600, 333.000000 
 7, 0700, 23.000000 
 7, 0800, 21.000000 
 7, 0900, 9.000000 
 7, 1000, 16.000000 
 7, 1100, 13.000000 
 7, 1200, 31.000000 
 7, 1300, 16.000000 
 7, 1400, 342.000000 
 7, 1500, 351.000000 
 7, 1600, 354.000000 
 7, 1700, 22.000000 
 7, 1800, 14.000000 
 7, 1900, 8.000000 
 7, 2000, 360.000000 
 7, 2100, 352.000000 
 7, 2200, 343.000000 
 7, 2300, 344.000000 
 8, 0000, 8.000000 
 8, 0100, 338.000000 
 8, 0200, 10.000000 
 8, 0300, 352.000000 
 8, 0400, 315.000000 
 8, 0500, 243.000000 
 8, 0600, 197.000000 
 8, 0700, 284.000000 
 8, 0800, 315.000000 
 8, 0900, 331.000000 
 8, 1000, 326.000000 
 8, 1100, 305.000000 
 8, 1200, 297.000000 
 8, 1300, 322.000000 
 8, 1400, 328.000000 
 8, 1500, 331.000000 
 8, 1600, 295.000000 
 8, 1700, 304.000000 
 8, 1800, 298.000000 
 8, 1900, 294.000000 
 8, 2000, 300.000000 
 8, 2100, 297.000000 
 8, 2200, 260.000000 
 8, 2300, 248.000000 
 9, 0000, 214.000000 
 9, 0100, 307.000000 
 9, 0200, 342.000000 
 9, 0300, 297.000000 
 9, 0400, 328.000000 
 9, 0500, 308.000000 
 9, 0600, 311.000000 
 9, 0700, 315.000000 
 9, 0800, 335.000000 
 9, 0900, 293.000000 
 9, 1000, 339.000000 
 9, 1100, 311.000000 
 9, 1200, 302.000000 
 9, 1300, 307.000000 
 9, 1400, 256.000000 
 9, 1500, 292.000000 
 9, 1600, 307.000000 
 9, 1700, 307.000000 
 9, 1800, 284.000000 
 9, 1900, 292.000000 
 9, 2000, 340.000000 
 9, 2100, 304.000000 
 9, 2200, 326.000000 
 9, 2300, 333.000000 
 10, 0000, 135.000000 
 10, 0100, 360.000000 
 10, 0200, 326.000000 
 10, 0300, 333.000000 
 10, 0400, 279.000000 
 10, 0500, 355.000000 
 10, 0600, 7.000000 
 10, 0700, 331.000000 
 10, 0800, 312.000000 
 10, 0900, 304.000000 
 10, 1000, 342.000000 
 10, 1100, 332.000000 
 10, 1200, 329.000000 
 10, 1300, 312.000000 
 10, 1400, 308.000000 
 10, 1500, 331.000000 
 10, 1600, 327.000000 
 10, 1700, 347.000000 
 10, 1800, 6.000000 
 10, 1900, 336.000000 
 10, 2000, 304.000000 
 10, 2100, 294.000000 
 10, 2200, 270.000000 
 10, 2300, 180.000000 
 11, 0000, 124.000000 
 11, 0100, 135.000000 
 11, 0200, 97.000000 
 11, 0300, 132.000000 
 11, 0400, 262.000000 
 11, 0500, 264.000000 
 11, 0600, 249.000000 
 11, 0700, 219.000000 
 11, 0800, 220.000000 
 11, 0900, 220.000000 
 11, 1000, 254.000000 
 11, 1100, 248.000000 
 11, 1200, 234.000000 
 11, 1300, 270.000000 
 11, 1400, 211.000000 
 11, 1500, 191.000000 
 11, 1600, 270.000000 
 11, 1700, 198.000000 
 11, 1800, 270.000000 
 11, 1900, 166.000000 
