 format: day,hour,value location:69_106 Start : 20120101 
 1, 0000, 0.000000 
 1, 0100, 351.000000 
 1, 0200, 315.000000 
 1, 0300, 42.000000 
 1, 0400, 0.000000 
 1, 0500, 30.000000 
 1, 0600, 348.000000 
 1, 0700, 14.000000 
 1, 0800, 360.000000 
 1, 0900, 0.000000 
 1, 1000, 41.000000 
 1, 1100, 17.000000 
 1, 1200, 328.000000 
 1, 1300, 319.000000 
 1, 1400, 336.000000 
 1, 1500, 337.000000 
 1, 1600, 347.000000 
 1, 1700, 288.000000 
 1, 1800, 315.000000 
 1, 1900, 0.000000 
 1, 2000, 5.000000 
 1, 2100, 32.000000 
 1, 2200, 72.000000 
 1, 2300, 104.000000 
 2, 0000, 0.000000 
 2, 0100, 239.000000 
 2, 0200, 218.000000 
 2, 0300, 0.000000 
 2, 0400, 343.000000 
 2, 0500, 23.000000 
 2, 0600, 322.000000 
 2, 0700, 338.000000 
 2, 0800, 326.000000 
 2, 0900, 347.000000 
 2, 1000, 37.000000 
 2, 1100, 21.000000 
 2, 1200, 360.000000 
 2, 1300, 31.000000 
 2, 1400, 9.000000 
 2, 1500, 99.000000 
 2, 1600, 360.000000 
 2, 1700, 322.000000 
 2, 1800, 270.000000 
 2, 1900, 45.000000 
 2, 2000, 353.000000 
 2, 2100, 18.000000 
 2, 2200, 0.000000 
 2, 2300, 321.000000 
 3, 0000, 323.000000 
 3, 0100, 321.000000 
 3, 0200, 315.000000 
 3, 0300, 203.000000 
 3, 0400, 173.000000 
 3, 0500, 230.000000 
 3, 0600, 203.000000 
 3, 0700, 253.000000 
 3, 0800, 225.000000 
 3, 0900, 315.000000 
 3, 1000, 4.000000 
 3, 1100, 54.000000 
 3, 1200, 35.000000 
 3, 1300, 360.000000 
 3, 1400, 14.000000 
 3, 1500, 333.000000 
 3, 1600, 342.000000 
 3, 1700, 349.000000 
 3, 1800, 333.000000 
 3, 1900, 270.000000 
 3, 2000, 0.000000 
 3, 2100, 26.000000 
 3, 2200, 328.000000 
 3, 2300, 315.000000 
 4, 0000, 4.000000 
 4, 0100, 11.000000 
 4, 0200, 3.000000 
 4, 0300, 11.000000 
 4, 0400, 340.000000 
 4, 0500, 342.000000 
 4, 0600, 326.000000 
 4, 0700, 333.000000 
 4, 0800, 343.000000 
 4, 0900, 14.000000 
 4, 1000, 335.000000 
 4, 1100, 328.000000 
 4, 1200, 349.000000 
 4, 1300, 354.000000 
 4, 1400, 352.000000 
 4, 1500, 23.000000 
 4, 1600, 338.000000 
 4, 1700, 329.000000 
 4, 1800, 8.000000 
 4, 1900, 307.000000 
 4, 2000, 360.000000 
 4, 2100, 23.000000 
 4, 2200, 45.000000 
 4, 2300, 56.000000 
 5, 0000, 337.000000 
 5, 0100, 252.000000 
 5, 0200, 270.000000 
 5, 0300, 340.000000 
 5, 0400, 252.000000 
 5, 0500, 302.000000 
 5, 0600, 356.000000 
 5, 0700, 344.000000 
 5, 0800, 349.000000 
 5, 0900, 327.000000 
 5, 1000, 333.000000 
 5, 1100, 326.000000 
 5, 1200, 360.000000 
 5, 1300, 333.000000 
 5, 1400, 336.000000 
 5, 1500, 354.000000 
 5, 1600, 353.000000 
 5, 1700, 0.000000 
 5, 1800, 22.000000 
 5, 1900, 68.000000 
 5, 2000, 51.000000 
 5, 2100, 0.000000 
 5, 2200, 0.000000 
 5, 2300, 0.000000 
 6, 0000, 310.000000 
 6, 0100, 315.000000 
 6, 0200, 315.000000 
 6, 0300, 350.000000 
 6, 0400, 338.000000 
 6, 0500, 360.000000 
 6, 0600, 315.000000 
 6, 0700, 351.000000 
 6, 0800, 13.000000 
 6, 0900, 351.000000 
 6, 1000, 344.000000 
 6, 1100, 344.000000 
 6, 1200, 352.000000 
 6, 1300, 323.000000 
 6, 1400, 315.000000 
 6, 1500, 338.000000 
 6, 1600, 352.000000 
 6, 1700, 360.000000 
 6, 1800, 18.000000 
 6, 1900, 339.000000 
 6, 2000, 315.000000 
 6, 2100, 349.000000 
 6, 2200, 11.000000 
 6, 2300, 8.000000 
 7, 0000, 351.000000 
 7, 0100, 349.000000 
 7, 0200, 337.000000 
 7, 0300, 0.000000 
 7, 0400, 0.000000 
 7, 0500, 0.000000 
 7, 0600, 333.000000 
 7, 0700, 312.000000 
 7, 0800, 307.000000 
 7, 0900, 187.000000 
 7, 1000, 14.000000 
 7, 1100, 0.000000 
 7, 1200, 18.000000 
 7, 1300, 37.000000 
 7, 1400, 338.000000 
 7, 1500, 301.000000 
 7, 1600, 337.000000 
 7, 1700, 11.000000 
 7, 1800, 6.000000 
 7, 1900, 360.000000 
 7, 2000, 354.000000 
 7, 2100, 360.000000 
 7, 2200, 0.000000 
 7, 2300, 0.000000 
 8, 0000, 0.000000 
 8, 0100, 0.000000 
 8, 0200, 352.000000 
 8, 0300, 214.000000 
 8, 0400, 292.000000 
 8, 0500, 315.000000 
 8, 0600, 10.000000 
 8, 0700, 357.000000 
 8, 0800, 349.000000 
 8, 0900, 350.000000 
 8, 1000, 330.000000 
 8, 1100, 331.000000 
 8, 1200, 328.000000 
 8, 1300, 320.000000 
 8, 1400, 328.000000 
 8, 1500, 0.000000 
 8, 1600, 18.000000 
 8, 1700, 349.000000 
 8, 1800, 360.000000 
 8, 1900, 27.000000 
 8, 2000, 45.000000 
 8, 2100, 0.000000 
 8, 2200, 0.000000 
 8, 2300, 0.000000 
 9, 0000, 0.000000 
 9, 0100, 333.000000 
 9, 0200, 343.000000 
 9, 0300, 343.000000 
 9, 0400, 18.000000 
 9, 0500, 0.000000 
 9, 0600, 283.000000 
 9, 0700, 259.000000 
 9, 0800, 292.000000 
 9, 0900, 347.000000 
 9, 1000, 323.000000 
 9, 1100, 338.000000 
 9, 1200, 0.000000 
 9, 1300, 360.000000 
 9, 1400, 9.000000 
