 format: day,hour,value location:69_104 Start : 20210101 
 1, 0000, 184.000000 
 1, 0100, 249.000000 
 1, 0200, 47.000000 
 1, 0300, 0.000000 
 1, 0400, 295.000000 
 1, 0500, 313.000000 
 1, 0600, 172.000000 
 1, 0700, 301.000000 
 1, 0800, 0.000000 
 1, 0900, 348.000000 
 1, 1000, 272.000000 
 1, 1100, 89.000000 
 1, 1200, 66.000000 
 1, 1300, 350.000000 
 1, 1400, 72.000000 
 1, 1500, 100.000000 
 1, 1600, 51.000000 
 1, 1700, 103.000000 
 1, 1800, 57.000000 
 1, 1900, 46.000000 
 1, 2000, 74.000000 
 1, 2100, 110.000000 
 1, 2200, 42.000000 
 1, 2300, 46.000000 
 2, 0000, 72.000000 
 2, 0100, 161.000000 
 2, 0200, 306.000000 
 2, 0300, 302.000000 
 2, 0400, 310.000000 
 2, 0500, 313.000000 
 2, 0600, 297.000000 
 2, 0700, 302.000000 
 2, 0800, 294.000000 
 2, 0900, 296.000000 
 2, 1000, 173.000000 
 2, 1100, 90.000000 
 2, 1200, 73.000000 
 2, 1300, 89.000000 
 2, 1400, 49.000000 
 2, 1500, 82.000000 
 2, 1600, 88.000000 
 2, 1700, 75.000000 
 2, 1800, 49.000000 
 2, 1900, 84.000000 
 2, 2000, 54.000000 
 2, 2100, 98.000000 
 2, 2200, 76.000000 
 2, 2300, 106.000000 
 3, 0000, 91.000000 
 3, 0100, 229.000000 
 3, 0200, 153.000000 
 3, 0300, 277.000000 
 3, 0400, 314.000000 
 3, 0500, 334.000000 
 3, 0600, 160.000000 
 3, 0700, 175.000000 
 3, 0800, 170.000000 
 3, 0900, 94.000000 
 3, 1000, 58.000000 
 3, 1100, 74.000000 
 3, 1200, 65.000000 
 3, 1300, 85.000000 
 3, 1400, 90.000000 
 3, 1500, 76.000000 
 3, 1600, 133.000000 
 3, 1700, 112.000000 
 3, 1800, 108.000000 
 3, 1900, 111.000000 
 3, 2000, 109.000000 
 3, 2100, 207.000000 
 3, 2200, 134.000000 
 3, 2300, 285.000000 
 4, 0000, 302.000000 
 4, 0100, 151.000000 
 4, 0200, 51.000000 
 4, 0300, 277.000000 
 4, 0400, 299.000000 
 4, 0500, 216.000000 
 4, 0600, 269.000000 
 4, 0700, 44.000000 
 4, 0800, 240.000000 
 4, 0900, 201.000000 
 4, 1000, 94.000000 
 4, 1100, 65.000000 
 4, 1200, 85.000000 
 4, 1300, 204.000000 
 4, 1400, 65.000000 
 4, 1500, 326.000000 
 4, 1600, 238.000000 
 4, 1700, 303.000000 
 4, 1800, 303.000000 
 4, 1900, 320.000000 
 4, 2000, 356.000000 
 4, 2100, 297.000000 
 4, 2200, 318.000000 
 4, 2300, 66.000000 
 5, 0000, 293.000000 
 5, 0100, 328.000000 
 5, 0200, 314.000000 
 5, 0300, 302.000000 
 5, 0400, 296.000000 
 5, 0500, 334.000000 
 5, 0600, 324.000000 
 5, 0700, 296.000000 
 5, 0800, 300.000000 
 5, 0900, 345.000000 
 5, 1000, 205.000000 
 5, 1100, 181.000000 
 5, 1200, 67.000000 
 5, 1300, 73.000000 
 5, 1400, 62.000000 
 5, 1500, 65.000000 
 5, 1600, 75.000000 
 5, 1700, 63.000000 
 5, 1800, 70.000000 
 5, 1900, 104.000000 
 5, 2000, 133.000000 
 5, 2100, 68.000000 
 5, 2200, 114.000000 
 5, 2300, 122.000000 
 6, 0000, 81.000000 
 6, 0100, 293.000000 
 6, 0200, 321.000000 
 6, 0300, 343.000000 
 6, 0400, 23.000000 
 6, 0500, 264.000000 
 6, 0600, 278.000000 
 6, 0700, 98.000000 
 6, 0800, 91.000000 
 6, 0900, 151.000000 
 6, 1000, 107.000000 
 6, 1100, 209.000000 
 6, 1200, 219.000000 
