 format: day,hour,value location:72_107 Start : 20130101 
 1, 0000, 315.000000 
 1, 0100, 141.000000 
 1, 0200, 166.000000 
 1, 0300, 155.000000 
 1, 0400, 139.000000 
 1, 0500, 182.000000 
 1, 0600, 286.000000 
 1, 0700, 348.000000 
 1, 0800, 337.000000 
 1, 0900, 135.000000 
 1, 1000, 12.000000 
 1, 1100, -1.000000 
 1, 1200, -1.000000 
 1, 1300, -1.000000 
 1, 1400, 0.000000 
 1, 1500, 334.000000 
 1, 1600, 14.000000 
 1, 1700, 314.000000 
 1, 1800, 300.000000 
 1, 1900, 294.000000 
 1, 2000, 303.000000 
 1, 2100, 292.000000 
 1, 2200, 276.000000 
 1, 2300, 26.000000 
 2, 0000, 356.000000 
 2, 0100, 346.000000 
 2, 0200, 338.000000 
 2, 0300, 338.000000 
 2, 0400, 349.000000 
 2, 0500, 314.000000 
 2, 0600, 328.000000 
 2, 0700, 300.000000 
 2, 0800, 325.000000 
 2, 0900, 270.000000 
 2, 1000, 9.000000 
 2, 1100, -1.000000 
 2, 1200, -1.000000 
 2, 1300, -1.000000 
 2, 1400, 0.000000 
 2, 1500, 324.000000 
 2, 1600, 11.000000 
 2, 1700, 308.000000 
 2, 1800, 356.000000 
 2, 1900, 32.000000 
 2, 2000, 342.000000 
 2, 2100, 360.000000 
 2, 2200, 36.000000 
 2, 2300, 324.000000 
 3, 0000, 345.000000 
 3, 0100, 120.000000 
 3, 0200, 30.000000 
 3, 0300, 343.000000 
 3, 0400, 315.000000 
 3, 0500, 309.000000 
 3, 0600, 300.000000 
 3, 0700, 307.000000 
 3, 0800, 322.000000 
 3, 0900, 356.000000 
 3, 1000, 4.000000 
 3, 1100, -1.000000 
 3, 1200, -1.000000 
 3, 1300, -1.000000 
 3, 1400, 331.000000 
 3, 1500, 0.000000 
 3, 1600, 339.000000 
 3, 1700, 330.000000 
 3, 1800, 0.000000 
 3, 1900, 339.000000 
 3, 2000, 348.000000 
 3, 2100, 340.000000 
 3, 2200, 0.000000 
 3, 2300, 360.000000 
