 format: day,hour,value location:70_109 Start : 20220101 
 1, 0000, 240.000000 
 1, 0100, 224.000000 
 1, 0200, 196.000000 
 1, 0300, 152.000000 
 1, 0400, 175.000000 
 1, 0500, 239.000000 
 1, 0600, 287.000000 
 1, 0700, 307.000000 
 1, 0800, 16.000000 
 1, 0900, 325.000000 
 1, 1000, 42.000000 
 1, 1100, 307.000000 
 1, 1200, 10.000000 
 1, 1300, 35.000000 
 1, 1400, 0.000000 
 1, 1500, 0.000000 
 1, 1600, 353.000000 
 1, 1700, 354.000000 
 1, 1800, 10.000000 
 1, 1900, 112.000000 
 1, 2000, 205.000000 
 1, 2100, 11.000000 
 1, 2200, 0.000000 
 1, 2300, 200.000000 
 2, 0000, 198.000000 
 2, 0100, 257.000000 
 2, 0200, 222.000000 
 2, 0300, 242.000000 
 2, 0400, 304.000000 
 2, 0500, 270.000000 
 2, 0600, 264.000000 
 2, 0700, 259.000000 
 2, 0800, 212.000000 
 2, 0900, 48.000000 
 2, 1000, 34.000000 
 2, 1100, 284.000000 
 2, 1200, 288.000000 
 2, 1300, 63.000000 
 2, 1400, 304.000000 
 2, 1500, 28.000000 
 2, 1600, 0.000000 
 2, 1700, 63.000000 
 2, 1800, 0.000000 
 2, 1900, 51.000000 
 2, 2000, 0.000000 
 2, 2100, 46.000000 
 2, 2200, 175.000000 
 2, 2300, 216.000000 
 3, 0000, 194.000000 
 3, 0100, 192.000000 
 3, 0200, 226.000000 
 3, 0300, 165.000000 
 3, 0400, 278.000000 
 3, 0500, 308.000000 
 3, 0600, 304.000000 
 3, 0700, 308.000000 
 3, 0800, 302.000000 
 3, 0900, 0.000000 
 3, 1000, 43.000000 
 3, 1100, 0.000000 
 3, 1200, 357.000000 
 3, 1300, 264.000000 
 3, 1400, 156.000000 
 3, 1500, 34.000000 
 3, 1600, 293.000000 
 3, 1700, 243.000000 
 3, 1800, 288.000000 
 3, 1900, 267.000000 
 3, 2000, 292.000000 
 3, 2100, 163.000000 
 3, 2200, 142.000000 
 3, 2300, 221.000000 
 4, 0000, 238.000000 
 4, 0100, 220.000000 
 4, 0200, 210.000000 
 4, 0300, 332.000000 
 4, 0400, 310.000000 
 4, 0500, 301.000000 
