 format: day,hour,value location:69_106 Start : 20110101 
 1, 0000, 355.000000 
 1, 0100, 310.000000 
 1, 0200, 350.000000 
 1, 0300, 329.000000 
 1, 0400, 339.000000 
 1, 0500, 351.000000 
 1, 0600, 351.000000 
 1, 0700, 360.000000 
 1, 0800, 307.000000 
 1, 0900, 330.000000 
 1, 1000, 323.000000 
 1, 1100, 281.000000 
 1, 1200, 315.000000 
 1, 1300, 333.000000 
 1, 1400, 342.000000 
 1, 1500, 0.000000 
 1, 1600, 0.000000 
 1, 1700, 0.000000 
 1, 1800, 351.000000 
 1, 1900, 4.000000 
 1, 2000, 356.000000 
 1, 2100, 349.000000 
 1, 2200, 329.000000 
 1, 2300, 315.000000 
 2, 0000, 259.000000 
 2, 0100, 252.000000 
 2, 0200, 323.000000 
 2, 0300, 345.000000 
 2, 0400, 27.000000 
 2, 0500, 348.000000 
 2, 0600, 342.000000 
 2, 0700, 333.000000 
 2, 0800, 337.000000 
 2, 0900, 346.000000 
 2, 1000, 16.000000 
 2, 1100, 6.000000 
 2, 1200, 337.000000 
 2, 1300, 340.000000 
 2, 1400, 297.000000 
 2, 1500, 354.000000 
 2, 1600, 355.000000 
 2, 1700, 350.000000 
 2, 1800, 0.000000 
 2, 1900, 0.000000 
 2, 2000, 326.000000 
 2, 2100, 286.000000 
 2, 2200, 288.000000 
 2, 2300, 0.000000 
 3, 0000, 344.000000 
 3, 0100, 346.000000 
 3, 0200, 283.000000 
 3, 0300, 360.000000 
 3, 0400, 278.000000 
 3, 0500, 318.000000 
 3, 0600, 325.000000 
 3, 0700, 301.000000 
 3, 0800, 297.000000 
 3, 0900, 354.000000 
 3, 1000, 0.000000 
 3, 1100, 0.000000 
 3, 1200, 0.000000 
 3, 1300, 278.000000 
 3, 1400, 0.000000 
 3, 1500, 0.000000 
 3, 1600, 346.000000 
 3, 1700, 360.000000 
 3, 1800, 0.000000 
 3, 1900, 360.000000 
 3, 2000, 0.000000 
 3, 2100, 330.000000 
 3, 2200, 0.000000 
 3, 2300, 337.000000 
 4, 0000, 0.000000 
 4, 0100, 0.000000 
 4, 0200, 345.000000 
 4, 0300, 351.000000 
 4, 0400, 8.000000 
 4, 0500, 76.000000 
 4, 0600, 6.000000 
 4, 0700, 0.000000 
 4, 0800, 248.000000 
 4, 0900, 315.000000 
 4, 1000, 236.000000 
 4, 1100, 0.000000 
 4, 1200, 292.000000 
 4, 1300, 319.000000 
 4, 1400, 0.000000 
 4, 1500, 270.000000 
 4, 1600, 301.000000 
 4, 1700, 0.000000 
 4, 1800, 0.000000 
 4, 1900, 342.000000 
 4, 2000, 69.000000 
 4, 2100, 252.000000 
 4, 2200, 38.000000 
 4, 2300, 307.000000 
 5, 0000, 330.000000 
 5, 0100, 24.000000 
 5, 0200, 326.000000 
 5, 0300, 135.000000 
 5, 0400, 346.000000 
 5, 0500, 342.000000 
 5, 0600, 2.000000 
 5, 0700, 334.000000 
 5, 0800, 347.000000 
 5, 0900, 22.000000 
 5, 1000, 351.000000 
 5, 1100, 312.000000 
 5, 1200, 25.000000 
 5, 1300, 15.000000 
 5, 1400, 305.000000 
 5, 1500, 307.000000 
 5, 1600, 27.000000 
 5, 1700, 9.000000 
 5, 1800, 344.000000 
 5, 1900, 355.000000 
 5, 2000, 351.000000 
 5, 2100, 344.000000 
 5, 2200, 333.000000 
 5, 2300, 0.000000 
 6, 0000, 311.000000 
 6, 0100, 360.000000 
 6, 0200, 349.000000 
 6, 0300, 5.000000 
 6, 0400, 360.000000 
 6, 0500, 29.000000 
 6, 0600, 13.000000 
 6, 0700, 357.000000 
 6, 0800, 348.000000 
 6, 0900, 352.000000 
 6, 1000, 16.000000 
 6, 1100, 352.000000 
 6, 1200, 0.000000 
 6, 1300, 0.000000 
 6, 1400, 0.000000 
 6, 1500, 342.000000 
 6, 1600, 325.000000 
 6, 1700, 326.000000 
 6, 1800, 351.000000 
 6, 1900, 347.000000 
 6, 2000, 351.000000 
 6, 2100, 353.000000 
 6, 2200, 329.000000 
 6, 2300, 309.000000 
 7, 0000, 349.000000 
 7, 0100, 211.000000 
 7, 0200, 207.000000 
 7, 0300, 329.000000 
 7, 0400, 360.000000 
 7, 0500, 349.000000 
 7, 0600, 5.000000 
 7, 0700, 351.000000 
 7, 0800, 346.000000 
 7, 0900, 337.000000 
 7, 1000, 323.000000 
 7, 1100, 8.000000 
 7, 1200, 0.000000 
 7, 1300, 0.000000 
 7, 1400, 54.000000 
 7, 1500, 360.000000 
 7, 1600, 326.000000 
 7, 1700, 0.000000 
 7, 1800, 0.000000 
 7, 1900, 351.000000 
 7, 2000, 51.000000 
 7, 2100, 0.000000 
 7, 2200, 360.000000 
 7, 2300, 59.000000 
 8, 0000, 45.000000 
 8, 0100, 0.000000 
 8, 0200, 175.000000 
 8, 0300, 228.000000 
 8, 0400, 252.000000 
 8, 0500, 225.000000 
 8, 0600, 0.000000 
 8, 0700, 252.000000 
 8, 0800, 283.000000 
 8, 0900, 329.000000 
 8, 1000, 338.000000 
 8, 1100, 349.000000 
 8, 1200, 360.000000 
 8, 1300, 0.000000 
 8, 1400, 286.000000 
 8, 1500, 351.000000 
 8, 1600, 323.000000 
 8, 1700, 0.000000 
 8, 1800, -1.000000 
 8, 1900, 0.000000 
 8, 2000, 14.000000 
 8, 2100, 346.000000 
 8, 2200, 17.000000 
 8, 2300, 333.000000 
 9, 0000, 315.000000 
 9, 0100, 30.000000 
 9, 0200, 360.000000 
 9, 0300, -1.000000 
 9, 0400, 28.000000 
 9, 0500, 15.000000 
 9, 0600, 18.000000 
 9, 0700, 4.000000 
 9, 0800, 14.000000 
 9, 0900, 27.000000 
 9, 1000, 360.000000 
 9, 1100, 346.000000 
 9, 1200, 306.000000 
 9, 1300, 311.000000 
 9, 1400, 349.000000 
 9, 1500, 342.000000 
 9, 1600, 346.000000 
 9, 1700, 340.000000 
 9, 1800, 353.000000 
 9, 1900, 11.000000 
 9, 2000, 360.000000 
 9, 2100, 10.000000 
 9, 2200, 22.000000 
 9, 2300, 0.000000 
 10, 0000, 339.000000 
 10, 0100, 0.000000 
 10, 0200, 14.000000 
 10, 0300, 287.000000 
 10, 0400, 11.000000 
 10, 0500, 357.000000 
 10, 0600, 353.000000 
 10, 0700, 360.000000 
 10, 0800, 349.000000 
 10, 0900, 324.000000 
 10, 1000, 338.000000 
 10, 1100, 340.000000 
 10, 1200, 338.000000 
 10, 1300, 0.000000 
 10, 1400, 0.000000 
 10, 1500, 321.000000 
 10, 1600, 360.000000 
 10, 1700, 53.000000 
 10, 1800, 0.000000 
 10, 1900, 329.000000 
 10, 2000, 342.000000 
 10, 2100, 288.000000 
 10, 2200, 0.000000 
 10, 2300, 0.000000 
 11, 0000, 149.000000 
 11, 0100, 149.000000 
 11, 0200, 104.000000 
 11, 0300, 0.000000 
 11, 0400, 233.000000 
 11, 0500, 262.000000 
 11, 0600, 169.000000 
 11, 0700, 301.000000 
 11, 0800, 209.000000 
 11, 0900, 0.000000 
 11, 1000, 121.000000 
 11, 1100, 0.000000 
 11, 1200, 5.000000 
 11, 1300, 0.000000 
 11, 1400, 342.000000 
 11, 1500, 30.000000 
 11, 1600, 18.000000 
 11, 1700, 29.000000 
 11, 1800, 0.000000 
 11, 1900, 0.000000 
 11, 2000, 0.000000 
 11, 2100, 291.000000 
 11, 2200, 0.000000 
 11, 2300, 349.000000 
 12, 0000, 355.000000 
 12, 0100, 355.000000 
 12, 0200, 355.000000 
 12, 0300, 27.000000 
 12, 0400, 39.000000 
 12, 0500, 6.000000 
 12, 0600, 13.000000 
 12, 0700, 356.000000 
 12, 0800, 360.000000 
 12, 0900, 344.000000 
 12, 1000, 0.000000 
 12, 1100, 0.000000 
 12, 1200, 0.000000 
 12, 1300, 292.000000 
 12, 1400, 307.000000 
 12, 1500, 339.000000 
 12, 1600, 355.000000 
 12, 1700, 0.000000 
 12, 1800, 351.000000 
 12, 1900, 321.000000 
 12, 2000, 326.000000 
 12, 2100, 0.000000 
 12, 2200, 9.000000 
 12, 2300, 27.000000 
 13, 0000, 352.000000 
 13, 0100, 328.000000 
 13, 0200, 340.000000 
 13, 0300, 4.000000 
 13, 0400, 360.000000 
 13, 0500, 14.000000 
 13, 0600, 40.000000 
 13, 0700, 297.000000 
 13, 0800, 319.000000 
 13, 0900, 0.000000 
 13, 1000, 11.000000 
 13, 1100, 360.000000 
 13, 1200, 349.000000 
 13, 1300, 0.000000 
 13, 1400, 360.000000 
 13, 1500, -1.000000 
