 format: day,hour,value location:69_108 Start : 20220101 
 1, 0000, 99.000000 
 1, 0100, 265.000000 
 1, 0200, 88.000000 
 1, 0300, 86.000000 
 1, 0400, 196.000000 
 1, 0500, 130.000000 
 1, 0600, 15.000000 
 1, 0700, 348.000000 
 1, 0800, 206.000000 
 1, 0900, 0.000000 
 1, 1000, 9.000000 
 1, 1100, 21.000000 
 1, 1200, 13.000000 
 1, 1300, 0.000000 
 1, 1400, 65.000000 
 1, 1500, 71.000000 
 1, 1600, 0.000000 
 1, 1700, 0.000000 
 1, 1800, 80.000000 
 1, 1900, 0.000000 
 1, 2000, 191.000000 
 1, 2100, 31.000000 
 1, 2200, 24.000000 
 1, 2300, 237.000000 
 2, 0000, 76.000000 
 2, 0100, 218.000000 
 2, 0200, 217.000000 
 2, 0300, 251.000000 
 2, 0400, 250.000000 
 2, 0500, 256.000000 
 2, 0600, 256.000000 
 2, 0700, 258.000000 
 2, 0800, 277.000000 
 2, 0900, 286.000000 
 2, 1000, 302.000000 
 2, 1100, 134.000000 
 2, 1200, 0.000000 
 2, 1300, 0.000000 
 2, 1400, 27.000000 
 2, 1500, 0.000000 
 2, 1600, 38.000000 
 2, 1700, 71.000000 
 2, 1800, 25.000000 
 2, 1900, 23.000000 
 2, 2000, 0.000000 
 2, 2100, 14.000000 
 2, 2200, 23.000000 
 2, 2300, 0.000000 
 3, 0000, 81.000000 
 3, 0100, 126.000000 
 3, 0200, 122.000000 
 3, 0300, 236.000000 
 3, 0400, 262.000000 
 3, 0500, 257.000000 
 3, 0600, 282.000000 
 3, 0700, 324.000000 
 3, 0800, 0.000000 
 3, 0900, 0.000000 
 3, 1000, 215.000000 
 3, 1100, 0.000000 
 3, 1200, 244.000000 
 3, 1300, 232.000000 
 3, 1400, 243.000000 
 3, 1500, 211.000000 
 3, 1600, 229.000000 
 3, 1700, 258.000000 
 3, 1800, 295.000000 
 3, 1900, 277.000000 
 3, 2000, 266.000000 
 3, 2100, 284.000000 
 3, 2200, 279.000000 
 3, 2300, 273.000000 
 4, 0000, 247.000000 
 4, 0100, 272.000000 
 4, 0200, 251.000000 
 4, 0300, 258.000000 
 4, 0400, 237.000000 
 4, 0500, 322.000000 
 4, 0600, 255.000000 
 4, 0700, 252.000000 
 4, 0800, 262.000000 
 4, 0900, 302.000000 
 4, 1000, 202.000000 
 4, 1100, 161.000000 
 4, 1200, 14.000000 
 4, 1300, 0.000000 
 4, 1400, 20.000000 
 4, 1500, 15.000000 
 4, 1600, 14.000000 
 4, 1700, 17.000000 
 4, 1800, 29.000000 
 4, 1900, 40.000000 
 4, 2000, 77.000000 
 4, 2100, 62.000000 
 4, 2200, 52.000000 
 4, 2300, 29.000000 
 5, 0000, 20.000000 
 5, 0100, 15.000000 
 5, 0200, 14.000000 
 5, 0300, 30.000000 
 5, 0400, 23.000000 
 5, 0500, 31.000000 
 5, 0600, 36.000000 
 5, 0700, 13.000000 
 5, 0800, 359.000000 
 5, 0900, 265.000000 
 5, 1000, 0.000000 
 5, 1100, 0.000000 
 5, 1200, 261.000000 
 5, 1300, 325.000000 
 5, 1400, 352.000000 
 5, 1500, 0.000000 
 5, 1600, 15.000000 
 5, 1700, 40.000000 
 5, 1800, 45.000000 
 5, 1900, 0.000000 
 5, 2000, 196.000000 
 5, 2100, 0.000000 
 5, 2200, 0.000000 
 5, 2300, 79.000000 
 6, 0000, 92.000000 
 6, 0100, 226.000000 
 6, 0200, 259.000000 
 6, 0300, 279.000000 
 6, 0400, 306.000000 
 6, 0500, 306.000000 
 6, 0600, 253.000000 
 6, 0700, 269.000000 
 6, 0800, 292.000000 
 6, 0900, 229.000000 
 6, 1000, 0.000000 
 6, 1100, 0.000000 
 6, 1200, 205.000000 
 6, 1300, 27.000000 
 6, 1400, 10.000000 
 6, 1500, 21.000000 
 6, 1600, 4.000000 
 6, 1700, 43.000000 
 6, 1800, 0.000000 
 6, 1900, 0.000000 
 6, 2000, 37.000000 
 6, 2100, 0.000000 
 6, 2200, 0.000000 
 6, 2300, -1.000000 
 7, 0000, 103.000000 
 7, 0100, 75.000000 
 7, 0200, 231.000000 
 7, 0300, 142.000000 
 7, 0400, 196.000000 
 7, 0500, 311.000000 
 7, 0600, 240.000000 
 7, 0700, 260.000000 
 7, 0800, 304.000000 
 7, 0900, 189.000000 
 7, 1000, 49.000000 
