 format: day,hour,value location:66_106 Start : 20120101 
 1, 0000, 331.000000 
 1, 0100, 330.000000 
 1, 0200, 342.000000 
 1, 0300, 357.000000 
 1, 0400, 302.000000 
 1, 0500, 338.000000 
 1, 0600, 302.000000 
 1, 0700, 304.000000 
 1, 0800, 317.000000 
 1, 0900, 308.000000 
 1, 1000, 360.000000 
 1, 1100, 328.000000 
 1, 1200, 313.000000 
 1, 1300, 329.000000 
 1, 1400, 333.000000 
 1, 1500, 353.000000 
 1, 1600, 45.000000 
 1, 1700, 0.000000 
 1, 1800, 0.000000 
 1, 1900, 360.000000 
 1, 2000, 8.000000 
 1, 2100, 39.000000 
 1, 2200, 0.000000 
 1, 2300, 0.000000 
 2, 0000, 0.000000 
 2, 0100, 149.000000 
 2, 0200, 169.000000 
 2, 0300, 0.000000 
 2, 0400, 34.000000 
 2, 0500, 45.000000 
 2, 0600, 338.000000 
 2, 0700, 0.000000 
 2, 0800, 281.000000 
 2, 0900, 69.000000 
 2, 1000, 29.000000 
 2, 1100, 336.000000 
 2, 1200, 5.000000 
 2, 1300, 0.000000 
 2, 1400, 343.000000 
 2, 1500, 53.000000 
 2, 1600, 27.000000 
 2, 1700, 288.000000 
 2, 1800, 270.000000 
 2, 1900, 90.000000 
 2, 2000, 111.000000 
 2, 2100, 335.000000 
 2, 2200, 328.000000 
 2, 2300, 342.000000 
 3, 0000, 321.000000 
 3, 0100, 37.000000 
 3, 0200, 101.000000 
 3, 0300, 191.000000 
 3, 0400, 132.000000 
 3, 0500, 167.000000 
 3, 0600, 195.000000 
 3, 0700, 297.000000 
 3, 0800, 274.000000 
 3, 0900, 302.000000 
 3, 1000, 310.000000 
 3, 1100, 270.000000 
 3, 1200, 335.000000 
 3, 1300, 330.000000 
 3, 1400, 339.000000 
 3, 1500, 324.000000 
 3, 1600, 321.000000 
 3, 1700, 328.000000 
 3, 1800, 27.000000 
 3, 1900, 0.000000 
 3, 2000, 344.000000 
 3, 2100, 34.000000 
 3, 2200, 335.000000 
 3, 2300, 352.000000 
 4, 0000, 333.000000 
 4, 0100, 322.000000 
 4, 0200, 320.000000 
 4, 0300, 325.000000 
 4, 0400, 312.000000 
 4, 0500, 314.000000 
 4, 0600, 314.000000 
 4, 0700, 320.000000 
 4, 0800, 326.000000 
 4, 0900, 342.000000 
 4, 1000, 335.000000 
 4, 1100, 357.000000 
 4, 1200, 0.000000 
 4, 1300, 321.000000 
 4, 1400, 332.000000 
 4, 1500, 6.000000 
 4, 1600, 326.000000 
 4, 1700, 0.000000 
 4, 1800, 107.000000 
 4, 1900, 360.000000 
 4, 2000, 307.000000 
 4, 2100, 18.000000 
 4, 2200, 40.000000 
 4, 2300, 23.000000 
 5, 0000, 330.000000 
 5, 0100, 283.000000 
 5, 0200, 310.000000 
 5, 0300, 0.000000 
 5, 0400, 6.000000 
 5, 0500, 323.000000 
