 format: day,hour,value location:69_107 Start : 20120101 
 1, 0000, 0.000000 
 1, 0100, 0.000000 
 1, 0200, 0.000000 
 1, 0300, 53.000000 
 1, 0400, 81.000000 
 1, 0500, 81.000000 
 1, 0600, 40.000000 
 1, 0700, 75.000000 
 1, 0800, 69.000000 
 1, 0900, 63.000000 
 1, 1000, 73.000000 
 1, 1100, 79.000000 
 1, 1200, 304.000000 
 1, 1300, 0.000000 
 1, 1400, 0.000000 
 1, 1500, 0.000000 
 1, 1600, 0.000000 
 1, 1700, 0.000000 
 1, 1800, 0.000000 
 1, 1900, 0.000000 
 1, 2000, 18.000000 
 1, 2100, 0.000000 
 1, 2200, 0.000000 
 1, 2300, 0.000000 
 2, 0000, 0.000000 
 2, 0100, 193.000000 
 2, 0200, 173.000000 
 2, 0300, 140.000000 
 2, 0400, 28.000000 
 2, 0500, 41.000000 
 2, 0600, 45.000000 
 2, 0700, 0.000000 
 2, 0800, 0.000000 
 2, 0900, 0.000000 
 2, 1000, 0.000000 
 2, 1100, 0.000000 
 2, 1200, 0.000000 
 2, 1300, 0.000000 
 2, 1400, 0.000000 
 2, 1500, 0.000000 
 2, 1600, 0.000000 
 2, 1700, 0.000000 
 2, 1800, 281.000000 
 2, 1900, 0.000000 
 2, 2000, 0.000000 
 2, 2100, 0.000000 
 2, 2200, 0.000000 
 2, 2300, 0.000000 
 3, 0000, 0.000000 
 3, 0100, 0.000000 
 3, 0200, 0.000000 
 3, 0300, 176.000000 
 3, 0400, 194.000000 
 3, 0500, 188.000000 
 3, 0600, 193.000000 
 3, 0700, 144.000000 
 3, 0800, 0.000000 
 3, 0900, 54.000000 
 3, 1000, 10.000000 
 3, 1100, 56.000000 
 3, 1200, 42.000000 
 3, 1300, 60.000000 
 3, 1400, 30.000000 
 3, 1500, 0.000000 
 3, 1600, 66.000000 
 3, 1700, 22.000000 
 3, 1800, 0.000000 
 3, 1900, 0.000000 
 3, 2000, 81.000000 
 3, 2100, 60.000000 
 3, 2200, 307.000000 
 3, 2300, 0.000000 
 4, 0000, 22.000000 
 4, 0100, 55.000000 
 4, 0200, 42.000000 
 4, 0300, 50.000000 
 4, 0400, 55.000000 
 4, 0500, 94.000000 
 4, 0600, 103.000000 
 4, 0700, 59.000000 
 4, 0800, 16.000000 
 4, 0900, 0.000000 
 4, 1000, 0.000000 
 4, 1100, 0.000000 
 4, 1200, 90.000000 
 4, 1300, 0.000000 
 4, 1400, 0.000000 
 4, 1500, 63.000000 
 4, 1600, 0.000000 
 4, 1700, 0.000000 
 4, 1800, 0.000000 
 4, 1900, 0.000000 
 4, 2000, 0.000000 
 4, 2100, 0.000000 
 4, 2200, 0.000000 
 4, 2300, 0.000000 
 5, 0000, 0.000000 
 5, 0100, 175.000000 
 5, 0200, 149.000000 
 5, 0300, 34.000000 
 5, 0400, 220.000000 
 5, 0500, 117.000000 
 5, 0600, 77.000000 
 5, 0700, 52.000000 
 5, 0800, 67.000000 
 5, 0900, 293.000000 
 5, 1000, 0.000000 
 5, 1100, 0.000000 
 5, 1200, 0.000000 
 5, 1300, 0.000000 
 5, 1400, 0.000000 
 5, 1500, 0.000000 
 5, 1600, 0.000000 
 5, 1700, 0.000000 
 5, 1800, 0.000000 
 5, 1900, 0.000000 
 5, 2000, 0.000000 
 5, 2100, 0.000000 
 5, 2200, 0.000000 
 5, 2300, 0.000000 
 6, 0000, 0.000000 
 6, 0100, 158.000000 
 6, 0200, 108.000000 
 6, 0300, 10.000000 
 6, 0400, 135.000000 
 6, 0500, 57.000000 
 6, 0600, 27.000000 
 6, 0700, 60.000000 
 6, 0800, 72.000000 
 6, 0900, 352.000000 
 6, 1000, 304.000000 
 6, 1100, 300.000000 
 6, 1200, 292.000000 
 6, 1300, 0.000000 
 6, 1400, 0.000000 
 6, 1500, 0.000000 
 6, 1600, 0.000000 
 6, 1700, 0.000000 
 6, 1800, 0.000000 
 6, 1900, 0.000000 
 6, 2000, 0.000000 
 6, 2100, 0.000000 
 6, 2200, 0.000000 
 6, 2300, 0.000000 
 7, 0000, 0.000000 
 7, 0100, 40.000000 
 7, 0200, 34.000000 
 7, 0300, 30.000000 
 7, 0400, 45.000000 
 7, 0500, 27.000000 
 7, 0600, 22.000000 
 7, 0700, 0.000000 
 7, 0800, 292.000000 
 7, 0900, 0.000000 
 7, 1000, 0.000000 
 7, 1100, 0.000000 
 7, 1200, 0.000000 
 7, 1300, 0.000000 
 7, 1400, 0.000000 
 7, 1500, 0.000000 
 7, 1600, 0.000000 
 7, 1700, 0.000000 
 7, 1800, 0.000000 
 7, 1900, 0.000000 
 7, 2000, 0.000000 
 7, 2100, 0.000000 
 7, 2200, 0.000000 
 7, 2300, 0.000000 
 8, 0000, 0.000000 
 8, 0100, 0.000000 
 8, 0200, 36.000000 
 8, 0300, 180.000000 
 8, 0400, 0.000000 
 8, 0500, 53.000000 
 8, 0600, 69.000000 
 8, 0700, 79.000000 
 8, 0800, 63.000000 
 8, 0900, 0.000000 
 8, 1000, 0.000000 
 8, 1100, 0.000000 
 8, 1200, 0.000000 
 8, 1300, 0.000000 
 8, 1400, 0.000000 
 8, 1500, 0.000000 
 8, 1600, 0.000000 
 8, 1700, 0.000000 
 8, 1800, 0.000000 
 8, 1900, 0.000000 
 8, 2000, 0.000000 
 8, 2100, 0.000000 
 8, 2200, 0.000000 
 8, 2300, 0.000000 
 9, 0000, 0.000000 
 9, 0100, 355.000000 
 9, 0200, 41.000000 
 9, 0300, 360.000000 
 9, 0400, 7.000000 
 9, 0500, 83.000000 
 9, 0600, 53.000000 
 9, 0700, 189.000000 
 9, 0800, 0.000000 
 9, 0900, 0.000000 
 9, 1000, 0.000000 
 9, 1100, 0.000000 
 9, 1200, 0.000000 
 9, 1300, 0.000000 
 9, 1400, 0.000000 
 9, 1500, 0.000000 
 9, 1600, 0.000000 
 9, 1700, 0.000000 
 9, 1800, 0.000000 
 9, 1900, 360.000000 
 9, 2000, 0.000000 
 9, 2100, 0.000000 
 9, 2200, 286.000000 
 9, 2300, 0.000000 
 10, 0000, 0.000000 
 10, 0100, 41.000000 
 10, 0200, 72.000000 
 10, 0300, 52.000000 
 10, 0400, 164.000000 
 10, 0500, 51.000000 
 10, 0600, 70.000000 
 10, 0700, 66.000000 
 10, 0800, 0.000000 
 10, 0900, 0.000000 
 10, 1000, 0.000000 
 10, 1100, 0.000000 
 10, 1200, 0.000000 
 10, 1300, 0.000000 
 10, 1400, 0.000000 
 10, 1500, 0.000000 
 10, 1600, 0.000000 
 10, 1700, 0.000000 
 10, 1800, 0.000000 
 10, 1900, 0.000000 
 10, 2000, 0.000000 
 10, 2100, 0.000000 
 10, 2200, 0.000000 
 10, 2300, 0.000000 
 11, 0000, 62.000000 
 11, 0100, 65.000000 
 11, 0200, 73.000000 
 11, 0300, 57.000000 
 11, 0400, 95.000000 
 11, 0500, 55.000000 
 11, 0600, 61.000000 
 11, 0700, 69.000000 
 11, 0800, 66.000000 
 11, 0900, 0.000000 
 11, 1000, 323.000000 
 11, 1100, 0.000000 
 11, 1200, 307.000000 
 11, 1300, 0.000000 
 11, 1400, 0.000000 
 11, 1500, 0.000000 
 11, 1600, 0.000000 
 11, 1700, 0.000000 
 11, 1800, 0.000000 
 11, 1900, 0.000000 
 11, 2000, 0.000000 
 11, 2100, 0.000000 
 11, 2200, 0.000000 
 11, 2300, 0.000000 
 12, 0000, 0.000000 
 12, 0100, 180.000000 
 12, 0200, 174.000000 
 12, 0300, 157.000000 
 12, 0400, 151.000000 
 12, 0500, 193.000000 
 12, 0600, 112.000000 
 12, 0700, 135.000000 
 12, 0800, 0.000000 
 12, 0900, 135.000000 
 12, 1000, 164.000000 
 12, 1100, 0.000000 
 12, 1200, 288.000000 
 12, 1300, 0.000000 
 12, 1400, 0.000000 
 12, 1500, 0.000000 
 12, 1600, 229.000000 
 12, 1700, 0.000000 
 12, 1800, 0.000000 
