 format: day,hour,value location:68_103 Start : 20170101 
 1, 0000, 225.000000 
 1, 0100, 135.000000 
 1, 0200, 31.000000 
 1, 0300, 8.000000 
 1, 0400, 180.000000 
 1, 0500, 149.000000 
 1, 0600, 252.000000 
 1, 0700, 243.000000 
 1, 0800, 333.000000 
 1, 0900, 297.000000 
 1, 1000, 225.000000 
 1, 1100, 270.000000 
 1, 1200, 342.000000 
 1, 1300, 225.000000 
 1, 1400, 135.000000 
 1, 1500, 0.000000 
 1, 1600, 360.000000 
 1, 1700, 198.000000 
 1, 1800, 270.000000 
 1, 1900, 270.000000 
 1, 2000, 243.000000 
 1, 2100, 270.000000 
 1, 2200, 207.000000 
 1, 2300, 63.000000 
 2, 0000, 315.000000 
 2, 0100, 225.000000 
 2, 0200, 214.000000 
 2, 0300, 187.000000 
 2, 0400, 207.000000 
 2, 0500, 210.000000 
 2, 0600, 237.000000 
 2, 0700, 219.000000 
 2, 0800, 213.000000 
 2, 0900, 210.000000 
 2, 1000, 284.000000 
 2, 1100, 323.000000 
 2, 1200, 333.000000 
 2, 1300, 270.000000 
 2, 1400, 256.000000 
 2, 1500, 249.000000 
 2, 1600, 324.000000 
 2, 1700, 347.000000 
 2, 1800, 329.000000 
 2, 1900, 315.000000 
 2, 2000, 288.000000 
 2, 2100, 270.000000 
 2, 2200, 243.000000 
 2, 2300, 360.000000 
 3, 0000, 0.000000 
 3, 0100, 90.000000 
 3, 0200, 189.000000 
 3, 0300, 158.000000 
 3, 0400, 221.000000 
 3, 0500, 201.000000 
 3, 0600, 202.000000 
 3, 0700, 225.000000 
 3, 0800, 228.000000 
 3, 0900, 218.000000 
 3, 1000, 211.000000 
 3, 1100, 236.000000 
 3, 1200, 217.000000 
 3, 1300, 256.000000 
 3, 1400, 360.000000 
 3, 1500, 360.000000 
 3, 1600, 18.000000 
 3, 1700, 333.000000 
 3, 1800, 135.000000 
 3, 1900, 360.000000 
 3, 2000, 360.000000 
 3, 2100, 27.000000 
 3, 2200, 333.000000 
 3, 2300, 14.000000 
 4, 0000, 225.000000 
 4, 0100, 45.000000 
 4, 0200, 45.000000 
 4, 0300, 180.000000 
 4, 0400, 225.000000 
 4, 0500, 315.000000 
 4, 0600, 308.000000 
 4, 0700, 343.000000 
 4, 0800, 300.000000 
 4, 0900, 207.000000 
 4, 1000, 342.000000 
 4, 1100, 360.000000 
 4, 1200, 315.000000 
 4, 1300, 45.000000 
 4, 1400, 315.000000 
 4, 1500, 297.000000 
 4, 1600, 346.000000 
 4, 1700, 342.000000 
 4, 1800, 360.000000 
 4, 1900, 346.000000 
 4, 2000, 360.000000 
 4, 2100, 360.000000 
 4, 2200, 11.000000 
 4, 2300, 360.000000 
 5, 0000, 360.000000 
 5, 0100, 360.000000 
 5, 0200, 17.000000 
 5, 0300, 351.000000 
 5, 0400, 102.000000 
 5, 0500, 114.000000 
 5, 0600, 122.000000 
 5, 0700, 126.000000 
 5, 0800, 120.000000 
 5, 0900, 98.000000 
 5, 1000, 143.000000 
 5, 1100, 135.000000 
 5, 1200, 148.000000 
 5, 1300, 130.000000 
 5, 1400, 133.000000 
 5, 1500, 150.000000 
 5, 1600, 139.000000 
 5, 1700, 114.000000 
 5, 1800, 135.000000 
 5, 1900, 113.000000 
 5, 2000, 122.000000 
 5, 2100, 132.000000 
 5, 2200, 120.000000 
 5, 2300, 90.000000 
 6, 0000, 107.000000 
 6, 0100, 156.000000 
 6, 0200, 143.000000 
 6, 0300, 132.000000 
 6, 0400, 122.000000 
 6, 0500, 153.000000 
 6, 0600, 87.000000 
 6, 0700, 193.000000 
 6, 0800, 288.000000 
 6, 0900, 18.000000 
 6, 1000, 45.000000 
 6, 1100, 108.000000 
 6, 1200, 45.000000 
 6, 1300, 360.000000 
 6, 1400, 14.000000 
 6, 1500, 360.000000 
 6, 1600, 342.000000 
 6, 1700, 18.000000 
 6, 1800, 9.000000 
 6, 1900, 360.000000 
 6, 2000, 180.000000 
