 format: day,hour,value location:72_133 Start : 20160101 
 1, 0000, 315.000000 
 1, 0100, 56.000000 
 1, 0200, 166.000000 
 1, 0300, 338.000000 
 1, 0400, 284.000000 
 1, 0500, 180.000000 
 1, 0600, 180.000000 
 1, 0700, 198.000000 
 1, 0800, 188.000000 
 1, 0900, 14.000000 
 1, 1000, 11.000000 
 1, 1100, 360.000000 
 1, 1200, 355.000000 
 1, 1300, 360.000000 
 1, 1400, 27.000000 
 1, 1500, 342.000000 
 1, 1600, 45.000000 
 1, 1700, 342.000000 
 1, 1800, 360.000000 
 1, 1900, 16.000000 
 1, 2000, 360.000000 
 1, 2100, 180.000000 
 1, 2200, 360.000000 
 1, 2300, 135.000000 
 2, 0000, 180.000000 
 2, 0100, 198.000000 
 2, 0200, 315.000000 
 2, 0300, 281.000000 
 2, 0400, 354.000000 
 2, 0500, 338.000000 
 2, 0600, 315.000000 
 2, 0700, 180.000000 
 2, 0800, 214.000000 
 2, 0900, 360.000000 
 2, 1000, 39.000000 
 2, 1100, 7.000000 
 2, 1200, 346.000000 
 2, 1300, 329.000000 
 2, 1400, 270.000000 
 2, 1500, 360.000000 
 2, 1600, 326.000000 
 2, 1700, 0.000000 
 2, 1800, 180.000000 
 2, 1900, 360.000000 
 2, 2000, 333.000000 
 2, 2100, 34.000000 
 2, 2200, 45.000000 
 2, 2300, 108.000000 
 3, 0000, 360.000000 
 3, 0100, 333.000000 
 3, 0200, 18.000000 
 3, 0300, 360.000000 
 3, 0400, 360.000000 
 3, 0500, 225.000000 
 3, 0600, 162.000000 
 3, 0700, 194.000000 
 3, 0800, 90.000000 
 3, 0900, 34.000000 
 3, 1000, 37.000000 
 3, 1100, 63.000000 
 3, 1200, 360.000000 
 3, 1300, 270.000000 
 3, 1400, 360.000000 
 3, 1500, 45.000000 
 3, 1600, 117.000000 
 3, 1700, 135.000000 
 3, 1800, 284.000000 
 3, 1900, 90.000000 
 3, 2000, 117.000000 
 3, 2100, 225.000000 
 3, 2200, 344.000000 
 3, 2300, 7.000000 
 4, 0000, 292.000000 
 4, 0100, 220.000000 
 4, 0200, 212.000000 
 4, 0300, 225.000000 
 4, 0400, 235.000000 
 4, 0500, 232.000000 
 4, 0600, 251.000000 
 4, 0700, 250.000000 
 4, 0800, 287.000000 
 4, 0900, 276.000000 
 4, 1000, 315.000000 
 4, 1100, 275.000000 
 4, 1200, 231.000000 
 4, 1300, 207.000000 
 4, 1400, 174.000000 
 4, 1500, 360.000000 
 4, 1600, 34.000000 
 4, 1700, 90.000000 
 4, 1800, 101.000000 
 4, 1900, 143.000000 
 4, 2000, 135.000000 
 4, 2100, 45.000000 
 4, 2200, 27.000000 
 4, 2300, 90.000000 
 5, 0000, 158.000000 
 5, 0100, 158.000000 
 5, 0200, 225.000000 
 5, 0300, 209.000000 
 5, 0400, 221.000000 
 5, 0500, 239.000000 
 5, 0600, 259.000000 
 5, 0700, 256.000000 
 5, 0800, 240.000000 
 5, 0900, 283.000000 
 5, 1000, 270.000000 
 5, 1100, 135.000000 
 5, 1200, 135.000000 
 5, 1300, 45.000000 
 5, 1400, 360.000000 
 5, 1500, 180.000000 
 5, 1600, 90.000000 
 5, 1700, 56.000000 
 5, 1800, 180.000000 
 5, 1900, 180.000000 
 5, 2000, 360.000000 
 5, 2100, 153.000000 
 5, 2200, 135.000000 
 5, 2300, 360.000000 
 6, 0000, 0.000000 
 6, 0100, 225.000000 
 6, 0200, 180.000000 
 6, 0300, 159.000000 
 6, 0400, 207.000000 
 6, 0500, 249.000000 
 6, 0600, 211.000000 
 6, 0700, 264.000000 
 6, 0800, 195.000000 
 6, 0900, 186.000000 
 6, 1000, 135.000000 
 6, 1100, 146.000000 
 6, 1200, 162.000000 
 6, 1300, 180.000000 
 6, 1400, 180.000000 
 6, 1500, 72.000000 
 6, 1600, 90.000000 
 6, 1700, 90.000000 
 6, 1800, 27.000000 
 6, 1900, 79.000000 
 6, 2000, 262.000000 
 6, 2100, 45.000000 
 6, 2200, 117.000000 
 6, 2300, 225.000000 
 7, 0000, 72.000000 
 7, 0100, 56.000000 
 7, 0200, 207.000000 
 7, 0300, 197.000000 
 7, 0400, 204.000000 
 7, 0500, 233.000000 
 7, 0600, 248.000000 
 7, 0700, 230.000000 
 7, 0800, 260.000000 
 7, 0900, 263.000000 
 7, 1000, 270.000000 
 7, 1100, 228.000000 
 7, 1200, 214.000000 
 7, 1300, 180.000000 
 7, 1400, 360.000000 
 7, 1500, 14.000000 
 7, 1600, 14.000000 
 7, 1700, 11.000000 
 7, 1800, 344.000000 
 7, 1900, 360.000000 
 7, 2000, 27.000000 
 7, 2100, 342.000000 
 7, 2200, 56.000000 
 7, 2300, 360.000000 
 8, 0000, 90.000000 
 8, 0100, 333.000000 
 8, 0200, 149.000000 
 8, 0300, 257.000000 
 8, 0400, 274.000000 
 8, 0500, 281.000000 
 8, 0600, 257.000000 
 8, 0700, 252.000000 
 8, 0800, 252.000000 
 8, 0900, 286.000000 
 8, 1000, 14.000000 
 8, 1100, 63.000000 
 8, 1200, 51.000000 
 8, 1300, 51.000000 
 8, 1400, 18.000000 
 8, 1500, 360.000000 
 8, 1600, 360.000000 
