 format: day,hour,value location:74_131 Start : 20210101 
 1, 0000, 111.000000 
 1, 0100, 90.000000 
 1, 0200, 83.000000 
 1, 0300, 106.000000 
 1, 0400, 88.000000 
 1, 0500, 100.000000 
 1, 0600, 91.000000 
 1, 0700, 108.000000 
 1, 0800, 97.000000 
 1, 0900, 101.000000 
 1, 1000, 120.000000 
 1, 1100, 119.000000 
 1, 1200, 98.000000 
 1, 1300, 86.000000 
 1, 1400, 94.000000 
 1, 1500, 279.000000 
 1, 1600, 222.000000 
 1, 1700, 74.000000 
 1, 1800, 88.000000 
 1, 1900, 99.000000 
 1, 2000, 106.000000 
 1, 2100, 226.000000 
 1, 2200, 98.000000 
 1, 2300, 136.000000 
 2, 0000, 141.000000 
 2, 0100, 263.000000 
 2, 0200, 211.000000 
 2, 0300, 173.000000 
 2, 0400, 4.000000 
 2, 0500, 184.000000 
 2, 0600, 222.000000 
 2, 0700, 257.000000 
 2, 0800, 245.000000 
 2, 0900, 102.000000 
 2, 1000, 157.000000 
 2, 1100, 84.000000 
 2, 1200, 38.000000 
 2, 1300, 269.000000 
 2, 1400, 261.000000 
 2, 1500, 241.000000 
 2, 1600, 241.000000 
 2, 1700, 115.000000 
 2, 1800, 120.000000 
 2, 1900, 273.000000 
 2, 2000, 275.000000 
 2, 2100, 225.000000 
 2, 2200, 242.000000 
 2, 2300, 135.000000 
 3, 0000, 183.000000 
 3, 0100, 31.000000 
 3, 0200, 256.000000 
 3, 0300, 259.000000 
 3, 0400, 265.000000 
 3, 0500, 197.000000 
 3, 0600, 204.000000 
 3, 0700, 256.000000 
 3, 0800, 239.000000 
 3, 0900, 91.000000 
 3, 1000, 224.000000 
 3, 1100, 226.000000 
 3, 1200, 249.000000 
 3, 1300, 102.000000 
 3, 1400, 90.000000 
 3, 1500, 101.000000 
 3, 1600, 84.000000 
 3, 1700, 83.000000 
 3, 1800, 107.000000 
 3, 1900, 0.000000 
 3, 2000, 82.000000 
 3, 2100, 109.000000 
 3, 2200, 116.000000 
 3, 2300, 110.000000 
 4, 0000, 112.000000 
 4, 0100, 111.000000 
 4, 0200, 88.000000 
 4, 0300, 74.000000 
 4, 0400, 68.000000 
 4, 0500, 74.000000 
 4, 0600, 70.000000 
 4, 0700, 107.000000 
 4, 0800, 116.000000 
 4, 0900, 85.000000 
 4, 1000, 102.000000 
 4, 1100, 71.000000 
 4, 1200, 69.000000 
 4, 1300, 68.000000 
 4, 1400, 83.000000 
 4, 1500, 115.000000 
 4, 1600, 67.000000 
 4, 1700, 101.000000 
 4, 1800, 84.000000 
 4, 1900, 114.000000 
 4, 2000, 102.000000 
 4, 2100, 90.000000 
 4, 2200, 116.000000 
 4, 2300, 105.000000 
 5, 0000, 84.000000 
 5, 0100, 104.000000 
 5, 0200, 95.000000 
 5, 0300, 105.000000 
 5, 0400, 98.000000 
 5, 0500, 106.000000 
 5, 0600, 101.000000 
 5, 0700, 114.000000 
 5, 0800, 100.000000 
 5, 0900, 94.000000 
 5, 1000, 89.000000 
 5, 1100, 90.000000 
 5, 1200, 89.000000 
 5, 1300, 95.000000 
 5, 1400, 103.000000 
 5, 1500, 111.000000 
 5, 1600, 116.000000 
 5, 1700, 120.000000 
 5, 1800, 119.000000 
 5, 1900, 72.000000 
 5, 2000, 116.000000 
 5, 2100, 114.000000 
 5, 2200, 112.000000 
 5, 2300, 114.000000 
 6, 0000, 115.000000 
 6, 0100, 109.000000 
 6, 0200, 101.000000 
 6, 0300, 97.000000 
 6, 0400, 111.000000 
 6, 0500, 103.000000 
 6, 0600, 91.000000 
 6, 0700, 106.000000 
 6, 0800, 113.000000 
 6, 0900, 94.000000 
 6, 1000, 106.000000 
 6, 1100, 93.000000 
 6, 1200, 66.000000 
 6, 1300, 102.000000 
 6, 1400, 97.000000 
 6, 1500, 79.000000 
 6, 1600, 89.000000 
 6, 1700, 113.000000 
 6, 1800, 89.000000 
 6, 1900, 110.000000 
 6, 2000, 115.000000 
 6, 2100, 109.000000 
 6, 2200, 103.000000 
 6, 2300, 109.000000 
 7, 0000, 112.000000 
 7, 0100, 105.000000 
 7, 0200, 99.000000 
 7, 0300, 105.000000 
 7, 0400, 100.000000 
 7, 0500, 106.000000 
 7, 0600, 108.000000 
 7, 0700, 104.000000 
 7, 0800, 112.000000 
 7, 0900, 113.000000 
 7, 1000, 94.000000 
 7, 1100, 91.000000 
 7, 1200, 87.000000 
 7, 1300, 95.000000 
 7, 1400, 112.000000 
 7, 1500, 106.000000 
 7, 1600, 113.000000 
 7, 1700, 110.000000 
 7, 1800, 118.000000 
 7, 1900, 114.000000 
 7, 2000, 117.000000 
 7, 2100, 88.000000 
 7, 2200, 109.000000 
 7, 2300, 92.000000 
 8, 0000, 83.000000 
 8, 0100, 106.000000 
 8, 0200, 111.000000 
 8, 0300, 110.000000 
 8, 0400, 111.000000 
 8, 0500, 97.000000 
 8, 0600, 103.000000 
 8, 0700, 113.000000 
 8, 0800, 112.000000 
 8, 0900, 93.000000 
 8, 1000, 109.000000 
 8, 1100, 112.000000 
 8, 1200, 99.000000 
 8, 1300, 113.000000 
 8, 1400, 114.000000 
 8, 1500, 97.000000 
 8, 1600, 96.000000 
 8, 1700, 108.000000 
 8, 1800, 106.000000 
 8, 1900, 113.000000 
 8, 2000, 115.000000 
 8, 2100, 104.000000 
 8, 2200, 96.000000 
 8, 2300, 110.000000 
 9, 0000, 111.000000 
