 format: day,hour,value location:75_136 Start : 20210101 
 1, 0000, 140.000000 
 1, 0100, 137.000000 
 1, 0200, 229.000000 
 1, 0300, 357.000000 
 1, 0400, 242.000000 
 1, 0500, 289.000000 
 1, 0600, 301.000000 
 1, 0700, 322.000000 
 1, 0800, 323.000000 
 1, 0900, 302.000000 
 1, 1000, 302.000000 
 1, 1100, 359.000000 
 1, 1200, 15.000000 
 1, 1300, 315.000000 
 1, 1400, 328.000000 
 1, 1500, 346.000000 
 1, 1600, 307.000000 
 1, 1700, 314.000000 
 1, 1800, 334.000000 
 1, 1900, 317.000000 
 1, 2000, 140.000000 
 1, 2100, 321.000000 
 1, 2200, 341.000000 
 1, 2300, 136.000000 
 2, 0000, 301.000000 
 2, 0100, 264.000000 
 2, 0200, 184.000000 
 2, 0300, 201.000000 
 2, 0400, 321.000000 
 2, 0500, 289.000000 
 2, 0600, 282.000000 
 2, 0700, 344.000000 
 2, 0800, 293.000000 
 2, 0900, 308.000000 
 2, 1000, 325.000000 
 2, 1100, 304.000000 
 2, 1200, 301.000000 
 2, 1300, 322.000000 
 2, 1400, 327.000000 
 2, 1500, 327.000000 
 2, 1600, 309.000000 
 2, 1700, 331.000000 
 2, 1800, 351.000000 
 2, 1900, 320.000000 
 2, 2000, 320.000000 
 2, 2100, 24.000000 
 2, 2200, 338.000000 
 2, 2300, 19.000000 
 3, 0000, 139.000000 
 3, 0100, 238.000000 
 3, 0200, 282.000000 
 3, 0300, 331.000000 
 3, 0400, 304.000000 
 3, 0500, 319.000000 
 3, 0600, 305.000000 
 3, 0700, 334.000000 
 3, 0800, 315.000000 
 3, 0900, 312.000000 
 3, 1000, 305.000000 
 3, 1100, 313.000000 
 3, 1200, 30.000000 
 3, 1300, 328.000000 
 3, 1400, 35.000000 
 3, 1500, 332.000000 
 3, 1600, 312.000000 
 3, 1700, 330.000000 
 3, 1800, 328.000000 
 3, 1900, 352.000000 
 3, 2000, 318.000000 
 3, 2100, 331.000000 
 3, 2200, 300.000000 
 3, 2300, 142.000000 
 4, 0000, 151.000000 
 4, 0100, 145.000000 
 4, 0200, 151.000000 
 4, 0300, 141.000000 
 4, 0400, 134.000000 
 4, 0500, 144.000000 
 4, 0600, 146.000000 
 4, 0700, 128.000000 
 4, 0800, 343.000000 
 4, 0900, 316.000000 
 4, 1000, 162.000000 
 4, 1100, 244.000000 
 4, 1200, 299.000000 
 4, 1300, 315.000000 
 4, 1400, 350.000000 
 4, 1500, 228.000000 
 4, 1600, 331.000000 
 4, 1700, 326.000000 
 4, 1800, 307.000000 
 4, 1900, 336.000000 
 4, 2000, 305.000000 
 4, 2100, 337.000000 
 4, 2200, 312.000000 
 4, 2300, 323.000000 
 5, 0000, 296.000000 
 5, 0100, 292.000000 
 5, 0200, 307.000000 
 5, 0300, 266.000000 
 5, 0400, 321.000000 
 5, 0500, 311.000000 
 5, 0600, 290.000000 
 5, 0700, 312.000000 
 5, 0800, 297.000000 
 5, 0900, 329.000000 
 5, 1000, 338.000000 
 5, 1100, 337.000000 
 5, 1200, 316.000000 
 5, 1300, 335.000000 
 5, 1400, 328.000000 
 5, 1500, 316.000000 
 5, 1600, 331.000000 
 5, 1700, 330.000000 
 5, 1800, 343.000000 
 5, 1900, 325.000000 
 5, 2000, 316.000000 
 5, 2100, 338.000000 
 5, 2200, 312.000000 
 5, 2300, 147.000000 
 6, 0000, 245.000000 
 6, 0100, 320.000000 
 6, 0200, 189.000000 
 6, 0300, 202.000000 
 6, 0400, 193.000000 
 6, 0500, 209.000000 
 6, 0600, 226.000000 
 6, 0700, 299.000000 
 6, 0800, 331.000000 
 6, 0900, 318.000000 
 6, 1000, 279.000000 
 6, 1100, 109.000000 
 6, 1200, 128.000000 
 6, 1300, 17.000000 
 6, 1400, 341.000000 
 6, 1500, 328.000000 
 6, 1600, 321.000000 
 6, 1700, 327.000000 
 6, 1800, 22.000000 
 6, 1900, 304.000000 
 6, 2000, 310.000000 
 6, 2100, 316.000000 
 6, 2200, 346.000000 
 6, 2300, 330.000000 
 7, 0000, 297.000000 
 7, 0100, 322.000000 
 7, 0200, 303.000000 
 7, 0300, 302.000000 
 7, 0400, 304.000000 
 7, 0500, 297.000000 
 7, 0600, 296.000000 
 7, 0700, 312.000000 
 7, 0800, 337.000000 
 7, 0900, 326.000000 
 7, 1000, 307.000000 
 7, 1100, 327.000000 
 7, 1200, 346.000000 
 7, 1300, 333.000000 
 7, 1400, 315.000000 
 7, 1500, 357.000000 
 7, 1600, 321.000000 
 7, 1700, 314.000000 
 7, 1800, 343.000000 
 7, 1900, 324.000000 
 7, 2000, 351.000000 
 7, 2100, 331.000000 
 7, 2200, 346.000000 
 7, 2300, 106.000000 
 8, 0000, 267.000000 
 8, 0100, 323.000000 
 8, 0200, 183.000000 
 8, 0300, 296.000000 
 8, 0400, 310.000000 
 8, 0500, 297.000000 
 8, 0600, 329.000000 
 8, 0700, 333.000000 
 8, 0800, 295.000000 
 8, 0900, 290.000000 
 8, 1000, 326.000000 
 8, 1100, 350.000000 
 8, 1200, 315.000000 
 8, 1300, 317.000000 
 8, 1400, 237.000000 
 8, 1500, 328.000000 
 8, 1600, 296.000000 
 8, 1700, 321.000000 
 8, 1800, 324.000000 
 8, 1900, 316.000000 
 8, 2000, 295.000000 
 8, 2100, 327.000000 
 8, 2200, 346.000000 
 8, 2300, 237.000000 
 9, 0000, 140.000000 
 9, 0100, 336.000000 
 9, 0200, 270.000000 
 9, 0300, 331.000000 
 9, 0400, 344.000000 
 9, 0500, 301.000000 
 9, 0600, 297.000000 
 9, 0700, 319.000000 
 9, 0800, 329.000000 
 9, 0900, 335.000000 
 9, 1000, 335.000000 
 9, 1100, 344.000000 
 9, 1200, 285.000000 
 9, 1300, 320.000000 
 9, 1400, 331.000000 
 9, 1500, 305.000000 
 9, 1600, 322.000000 
 9, 1700, 341.000000 
 9, 1800, 342.000000 
 9, 1900, 256.000000 
 9, 2000, 309.000000 
 9, 2100, 0.000000 
 9, 2200, 331.000000 
 9, 2300, 69.000000 
 10, 0000, 149.000000 
 10, 0100, 93.000000 
 10, 0200, 154.000000 
 10, 0300, 294.000000 
 10, 0400, 312.000000 
 10, 0500, 168.000000 
 10, 0600, 121.000000 
 10, 0700, 164.000000 
 10, 0800, 306.000000 
 10, 0900, 10.000000 
 10, 1000, 320.000000 
 10, 1100, 312.000000 
 10, 1200, 334.000000 
 10, 1300, 321.000000 
 10, 1400, 8.000000 
 10, 1500, 116.000000 
 10, 1600, 350.000000 
 10, 1700, 333.000000 
 10, 1800, 307.000000 
 10, 1900, 0.000000 
 10, 2000, 316.000000 
 10, 2100, 327.000000 
 10, 2200, 302.000000 
 10, 2300, 153.000000 
 11, 0000, 151.000000 
 11, 0100, 175.000000 
 11, 0200, 151.000000 
 11, 0300, 167.000000 
 11, 0400, 111.000000 
 11, 0500, 150.000000 
 11, 0600, 271.000000 
 11, 0700, 261.000000 
 11, 0800, 315.000000 
 11, 0900, 281.000000 
 11, 1000, 331.000000 
 11, 1100, 339.000000 
 11, 1200, 322.000000 
 11, 1300, 315.000000 
 11, 1400, 0.000000 
 11, 1500, 0.000000 
 11, 1600, 329.000000 
 11, 1700, 339.000000 
 11, 1800, 293.000000 
 11, 1900, 303.000000 
 11, 2000, 324.000000 
 11, 2100, 327.000000 
 11, 2200, 294.000000 
 11, 2300, 289.000000 
 12, 0000, 277.000000 
 12, 0100, 203.000000 
 12, 0200, 145.000000 
 12, 0300, 150.000000 
 12, 0400, 144.000000 
 12, 0500, 144.000000 
 12, 0600, 131.000000 
 12, 0700, 130.000000 
 12, 0800, 354.000000 
 12, 0900, 319.000000 
 12, 1000, 316.000000 
 12, 1100, 317.000000 
 12, 1200, 330.000000 
 12, 1300, 311.000000 
 12, 1400, 304.000000 
 12, 1500, 315.000000 
 12, 1600, 327.000000 
 12, 1700, 284.000000 
 12, 1800, 324.000000 
 12, 1900, 287.000000 
 12, 2000, 139.000000 
 12, 2100, 298.000000 
 12, 2200, 342.000000 
 12, 2300, 248.000000 
 13, 0000, 230.000000 
 13, 0100, 138.000000 
 13, 0200, 131.000000 
 13, 0300, 131.000000 
 13, 0400, 148.000000 
 13, 0500, 161.000000 
 13, 0600, 61.000000 
 13, 0700, 129.000000 
 13, 0800, 254.000000 
 13, 0900, 30.000000 
 13, 1000, 15.000000 
 13, 1100, 294.000000 
 13, 1200, 283.000000 
 13, 1300, 290.000000 
 13, 1400, 329.000000 
 13, 1500, 295.000000 
 13, 1600, 333.000000 
 13, 1700, 308.000000 
 13, 1800, 296.000000 
 13, 1900, 323.000000 
 13, 2000, 334.000000 
 13, 2100, 319.000000 
 13, 2200, 350.000000 
 13, 2300, 49.000000 
 14, 0000, 143.000000 
 14, 0100, 145.000000 
 14, 0200, 152.000000 
 14, 0300, 135.000000 
 14, 0400, 150.000000 
 14, 0500, 0.000000 
 14, 0600, 296.000000 
 14, 0700, 303.000000 
 14, 0800, 323.000000 
 14, 0900, 307.000000 
 14, 1000, 0.000000 
 14, 1100, 0.000000 
 14, 1200, 0.000000 
 14, 1300, 320.000000 
 14, 1400, 0.000000 
 14, 1500, 0.000000 
 14, 1600, 356.000000 
 14, 1700, 0.000000 
 14, 1800, 0.000000 
 14, 1900, 0.000000 
 14, 2000, 0.000000 
 14, 2100, 0.000000 
 14, 2200, 0.000000 
 14, 2300, 0.000000 
 15, 0000, 0.000000 
 15, 0100, 340.000000 
 15, 0200, 96.000000 
 15, 0300, 130.000000 
 15, 0400, 124.000000 
 15, 0500, 128.000000 
 15, 0600, 197.000000 
 15, 0700, 91.000000 
 15, 0800, 67.000000 
 15, 0900, 318.000000 
 15, 1000, 337.000000 
 15, 1100, 344.000000 
 15, 1200, 306.000000 
 15, 1300, 297.000000 
 15, 1400, 346.000000 
 15, 1500, 335.000000 
 15, 1600, 326.000000 
 15, 1700, 336.000000 
 15, 1800, 336.000000 
 15, 1900, 329.000000 
 15, 2000, 329.000000 
 15, 2100, 327.000000 
 15, 2200, 322.000000 
 15, 2300, 323.000000 
 16, 0000, 172.000000 
 16, 0100, 312.000000 
 16, 0200, 227.000000 
 16, 0300, 251.000000 
 16, 0400, 151.000000 
 16, 0500, 251.000000 
 16, 0600, 308.000000 
 16, 0700, 324.000000 
 16, 0800, 295.000000 
 16, 0900, 298.000000 
 16, 1000, 328.000000 
 16, 1100, 342.000000 
 16, 1200, 327.000000 
 16, 1300, 332.000000 
 16, 1400, 317.000000 
 16, 1500, 325.000000 
 16, 1600, 328.000000 
 16, 1700, 326.000000 
 16, 1800, 324.000000 
 16, 1900, 327.000000 
 16, 2000, 325.000000 
 16, 2100, 340.000000 
 16, 2200, 322.000000 
 16, 2300, 246.000000 
 17, 0000, 229.000000 
 17, 0100, 295.000000 
 17, 0200, 337.000000 
 17, 0300, 216.000000 
 17, 0400, 269.000000 
 17, 0500, 299.000000 
 17, 0600, 320.000000 
 17, 0700, 332.000000 
 17, 0800, 239.000000 
 17, 0900, 330.000000 
 17, 1000, 249.000000 
 17, 1100, 152.000000 
 17, 1200, 155.000000 
 17, 1300, 241.000000 
 17, 1400, 0.000000 
 17, 1500, 290.000000 
 17, 1600, 317.000000 
 17, 1700, 282.000000 
 17, 1800, 298.000000 
 17, 1900, 296.000000 
 17, 2000, 260.000000 
 17, 2100, 166.000000 
 17, 2200, 123.000000 
 17, 2300, 128.000000 
 18, 0000, 81.000000 
 18, 0100, 67.000000 
 18, 0200, 89.000000 
 18, 0300, 4.000000 
 18, 0400, 330.000000 
 18, 0500, 314.000000 
 18, 0600, 29.000000 
 18, 0700, 342.000000 
 18, 0800, 315.000000 
 18, 0900, 281.000000 
 18, 1000, 327.000000 
 18, 1100, 309.000000 
 18, 1200, 326.000000 
 18, 1300, 334.000000 
 18, 1400, 331.000000 
 18, 1500, 191.000000 
 18, 1600, 349.000000 
 18, 1700, 328.000000 
 18, 1800, 343.000000 
 18, 1900, 317.000000 
 18, 2000, 315.000000 
 18, 2100, 322.000000 
 18, 2200, 342.000000 
 18, 2300, 260.000000 
 19, 0000, 239.000000 
 19, 0100, 200.000000 
 19, 0200, 155.000000 
 19, 0300, 158.000000 
 19, 0400, 150.000000 
 19, 0500, 148.000000 
 19, 0600, 247.000000 
 19, 0700, 295.000000 
 19, 0800, 332.000000 
 19, 0900, 321.000000 
 19, 1000, 324.000000 
 19, 1100, 316.000000 
 19, 1200, 328.000000 
 19, 1300, 341.000000 
 19, 1400, 339.000000 
