 format: day,hour,value location:72_132 Start : 20160101 
 1, 0000, 333.000000 
 1, 0100, 72.000000 
 1, 0200, 166.000000 
 1, 0300, 342.000000 
 1, 0400, 270.000000 
 1, 0500, 164.000000 
 1, 0600, 165.000000 
 1, 0700, 190.000000 
 1, 0800, 188.000000 
 1, 0900, 31.000000 
 1, 1000, 14.000000 
 1, 1100, 360.000000 
 1, 1200, 11.000000 
 1, 1300, 349.000000 
 1, 1400, 45.000000 
 1, 1500, 315.000000 
 1, 1600, 0.000000 
 1, 1700, 342.000000 
 1, 1800, 342.000000 
 1, 1900, 360.000000 
 1, 2000, 0.000000 
 1, 2100, 225.000000 
 1, 2200, 0.000000 
 1, 2300, 180.000000 
 2, 0000, 180.000000 
 2, 0100, 194.000000 
 2, 0200, 0.000000 
 2, 0300, 261.000000 
 2, 0400, 340.000000 
 2, 0500, 321.000000 
 2, 0600, 321.000000 
 2, 0700, 149.000000 
 2, 0800, 198.000000 
 2, 0900, 90.000000 
 2, 1000, 45.000000 
 2, 1100, 360.000000 
 2, 1200, 288.000000 
 2, 1300, 315.000000 
 2, 1400, 256.000000 
 2, 1500, 333.000000 
 2, 1600, 315.000000 
 2, 1700, 90.000000 
 2, 1800, 0.000000 
 2, 1900, 360.000000 
 2, 2000, 270.000000 
 2, 2100, 45.000000 
 2, 2200, 45.000000 
 2, 2300, 135.000000 
 3, 0000, 270.000000 
 3, 0100, 315.000000 
 3, 0200, 11.000000 
 3, 0300, 18.000000 
 3, 0400, 12.000000 
 3, 0500, 239.000000 
 3, 0600, 180.000000 
 3, 0700, 194.000000 
 3, 0800, 146.000000 
 3, 0900, 45.000000 
 3, 1000, 34.000000 
 3, 1100, 45.000000 
 3, 1200, 360.000000 
 3, 1300, 225.000000 
 3, 1400, 315.000000 
 3, 1500, 117.000000 
 3, 1600, 166.000000 
 3, 1700, 180.000000 
 3, 1800, 270.000000 
 3, 1900, 158.000000 
 3, 2000, 146.000000 
 3, 2100, 201.000000 
 3, 2200, 333.000000 
 3, 2300, 11.000000 
 4, 0000, 270.000000 
 4, 0100, 235.000000 
 4, 0200, 240.000000 
 4, 0300, 252.000000 
 4, 0400, 252.000000 
 4, 0500, 257.000000 
 4, 0600, 270.000000 
 4, 0700, 264.000000 
 4, 0800, 292.000000 
 4, 0900, 257.000000 
 4, 1000, 270.000000 
 4, 1100, 270.000000 
 4, 1200, 193.000000 
 4, 1300, 180.000000 
 4, 1400, 171.000000 
 4, 1500, 0.000000 
 4, 1600, 90.000000 
 4, 1700, 135.000000 
 4, 1800, 124.000000 
 4, 1900, 153.000000 
 4, 2000, 180.000000 
 4, 2100, 153.000000 
 4, 2200, 180.000000 
 4, 2300, 117.000000 
 5, 0000, 169.000000 
 5, 0100, 169.000000 
 5, 0200, 194.000000 
 5, 0300, 214.000000 
 5, 0400, 218.000000 
 5, 0500, 252.000000 
 5, 0600, 268.000000 
 5, 0700, 274.000000 
 5, 0800, 261.000000 
 5, 0900, 288.000000 
 5, 1000, 252.000000 
 5, 1100, 191.000000 
 5, 1200, 158.000000 
 5, 1300, 162.000000 
 5, 1400, 297.000000 
 5, 1500, 243.000000 
 5, 1600, 0.000000 
 5, 1700, 117.000000 
 5, 1800, 153.000000 
 5, 1900, 207.000000 
 5, 2000, 180.000000 
 5, 2100, 198.000000 
 5, 2200, 153.000000 
 5, 2300, 360.000000 
 6, 0000, 153.000000 
 6, 0100, 207.000000 
 6, 0200, 180.000000 
 6, 0300, 159.000000 
 6, 0400, 215.000000 
 6, 0500, 276.000000 
 6, 0600, 220.000000 
 6, 0700, 273.000000 
 6, 0800, 194.000000 
 6, 0900, 190.000000 
 6, 1000, 169.000000 
 6, 1100, 180.000000 
 6, 1200, 180.000000 
 6, 1300, 202.000000 
 6, 1400, 217.000000 
 6, 1500, 90.000000 
 6, 1600, 198.000000 
 6, 1700, 207.000000 
 6, 1800, 0.000000 
 6, 1900, 104.000000 
 6, 2000, 247.000000 
 6, 2100, 45.000000 
 6, 2200, 135.000000 
 6, 2300, 180.000000 
 7, 0000, 90.000000 
 7, 0100, 63.000000 
 7, 0200, 203.000000 
 7, 0300, 208.000000 
 7, 0400, 222.000000 
 7, 0500, 234.000000 
 7, 0600, 263.000000 
 7, 0700, 243.000000 
 7, 0800, 270.000000 
 7, 0900, 267.000000 
 7, 1000, 264.000000 
 7, 1100, 233.000000 
 7, 1200, 229.000000 
 7, 1300, 169.000000 
 7, 1400, 315.000000 
 7, 1500, 45.000000 
 7, 1600, 360.000000 
 7, 1700, 14.000000 
 7, 1800, 326.000000 
 7, 1900, 315.000000 
 7, 2000, 27.000000 
 7, 2100, 342.000000 
 7, 2200, 45.000000 
 7, 2300, 360.000000 
 8, 0000, 90.000000 
 8, 0100, 90.000000 
 8, 0200, 150.000000 
 8, 0300, 273.000000 
 8, 0400, 286.000000 
