 format: day,hour,value location:60_127 Start : 20210101 
 1, 0000, 53.000000 
 1, 0100, 84.000000 
 1, 0200, 176.000000 
 1, 0300, 249.000000 
 1, 0400, 225.000000 
 1, 0500, 262.000000 
 1, 0600, 265.000000 
 1, 0700, 258.000000 
 1, 0800, 255.000000 
 1, 0900, 251.000000 
 1, 1000, 252.000000 
 1, 1100, 263.000000 
 1, 1200, 278.000000 
 1, 1300, 265.000000 
 1, 1400, 328.000000 
 1, 1500, 289.000000 
 1, 1600, 261.000000 
 1, 1700, 272.000000 
 1, 1800, 322.000000 
 1, 1900, 294.000000 
 1, 2000, 313.000000 
 1, 2100, 272.000000 
 1, 2200, 269.000000 
 1, 2300, 284.000000 
 2, 0000, 292.000000 
 2, 0100, 268.000000 
 2, 0200, 243.000000 
 2, 0300, 277.000000 
 2, 0400, 307.000000 
 2, 0500, 272.000000 
 2, 0600, 291.000000 
 2, 0700, 275.000000 
 2, 0800, 260.000000 
 2, 0900, 273.000000 
 2, 1000, 273.000000 
 2, 1100, 289.000000 
 2, 1200, 317.000000 
 2, 1300, 283.000000 
 2, 1400, 276.000000 
 2, 1500, 281.000000 
 2, 1600, 262.000000 
 2, 1700, 263.000000 
 2, 1800, 276.000000 
 2, 1900, 265.000000 
 2, 2000, 276.000000 
 2, 2100, 27.000000 
 2, 2200, 185.000000 
 2, 2300, 255.000000 
 3, 0000, 293.000000 
 3, 0100, 284.000000 
 3, 0200, 284.000000 
 3, 0300, 285.000000 
 3, 0400, 289.000000 
 3, 0500, 272.000000 
 3, 0600, 255.000000 
 3, 0700, 263.000000 
 3, 0800, 231.000000 
 3, 0900, 274.000000 
 3, 1000, 288.000000 
 3, 1100, 273.000000 
 3, 1200, 306.000000 
 3, 1300, 321.000000 
 3, 1400, 294.000000 
 3, 1500, 336.000000 
 3, 1600, 331.000000 
 3, 1700, 336.000000 
 3, 1800, 45.000000 
 3, 1900, 49.000000 
 3, 2000, 46.000000 
 3, 2100, 55.000000 
 3, 2200, 47.000000 
 3, 2300, 31.000000 
 4, 0000, 53.000000 
 4, 0100, 53.000000 
 4, 0200, 83.000000 
 4, 0300, 52.000000 
 4, 0400, 79.000000 
 4, 0500, 20.000000 
 4, 0600, 247.000000 
 4, 0700, 14.000000 
 4, 0800, 67.000000 
 4, 0900, 45.000000 
 4, 1000, 90.000000 
 4, 1100, 61.000000 
 4, 1200, 333.000000 
 4, 1300, 62.000000 
 4, 1400, 59.000000 
 4, 1500, 53.000000 
 4, 1600, 352.000000 
 4, 1700, 282.000000 
 4, 1800, 296.000000 
 4, 1900, 320.000000 
 4, 2000, 317.000000 
 4, 2100, 328.000000 
 4, 2200, 262.000000 
 4, 2300, 293.000000 
 5, 0000, 281.000000 
 5, 0100, 302.000000 
 5, 0200, 274.000000 
 5, 0300, 285.000000 
 5, 0400, 301.000000 
 5, 0500, 249.000000 
 5, 0600, 298.000000 
 5, 0700, 283.000000 
 5, 0800, 318.000000 
 5, 0900, 306.000000 
 5, 1000, 324.000000 
 5, 1100, 303.000000 
 5, 1200, 276.000000 
 5, 1300, 325.000000 
 5, 1400, 267.000000 
 5, 1500, 274.000000 
 5, 1600, 281.000000 
 5, 1700, 277.000000 
 5, 1800, 320.000000 
 5, 1900, 340.000000 
 5, 2000, 30.000000 
 5, 2100, 29.000000 
 5, 2200, 350.000000 
 5, 2300, 38.000000 
 6, 0000, 277.000000 
 6, 0100, 266.000000 
 6, 0200, 293.000000 
 6, 0300, 274.000000 
 6, 0400, 233.000000 
 6, 0500, 251.000000 
 6, 0600, 215.000000 
 6, 0700, 197.000000 
 6, 0800, 174.000000 
 6, 0900, 185.000000 
 6, 1000, 133.000000 
 6, 1100, 200.000000 
 6, 1200, 277.000000 
 6, 1300, 273.000000 
 6, 1400, 293.000000 
 6, 1500, 289.000000 
 6, 1600, 293.000000 
 6, 1700, 294.000000 
 6, 1800, 309.000000 
 6, 1900, 280.000000 
 6, 2000, 282.000000 
 6, 2100, 259.000000 
 6, 2200, 275.000000 
 6, 2300, 309.000000 
 7, 0000, 282.000000 
 7, 0100, 292.000000 
 7, 0200, 278.000000 
 7, 0300, 295.000000 
 7, 0400, 289.000000 
 7, 0500, 292.000000 
 7, 0600, 280.000000 
 7, 0700, 279.000000 
 7, 0800, 270.000000 
 7, 0900, 277.000000 
 7, 1000, 271.000000 
 7, 1100, 260.000000 
 7, 1200, 268.000000 
 7, 1300, 326.000000 
 7, 1400, 326.000000 
 7, 1500, 303.000000 
 7, 1600, 297.000000 
 7, 1700, 261.000000 
 7, 1800, 263.000000 
 7, 1900, 309.000000 
 7, 2000, 304.000000 
 7, 2100, 325.000000 
 7, 2200, 310.000000 
 7, 2300, 259.000000 
 8, 0000, 289.000000 
 8, 0100, 290.000000 
 8, 0200, 286.000000 
 8, 0300, 287.000000 
 8, 0400, 295.000000 
 8, 0500, 297.000000 
 8, 0600, 282.000000 
 8, 0700, 260.000000 
 8, 0800, 272.000000 
 8, 0900, 273.000000 
 8, 1000, 281.000000 
 8, 1100, 276.000000 
 8, 1200, 305.000000 
 8, 1300, 1.000000 
 8, 1400, 4.000000 
 8, 1500, 341.000000 
 8, 1600, 339.000000 
 8, 1700, 300.000000 
 8, 1800, 263.000000 
 8, 1900, 275.000000 
 8, 2000, 223.000000 
 8, 2100, 258.000000 
 8, 2200, 326.000000 
 8, 2300, 153.000000 
 9, 0000, 168.000000 
 9, 0100, 267.000000 
 9, 0200, 289.000000 
 9, 0300, 290.000000 
 9, 0400, 295.000000 
 9, 0500, 285.000000 
 9, 0600, 285.000000 
 9, 0700, 276.000000 
 9, 0800, 261.000000 
 9, 0900, 280.000000 
 9, 1000, 252.000000 
 9, 1100, 295.000000 
 9, 1200, 323.000000 
 9, 1300, 303.000000 
 9, 1400, 6.000000 
 9, 1500, 328.000000 
 9, 1600, 328.000000 
 9, 1700, 13.000000 
 9, 1800, 307.000000 
 9, 1900, 344.000000 
 9, 2000, 288.000000 
 9, 2100, 291.000000 
 9, 2200, 343.000000 
 9, 2300, 59.000000 
 10, 0000, 60.000000 
 10, 0100, 72.000000 
 10, 0200, 126.000000 
 10, 0300, 159.000000 
 10, 0400, 165.000000 
 10, 0500, 115.000000 
 10, 0600, 168.000000 
 10, 0700, 140.000000 
 10, 0800, 101.000000 
 10, 0900, 330.000000 
 10, 1000, 263.000000 
 10, 1100, 243.000000 
 10, 1200, 317.000000 
 10, 1300, 295.000000 
 10, 1400, 332.000000 
 10, 1500, 279.000000 
 10, 1600, 287.000000 
 10, 1700, 20.000000 
 10, 1800, 24.000000 
 10, 1900, 325.000000 
 10, 2000, 27.000000 
 10, 2100, 347.000000 
 10, 2200, 40.000000 
 10, 2300, 36.000000 
 11, 0000, 27.000000 
 11, 0100, 32.000000 
 11, 0200, 37.000000 
 11, 0300, 41.000000 
 11, 0400, 46.000000 
 11, 0500, 48.000000 
 11, 0600, 56.000000 
 11, 0700, 345.000000 
 11, 0800, 33.000000 
 11, 0900, 329.000000 
 11, 1000, 100.000000 
 11, 1100, 40.000000 
 11, 1200, 42.000000 
 11, 1300, 355.000000 
 11, 1400, 28.000000 
 11, 1500, 24.000000 
 11, 1600, 48.000000 
 11, 1700, 40.000000 
 11, 1800, 41.000000 
 11, 1900, 48.000000 
 11, 2000, 44.000000 
 11, 2100, 37.000000 
 11, 2200, 38.000000 
 11, 2300, 45.000000 
 12, 0000, 46.000000 
 12, 0100, 54.000000 
 12, 0200, 57.000000 
 12, 0300, 71.000000 
 12, 0400, 95.000000 
 12, 0500, 37.000000 
 12, 0600, 183.000000 
 12, 0700, 56.000000 
 12, 0800, 191.000000 
