 format: day,hour,value location:73_133 Start : 20130101 
 1, 0000, 131.000000 
 1, 0100, 145.000000 
 1, 0200, 158.000000 
 1, 0300, 112.000000 
 1, 0400, 349.000000 
 1, 0500, 324.000000 
 1, 0600, 307.000000 
 1, 0700, 292.000000 
 1, 0800, 311.000000 
 1, 0900, 251.000000 
 1, 1000, 0.000000 
 1, 1100, -1.000000 
 1, 1200, -1.000000 
 1, 1300, -1.000000 
 1, 1400, 0.000000 
 1, 1500, 3.000000 
 1, 1600, 312.000000 
 1, 1700, 321.000000 
 1, 1800, 344.000000 
 1, 1900, 280.000000 
 1, 2000, 247.000000 
 1, 2100, 259.000000 
 1, 2200, 254.000000 
 1, 2300, 206.000000 
 2, 0000, 195.000000 
 2, 0100, 201.000000 
 2, 0200, 259.000000 
 2, 0300, 252.000000 
 2, 0400, 267.000000 
 2, 0500, 272.000000 
 2, 0600, 294.000000 
 2, 0700, 302.000000 
 2, 0800, 315.000000 
 2, 0900, 264.000000 
 2, 1000, 259.000000 
 2, 1100, -1.000000 
 2, 1200, -1.000000 
 2, 1300, -1.000000 
 2, 1400, 305.000000 
 2, 1500, 300.000000 
 2, 1600, 302.000000 
 2, 1700, 306.000000 
 2, 1800, 308.000000 
 2, 1900, 313.000000 
 2, 2000, 309.000000 
 2, 2100, 360.000000 
 2, 2200, 346.000000 
 2, 2300, 342.000000 
 3, 0000, 315.000000 
 3, 0100, 308.000000 
 3, 0200, 307.000000 
 3, 0300, 286.000000 
 3, 0400, 249.000000 
 3, 0500, 284.000000 
 3, 0600, 279.000000 
 3, 0700, 253.000000 
 3, 0800, 248.000000 
 3, 0900, 247.000000 
 3, 1000, 263.000000 
 3, 1100, -1.000000 
 3, 1200, -1.000000 
 3, 1300, -1.000000 
 3, 1400, 318.000000 
 3, 1500, 324.000000 
 3, 1600, 354.000000 
 3, 1700, 0.000000 
 3, 1800, 310.000000 
 3, 1900, 339.000000 
 3, 2000, 337.000000 
 3, 2100, 360.000000 
 3, 2200, 8.000000 
 3, 2300, 12.000000 
 4, 0000, 319.000000 
 4, 0100, 330.000000 
 4, 0200, 337.000000 
 4, 0300, 345.000000 
 4, 0400, 339.000000 
 4, 0500, 346.000000 
 4, 0600, 360.000000 
 4, 0700, 345.000000 
 4, 0800, 304.000000 
 4, 0900, 328.000000 
 4, 1000, 304.000000 
 4, 1100, -1.000000 
 4, 1200, -1.000000 
 4, 1300, -1.000000 
 4, 1400, 0.000000 
 4, 1500, 342.000000 
 4, 1600, 0.000000 
 4, 1700, 321.000000 
 4, 1800, 352.000000 
 4, 1900, 346.000000 
 4, 2000, 0.000000 
 4, 2100, 332.000000 
 4, 2200, 324.000000 
 4, 2300, 323.000000 
 5, 0000, 360.000000 
 5, 0100, 355.000000 
 5, 0200, 334.000000 
 5, 0300, 326.000000 
 5, 0400, 324.000000 
 5, 0500, 0.000000 
 5, 0600, 346.000000 
 5, 0700, 323.000000 
 5, 0800, 310.000000 
 5, 0900, 5.000000 
 5, 1000, 40.000000 
 5, 1100, -1.000000 
 5, 1200, -1.000000 
 5, 1300, -1.000000 
 5, 1400, 318.000000 
 5, 1500, 360.000000 
 5, 1600, 360.000000 
 5, 1700, 63.000000 
 5, 1800, 249.000000 
 5, 1900, 281.000000 
 5, 2000, 320.000000 
 5, 2100, 348.000000 
 5, 2200, 24.000000 
 5, 2300, 355.000000 
 6, 0000, 320.000000 
 6, 0100, 346.000000 
 6, 0200, 350.000000 
 6, 0300, 349.000000 
 6, 0400, 307.000000 
 6, 0500, 0.000000 
 6, 0600, 0.000000 
 6, 0700, 111.000000 
 6, 0800, 292.000000 
 6, 0900, 353.000000 
 6, 1000, 6.000000 
 6, 1100, -1.000000 
 6, 1200, -1.000000 
 6, 1300, -1.000000 
 6, 1400, 352.000000 
 6, 1500, 346.000000 
 6, 1600, 0.000000 
 6, 1700, 0.000000 
 6, 1800, 0.000000 
 6, 1900, 334.000000 
 6, 2000, 310.000000 
 6, 2100, 279.000000 
 6, 2200, 0.000000 
 6, 2300, 0.000000 
 7, 0000, 0.000000 
 7, 0100, 332.000000 
 7, 0200, 336.000000 
 7, 0300, 338.000000 
 7, 0400, 360.000000 
 7, 0500, 328.000000 
 7, 0600, 344.000000 
 7, 0700, 3.000000 
 7, 0800, 305.000000 
 7, 0900, 303.000000 
 7, 1000, 36.000000 
 7, 1100, -1.000000 
 7, 1200, -1.000000 
 7, 1300, -1.000000 
 7, 1400, 310.000000 
 7, 1500, 24.000000 
 7, 1600, 0.000000 
 7, 1700, 351.000000 
 7, 1800, 349.000000 
 7, 1900, 357.000000 
 7, 2000, 3.000000 
 7, 2100, 5.000000 
 7, 2200, 5.000000 
 7, 2300, 7.000000 
 8, 0000, 8.000000 
 8, 0100, 4.000000 
 8, 0200, 348.000000 
 8, 0300, 340.000000 
 8, 0400, 0.000000 
 8, 0500, 281.000000 
 8, 0600, 295.000000 
 8, 0700, 256.000000 
 8, 0800, 266.000000 
 8, 0900, 297.000000 
 8, 1000, 33.000000 
 8, 1100, -1.000000 
 8, 1200, -1.000000 
 8, 1300, -1.000000 
 8, 1400, 330.000000 
 8, 1500, 11.000000 
 8, 1600, 26.000000 
 8, 1700, 0.000000 
 8, 1800, 348.000000 
 8, 1900, 265.000000 
 8, 2000, 0.000000 
 8, 2100, 120.000000 
 8, 2200, 23.000000 
 8, 2300, 307.000000 
 9, 0000, 277.000000 
 9, 0100, 287.000000 
 9, 0200, 261.000000 
 9, 0300, 285.000000 
 9, 0400, 234.000000 
 9, 0500, 225.000000 
 9, 0600, 231.000000 
 9, 0700, 236.000000 
 9, 0800, 263.000000 
 9, 0900, 294.000000 
 9, 1000, 300.000000 
 9, 1100, -1.000000 
 9, 1200, -1.000000 
 9, 1300, -1.000000 
 9, 1400, 0.000000 
 9, 1500, 308.000000 
 9, 1600, 309.000000 
 9, 1700, 315.000000 
 9, 1800, 311.000000 
 9, 1900, 329.000000 
 9, 2000, 285.000000 
 9, 2100, 356.000000 
 9, 2200, 332.000000 
 9, 2300, 303.000000 
 10, 0000, 323.000000 
 10, 0100, 312.000000 
 10, 0200, 356.000000 
 10, 0300, 353.000000 
 10, 0400, 14.000000 
 10, 0500, 48.000000 
 10, 0600, 310.000000 
 10, 0700, 287.000000 
 10, 0800, 285.000000 
 10, 0900, 274.000000 
 10, 1000, 244.000000 
 10, 1100, -1.000000 
 10, 1200, -1.000000 
 10, 1300, -1.000000 
 10, 1400, 348.000000 
 10, 1500, 282.000000 
 10, 1600, 0.000000 
 10, 1700, 45.000000 
 10, 1800, 344.000000 
 10, 1900, 360.000000 
 10, 2000, 289.000000 
 10, 2100, 315.000000 
 10, 2200, 334.000000 
 10, 2300, 346.000000 
 11, 0000, 315.000000 
 11, 0100, 301.000000 
 11, 0200, 340.000000 
 11, 0300, 329.000000 
 11, 0400, 304.000000 
 11, 0500, 335.000000 
 11, 0600, 335.000000 
 11, 0700, 357.000000 
 11, 0800, 360.000000 
 11, 0900, 0.000000 
 11, 1000, 294.000000 
 11, 1100, -1.000000 
