 format: day,hour,value location:73_133 Start : 20220101 
 1, 0000, 283.000000 
 1, 0100, 257.000000 
 1, 0200, 47.000000 
 1, 0300, 341.000000 
 1, 0400, 310.000000 
 1, 0500, 70.000000 
 1, 0600, 17.000000 
 1, 0700, 320.000000 
 1, 0800, 347.000000 
 1, 0900, 294.000000 
 1, 1000, 24.000000 
 1, 1100, 290.000000 
 1, 1200, 62.000000 
 1, 1300, 2.000000 
 1, 1400, 29.000000 
 1, 1500, 325.000000 
 1, 1600, 11.000000 
 1, 1700, 195.000000 
 1, 1800, 309.000000 
 1, 1900, 329.000000 
 1, 2000, 58.000000 
 1, 2100, 299.000000 
 1, 2200, 292.000000 
 1, 2300, 0.000000 
 2, 0000, 114.000000 
 2, 0100, 355.000000 
 2, 0200, 44.000000 
 2, 0300, 179.000000 
 2, 0400, 165.000000 
 2, 0500, 226.000000 
 2, 0600, 267.000000 
 2, 0700, 186.000000 
 2, 0800, 259.000000 
 2, 0900, 340.000000 
 2, 1000, 84.000000 
 2, 1100, 21.000000 
 2, 1200, 304.000000 
 2, 1300, 84.000000 
 2, 1400, 58.000000 
 2, 1500, 298.000000 
 2, 1600, 323.000000 
 2, 1700, 113.000000 
 2, 1800, 356.000000 
 2, 1900, 103.000000 
 2, 2000, 39.000000 
 2, 2100, 317.000000 
 2, 2200, 52.000000 
 2, 2300, 53.000000 
 3, 0000, 324.000000 
 3, 0100, 39.000000 
 3, 0200, 68.000000 
 3, 0300, 207.000000 
 3, 0400, 217.000000 
 3, 0500, 236.000000 
 3, 0600, 214.000000 
 3, 0700, 204.000000 
 3, 0800, 193.000000 
 3, 0900, 203.000000 
 3, 1000, 184.000000 
 3, 1100, 184.000000 
 3, 1200, 169.000000 
 3, 1300, 196.000000 
 3, 1400, 61.000000 
 3, 1500, 36.000000 
 3, 1600, 315.000000 
 3, 1700, 283.000000 
 3, 1800, 140.000000 
 3, 1900, 332.000000 
 3, 2000, 21.000000 
 3, 2100, 89.000000 
 3, 2200, 246.000000 
 3, 2300, 350.000000 
 4, 0000, 297.000000 
 4, 0100, 303.000000 
 4, 0200, 276.000000 
 4, 0300, 99.000000 
 4, 0400, 241.000000 
 4, 0500, 255.000000 
 4, 0600, 211.000000 
 4, 0700, 246.000000 
 4, 0800, 184.000000 
 4, 0900, 340.000000 
 4, 1000, 274.000000 
 4, 1100, 339.000000 
 4, 1200, 314.000000 
 4, 1300, 318.000000 
 4, 1400, 338.000000 
 4, 1500, 323.000000 
 4, 1600, 303.000000 
 4, 1700, 69.000000 
 4, 1800, 309.000000 
 4, 1900, 321.000000 
 4, 2000, 325.000000 
 4, 2100, 135.000000 
 4, 2200, 77.000000 
 4, 2300, 304.000000 
 5, 0000, 333.000000 
 5, 0100, 355.000000 
 5, 0200, 68.000000 
 5, 0300, 54.000000 
 5, 0400, 230.000000 
 5, 0500, 163.000000 
 5, 0600, 249.000000 
 5, 0700, 323.000000 
 5, 0800, 57.000000 
 5, 0900, 315.000000 
 5, 1000, 131.000000 
 5, 1100, 323.000000 
 5, 1200, 126.000000 
 5, 1300, 308.000000 
 5, 1400, 319.000000 
 5, 1500, 335.000000 
 5, 1600, 6.000000 
 5, 1700, 326.000000 
 5, 1800, 360.000000 
 5, 1900, 0.000000 
 5, 2000, 61.000000 
 5, 2100, 103.000000 
 5, 2200, 93.000000 
 5, 2300, 346.000000 
 6, 0000, 186.000000 
 6, 0100, 330.000000 
 6, 0200, 236.000000 
 6, 0300, 228.000000 
 6, 0400, 64.000000 
 6, 0500, 212.000000 
 6, 0600, 274.000000 
 6, 0700, 225.000000 
 6, 0800, 110.000000 
 6, 0900, 354.000000 
 6, 1000, 0.000000 
 6, 1100, 326.000000 
 6, 1200, 109.000000 
 6, 1300, 53.000000 
 6, 1400, 307.000000 
 6, 1500, 0.000000 
 6, 1600, 78.000000 
 6, 1700, 0.000000 
 6, 1800, 0.000000 
 6, 1900, 0.000000 
 6, 2000, 318.000000 
 6, 2100, 0.000000 
 6, 2200, 317.000000 
 6, 2300, -1.000000 
 7, 0000, 322.000000 
 7, 0100, 261.000000 
 7, 0200, 339.000000 
 7, 0300, 262.000000 
 7, 0400, 252.000000 
 7, 0500, 170.000000 
 7, 0600, 166.000000 
 7, 0700, 179.000000 
 7, 0800, 314.000000 
 7, 0900, 339.000000 
 7, 1000, 321.000000 
 7, 1100, 318.000000 
 7, 1200, 339.000000 
 7, 1300, 321.000000 
 7, 1400, 59.000000 
 7, 1500, 323.000000 
 7, 1600, 0.000000 
 7, 1700, 59.000000 
 7, 1800, 0.000000 
 7, 1900, 332.000000 
 7, 2000, 0.000000 
 7, 2100, 32.000000 
 7, 2200, 65.000000 
 7, 2300, 0.000000 
 8, 0000, 74.000000 
 8, 0100, 144.000000 
 8, 0200, 237.000000 
 8, 0300, 111.000000 
 8, 0400, 6.000000 
 8, 0500, 299.000000 
 8, 0600, 206.000000 
 8, 0700, 193.000000 
 8, 0800, 173.000000 
 8, 0900, 182.000000 
 8, 1000, 169.000000 
 8, 1100, 173.000000 
 8, 1200, 353.000000 
 8, 1300, 315.000000 
 8, 1400, 276.000000 
 8, 1500, 337.000000 
 8, 1600, 285.000000 
 8, 1700, 0.000000 
 8, 1800, 320.000000 
 8, 1900, 300.000000 
 8, 2000, 142.000000 
 8, 2100, 224.000000 
 8, 2200, 319.000000 
 8, 2300, 0.000000 
 9, 0000, 44.000000 
 9, 0100, 280.000000 
 9, 0200, 285.000000 
 9, 0300, 241.000000 
 9, 0400, 244.000000 
 9, 0500, 267.000000 
 9, 0600, 252.000000 
 9, 0700, 159.000000 
 9, 0800, 304.000000 
 9, 0900, 343.000000 
 9, 1000, 320.000000 
 9, 1100, 310.000000 
 9, 1200, 35.000000 
 9, 1300, 312.000000 
 9, 1400, 0.000000 
 9, 1500, 0.000000 
 9, 1600, 0.000000 
 9, 1700, 86.000000 
 9, 1800, 70.000000 
 9, 1900, 302.000000 
 9, 2000, 56.000000 
 9, 2100, 324.000000 
 9, 2200, 26.000000 
 9, 2300, 330.000000 
 10, 0000, 0.000000 
 10, 0100, 17.000000 
 10, 0200, 304.000000 
 10, 0300, 226.000000 
 10, 0400, 173.000000 
 10, 0500, 6.000000 
 10, 0600, 283.000000 
 10, 0700, 299.000000 
 10, 0800, 337.000000 
 10, 0900, 309.000000 
 10, 1000, 165.000000 
 10, 1100, 146.000000 
 10, 1200, 207.000000 
 10, 1300, 203.000000 
 10, 1400, 208.000000 
 10, 1500, 173.000000 
 10, 1600, 183.000000 
 10, 1700, 263.000000 
 10, 1800, 247.000000 
 10, 1900, 253.000000 
 10, 2000, 254.000000 
 10, 2100, 250.000000 
 10, 2200, 247.000000 
 10, 2300, 235.000000 
 11, 0000, 221.000000 
 11, 0100, 228.000000 
 11, 0200, 223.000000 
 11, 0300, 207.000000 
 11, 0400, 218.000000 
 11, 0500, 231.000000 
 11, 0600, 246.000000 
 11, 0700, 232.000000 
 11, 0800, 272.000000 
 11, 0900, 257.000000 
 11, 1000, 270.000000 
 11, 1100, 53.000000 
 11, 1200, 329.000000 
 11, 1300, 160.000000 
 11, 1400, 141.000000 
 11, 1500, 71.000000 
 11, 1600, 17.000000 
 11, 1700, 42.000000 
 11, 1800, 333.000000 
 11, 1900, 347.000000 
 11, 2000, 321.000000 
 11, 2100, 5.000000 
 11, 2200, 19.000000 
 11, 2300, 37.000000 
 12, 0000, 2.000000 
 12, 0100, 114.000000 
 12, 0200, 54.000000 
 12, 0300, 80.000000 
 12, 0400, 188.000000 
 12, 0500, 220.000000 
 12, 0600, 221.000000 
 12, 0700, 222.000000 
 12, 0800, 228.000000 
 12, 0900, 215.000000 
 12, 1000, 222.000000 
 12, 1100, 228.000000 
 12, 1200, 223.000000 
 12, 1300, 289.000000 
 12, 1400, 353.000000 
 12, 1500, 78.000000 
 12, 1600, 9.000000 
