"시점","행정구역(구군)별(1)",과수원,목장용지,임야,공원,체육용지,유원지
"2010","합계",2156770.0,1488152.0,480830711.5,7551595.7,2331544.3,347186.0
"2010","중구",-,-,-,199274.7,-,-
"2010","동구",682903.0,85214.0,111443374.0,634963.3,648769.0,24070.0
"2010","서구",-,-,2004065.0,61716.0,6687.0,-
"2010","남구",-,-,4107091.7,2677733.7,3491.0,-
"2010","북구",446750.0,173870.0,46315286.0,676553.9,327038.0,-
"2010","수성구",367253.0,34597.0,38491923.2,488678.3,1076374.0,16699.0
"2010","달서구",30283.0,4832.0,19497150.1,2064684.4,188783.3,-
"2010","달성군",629581.0,1189639.0,258971821.5,747991.4,80402.0,306417.0
"2011","합계",2420231.0,1470813.0,479211289.9,7639127.0,2332789.3,347186.0
"2011","중구",-,-,-,199274.7,-,-
"2011","동구",876999.0,85214.0,111000415.0,682239.6,648769.0,24070.0
"2011","서구",-,-,2003169.0,61716.0,6687.0,-
"2011","남구",-,-,4103327.1,2676255.7,3491.0,-
"2011","북구",444935.0,173940.0,46270152.0,676553.9,327038.0,-
"2011","수성구",387001.0,21905.0,38054613.2,488678.3,1076229.0,16699.0
"2011","달서구",30083.0,4832.0,19494674.1,2064684.4,188783.3,-
"2011","달성군",681213.0,1184922.0,258284939.5,789724.4,81792.0,306417.0
"2012","합계",2408839.0,1453865.0,478411593.9,7873855.7,2349163.3,350607.0
"2012","중구",-,-,-,198510.1,-,-
"2012","동구",876972.0,84221.0,110992761.0,706461.6,648769.0,27491.0
"2012","서구",-,-,1996338.0,61716.0,6687.0,-
"2012","남구",-,-,4096042.1,2676255.7,3491.0,-
"2012","북구",435948.0,173940.0,46140819.0,678151.5,327038.0,-
"2012","수성구",396236.0,21905.0,38015734.2,488678.3,1079623.0,16699.0
"2012","달서구",30083.0,4832.0,19490192.1,2064684.4,191271.3,-
"2012","달성군",669600.0,1168967.0,257679707.5,999398.1,92284.0,306417.0
"2013","합계",2396483.0,1451289.0,478250299.9,8140407.5,2343455.3,352083.0
"2013","중구",-,-,-,198510.1,-,-
