,year,region2,orchard,pasture,forest,park,sports,amusement
1,2010,吝备,,,,199274.7,,
2,2010,悼备,682903.0,85214.0,111443374.0,634963.3,648769.0,24070.0
3,2010,辑备,,,2004065.0,61716.0,6687.0,
4,2010,巢备,,,4107091.7,2677733.7,3491.0,
5,2010,合备,446750.0,173870.0,46315286.0,676553.9,327038.0,
6,2010,荐己备,367253.0,34597.0,38491923.2,488678.3,1076374.0,16699.0
7,2010,崔辑备,30283.0,4832.0,19497150.1,2064684.4,188783.3,
8,2010,崔己焙,629581.0,1189639.0,258971821.5,747991.4,80402.0,306417.0
10,2011,吝备,,,,199274.7,,
11,2011,悼备,876999.0,85214.0,111000415.0,682239.6,648769.0,24070.0
12,2011,辑备,,,2003169.0,61716.0,6687.0,
13,2011,巢备,,,4103327.1,2676255.7,3491.0,
14,2011,合备,444935.0,173940.0,46270152.0,676553.9,327038.0,
15,2011,荐己备,387001.0,21905.0,38054613.2,488678.3,1076229.0,16699.0
16,2011,崔辑备,30083.0,4832.0,19494674.1,2064684.4,188783.3,
17,2011,崔己焙,681213.0,1184922.0,258284939.5,789724.4,81792.0,306417.0
19,2012,吝备,,,,198510.1,,
20,2012,悼备,876972.0,84221.0,110992761.0,706461.6,648769.0,27491.0
21,2012,辑备,,,1996338.0,61716.0,6687.0,
22,2012,巢备,,,4096042.1,2676255.7,3491.0,
23,2012,合备,435948.0,173940.0,46140819.0,678151.5,327038.0,
24,2012,荐己备,396236.0,21905.0,38015734.2,488678.3,1079623.0,16699.0
25,2012,崔辑备,30083.0,4832.0,19490192.1,2064684.4,191271.3,
26,2012,崔己焙,669600.0,1168967.0,257679707.5,999398.1,92284.0,306417.0
28,2013,吝备,,,,198510.1,,
29,2013,悼备,867189.0,84221.0,110988429.0,707961.6,648769.0,27491.0
30,2013,辑备,,,1982917.0,61716.0,6687.0,
31,2013,巢备,,,4095994.1,2676255.7,3491.0,
32,2013,合备,435412.0,172429.0,46074391.0,804765.3,327038.0,
33,2013,荐己备,396426.0,21905.0,38010879.2,490883.6,1080317.0,18175.0
34,2013,崔辑备,30083.0,4832.0,19470432.1,2105372.1,191271.3,
35,2013,崔己焙,667373.0,1167902.0,257627257.5,1094943.1,85882.0,306417.0
37,2014,吝备,,,,199546.4,,
38,2014,悼备,827348.0,67499.0,110551248.0,1414463.5,648769.0,27491.0
39,2014,辑备,,,1962223.0,81587.1,6687.0,
40,2014,巢备,,,4096221.1,2677057.7,3491.0,
41,2014,合备,432736.0,172429.0,46070728.0,804625.6,327038.0,
42,2014,荐己备,375486.0,20388.0,37722574.2,487580.9,1104854.0,18175.0
43,2014,崔辑备,30083.0,4832.0,19378355.1,2099381.9,191271.3,
44,2014,崔己焙,645351.0,1166783.0,256917248.5,2073525.9,108586.0,306417.0
46,2015,吝备,,,,199546.4,,
47,2015,悼备,807119.0,65498.0,110378324.0,1785527.0,648787.0,27491.0
48,2015,辑备,,,1960184.0,82862.1,6687.0,
49,2015,巢备,,,4096221.1,2677057.7,3491.0,
50,2015,合备,429004.0,165347.0,46054427.7,804625.6,352497.0,
51,2015,荐己备,371546.0,20844.0,37689209.1,485500.8,1100406.0,18272.0
52,2015,崔辑备,30083.0,4832.0,19376855.1,2109812.9,188931.3,
53,2015,崔己焙,622857.0,1156402.0,256588782.5,2313168.2,148328.0,306417.0
55,2016,吝备,,,,199764.6,,
56,2016,悼备,786399.0,64435.0,110317288.0,1820432.3,655533.6,27960.0
57,2016,辑备,,,1959803.0,82862.1,6687.0,
58,2016,巢备,,,4096137.1,2677057.7,3491.0,
59,2016,合备,427456.0,155009.0,46003564.7,806126.6,352497.0,
60,2016,荐己备,359792.0,20844.0,37576630.1,551585.5,1184495.5,18272.0
61,2016,崔辑备,29914.0,4832.0,19375414.1,2131783.1,188931.3,
62,2016,崔己焙,624176.4,1156561.0,255781348.3,2368500.4,267099.0,375483.0
64,2017,吝备,,,,210327.5,,
65,2017,悼备,783568.7,64435.0,110283718.0,1820363.2,655533.6,27960.0
66,2017,辑备,,,1957434.0,82240.0,6687.0,
67,2017,巢备,,,4096159.2,2676336.9,3491.0,
68,2017,合备,429673.0,149970.0,45995303.7,808356.3,352497.0,
69,2017,荐己备,368300.0,20844.0,37510407.1,551809.6,1189423.2,21512.0
70,2017,崔辑备,29914.0,4232.0,19207583.1,2307882.7,188931.3,
71,2017,崔己焙,612471.4,1127419.0,253953284.3,3047418.3,322336.7,375483.0
73,2018,吝备,,,,210887.1,,
74,2018,悼备,923159.7,66215.0,110111344.0,1819309.5,655533.6,27960.0
75,2018,辑备,,,1956055.0,82240.0,6687.0,
76,2018,巢备,,,4093764.5,2676401.9,3491.0,
77,2018,合备,457945.0,145057.0,45909687.7,825009.8,352497.0,
78,2018,荐己备,387599.0,20232.0,37397141.1,717508.3,1189423.2,23321.0
79,2018,崔辑备,31459.0,4232.0,19195625.1,2309696.7,188931.3,
80,2018,崔己焙,630814.4,1128827.0,253863655.1,3047418.3,323680.7,375483.0
82,2019,吝备,,,,211412.6,,
83,2019,悼备,854450.0,64868.0,110057610.9,1948899.4,655533.6,27960.0
84,2019,辑备,,,1956055.0,82240.0,6687.0,
85,2019,巢备,,,4093354.4,2676401.9,3491.0,
86,2019,合备,390927.0,121218.0,45890326.6,947977.6,354315.0,
87,2019,荐己备,388626.0,20232.0,37384116.1,715909.2,1189408.2,23321.0
88,2019,崔辑备,31459.0,4232.0,19195328.1,2309668.4,181439.3,
89,2019,崔己焙,628739.4,1126360.9,253770147.1,3052105.8,323680.7,380075.0
