 format: day,hour,value location:89_91 Start : 20110101 
 1, 0000, 267.000000 
 1, 0100, 267.000000 
 1, 0200, 279.000000 
 1, 0300, 286.000000 
 1, 0400, 277.000000 
 1, 0500, 287.000000 
 1, 0600, 312.000000 
 1, 0700, 279.000000 
 1, 0800, 264.000000 
 1, 0900, 270.000000 
 1, 1000, 279.000000 
 1, 1100, 277.000000 
 1, 1200, 263.000000 
 1, 1300, 268.000000 
 1, 1400, 260.000000 
 1, 1500, 262.000000 
 1, 1600, 257.000000 
 1, 1700, 257.000000 
 1, 1800, 253.000000 
 1, 1900, 261.000000 
 1, 2000, 27.000000 
 1, 2100, 40.000000 
 1, 2200, 34.000000 
 1, 2300, 18.000000 
 2, 0000, 0.000000 
 2, 0100, 277.000000 
 2, 0200, 247.000000 
 2, 0300, 231.000000 
 2, 0400, 239.000000 
 2, 0500, 247.000000 
 2, 0600, 287.000000 
 2, 0700, 298.000000 
 2, 0800, 285.000000 
 2, 0900, 273.000000 
 2, 1000, 274.000000 
 2, 1100, 267.000000 
 2, 1200, 265.000000 
 2, 1300, 266.000000 
 2, 1400, 256.000000 
 2, 1500, 267.000000 
 2, 1600, 274.000000 
 2, 1700, 263.000000 
 2, 1800, 275.000000 
 2, 1900, 262.000000 
 2, 2000, 259.000000 
 2, 2100, 258.000000 
 2, 2200, 265.000000 
 2, 2300, 11.000000 
 3, 0000, 32.000000 
 3, 0100, 267.000000 
 3, 0200, 267.000000 
 3, 0300, 270.000000 
 3, 0400, 267.000000 
 3, 0500, 254.000000 
 3, 0600, 279.000000 
 3, 0700, 256.000000 
 3, 0800, 270.000000 
 3, 0900, 275.000000 
 3, 1000, 272.000000 
 3, 1100, 265.000000 
 3, 1200, 261.000000 
 3, 1300, 265.000000 
 3, 1400, 267.000000 
 3, 1500, 264.000000 
 3, 1600, 258.000000 
 3, 1700, 263.000000 
 3, 1800, 266.000000 
 3, 1900, 261.000000 
 3, 2000, 270.000000 
 3, 2100, 275.000000 
 3, 2200, 277.000000 
 3, 2300, 282.000000 
 4, 0000, 274.000000 
 4, 0100, 272.000000 
 4, 0200, 296.000000 
 4, 0300, 276.000000 
 4, 0400, 293.000000 
 4, 0500, 296.000000 
 4, 0600, 305.000000 
 4, 0700, 307.000000 
 4, 0800, 301.000000 
 4, 0900, 309.000000 
 4, 1000, 302.000000 
 4, 1100, 300.000000 
 4, 1200, 304.000000 
 4, 1300, 283.000000 
 4, 1400, 292.000000 
 4, 1500, 277.000000 
 4, 1600, 251.000000 
 4, 1700, 264.000000 
 4, 1800, 259.000000 
 4, 1900, 268.000000 
 4, 2000, 270.000000 
 4, 2100, 290.000000 
 4, 2200, 254.000000 
 4, 2300, 262.000000 
 5, 0000, 264.000000 
 5, 0100, 261.000000 
 5, 0200, 279.000000 
 5, 0300, 261.000000 
 5, 0400, 261.000000 
 5, 0500, 273.000000 
 5, 0600, 278.000000 
 5, 0700, 290.000000 
 5, 0800, 301.000000 
 5, 0900, 288.000000 
 5, 1000, 290.000000 
 5, 1100, 295.000000 
 5, 1200, 293.000000 
 5, 1300, 302.000000 
 5, 1400, 281.000000 
 5, 1500, 282.000000 
 5, 1600, 280.000000 
 5, 1700, 284.000000 
 5, 1800, 283.000000 
 5, 1900, 283.000000 
 5, 2000, 302.000000 
 5, 2100, 298.000000 
 5, 2200, 297.000000 
 5, 2300, 283.000000 
 6, 0000, 302.000000 
 6, 0100, 306.000000 
 6, 0200, 286.000000 
 6, 0300, 285.000000 
 6, 0400, 303.000000 
 6, 0500, 288.000000 
 6, 0600, 277.000000 
 6, 0700, 299.000000 
 6, 0800, 300.000000 
 6, 0900, 322.000000 
 6, 1000, 315.000000 
 6, 1100, 320.000000 
 6, 1200, 308.000000 
 6, 1300, 286.000000 
 6, 1400, 297.000000 
 6, 1500, 302.000000 
 6, 1600, 303.000000 
 6, 1700, 297.000000 
 6, 1800, 283.000000 
 6, 1900, 289.000000 
 6, 2000, 289.000000 
 6, 2100, 268.000000 
 6, 2200, 281.000000 
 6, 2300, 270.000000 
 7, 0000, 274.000000 
 7, 0100, 264.000000 
 7, 0200, 272.000000 
 7, 0300, 272.000000 
 7, 0400, 274.000000 
 7, 0500, 274.000000 
 7, 0600, 273.000000 
 7, 0700, 279.000000 
 7, 0800, 296.000000 
 7, 0900, 272.000000 
 7, 1000, 286.000000 
 7, 1100, 302.000000 
 7, 1200, 280.000000 
 7, 1300, 292.000000 
 7, 1400, 276.000000 
 7, 1500, 290.000000 
 7, 1600, 267.000000 
 7, 1700, 260.000000 
 7, 1800, 255.000000 
 7, 1900, 259.000000 
 7, 2000, 293.000000 
 7, 2100, 306.000000 
 7, 2200, 36.000000 
 7, 2300, 30.000000 
 8, 0000, 0.000000 
