 format: day,hour,value location:90_92 Start : 20220101 
 1, 0000, 345.000000 
 1, 0100, 344.000000 
 1, 0200, 345.000000 
 1, 0300, 344.000000 
 1, 0400, 346.000000 
 1, 0500, 343.000000 
 1, 0600, 349.000000 
 1, 0700, 347.000000 
 1, 0800, 316.000000 
 1, 0900, 326.000000 
 1, 1000, 268.000000 
 1, 1100, 6.000000 
 1, 1200, 2.000000 
 1, 1300, 349.000000 
 1, 1400, 255.000000 
 1, 1500, 351.000000 
 1, 1600, 219.000000 
 1, 1700, 351.000000 
 1, 1800, 235.000000 
 1, 1900, 215.000000 
 1, 2000, 0.000000 
 1, 2100, 15.000000 
 1, 2200, 36.000000 
 1, 2300, 190.000000 
 2, 0000, 146.000000 
 2, 0100, 191.000000 
 2, 0200, 345.000000 
 2, 0300, 350.000000 
 2, 0400, 341.000000 
 2, 0500, 341.000000 
 2, 0600, 324.000000 
 2, 0700, 340.000000 
 2, 0800, 6.000000 
 2, 0900, 350.000000 
 2, 1000, 9.000000 
 2, 1100, 343.000000 
 2, 1200, 348.000000 
 2, 1300, 351.000000 
 2, 1400, 353.000000 
 2, 1500, 341.000000 
 2, 1600, 318.000000 
 2, 1700, 351.000000 
 2, 1800, 336.000000 
 2, 1900, 343.000000 
 2, 2000, 336.000000 
 2, 2100, 344.000000 
 2, 2200, 207.000000 
 2, 2300, 344.000000 
 3, 0000, 344.000000 
 3, 0100, 350.000000 
 3, 0200, 344.000000 
 3, 0300, 339.000000 
 3, 0400, 330.000000 
 3, 0500, 324.000000 
 3, 0600, 340.000000 
 3, 0700, 345.000000 
 3, 0800, 349.000000 
 3, 0900, 341.000000 
 3, 1000, 349.000000 
 3, 1100, 355.000000 
 3, 1200, 351.000000 
 3, 1300, 347.000000 
 3, 1400, 350.000000 
 3, 1500, 308.000000 
 3, 1600, 352.000000 
 3, 1700, 350.000000 
 3, 1800, 350.000000 
 3, 1900, 355.000000 
 3, 2000, 339.000000 
 3, 2100, 358.000000 
 3, 2200, 353.000000 
 3, 2300, 346.000000 
 4, 0000, 336.000000 
 4, 0100, 347.000000 
 4, 0200, 338.000000 
 4, 0300, 322.000000 
 4, 0400, 92.000000 
 4, 0500, 287.000000 
 4, 0600, 1.000000 
 4, 0700, 328.000000 
 4, 0800, 358.000000 
 4, 0900, 357.000000 
 4, 1000, 355.000000 
 4, 1100, 358.000000 
 4, 1200, 303.000000 
 4, 1300, 291.000000 
 4, 1400, 298.000000 
 4, 1500, 315.000000 
 4, 1600, 336.000000 
 4, 1700, 339.000000 
 4, 1800, 348.000000 
 4, 1900, 347.000000 
 4, 2000, 346.000000 
 4, 2100, 344.000000 
 4, 2200, 344.000000 
 4, 2300, 345.000000 
 5, 0000, 344.000000 
 5, 0100, 340.000000 
 5, 0200, 319.000000 
 5, 0300, 215.000000 
 5, 0400, 202.000000 
 5, 0500, 214.000000 
 5, 0600, 86.000000 
 5, 0700, 305.000000 
 5, 0800, 327.000000 
 5, 0900, 357.000000 
 5, 1000, 0.000000 
 5, 1100, 0.000000 
 5, 1200, 6.000000 
 5, 1300, 333.000000 
 5, 1400, 347.000000 
 5, 1500, 343.000000 
 5, 1600, 324.000000 
 5, 1700, 328.000000 
 5, 1800, 348.000000 
 5, 1900, 357.000000 
 5, 2000, 298.000000 
 5, 2100, 353.000000 
 5, 2200, 353.000000 
 5, 2300, 348.000000 
 6, 0000, 347.000000 
 6, 0100, 346.000000 
 6, 0200, 346.000000 
 6, 0300, 343.000000 
 6, 0400, 353.000000 
 6, 0500, 336.000000 
 6, 0600, 308.000000 
 6, 0700, 333.000000 
 6, 0800, 3.000000 
 6, 0900, 2.000000 
 6, 1000, 352.000000 
 6, 1100, 339.000000 
 6, 1200, 353.000000 
 6, 1300, 339.000000 
 6, 1400, 305.000000 
 6, 1500, 328.000000 
 6, 1600, 328.000000 
 6, 1700, 214.000000 
 6, 1800, 350.000000 
 6, 1900, 17.000000 
 6, 2000, 0.000000 
 6, 2100, 168.000000 
 6, 2200, 0.000000 
 6, 2300, -1.000000 
 7, 0000, 32.000000 
 7, 0100, 315.000000 
 7, 0200, 328.000000 
 7, 0300, 329.000000 
 7, 0400, 341.000000 
 7, 0500, 340.000000 
 7, 0600, 349.000000 
 7, 0700, 345.000000 
 7, 0800, 333.000000 
 7, 0900, 340.000000 
 7, 1000, 358.000000 
 7, 1100, 351.000000 
 7, 1200, 348.000000 
 7, 1300, 357.000000 
 7, 1400, 0.000000 
 7, 1500, 348.000000 
 7, 1600, 342.000000 
 7, 1700, 347.000000 
 7, 1800, 352.000000 
 7, 1900, 350.000000 
 7, 2000, 344.000000 
 7, 2100, 316.000000 
 7, 2200, 352.000000 
 7, 2300, 346.000000 
 8, 0000, 350.000000 
 8, 0100, 344.000000 
 8, 0200, 332.000000 
 8, 0300, 343.000000 
 8, 0400, 329.000000 
 8, 0500, 346.000000 
 8, 0600, 345.000000 
 8, 0700, 351.000000 
 8, 0800, 347.000000 
 8, 0900, 346.000000 
 8, 1000, 10.000000 
 8, 1100, 1.000000 
 8, 1200, 23.000000 
 8, 1300, 76.000000 
 8, 1400, 322.000000 
 8, 1500, 9.000000 
 8, 1600, 357.000000 
 8, 1700, 188.000000 
 8, 1800, 7.000000 
 8, 1900, 221.000000 
 8, 2000, 250.000000 
 8, 2100, 350.000000 
 8, 2200, 205.000000 
 8, 2300, 324.000000 
 9, 0000, 154.000000 
 9, 0100, 351.000000 
 9, 0200, 342.000000 
 9, 0300, 215.000000 
 9, 0400, 343.000000 
 9, 0500, 333.000000 
 9, 0600, 347.000000 
 9, 0700, 348.000000 
 9, 0800, 298.000000 
 9, 0900, 339.000000 
 9, 1000, 351.000000 
 9, 1100, 352.000000 
 9, 1200, 334.000000 
 9, 1300, 342.000000 
 9, 1400, 271.000000 
 9, 1500, 278.000000 
 9, 1600, 225.000000 
 9, 1700, 337.000000 
 9, 1800, 356.000000 
 9, 1900, 331.000000 
 9, 2000, 294.000000 
 9, 2100, 213.000000 
 9, 2200, 0.000000 
 9, 2300, 165.000000 
 10, 0000, 141.000000 
 10, 0100, 136.000000 
 10, 0200, 294.000000 
 10, 0300, 184.000000 
 10, 0400, 248.000000 
 10, 0500, 347.000000 
 10, 0600, 348.000000 
 10, 0700, 345.000000 
 10, 0800, 10.000000 
 10, 0900, 353.000000 
 10, 1000, 356.000000 
 10, 1100, 358.000000 
 10, 1200, 349.000000 
 10, 1300, 349.000000 
 10, 1400, 346.000000 
 10, 1500, 353.000000 
 10, 1600, 352.000000 
 10, 1700, 347.000000 
 10, 1800, 351.000000 
 10, 1900, 342.000000 
 10, 2000, 344.000000 
 10, 2100, 353.000000 
 10, 2200, 348.000000 
 10, 2300, 340.000000 
 11, 0000, 347.000000 
 11, 0100, 345.000000 
 11, 0200, 343.000000 
 11, 0300, 344.000000 
 11, 0400, 334.000000 
 11, 0500, 340.000000 
 11, 0600, 346.000000 
 11, 0700, 343.000000 
 11, 0800, 345.000000 
 11, 0900, 344.000000 
 11, 1000, 347.000000 
 11, 1100, 341.000000 
 11, 1200, 348.000000 
 11, 1300, 353.000000 
 11, 1400, 349.000000 
 11, 1500, 346.000000 
 11, 1600, 349.000000 
 11, 1700, 347.000000 
 11, 1800, 352.000000 
 11, 1900, 350.000000 
 11, 2000, 352.000000 
 11, 2100, 350.000000 
 11, 2200, 350.000000 
 11, 2300, 345.000000 
 12, 0000, 340.000000 
 12, 0100, 329.000000 
 12, 0200, 341.000000 
 12, 0300, 356.000000 
 12, 0400, 340.000000 
 12, 0500, 343.000000 
 12, 0600, 347.000000 
 12, 0700, 349.000000 
 12, 0800, 343.000000 
 12, 0900, 345.000000 
 12, 1000, 356.000000 
 12, 1100, 344.000000 
 12, 1200, 348.000000 
 12, 1300, 326.000000 
 12, 1400, 341.000000 
 12, 1500, 347.000000 
 12, 1600, 354.000000 
 12, 1700, 350.000000 
 12, 1800, 349.000000 
 12, 1900, 352.000000 
 12, 2000, 351.000000 
 12, 2100, 349.000000 
 12, 2200, 348.000000 
 12, 2300, 342.000000 
 13, 0000, 342.000000 
 13, 0100, 345.000000 
 13, 0200, 349.000000 
