 format: day,hour,value location:86_86 Start : 20110101 
 1, 0000, 360.000000 
 1, 0100, 16.000000 
 1, 0200, 2.000000 
 1, 0300, 2.000000 
 1, 0400, 2.000000 
 1, 0500, 347.000000 
 1, 0600, 348.000000 
 1, 0700, 349.000000 
 1, 0800, 356.000000 
 1, 0900, 343.000000 
 1, 1000, 352.000000 
 1, 1100, 347.000000 
 1, 1200, 354.000000 
 1, 1300, 358.000000 
 1, 1400, 324.000000 
 1, 1500, 341.000000 
 1, 1600, 7.000000 
 1, 1700, 345.000000 
 1, 1800, 340.000000 
 1, 1900, 340.000000 
 1, 2000, 331.000000 
 1, 2100, 322.000000 
 1, 2200, 326.000000 
 1, 2300, 323.000000 
 2, 0000, 316.000000 
 2, 0100, 311.000000 
 2, 0200, 358.000000 
 2, 0300, 346.000000 
 2, 0400, 346.000000 
 2, 0500, 356.000000 
 2, 0600, 351.000000 
 2, 0700, 9.000000 
 2, 0800, 6.000000 
 2, 0900, 5.000000 
 2, 1000, 6.000000 
 2, 1100, 358.000000 
 2, 1200, 6.000000 
 2, 1300, 358.000000 
 2, 1400, 354.000000 
 2, 1500, 358.000000 
 2, 1600, 347.000000 
 2, 1700, 4.000000 
 2, 1800, 360.000000 
 2, 1900, 355.000000 
 2, 2000, 355.000000 
 2, 2100, 355.000000 
 2, 2200, 357.000000 
 2, 2300, 333.000000 
 3, 0000, 346.000000 
 3, 0100, 3.000000 
 3, 0200, 356.000000 
 3, 0300, 345.000000 
 3, 0400, 358.000000 
 3, 0500, 5.000000 
 3, 0600, 21.000000 
 3, 0700, 7.000000 
 3, 0800, 13.000000 
 3, 0900, 9.000000 
 3, 1000, 360.000000 
 3, 1100, 7.000000 
 3, 1200, 360.000000 
 3, 1300, 14.000000 
 3, 1400, 22.000000 
 3, 1500, 3.000000 
 3, 1600, 360.000000 
 3, 1700, 4.000000 
 3, 1800, 6.000000 
 3, 1900, 7.000000 
 3, 2000, 360.000000 
 3, 2100, 15.000000 
 3, 2200, 20.000000 
 3, 2300, 356.000000 
 4, 0000, 355.000000 
 4, 0100, 358.000000 
 4, 0200, 12.000000 
 4, 0300, 20.000000 
 4, 0400, 14.000000 
 4, 0500, 30.000000 
 4, 0600, 5.000000 
 4, 0700, 356.000000 
 4, 0800, 2.000000 
 4, 0900, 16.000000 
 4, 1000, 2.000000 
 4, 1100, 15.000000 
 4, 1200, 350.000000 
 4, 1300, 354.000000 
 4, 1400, 9.000000 
 4, 1500, 28.000000 
 4, 1600, 356.000000 
 4, 1700, 318.000000 
 4, 1800, 326.000000 
 4, 1900, 315.000000 
 4, 2000, 305.000000 
 4, 2100, 302.000000 
 4, 2200, 317.000000 
 4, 2300, 318.000000 
 5, 0000, 299.000000 
 5, 0100, 308.000000 
 5, 0200, 319.000000 
 5, 0300, 144.000000 
 5, 0400, 239.000000 
 5, 0500, 238.000000 
 5, 0600, 282.000000 
 5, 0700, 294.000000 
 5, 0800, 309.000000 
 5, 0900, 315.000000 
 5, 1000, 354.000000 
 5, 1100, 357.000000 
 5, 1200, 8.000000 
 5, 1300, 360.000000 
 5, 1400, 346.000000 
 5, 1500, 360.000000 
 5, 1600, 360.000000 
 5, 1700, 8.000000 
 5, 1800, 15.000000 
 5, 1900, 6.000000 
 5, 2000, 17.000000 
 5, 2100, 14.000000 
 5, 2200, 4.000000 
 5, 2300, 359.000000 
 6, 0000, 342.000000 
 6, 0100, 360.000000 
 6, 0200, 352.000000 
 6, 0300, 3.000000 
 6, 0400, 18.000000 
 6, 0500, 10.000000 
 6, 0600, 27.000000 
 6, 0700, 4.000000 
 6, 0800, 1.000000 
 6, 0900, 15.000000 
 6, 1000, 14.000000 
 6, 1100, 2.000000 
 6, 1200, 6.000000 
 6, 1300, 349.000000 
 6, 1400, 348.000000 
 6, 1500, 11.000000 
 6, 1600, 8.000000 
 6, 1700, 359.000000 
 6, 1800, 5.000000 
 6, 1900, 354.000000 
 6, 2000, 2.000000 
 6, 2100, 358.000000 
 6, 2200, 327.000000 
 6, 2300, 352.000000 
 7, 0000, 355.000000 
 7, 0100, 7.000000 
 7, 0200, 11.000000 
 7, 0300, 357.000000 
 7, 0400, 5.000000 
 7, 0500, 14.000000 
 7, 0600, 357.000000 
 7, 0700, 357.000000 
 7, 0800, 360.000000 
 7, 0900, 342.000000 
 7, 1000, 360.000000 
 7, 1100, 333.000000 
 7, 1200, 343.000000 
 7, 1300, 339.000000 
 7, 1400, 352.000000 
 7, 1500, 345.000000 
 7, 1600, 324.000000 
 7, 1700, 317.000000 
 7, 1800, 326.000000 
 7, 1900, 317.000000 
 7, 2000, 287.000000 
 7, 2100, 333.000000 
 7, 2200, 326.000000 
 7, 2300, 314.000000 
 8, 0000, 312.000000 
 8, 0100, 313.000000 
 8, 0200, 339.000000 
 8, 0300, 17.000000 
 8, 0400, 29.000000 
 8, 0500, 291.000000 
 8, 0600, 344.000000 
 8, 0700, 21.000000 
 8, 0800, 339.000000 
 8, 0900, 3.000000 
 8, 1000, 360.000000 
 8, 1100, 340.000000 
