 format: day,hour,value location:88_90 Start : 20180101 
 1, 0000, 283.000000 
 1, 0100, 331.000000 
 1, 0200, 297.000000 
 1, 0300, 331.000000 
 1, 0400, 319.000000 
 1, 0500, 321.000000 
 1, 0600, 298.000000 
 1, 0700, 299.000000 
 1, 0800, 311.000000 
 1, 0900, 297.000000 
 1, 1000, 270.000000 
 1, 1100, 261.000000 
 1, 1200, 249.000000 
 1, 1300, 256.000000 
 1, 1400, 241.000000 
 1, 1500, 256.000000 
 1, 1600, 342.000000 
 1, 1700, 342.000000 
 1, 1800, 262.000000 
 1, 1900, 53.000000 
 1, 2000, 180.000000 
 1, 2100, 207.000000 
 1, 2200, 135.000000 
 1, 2300, 230.000000 
 2, 0000, 202.000000 
 2, 0100, 189.000000 
 2, 0200, 208.000000 
 2, 0300, 263.000000 
 2, 0400, 293.000000 
 2, 0500, 312.000000 
 2, 0600, 318.000000 
 2, 0700, 314.000000 
 2, 0800, 327.000000 
 2, 0900, 340.000000 
 2, 1000, 321.000000 
 2, 1100, 294.000000 
 2, 1200, 254.000000 
 2, 1300, 273.000000 
 2, 1400, 312.000000 
 2, 1500, 311.000000 
 2, 1600, 291.000000 
 2, 1700, 306.000000 
 2, 1800, 302.000000 
 2, 1900, 294.000000 
 2, 2000, 328.000000 
 2, 2100, 294.000000 
 2, 2200, 286.000000 
 2, 2300, 281.000000 
 3, 0000, 289.000000 
 3, 0100, 306.000000 
 3, 0200, 315.000000 
 3, 0300, 320.000000 
 3, 0400, 310.000000 
 3, 0500, 302.000000 
 3, 0600, 309.000000 
 3, 0700, 301.000000 
 3, 0800, 278.000000 
 3, 0900, 311.000000 
 3, 1000, 326.000000 
 3, 1100, 321.000000 
 3, 1200, 319.000000 
 3, 1300, 299.000000 
 3, 1400, 282.000000 
 3, 1500, 292.000000 
 3, 1600, 313.000000 
 3, 1700, 309.000000 
 3, 1800, 318.000000 
 3, 1900, 307.000000 
 3, 2000, 291.000000 
 3, 2100, 295.000000 
 3, 2200, 315.000000 
 3, 2300, 285.000000 
 4, 0000, 282.000000 
 4, 0100, 257.000000 
 4, 0200, 220.000000 
 4, 0300, 251.000000 
 4, 0400, 237.000000 
 4, 0500, 264.000000 
 4, 0600, 297.000000 
 4, 0700, 307.000000 
 4, 0800, 315.000000 
 4, 0900, 309.000000 
 4, 1000, 352.000000 
 4, 1100, 333.000000 
 4, 1200, 270.000000 
 4, 1300, 281.000000 
 4, 1400, 281.000000 
 4, 1500, 307.000000 
 4, 1600, 236.000000 
 4, 1700, 191.000000 
 4, 1800, 180.000000 
 4, 1900, 284.000000 
 4, 2000, 236.000000 
 4, 2100, 243.000000 
 4, 2200, 261.000000 
 4, 2300, 270.000000 
 5, 0000, 275.000000 
 5, 0100, 247.000000 
 5, 0200, 281.000000 
 5, 0300, 311.000000 
 5, 0400, 315.000000 
 5, 0500, 324.000000 
 5, 0600, 330.000000 
 5, 0700, 312.000000 
 5, 0800, 326.000000 
 5, 0900, 330.000000 
 5, 1000, 285.000000 
 5, 1100, 310.000000 
 5, 1200, 291.000000 
 5, 1300, 312.000000 
 5, 1400, 304.000000 
 5, 1500, 294.000000 
 5, 1600, 339.000000 
 5, 1700, 279.000000 
 5, 1800, 286.000000 
 5, 1900, 253.000000 
 5, 2000, 273.000000 
 5, 2100, 274.000000 
 5, 2200, 281.000000 
 5, 2300, 279.000000 
 6, 0000, 288.000000 
 6, 0100, 323.000000 
 6, 0200, 283.000000 
 6, 0300, 279.000000 
 6, 0400, 264.000000 
 6, 0500, 292.000000 
 6, 0600, 309.000000 
 6, 0700, 320.000000 
 6, 0800, 290.000000 
 6, 0900, 293.000000 
 6, 1000, 330.000000 
 6, 1100, 360.000000 
 6, 1200, 84.000000 
 6, 1300, 180.000000 
 6, 1400, 189.000000 
 6, 1500, 90.000000 
 6, 1600, 79.000000 
 6, 1700, 45.000000 
 6, 1800, 27.000000 
 6, 1900, 17.000000 
 6, 2000, 27.000000 
 6, 2100, 45.000000 
 6, 2200, 27.000000 
 6, 2300, 15.000000 
 7, 0000, 241.000000 
 7, 0100, 39.000000 
 7, 0200, 127.000000 
 7, 0300, 135.000000 
 7, 0400, 150.000000 
 7, 0500, 146.000000 
 7, 0600, 191.000000 
 7, 0700, 243.000000 
 7, 0800, 333.000000 
 7, 0900, 270.000000 
 7, 1000, 259.000000 
 7, 1100, 253.000000 
 7, 1200, 243.000000 
 7, 1300, 342.000000 
 7, 1400, 307.000000 
 7, 1500, 225.000000 
 7, 1600, 45.000000 
 7, 1700, 135.000000 
 7, 1800, 63.000000 
 7, 1900, 63.000000 
 7, 2000, 40.000000 
 7, 2100, 281.000000 
 7, 2200, 248.000000 
 7, 2300, 243.000000 
 8, 0000, 245.000000 
 8, 0100, 238.000000 
 8, 0200, 246.000000 
 8, 0300, 253.000000 
 8, 0400, 234.000000 
 8, 0500, 274.000000 
 8, 0600, 266.000000 
 8, 0700, 270.000000 
 8, 0800, 298.000000 
 8, 0900, 238.000000 
 8, 1000, 261.000000 
 8, 1100, 256.000000 
 8, 1200, 270.000000 
 8, 1300, 240.000000 
 8, 1400, 274.000000 
 8, 1500, 261.000000 
 8, 1600, 309.000000 
 8, 1700, 276.000000 
 8, 1800, 276.000000 
 8, 1900, 281.000000 
 8, 2000, 266.000000 
 8, 2100, 249.000000 
 8, 2200, 280.000000 
 8, 2300, 264.000000 
 9, 0000, 276.000000 
 9, 0100, 285.000000 
 9, 0200, 275.000000 
 9, 0300, 286.000000 
 9, 0400, 277.000000 
 9, 0500, 273.000000 
 9, 0600, 277.000000 
 9, 0700, 275.000000 
 9, 0800, 280.000000 
 9, 0900, 285.000000 
 9, 1000, 282.000000 
 9, 1100, 243.000000 
 9, 1200, 270.000000 
 9, 1300, 321.000000 
 9, 1400, 243.000000 
 9, 1500, 270.000000 
 9, 1600, 243.000000 
 9, 1700, 238.000000 
 9, 1800, 239.000000 
 9, 1900, 273.000000 
 9, 2000, 274.000000 
 9, 2100, 294.000000 
 9, 2200, 263.000000 
 9, 2300, 301.000000 
 10, 0000, 319.000000 
 10, 0100, 311.000000 
 10, 0200, 306.000000 
 10, 0300, 279.000000 
 10, 0400, 320.000000 
 10, 0500, 316.000000 
 10, 0600, 313.000000 
 10, 0700, 286.000000 
 10, 0800, 303.000000 
 10, 0900, 278.000000 
 10, 1000, 284.000000 
 10, 1100, 281.000000 
 10, 1200, 298.000000 
 10, 1300, 325.000000 
 10, 1400, 282.000000 
 10, 1500, 267.000000 
 10, 1600, 264.000000 
 10, 1700, 279.000000 
 10, 1800, 306.000000 
 10, 1900, 285.000000 
 10, 2000, 273.000000 
 10, 2100, 272.000000 
 10, 2200, 272.000000 
 10, 2300, 267.000000 
 11, 0000, 287.000000 
 11, 0100, 270.000000 
 11, 0200, 273.000000 
 11, 0300, 292.000000 
 11, 0400, 286.000000 
 11, 0500, 309.000000 
 11, 0600, 279.000000 
 11, 0700, 314.000000 
 11, 0800, 297.000000 
 11, 0900, 308.000000 
 11, 1000, 301.000000 
 11, 1100, 283.000000 
 11, 1200, 301.000000 
 11, 1300, 315.000000 
 11, 1400, 274.000000 
 11, 1500, 278.000000 
