 format: day,hour,value location:89_90 Start : 20220101 
 1, 0000, 55.000000 
 1, 0100, 317.000000 
 1, 0200, 193.000000 
 1, 0300, 148.000000 
 1, 0400, 156.000000 
 1, 0500, 171.000000 
 1, 0600, 308.000000 
 1, 0700, 293.000000 
 1, 0800, 3.000000 
 1, 0900, 0.000000 
 1, 1000, 29.000000 
 1, 1100, 24.000000 
 1, 1200, 42.000000 
 1, 1300, 178.000000 
 1, 1400, 318.000000 
 1, 1500, 317.000000 
 1, 1600, 313.000000 
 1, 1700, 316.000000 
 1, 1800, 311.000000 
 1, 1900, 324.000000 
 1, 2000, 33.000000 
 1, 2100, 307.000000 
 1, 2200, 309.000000 
 1, 2300, 169.000000 
 2, 0000, 282.000000 
 2, 0100, 168.000000 
 2, 0200, 168.000000 
 2, 0300, 173.000000 
 2, 0400, 326.000000 
 2, 0500, 286.000000 
 2, 0600, 347.000000 
 2, 0700, 286.000000 
 2, 0800, 130.000000 
 2, 0900, 91.000000 
 2, 1000, 348.000000 
 2, 1100, 336.000000 
 2, 1200, 0.000000 
 2, 1300, 0.000000 
 2, 1400, 112.000000 
 2, 1500, 5.000000 
 2, 1600, 113.000000 
 2, 1700, 125.000000 
 2, 1800, 49.000000 
 2, 1900, 0.000000 
 2, 2000, 62.000000 
 2, 2100, 25.000000 
 2, 2200, 21.000000 
 2, 2300, 47.000000 
 3, 0000, 157.000000 
 3, 0100, 304.000000 
 3, 0200, 172.000000 
 3, 0300, 139.000000 
 3, 0400, 289.000000 
 3, 0500, 297.000000 
 3, 0600, 270.000000 
 3, 0700, 1.000000 
 3, 0800, 233.000000 
 3, 0900, 296.000000 
 3, 1000, 293.000000 
 3, 1100, 212.000000 
 3, 1200, 164.000000 
 3, 1300, 48.000000 
 3, 1400, 314.000000 
 3, 1500, 28.000000 
 3, 1600, 194.000000 
 3, 1700, 164.000000 
 3, 1800, 170.000000 
 3, 1900, 0.000000 
 3, 2000, 109.000000 
 3, 2100, 330.000000 
 3, 2200, 197.000000 
 3, 2300, 175.000000 
 4, 0000, 151.000000 
 4, 0100, 174.000000 
 4, 0200, 299.000000 
 4, 0300, 157.000000 
 4, 0400, 302.000000 
 4, 0500, 293.000000 
 4, 0600, 297.000000 
 4, 0700, 301.000000 
 4, 0800, 301.000000 
 4, 0900, 202.000000 
 4, 1000, 339.000000 
 4, 1100, 297.000000 
 4, 1200, 72.000000 
 4, 1300, 54.000000 
 4, 1400, 28.000000 
 4, 1500, 37.000000 
 4, 1600, 34.000000 
 4, 1700, 33.000000 
 4, 1800, 63.000000 
 4, 1900, 23.000000 
 4, 2000, 52.000000 
 4, 2100, 7.000000 
 4, 2200, 0.000000 
 4, 2300, 43.000000 
 5, 0000, 73.000000 
 5, 0100, 63.000000 
 5, 0200, 136.000000 
 5, 0300, 348.000000 
 5, 0400, 0.000000 
 5, 0500, 325.000000 
 5, 0600, 233.000000 
 5, 0700, 73.000000 
 5, 0800, 0.000000 
 5, 0900, 0.000000 
 5, 1000, 0.000000 
 5, 1100, 318.000000 
 5, 1200, 0.000000 
 5, 1300, 0.000000 
 5, 1400, 0.000000 
 5, 1500, 177.000000 
 5, 1600, 140.000000 
 5, 1700, 0.000000 
 5, 1800, 153.000000 
 5, 1900, 118.000000 
 5, 2000, 151.000000 
 5, 2100, 118.000000 
 5, 2200, 84.000000 
 5, 2300, 152.000000 
 6, 0000, 131.000000 
 6, 0100, 147.000000 
 6, 0200, 141.000000 
 6, 0300, 287.000000 
 6, 0400, 159.000000 
 6, 0500, 312.000000 
 6, 0600, 305.000000 
 6, 0700, 317.000000 
 6, 0800, 303.000000 
 6, 0900, 205.000000 
 6, 1000, 160.000000 
 6, 1100, 292.000000 
 6, 1200, 187.000000 
 6, 1300, 0.000000 
 6, 1400, 24.000000 
 6, 1500, 36.000000 
 6, 1600, 38.000000 
 6, 1700, 17.000000 
 6, 1800, 24.000000 
 6, 1900, 320.000000 
 6, 2000, 54.000000 
 6, 2100, 42.000000 
 6, 2200, 11.000000 
 6, 2300, -1.000000 
 7, 0000, 304.000000 
 7, 0100, 19.000000 
 7, 0200, 182.000000 
 7, 0300, 173.000000 
 7, 0400, 138.000000 
 7, 0500, 110.000000 
 7, 0600, 108.000000 
 7, 0700, 125.000000 
 7, 0800, 323.000000 
 7, 0900, 292.000000 
 7, 1000, 170.000000 
 7, 1100, 37.000000 
 7, 1200, 323.000000 
 7, 1300, 32.000000 
 7, 1400, 353.000000 
 7, 1500, 20.000000 
 7, 1600, 5.000000 
 7, 1700, 311.000000 
 7, 1800, 319.000000 
 7, 1900, 28.000000 
 7, 2000, 27.000000 
 7, 2100, 21.000000 
 7, 2200, 334.000000 
 7, 2300, 313.000000 
 8, 0000, 156.000000 
 8, 0100, 182.000000 
 8, 0200, 176.000000 
 8, 0300, 266.000000 
 8, 0400, 290.000000 
 8, 0500, 164.000000 
 8, 0600, 139.000000 
 8, 0700, 198.000000 
 8, 0800, 263.000000 
 8, 0900, 300.000000 
 8, 1000, 106.000000 
 8, 1100, 63.000000 
 8, 1200, 3.000000 
 8, 1300, 331.000000 
 8, 1400, 333.000000 
 8, 1500, 3.000000 
 8, 1600, 0.000000 
 8, 1700, 0.000000 
 8, 1800, 18.000000 
 8, 1900, 321.000000 
 8, 2000, 356.000000 
 8, 2100, 320.000000 
 8, 2200, 318.000000 
 8, 2300, 17.000000 
 9, 0000, 20.000000 
 9, 0100, 320.000000 
 9, 0200, 156.000000 
 9, 0300, 331.000000 
 9, 0400, 107.000000 
 9, 0500, 334.000000 
