 format: day,hour,value location:90_90 Start : 20200101 
 1, 0000, 293.000000 
 1, 0100, 295.000000 
 1, 0200, 315.000000 
 1, 0300, 329.000000 
 1, 0400, 320.000000 
 1, 0500, 337.000000 
 1, 0600, 336.000000 
 1, 0700, 315.000000 
 1, 0800, 327.000000 
 1, 0900, 303.000000 
 1, 1000, 283.000000 
 1, 1100, 278.000000 
 1, 1200, 267.000000 
 1, 1300, 279.000000 
 1, 1400, 277.000000 
 1, 1500, 274.000000 
 1, 1600, 279.000000 
 1, 1700, 57.000000 
 1, 1800, 284.000000 
 1, 1900, 271.000000 
 1, 2000, 266.000000 
 1, 2100, 275.000000 
 1, 2200, 263.000000 
 1, 2300, 268.000000 
 2, 0000, 276.000000 
 2, 0100, 278.000000 
 2, 0200, 294.000000 
 2, 0300, 282.000000 
 2, 0400, 281.000000 
 2, 0500, 302.000000 
 2, 0600, 319.000000 
 2, 0700, 305.000000 
 2, 0800, 283.000000 
 2, 0900, 289.000000 
 2, 1000, 288.000000 
 2, 1100, 299.000000 
 2, 1200, 288.000000 
 2, 1300, 285.000000 
 2, 1400, 286.000000 
 2, 1500, 286.000000 
 2, 1600, 293.000000 
 2, 1700, 285.000000 
 2, 1800, 268.000000 
 2, 1900, 246.000000 
 2, 2000, 248.000000 
 2, 2100, 285.000000 
 2, 2200, 332.000000 
 2, 2300, 299.000000 
 3, 0000, 304.000000 
 3, 0100, 288.000000 
 3, 0200, 287.000000 
 3, 0300, 297.000000 
 3, 0400, 302.000000 
 3, 0500, 289.000000 
 3, 0600, 291.000000 
 3, 0700, 299.000000 
 3, 0800, 292.000000 
 3, 0900, 324.000000 
 3, 1000, 284.000000 
 3, 1100, 301.000000 
 3, 1200, 99.000000 
 3, 1300, 21.000000 
 3, 1400, 332.000000 
 3, 1500, 324.000000 
 3, 1600, 6.000000 
 3, 1700, 2.000000 
 3, 1800, 24.000000 
 3, 1900, 311.000000 
 3, 2000, 304.000000 
 3, 2100, 278.000000 
 3, 2200, 338.000000 
