 format: day,hour,value location:89_92 Start : 20220101 
 1, 0000, 85.000000 
 1, 0100, 210.000000 
 1, 0200, 231.000000 
 1, 0300, 195.000000 
 1, 0400, 354.000000 
 1, 0500, 259.000000 
 1, 0600, 333.000000 
 1, 0700, 312.000000 
 1, 0800, 259.000000 
 1, 0900, 29.000000 
 1, 1000, 92.000000 
 1, 1100, 18.000000 
 1, 1200, 116.000000 
 1, 1300, 327.000000 
 1, 1400, 298.000000 
 1, 1500, 299.000000 
 1, 1600, 296.000000 
 1, 1700, 311.000000 
 1, 1800, 274.000000 
 1, 1900, 244.000000 
 1, 2000, 355.000000 
 1, 2100, 274.000000 
 1, 2200, 236.000000 
 1, 2300, 292.000000 
 2, 0000, 196.000000 
 2, 0100, 221.000000 
 2, 0200, 236.000000 
 2, 0300, 281.000000 
 2, 0400, 291.000000 
 2, 0500, 279.000000 
 2, 0600, 280.000000 
 2, 0700, 295.000000 
 2, 0800, 291.000000 
 2, 0900, 265.000000 
 2, 1000, 294.000000 
 2, 1100, 303.000000 
 2, 1200, 358.000000 
 2, 1300, 246.000000 
 2, 1400, 250.000000 
 2, 1500, 280.000000 
 2, 1600, 290.000000 
 2, 1700, 262.000000 
 2, 1800, 268.000000 
 2, 1900, 301.000000 
 2, 2000, 278.000000 
 2, 2100, 305.000000 
 2, 2200, 333.000000 
 2, 2300, 105.000000 
 3, 0000, 199.000000 
 3, 0100, 206.000000 
 3, 0200, 231.000000 
 3, 0300, 280.000000 
 3, 0400, 299.000000 
 3, 0500, 309.000000 
 3, 0600, 302.000000 
 3, 0700, 276.000000 
 3, 0800, 301.000000 
 3, 0900, 320.000000 
 3, 1000, 315.000000 
 3, 1100, 327.000000 
 3, 1200, 237.000000 
 3, 1300, 269.000000 
 3, 1400, 253.000000 
 3, 1500, 205.000000 
 3, 1600, 298.000000 
 3, 1700, 248.000000 
 3, 1800, 296.000000 
 3, 1900, 287.000000 
 3, 2000, 86.000000 
 3, 2100, 338.000000 
 3, 2200, 291.000000 
 3, 2300, 287.000000 
 4, 0000, 263.000000 
 4, 0100, 252.000000 
 4, 0200, 273.000000 
 4, 0300, 282.000000 
 4, 0400, 271.000000 
 4, 0500, 279.000000 
 4, 0600, 294.000000 
 4, 0700, 314.000000 
 4, 0800, 326.000000 
 4, 0900, 342.000000 
 4, 1000, 293.000000 
 4, 1100, 311.000000 
 4, 1200, 300.000000 
 4, 1300, 307.000000 
 4, 1400, 24.000000 
 4, 1500, 66.000000 
 4, 1600, 78.000000 
 4, 1700, 54.000000 
 4, 1800, 50.000000 
 4, 1900, 3.000000 
 4, 2000, 360.000000 
 4, 2100, 54.000000 
 4, 2200, 84.000000 
 4, 2300, 72.000000 
 5, 0000, 238.000000 
 5, 0100, 155.000000 
 5, 0200, 209.000000 
 5, 0300, 171.000000 
 5, 0400, 214.000000 
 5, 0500, 250.000000 
 5, 0600, 252.000000 
 5, 0700, 253.000000 
 5, 0800, 239.000000 
 5, 0900, 254.000000 
 5, 1000, 27.000000 
 5, 1100, 0.000000 
 5, 1200, 68.000000 
 5, 1300, 296.000000 
 5, 1400, 267.000000 
 5, 1500, 284.000000 
 5, 1600, 282.000000 
 5, 1700, 294.000000 
 5, 1800, 297.000000 
 5, 1900, 275.000000 
 5, 2000, 314.000000 
 5, 2100, 251.000000 
 5, 2200, 230.000000 
 5, 2300, 248.000000 
 6, 0000, 281.000000 
 6, 0100, 271.000000 
 6, 0200, 283.000000 
 6, 0300, 294.000000 
 6, 0400, 278.000000 
 6, 0500, 305.000000 
 6, 0600, 284.000000 
 6, 0700, 282.000000 
 6, 0800, 265.000000 
 6, 0900, 290.000000 
 6, 1000, 60.000000 
 6, 1100, 307.000000 
 6, 1200, 200.000000 
 6, 1300, 284.000000 
 6, 1400, 10.000000 
 6, 1500, 61.000000 
 6, 1600, 69.000000 
 6, 1700, 326.000000 
 6, 1800, 258.000000 
 6, 1900, 319.000000 
 6, 2000, 185.000000 
 6, 2100, 350.000000 
 6, 2200, 65.000000 
 6, 2300, -1.000000 
 7, 0000, 304.000000 
 7, 0100, 175.000000 
 7, 0200, 184.000000 
 7, 0300, 216.000000 
 7, 0400, 232.000000 
 7, 0500, 222.000000 
 7, 0600, 251.000000 
 7, 0700, 250.000000 
 7, 0800, 298.000000 
 7, 0900, 0.000000 
 7, 1000, 302.000000 
 7, 1100, 9.000000 
 7, 1200, 287.000000 
 7, 1300, 272.000000 
 7, 1400, 347.000000 
 7, 1500, 301.000000 
 7, 1600, 290.000000 
 7, 1700, 276.000000 
 7, 1800, 284.000000 
 7, 1900, 297.000000 
 7, 2000, 93.000000 
 7, 2100, 0.000000 
 7, 2200, 355.000000 
 7, 2300, 179.000000 
 8, 0000, 220.000000 
 8, 0100, 267.000000 
 8, 0200, 277.000000 
 8, 0300, 294.000000 
 8, 0400, 286.000000 
 8, 0500, 271.000000 
 8, 0600, 297.000000 
 8, 0700, 301.000000 
 8, 0800, 316.000000 
 8, 0900, 333.000000 
 8, 1000, 258.000000 
 8, 1100, 303.000000 
 8, 1200, 279.000000 
 8, 1300, 307.000000 
 8, 1400, 99.000000 
 8, 1500, 87.000000 
 8, 1600, 27.000000 
 8, 1700, 266.000000 
 8, 1800, 189.000000 
 8, 1900, 274.000000 
 8, 2000, 120.000000 
 8, 2100, 257.000000 
 8, 2200, 67.000000 
 8, 2300, 301.000000 
 9, 0000, 64.000000 
 9, 0100, 151.000000 
 9, 0200, 174.000000 
 9, 0300, 233.000000 
 9, 0400, 316.000000 
 9, 0500, 344.000000 
 9, 0600, 263.000000 
 9, 0700, 310.000000 
 9, 0800, 360.000000 
 9, 0900, 69.000000 
 9, 1000, 67.000000 
 9, 1100, 93.000000 
 9, 1200, 83.000000 
 9, 1300, 0.000000 
 9, 1400, 293.000000 
 9, 1500, 305.000000 
 9, 1600, 310.000000 
 9, 1700, 153.000000 
 9, 1800, 328.000000 
 9, 1900, 324.000000 
 9, 2000, 125.000000 
 9, 2100, 35.000000 
 9, 2200, 58.000000 
 9, 2300, 0.000000 
 10, 0000, 229.000000 
 10, 0100, 207.000000 
 10, 0200, 186.000000 
 10, 0300, 190.000000 
 10, 0400, 228.000000 
 10, 0500, 225.000000 
 10, 0600, 263.000000 
 10, 0700, 309.000000 
 10, 0800, 314.000000 
 10, 0900, 320.000000 
 10, 1000, 240.000000 
 10, 1100, 242.000000 
 10, 1200, 275.000000 
 10, 1300, 262.000000 
 10, 1400, 284.000000 
 10, 1500, 286.000000 
 10, 1600, 283.000000 
 10, 1700, 270.000000 
 10, 1800, 276.000000 
 10, 1900, 274.000000 
 10, 2000, 276.000000 
 10, 2100, 290.000000 
 10, 2200, 294.000000 
 10, 2300, 283.000000 
 11, 0000, 278.000000 
 11, 0100, 264.000000 
 11, 0200, 272.000000 
 11, 0300, 263.000000 
 11, 0400, 273.000000 
 11, 0500, 305.000000 
 11, 0600, 272.000000 
 11, 0700, 277.000000 
 11, 0800, 282.000000 
 11, 0900, 280.000000 
 11, 1000, 279.000000 
 11, 1100, 305.000000 
 11, 1200, 271.000000 
 11, 1300, 280.000000 
 11, 1400, 284.000000 
 11, 1500, 301.000000 
 11, 1600, 287.000000 
 11, 1700, 299.000000 
 11, 1800, 286.000000 
 11, 1900, 298.000000 
 11, 2000, 281.000000 
 11, 2100, 301.000000 
 11, 2200, 242.000000 
 11, 2300, 252.000000 
 12, 0000, 268.000000 
 12, 0100, 272.000000 
 12, 0200, 325.000000 
 12, 0300, 286.000000 
 12, 0400, 295.000000 
 12, 0500, 277.000000 
