 format: day,hour,value location:90_89 Start : 20170101 
 1, 0000, 281.000000 
 1, 0100, 259.000000 
 1, 0200, 266.000000 
 1, 0300, 257.000000 
 1, 0400, 254.000000 
 1, 0500, 257.000000 
 1, 0600, 303.000000 
 1, 0700, 299.000000 
 1, 0800, 319.000000 
 1, 0900, 309.000000 
 1, 1000, 90.000000 
 1, 1100, 90.000000 
 1, 1200, 194.000000 
 1, 1300, 104.000000 
 1, 1400, 315.000000 
 1, 1500, 326.000000 
 1, 1600, 326.000000 
 1, 1700, 180.000000 
 1, 1800, 252.000000 
 1, 1900, 279.000000 
 1, 2000, 270.000000 
 1, 2100, 297.000000 
 1, 2200, 297.000000 
 1, 2300, 315.000000 
 2, 0000, 11.000000 
 2, 0100, 288.000000 
 2, 0200, 280.000000 
 2, 0300, 270.000000 
 2, 0400, 252.000000 
 2, 0500, 313.000000 
 2, 0600, 302.000000 
 2, 0700, 295.000000 
 2, 0800, 291.000000 
 2, 0900, 290.000000 
 2, 1000, 305.000000 
 2, 1100, 225.000000 
 2, 1200, 153.000000 
 2, 1300, 90.000000 
 2, 1400, 333.000000 
 2, 1500, 291.000000 
 2, 1600, 270.000000 
 2, 1700, 323.000000 
 2, 1800, 304.000000 
 2, 1900, 288.000000 
 2, 2000, 292.000000 
 2, 2100, 339.000000 
 2, 2200, 321.000000 
 2, 2300, 279.000000 
 3, 0000, 342.000000 
 3, 0100, 297.000000 
 3, 0200, 292.000000 
 3, 0300, 291.000000 
 3, 0400, 283.000000 
 3, 0500, 280.000000 
 3, 0600, 252.000000 
 3, 0700, 278.000000 
 3, 0800, 225.000000 
 3, 0900, 327.000000 
 3, 1000, 34.000000 
 3, 1100, 315.000000 
 3, 1200, 0.000000 
 3, 1300, 288.000000 
 3, 1400, 281.000000 
 3, 1500, 288.000000 
 3, 1600, 252.000000 
 3, 1700, 256.000000 
 3, 1800, 225.000000 
 3, 1900, 270.000000 
 3, 2000, 315.000000 
 3, 2100, 166.000000 
 3, 2200, 207.000000 
 3, 2300, 180.000000 
 4, 0000, 108.000000 
 4, 0100, 112.000000 
 4, 0200, 180.000000 
 4, 0300, 202.000000 
 4, 0400, 239.000000 
 4, 0500, 241.000000 
 4, 0600, 329.000000 
 4, 0700, 307.000000 
 4, 0800, 299.000000 
 4, 0900, 315.000000 
 4, 1000, 304.000000 
 4, 1100, 101.000000 
 4, 1200, 74.000000 
 4, 1300, 76.000000 
 4, 1400, 100.000000 
 4, 1500, 61.000000 
 4, 1600, 45.000000 
 4, 1700, 53.000000 
 4, 1800, 99.000000 
 4, 1900, 106.000000 
 4, 2000, 104.000000 
 4, 2100, 315.000000 
 4, 2200, 72.000000 
 4, 2300, 37.000000 
 5, 0000, 90.000000 
 5, 0100, 45.000000 
 5, 0200, 9.000000 
 5, 0300, 90.000000 
 5, 0400, 67.000000 
 5, 0500, 69.000000 
 5, 0600, 88.000000 
 5, 0700, 104.000000 
 5, 0800, 94.000000 
 5, 0900, 69.000000 
 5, 1000, 90.000000 
 5, 1100, 90.000000 
 5, 1200, 92.000000 
 5, 1300, 90.000000 
 5, 1400, 101.000000 
 5, 1500, 101.000000 
 5, 1600, 113.000000 
 5, 1700, 118.000000 
 5, 1800, 96.000000 
 5, 1900, 126.000000 
 5, 2000, 139.000000 
 5, 2100, 129.000000 
 5, 2200, 146.000000 
 5, 2300, 124.000000 
 6, 0000, 146.000000 
 6, 0100, 333.000000 
 6, 0200, 329.000000 
 6, 0300, 360.000000 
 6, 0400, 98.000000 
 6, 0500, 32.000000 
 6, 0600, 63.000000 
