 format: day,hour,value location:87_90 Start : 20220101 
 1, 0000, 8.000000 
 1, 0100, 292.000000 
 1, 0200, 149.000000 
 1, 0300, 174.000000 
 1, 0400, 30.000000 
 1, 0500, 33.000000 
 1, 0600, 287.000000 
 1, 0700, 284.000000 
 1, 0800, 303.000000 
 1, 0900, 300.000000 
 1, 1000, 259.000000 
 1, 1100, 255.000000 
 1, 1200, 33.000000 
 1, 1300, 332.000000 
 1, 1400, 260.000000 
 1, 1500, 36.000000 
 1, 1600, 253.000000 
 1, 1700, 340.000000 
 1, 1800, 253.000000 
 1, 1900, 6.000000 
 1, 2000, 294.000000 
 1, 2100, 7.000000 
 1, 2200, 205.000000 
 1, 2300, 231.000000 
 2, 0000, 52.000000 
 2, 0100, 222.000000 
 2, 0200, 276.000000 
 2, 0300, 241.000000 
 2, 0400, 19.000000 
 2, 0500, 5.000000 
 2, 0600, 30.000000 
 2, 0700, 311.000000 
 2, 0800, 17.000000 
 2, 0900, 7.000000 
 2, 1000, 1.000000 
 2, 1100, 323.000000 
 2, 1200, 302.000000 
 2, 1300, 291.000000 
 2, 1400, 305.000000 
 2, 1500, 254.000000 
 2, 1600, 231.000000 
 2, 1700, 243.000000 
 2, 1800, 230.000000 
 2, 1900, 255.000000 
 2, 2000, 249.000000 
 2, 2100, 263.000000 
 2, 2200, 240.000000 
 2, 2300, 231.000000 
 3, 0000, 247.000000 
 3, 0100, 253.000000 
 3, 0200, 277.000000 
 3, 0300, 358.000000 
 3, 0400, 309.000000 
 3, 0500, 38.000000 
 3, 0600, 345.000000 
 3, 0700, 170.000000 
 3, 0800, 50.000000 
 3, 0900, 315.000000 
 3, 1000, 304.000000 
 3, 1100, 324.000000 
 3, 1200, 265.000000 
 3, 1300, 281.000000 
 3, 1400, 252.000000 
 3, 1500, 286.000000 
 3, 1600, 281.000000 
 3, 1700, 62.000000 
 3, 1800, 147.000000 
 3, 1900, 243.000000 
 3, 2000, 114.000000 
 3, 2100, 210.000000 
 3, 2200, 269.000000 
 3, 2300, 38.000000 
 4, 0000, 145.000000 
 4, 0100, 280.000000 
 4, 0200, 306.000000 
 4, 0300, 3.000000 
 4, 0400, 16.000000 
 4, 0500, 359.000000 
 4, 0600, 308.000000 
 4, 0700, 323.000000 
 4, 0800, 359.000000 
 4, 0900, 157.000000 
 4, 1000, 318.000000 
 4, 1100, 302.000000 
 4, 1200, 283.000000 
 4, 1300, 278.000000 
 4, 1400, 306.000000 
 4, 1500, 355.000000 
 4, 1600, 221.000000 
 4, 1700, 23.000000 
 4, 1800, 257.000000 
 4, 1900, 31.000000 
 4, 2000, 12.000000 
 4, 2100, 331.000000 
 4, 2200, 40.000000 
 4, 2300, 338.000000 
 5, 0000, 316.000000 
 5, 0100, 66.000000 
 5, 0200, 163.000000 
 5, 0300, 165.000000 
 5, 0400, 44.000000 
 5, 0500, 255.000000 
 5, 0600, 320.000000 
 5, 0700, 254.000000 
 5, 0800, 276.000000 
 5, 0900, 215.000000 
 5, 1000, 32.000000 
 5, 1100, 49.000000 
 5, 1200, 259.000000 
 5, 1300, 248.000000 
 5, 1400, 232.000000 
 5, 1500, 233.000000 
 5, 1600, 262.000000 
 5, 1700, 235.000000 
 5, 1800, 249.000000 
 5, 1900, 191.000000 
 5, 2000, 309.000000 
 5, 2100, 309.000000 
 5, 2200, 289.000000 
 5, 2300, 278.000000 
 6, 0000, 304.000000 
 6, 0100, 311.000000 
 6, 0200, 334.000000 
 6, 0300, 3.000000 
 6, 0400, 34.000000 
 6, 0500, 8.000000 
 6, 0600, 345.000000 
 6, 0700, 330.000000 
 6, 0800, 325.000000 
 6, 0900, 333.000000 
 6, 1000, 36.000000 
 6, 1100, 279.000000 
 6, 1200, 277.000000 
 6, 1300, 310.000000 
 6, 1400, 250.000000 
 6, 1500, 24.000000 
 6, 1600, 273.000000 
 6, 1700, 274.000000 
 6, 1800, 269.000000 
 6, 1900, 331.000000 
 6, 2000, 302.000000 
 6, 2100, 18.000000 
 6, 2200, 17.000000 
 6, 2300, -1.000000 
 7, 0000, 304.000000 
 7, 0100, 201.000000 
 7, 0200, 154.000000 
 7, 0300, 277.000000 
 7, 0400, 203.000000 
 7, 0500, 262.000000 
 7, 0600, 340.000000 
 7, 0700, 312.000000 
 7, 0800, 290.000000 
 7, 0900, 133.000000 
 7, 1000, 96.000000 
 7, 1100, 268.000000 
 7, 1200, 259.000000 
 7, 1300, 245.000000 
 7, 1400, 248.000000 
 7, 1500, 265.000000 
 7, 1600, 264.000000 
 7, 1700, 220.000000 
 7, 1800, 246.000000 
 7, 1900, 258.000000 
 7, 2000, 267.000000 
 7, 2100, 243.000000 
 7, 2200, 239.000000 
 7, 2300, 224.000000 
 8, 0000, 309.000000 
 8, 0100, 267.000000 
 8, 0200, 300.000000 
 8, 0300, 42.000000 
 8, 0400, 33.000000 
 8, 0500, 152.000000 
 8, 0600, 322.000000 
 8, 0700, 320.000000 
 8, 0800, 324.000000 
 8, 0900, 322.000000 
 8, 1000, 241.000000 
 8, 1100, 238.000000 
 8, 1200, 265.000000 
 8, 1300, 270.000000 
 8, 1400, 280.000000 
 8, 1500, 262.000000 
 8, 1600, 253.000000 
 8, 1700, 118.000000 
 8, 1800, 309.000000 
 8, 1900, 265.000000 
 8, 2000, 309.000000 
 8, 2100, 269.000000 
 8, 2200, 20.000000 
 8, 2300, 256.000000 
 9, 0000, 216.000000 
 9, 0100, 134.000000 
 9, 0200, 152.000000 
 9, 0300, 42.000000 
 9, 0400, 31.000000 
 9, 0500, 38.000000 
 9, 0600, 299.000000 
 9, 0700, 317.000000 
 9, 0800, 304.000000 
 9, 0900, 299.000000 
 9, 1000, 240.000000 
 9, 1100, 259.000000 
 9, 1200, 16.000000 
 9, 1300, 7.000000 
 9, 1400, 317.000000 
 9, 1500, 261.000000 
 9, 1600, 341.000000 
 9, 1700, 35.000000 
 9, 1800, 262.000000 
 9, 1900, 13.000000 
 9, 2000, 309.000000 
 9, 2100, 226.000000 
 9, 2200, 319.000000 
 9, 2300, 140.000000 
 10, 0000, 272.000000 
 10, 0100, 40.000000 
 10, 0200, 238.000000 
 10, 0300, 205.000000 
 10, 0400, 224.000000 
 10, 0500, 272.000000 
 10, 0600, 279.000000 
 10, 0700, 315.000000 
 10, 0800, 332.000000 
 10, 0900, 314.000000 
 10, 1000, 307.000000 
 10, 1100, 296.000000 
 10, 1200, 297.000000 
 10, 1300, 319.000000 
 10, 1400, 7.000000 
 10, 1500, 341.000000 
 10, 1600, 301.000000 
 10, 1700, 28.000000 
 10, 1800, 91.000000 
 10, 1900, 55.000000 
 10, 2000, 33.000000 
 10, 2100, 16.000000 
 10, 2200, 37.000000 
 10, 2300, 320.000000 
 11, 0000, 6.000000 
 11, 0100, 332.000000 
 11, 0200, 253.000000 
 11, 0300, 54.000000 
 11, 0400, 297.000000 
 11, 0500, 328.000000 
 11, 0600, 38.000000 
 11, 0700, 47.000000 
 11, 0800, 282.000000 
 11, 0900, 293.000000 
 11, 1000, 254.000000 
 11, 1100, 176.000000 
 11, 1200, 331.000000 
 11, 1300, 20.000000 
 11, 1400, 22.000000 
 11, 1500, 302.000000 
 11, 1600, 28.000000 
 11, 1700, 307.000000 
 11, 1800, 336.000000 
 11, 1900, 328.000000 
 11, 2000, 316.000000 
 11, 2100, 306.000000 
 11, 2200, 302.000000 
 11, 2300, 311.000000 
 12, 0000, 328.000000 
 12, 0100, 43.000000 
 12, 0200, 39.000000 
 12, 0300, 32.000000 
 12, 0400, 9.000000 
 12, 0500, 8.000000 
 12, 0600, 357.000000 
 12, 0700, 341.000000 
 12, 0800, 303.000000 
 12, 0900, 338.000000 
 12, 1000, 312.000000 
 12, 1100, 296.000000 
 12, 1200, 293.000000 
 12, 1300, 320.000000 
 12, 1400, 47.000000 
 12, 1500, 298.000000 
 12, 1600, 325.000000 
 12, 1700, 259.000000 
 12, 1800, 230.000000 
 12, 1900, 216.000000 
 12, 2000, 287.000000 
 12, 2100, 312.000000 
 12, 2200, 262.000000 
 12, 2300, 221.000000 
 13, 0000, 278.000000 
 13, 0100, 301.000000 
 13, 0200, 345.000000 
 13, 0300, 57.000000 
 13, 0400, 347.000000 
 13, 0500, 295.000000 
 13, 0600, 15.000000 
 13, 0700, 0.000000 
 13, 0800, 13.000000 
 13, 0900, 41.000000 
 13, 1000, 2.000000 
 13, 1100, 47.000000 
 13, 1200, 27.000000 
 13, 1300, 199.000000 
 13, 1400, 43.000000 
 13, 1500, 56.000000 
 13, 1600, 118.000000 
 13, 1700, 330.000000 
 13, 1800, 288.000000 
 13, 1900, 303.000000 
 13, 2000, 293.000000 
 13, 2100, 83.000000 
 13, 2200, 114.000000 
 13, 2300, 51.000000 
 14, 0000, 200.000000 
 14, 0100, 29.000000 
 14, 0200, 21.000000 
 14, 0300, 342.000000 
 14, 0400, 6.000000 
 14, 0500, 24.000000 
 14, 0600, 356.000000 
 14, 0700, 357.000000 
 14, 0800, 321.000000 
 14, 0900, 257.000000 
 14, 1000, 45.000000 
 14, 1100, 331.000000 
 14, 1200, 41.000000 
 14, 1300, 20.000000 
 14, 1400, 32.000000 
 14, 1500, 249.000000 
 14, 1600, 20.000000 
 14, 1700, 264.000000 
 14, 1800, 243.000000 
 14, 1900, 57.000000 
 14, 2000, 298.000000 
 14, 2100, 258.000000 
 14, 2200, 261.000000 
 14, 2300, 65.000000 
 15, 0000, 221.000000 
 15, 0100, 255.000000 
 15, 0200, 259.000000 
 15, 0300, 271.000000 
 15, 0400, 17.000000 
 15, 0500, 64.000000 
 15, 0600, 303.000000 
 15, 0700, 342.000000 
 15, 0800, 18.000000 
