 format: day,hour,value location:90_91 Start : 20120101 
 1, 0000, 277.000000 
 1, 0100, 291.000000 
 1, 0200, 276.000000 
 1, 0300, 274.000000 
 1, 0400, 295.000000 
 1, 0500, 312.000000 
 1, 0600, 323.000000 
 1, 0700, 295.000000 
 1, 0800, 327.000000 
 1, 0900, 305.000000 
 1, 1000, 320.000000 
 1, 1100, 341.000000 
 1, 1200, 326.000000 
 1, 1300, 324.000000 
 1, 1400, 321.000000 
 1, 1500, 313.000000 
 1, 1600, 313.000000 
 1, 1700, 310.000000 
 1, 1800, 312.000000 
 1, 1900, 326.000000 
 1, 2000, 303.000000 
 1, 2100, 312.000000 
 1, 2200, 282.000000 
 1, 2300, 308.000000 
 2, 0000, 315.000000 
 2, 0100, 5.000000 
 2, 0200, 322.000000 
 2, 0300, 282.000000 
 2, 0400, 303.000000 
 2, 0500, 295.000000 
 2, 0600, 288.000000 
 2, 0700, 291.000000 
 2, 0800, 312.000000 
 2, 0900, 304.000000 
 2, 1000, 313.000000 
 2, 1100, 311.000000 
 2, 1200, 311.000000 
 2, 1300, 304.000000 
 2, 1400, 325.000000 
 2, 1500, 330.000000 
 2, 1600, 315.000000 
 2, 1700, 305.000000 
 2, 1800, 309.000000 
 2, 1900, 324.000000 
 2, 2000, 325.000000 
 2, 2100, 315.000000 
 2, 2200, 312.000000 
 2, 2300, 308.000000 
 3, 0000, 305.000000 
 3, 0100, 301.000000 
 3, 0200, 283.000000 
 3, 0300, 286.000000 
 3, 0400, 280.000000 
 3, 0500, 276.000000 
 3, 0600, 285.000000 
 3, 0700, 270.000000 
 3, 0800, 292.000000 
 3, 0900, 268.000000 
 3, 1000, 16.000000 
 3, 1100, 315.000000 
 3, 1200, 301.000000 
 3, 1300, 312.000000 
 3, 1400, 319.000000 
 3, 1500, 317.000000 
 3, 1600, 327.000000 
 3, 1700, 307.000000 
 3, 1800, 314.000000 
 3, 1900, 309.000000 
 3, 2000, 318.000000 
 3, 2100, 338.000000 
 3, 2200, 309.000000 
 3, 2300, 339.000000 
 4, 0000, 321.000000 
 4, 0100, 316.000000 
 4, 0200, 305.000000 
 4, 0300, 316.000000 
 4, 0400, 313.000000 
 4, 0500, 315.000000 
 4, 0600, 311.000000 
 4, 0700, 310.000000 
 4, 0800, 317.000000 
 4, 0900, 327.000000 
 4, 1000, 325.000000 
 4, 1100, 320.000000 
 4, 1200, 317.000000 
 4, 1300, 319.000000 
 4, 1400, 317.000000 
 4, 1500, 318.000000 
 4, 1600, 313.000000 
 4, 1700, 306.000000 
 4, 1800, 313.000000 
 4, 1900, 324.000000 
 4, 2000, 319.000000 
 4, 2100, 314.000000 
 4, 2200, 313.000000 
 4, 2300, 301.000000 
 5, 0000, 305.000000 
 5, 0100, 307.000000 
 5, 0200, 299.000000 
 5, 0300, 300.000000 
 5, 0400, 308.000000 
 5, 0500, 308.000000 
 5, 0600, 314.000000 
 5, 0700, 322.000000 
 5, 0800, 330.000000 
 5, 0900, 336.000000 
 5, 1000, 331.000000 
 5, 1100, 317.000000 
 5, 1200, 310.000000 
 5, 1300, 318.000000 
 5, 1400, 309.000000 
 5, 1500, 304.000000 
 5, 1600, 307.000000 
 5, 1700, 298.000000 
 5, 1800, 296.000000 
 5, 1900, 303.000000 
 5, 2000, 294.000000 
 5, 2100, 292.000000 
 5, 2200, 306.000000 
 5, 2300, 302.000000 
 6, 0000, 309.000000 
 6, 0100, 303.000000 
 6, 0200, 298.000000 
 6, 0300, 301.000000 
 6, 0400, 320.000000 
 6, 0500, 310.000000 
 6, 0600, 312.000000 
 6, 0700, 320.000000 
 6, 0800, 339.000000 
 6, 0900, 331.000000 
 6, 1000, 327.000000 
 6, 1100, 310.000000 
 6, 1200, 333.000000 
 6, 1300, 315.000000 
 6, 1400, 298.000000 
