 format: day,hour,value location:87_89 Start : 20140101 
 1, 0000, 258.000000 
 1, 0100, 167.000000 
 1, 0200, 200.000000 
 1, 0300, 261.000000 
 1, 0400, 275.000000 
 1, 0500, 267.000000 
 1, 0600, 286.000000 
 1, 0700, 283.000000 
 1, 0800, 286.000000 
 1, 0900, 274.000000 
 1, 1000, 262.000000 
 1, 1100, 264.000000 
 1, 1200, 253.000000 
 1, 1300, 189.000000 
 1, 1400, 225.000000 
 1, 1500, 217.000000 
 1, 1600, 223.000000 
 1, 1700, 234.000000 
 1, 1800, 201.000000 
 1, 1900, 121.000000 
 1, 2000, 159.000000 
 1, 2100, 219.000000 
 1, 2200, 225.000000 
 1, 2300, 241.000000 
 2, 0000, 229.000000 
 2, 0100, 222.000000 
 2, 0200, 248.000000 
 2, 0300, 338.000000 
 2, 0400, 13.000000 
 2, 0500, 12.000000 
 2, 0600, 3.000000 
 2, 0700, 6.000000 
 2, 0800, 332.000000 
 2, 0900, 273.000000 
 2, 1000, 333.000000 
 2, 1100, 112.000000 
 2, 1200, 72.000000 
 2, 1300, 99.000000 
 2, 1400, 101.000000 
 2, 1500, 112.000000 
 2, 1600, 95.000000 
 2, 1700, 60.000000 
 2, 1800, 52.000000 
 2, 1900, 56.000000 
 2, 2000, 207.000000 
 2, 2100, 99.000000 
 2, 2200, 83.000000 
 2, 2300, 86.000000 
 3, 0000, 104.000000 
 3, 0100, 360.000000 
 3, 0200, 231.000000 
 3, 0300, 16.000000 
 3, 0400, 148.000000 
 3, 0500, 157.000000 
 3, 0600, 51.000000 
 3, 0700, 37.000000 
 3, 0800, 333.000000 
 3, 0900, 140.000000 
 3, 1000, 0.000000 
 3, 1100, 70.000000 
 3, 1200, 114.000000 
 3, 1300, 153.000000 
 3, 1400, 106.000000 
 3, 1500, 90.000000 
 3, 1600, 75.000000 
 3, 1700, 82.000000 
 3, 1800, 105.000000 
 3, 1900, 93.000000 
 3, 2000, 79.000000 
 3, 2100, 87.000000 
 3, 2200, 78.000000 
 3, 2300, 84.000000 
 4, 0000, 71.000000 
 4, 0100, 128.000000 
 4, 0200, 330.000000 
 4, 0300, 320.000000 
 4, 0400, 32.000000 
 4, 0500, 71.000000 
 4, 0600, 330.000000 
 4, 0700, 300.000000 
 4, 0800, 345.000000 
 4, 0900, 79.000000 
 4, 1000, 79.000000 
 4, 1100, 51.000000 
 4, 1200, 95.000000 
 4, 1300, 56.000000 
 4, 1400, 28.000000 
 4, 1500, 4.000000 
 4, 1600, 360.000000 
 4, 1700, 349.000000 
 4, 1800, 153.000000 
 4, 1900, 108.000000 
 4, 2000, 239.000000 
 4, 2100, 114.000000 
 4, 2200, 139.000000 
 4, 2300, 171.000000 
 5, 0000, 172.000000 
 5, 0100, 225.000000 
 5, 0200, 297.000000 
 5, 0300, 43.000000 
 5, 0400, 9.000000 
 5, 0500, 354.000000 
 5, 0600, 360.000000 
 5, 0700, 338.000000 
 5, 0800, 335.000000 
 5, 0900, 336.000000 
 5, 1000, 18.000000 
 5, 1100, 323.000000 
 5, 1200, 20.000000 
 5, 1300, 351.000000 
 5, 1400, 357.000000 
 5, 1500, 354.000000 
 5, 1600, 347.000000 
 5, 1700, 336.000000 
 5, 1800, 338.000000 
 5, 1900, 303.000000 
 5, 2000, 342.000000 
 5, 2100, 54.000000 
 5, 2200, 96.000000 
 5, 2300, 79.000000 
 6, 0000, 83.000000 
 6, 0100, 97.000000 
 6, 0200, 282.000000 
 6, 0300, 337.000000 
 6, 0400, 348.000000 
 6, 0500, 2.000000 
 6, 0600, 264.000000 
 6, 0700, 110.000000 
 6, 0800, 292.000000 
 6, 0900, 82.000000 
 6, 1000, 115.000000 
 6, 1100, 315.000000 
 6, 1200, 122.000000 
 6, 1300, 183.000000 
 6, 1400, 300.000000 
 6, 1500, 281.000000 
 6, 1600, 308.000000 
 6, 1700, 331.000000 
 6, 1800, 351.000000 
 6, 1900, 245.000000 
 6, 2000, 33.000000 
 6, 2100, 159.000000 
 6, 2200, 231.000000 
 6, 2300, 238.000000 
 7, 0000, 16.000000 
 7, 0100, 227.000000 
 7, 0200, 194.000000 
 7, 0300, 19.000000 
 7, 0400, 162.000000 
 7, 0500, 51.000000 
 7, 0600, 186.000000 
 7, 0700, 140.000000 
 7, 0800, 223.000000 
 7, 0900, 23.000000 
 7, 1000, 255.000000 
 7, 1100, 32.000000 
 7, 1200, 45.000000 
 7, 1300, 71.000000 
 7, 1400, 9.000000 
 7, 1500, 333.000000 
 7, 1600, 52.000000 
 7, 1700, 220.000000 
 7, 1800, 294.000000 
 7, 1900, 45.000000 
 7, 2000, 39.000000 
 7, 2100, 121.000000 
 7, 2200, 119.000000 
 7, 2300, 86.000000 
 8, 0000, 98.000000 
 8, 0100, 90.000000 
 8, 0200, 357.000000 
 8, 0300, 21.000000 
 8, 0400, 342.000000 
 8, 0500, 358.000000 
 8, 0600, 47.000000 
 8, 0700, 74.000000 
 8, 0800, 138.000000 
 8, 0900, 342.000000 
 8, 1000, 341.000000 
 8, 1100, 330.000000 
 8, 1200, 103.000000 
 8, 1300, 247.000000 
 8, 1400, 97.000000 
 8, 1500, 317.000000 
 8, 1600, 27.000000 
 8, 1700, 327.000000 
 8, 1800, 302.000000 
 8, 1900, 313.000000 
 8, 2000, 144.000000 
 8, 2100, 318.000000 
 8, 2200, 41.000000 
 8, 2300, 321.000000 
 9, 0000, 298.000000 
 9, 0100, 335.000000 
 9, 0200, 349.000000 
 9, 0300, 316.000000 
 9, 0400, 331.000000 
 9, 0500, 337.000000 
 9, 0600, 352.000000 
 9, 0700, 326.000000 
 9, 0800, 327.000000 
 9, 0900, 36.000000 
 9, 1000, 316.000000 
 9, 1100, 6.000000 
 9, 1200, 18.000000 
 9, 1300, 340.000000 
 9, 1400, 336.000000 
 9, 1500, 340.000000 
 9, 1600, 11.000000 
 9, 1700, 96.000000 
 9, 1800, 97.000000 
 9, 1900, 131.000000 
 9, 2000, 59.000000 
 9, 2100, 91.000000 
 9, 2200, 107.000000 
 9, 2300, 102.000000 
 10, 0000, 92.000000 
 10, 0100, 171.000000 
 10, 0200, 79.000000 
 10, 0300, 191.000000 
 10, 0400, 289.000000 
 10, 0500, 314.000000 
 10, 0600, 318.000000 
 10, 0700, 298.000000 
 10, 0800, 187.000000 
 10, 0900, 33.000000 
 10, 1000, 328.000000 
 10, 1100, 328.000000 
 10, 1200, 332.000000 
 10, 1300, 62.000000 
 10, 1400, 326.000000 
 10, 1500, 166.000000 
 10, 1600, 295.000000 
 10, 1700, 300.000000 
 10, 1800, 310.000000 
 10, 1900, 340.000000 
 10, 2000, 317.000000 
 10, 2100, 291.000000 
 10, 2200, 177.000000 
 10, 2300, 212.000000 
 11, 0000, 340.000000 
 11, 0100, 145.000000 
 11, 0200, 252.000000 
 11, 0300, 9.000000 
 11, 0400, 18.000000 
 11, 0500, 319.000000 
 11, 0600, 326.000000 
 11, 0700, 314.000000 
 11, 0800, 259.000000 
 11, 0900, 329.000000 
 11, 1000, 67.000000 
 11, 1100, 274.000000 
 11, 1200, 342.000000 
 11, 1300, 323.000000 
 11, 1400, 331.000000 
 11, 1500, 117.000000 
 11, 1600, 355.000000 
 11, 1700, 301.000000 
 11, 1800, 310.000000 
 11, 1900, 4.000000 
 11, 2000, 357.000000 
 11, 2100, 227.000000 
 11, 2200, 197.000000 
 11, 2300, 157.000000 
 12, 0000, 180.000000 
 12, 0100, 120.000000 
 12, 0200, 121.000000 
 12, 0300, 124.000000 
 12, 0400, 308.000000 
 12, 0500, 293.000000 
 12, 0600, 266.000000 
 12, 0700, 332.000000 
 12, 0800, 344.000000 
 12, 0900, 23.000000 
 12, 1000, 303.000000 
 12, 1100, 314.000000 
 12, 1200, 288.000000 
 12, 1300, 304.000000 
 12, 1400, 26.000000 
 12, 1500, 318.000000 
 12, 1600, 308.000000 
 12, 1700, 301.000000 
 12, 1800, 352.000000 
 12, 1900, 338.000000 
 12, 2000, 334.000000 
 12, 2100, 300.000000 
 12, 2200, 313.000000 
 12, 2300, 331.000000 
 13, 0000, 27.000000 
 13, 0100, 160.000000 
 13, 0200, 343.000000 
 13, 0300, 354.000000 
 13, 0400, 311.000000 
 13, 0500, 342.000000 
 13, 0600, 1.000000 
 13, 0700, 336.000000 
 13, 0800, 45.000000 
 13, 0900, 298.000000 
 13, 1000, 317.000000 
 13, 1100, 333.000000 
 13, 1200, 348.000000 
 13, 1300, 352.000000 
 13, 1400, 325.000000 
 13, 1500, 13.000000 
 13, 1600, 182.000000 
 13, 1700, 304.000000 
 13, 1800, 79.000000 
 13, 1900, 108.000000 
 13, 2000, 343.000000 
 13, 2100, 360.000000 
 13, 2200, 94.000000 
 13, 2300, 65.000000 
 14, 0000, 154.000000 
 14, 0100, 85.000000 
 14, 0200, 35.000000 
 14, 0300, 347.000000 
 14, 0400, 355.000000 
 14, 0500, 20.000000 
 14, 0600, 345.000000 
 14, 0700, 345.000000 
 14, 0800, 323.000000 
 14, 0900, 336.000000 
 14, 1000, 313.000000 
 14, 1100, 345.000000 
 14, 1200, 332.000000 
 14, 1300, 348.000000 
 14, 1400, 342.000000 
 14, 1500, 14.000000 
 14, 1600, 352.000000 
 14, 1700, 334.000000 
 14, 1800, 341.000000 
 14, 1900, 354.000000 
 14, 2000, 345.000000 
 14, 2100, 16.000000 
 14, 2200, 28.000000 
 14, 2300, 120.000000 
 15, 0000, 359.000000 
 15, 0100, 345.000000 
 15, 0200, 344.000000 
