 format: day,hour,value location:90_90 Start : 20220101 
 1, 0000, 118.000000 
 1, 0100, 20.000000 
 1, 0200, 305.000000 
 1, 0300, 235.000000 
 1, 0400, 229.000000 
 1, 0500, 240.000000 
 1, 0600, 276.000000 
 1, 0700, 325.000000 
 1, 0800, 270.000000 
 1, 0900, 338.000000 
 1, 1000, 0.000000 
 1, 1100, 62.000000 
 1, 1200, 62.000000 
 1, 1300, 23.000000 
 1, 1400, 23.000000 
 1, 1500, 317.000000 
 1, 1600, 315.000000 
 1, 1700, 342.000000 
 1, 1800, 323.000000 
 1, 1900, 330.000000 
 1, 2000, 326.000000 
 1, 2100, 222.000000 
 1, 2200, 346.000000 
 1, 2300, 343.000000 
 2, 0000, 316.000000 
 2, 0100, 289.000000 
 2, 0200, 280.000000 
 2, 0300, 273.000000 
 2, 0400, 291.000000 
 2, 0500, 297.000000 
 2, 0600, 298.000000 
 2, 0700, 307.000000 
 2, 0800, 298.000000 
 2, 0900, 293.000000 
 2, 1000, 312.000000 
 2, 1100, 323.000000 
 2, 1200, 258.000000 
 2, 1300, 245.000000 
 2, 1400, 262.000000 
 2, 1500, 233.000000 
 2, 1600, 233.000000 
 2, 1700, 233.000000 
 2, 1800, 233.000000 
 2, 1900, 233.000000 
 2, 2000, 233.000000 
 2, 2100, 233.000000 
 2, 2200, 190.000000 
 2, 2300, 138.000000 
 3, 0000, 110.000000 
 3, 0100, 94.000000 
 3, 0200, 290.000000 
 3, 0300, 270.000000 
 3, 0400, 314.000000 
 3, 0500, 308.000000 
 3, 0600, 296.000000 
 3, 0700, 305.000000 
 3, 0800, 298.000000 
 3, 0900, 323.000000 
 3, 1000, 320.000000 
 3, 1100, 287.000000 
 3, 1200, 281.000000 
 3, 1300, 300.000000 
 3, 1400, 335.000000 
 3, 1500, 42.000000 
 3, 1600, 250.000000 
 3, 1700, 250.000000 
 3, 1800, 250.000000 
 3, 1900, 164.000000 
 3, 2000, 132.000000 
 3, 2100, 130.000000 
 3, 2200, 128.000000 
 3, 2300, 290.000000 
 4, 0000, 285.000000 
 4, 0100, 289.000000 
 4, 0200, 298.000000 
 4, 0300, 306.000000 
 4, 0400, 291.000000 
 4, 0500, 300.000000 
 4, 0600, 307.000000 
 4, 0700, 326.000000 
 4, 0800, 330.000000 
 4, 0900, 305.000000 
 4, 1000, 261.000000 
 4, 1100, 297.000000 
 4, 1200, 289.000000 
 4, 1300, 116.000000 
 4, 1400, 118.000000 
 4, 1500, 110.000000 
 4, 1600, 116.000000 
 4, 1700, 127.000000 
 4, 1800, 129.000000 
 4, 1900, 129.000000 
 4, 2000, 132.000000 
 4, 2100, 123.000000 
 4, 2200, 129.000000 
 4, 2300, 129.000000 
 5, 0000, 129.000000 
 5, 0100, 105.000000 
 5, 0200, 49.000000 
 5, 0300, 31.000000 
 5, 0400, 21.000000 
 5, 0500, 323.000000 
 5, 0600, 326.000000 
 5, 0700, 272.000000 
 5, 0800, 275.000000 
 5, 0900, 270.000000 
 5, 1000, 270.000000 
 5, 1100, 270.000000 
 5, 1200, 0.000000 
 5, 1300, 270.000000 
 5, 1400, 270.000000 
 5, 1500, 270.000000 
 5, 1600, 264.000000 
 5, 1700, 298.000000 
 5, 1800, 333.000000 
 5, 1900, 315.000000 
 5, 2000, 262.000000 
 5, 2100, 338.000000 
 5, 2200, 326.000000 
 5, 2300, 280.000000 
 6, 0000, 276.000000 
 6, 0100, 285.000000 
 6, 0200, 282.000000 
 6, 0300, 290.000000 
 6, 0400, 287.000000 
 6, 0500, 302.000000 
 6, 0600, 297.000000 
 6, 0700, 306.000000 
 6, 0800, 307.000000 
 6, 0900, 298.000000 
 6, 1000, 302.000000 
 6, 1100, 273.000000 
 6, 1200, 121.000000 
 6, 1300, 127.000000 
 6, 1400, 132.000000 
 6, 1500, 130.000000 
 6, 1600, 129.000000 
 6, 1700, 129.000000 
 6, 1800, 129.000000 
 6, 1900, 124.000000 
 6, 2000, 124.000000 
 6, 2100, 125.000000 
 6, 2200, 132.000000 
 6, 2300, -1.000000 
 7, 0000, 118.000000 
 7, 0100, 330.000000 
 7, 0200, 261.000000 
 7, 0300, 296.000000 
 7, 0400, 266.000000 
 7, 0500, 289.000000 
 7, 0600, 275.000000 
 7, 0700, 270.000000 
 7, 0800, 282.000000 
 7, 0900, 217.000000 
 7, 1000, 218.000000 
 7, 1100, 326.000000 
 7, 1200, 326.000000 
 7, 1300, 326.000000 
 7, 1400, 326.000000 
 7, 1500, 326.000000 
 7, 1600, 330.000000 
 7, 1700, 332.000000 
 7, 1800, 332.000000 
 7, 1900, 332.000000 
 7, 2000, 332.000000 
 7, 2100, 332.000000 
 7, 2200, 335.000000 
 7, 2300, 331.000000 
 8, 0000, 14.000000 
 8, 0100, 264.000000 
 8, 0200, 336.000000 
 8, 0300, 301.000000 
 8, 0400, 313.000000 
 8, 0500, 288.000000 
 8, 0600, 293.000000 
 8, 0700, 317.000000 
 8, 0800, 308.000000 
 8, 0900, 313.000000 
 8, 1000, 289.000000 
 8, 1100, 275.000000 
 8, 1200, 304.000000 
 8, 1300, 304.000000 
 8, 1400, 304.000000 
 8, 1500, 121.000000 
 8, 1600, 135.000000 
 8, 1700, 135.000000 
 8, 1800, 135.000000 
 8, 1900, 135.000000 
 8, 2000, 135.000000 
 8, 2100, 160.000000 
 8, 2200, 347.000000 
 8, 2300, 3.000000 
 9, 0000, 20.000000 
 9, 0100, 76.000000 
 9, 0200, 85.000000 
 9, 0300, 270.000000 
 9, 0400, 310.000000 
 9, 0500, 300.000000 
 9, 0600, 302.000000 
 9, 0700, 273.000000 
 9, 0800, 341.000000 
