 format: day,hour,value location:66_99 Start : 20160101 
 1, 0000, 301.000000 
 1, 0100, 284.000000 
 1, 0200, 288.000000 
 1, 0300, 252.000000 
 1, 0400, 261.000000 
 1, 0500, 264.000000 
 1, 0600, 260.000000 
 1, 0700, 267.000000 
 1, 0800, 247.000000 
 1, 0900, 242.000000 
 1, 1000, 259.000000 
 1, 1100, 243.000000 
 1, 1200, 190.000000 
 1, 1300, 214.000000 
 1, 1400, 203.000000 
 1, 1500, 225.000000 
 1, 1600, 235.000000 
 1, 1700, 238.000000 
 1, 1800, 254.000000 
 1, 1900, 323.000000 
 1, 2000, 270.000000 
 1, 2100, 262.000000 
 1, 2200, 264.000000 
 1, 2300, 262.000000 
 2, 0000, 276.000000 
 2, 0100, 236.000000 
 2, 0200, 252.000000 
 2, 0300, 246.000000 
 2, 0400, 249.000000 
 2, 0500, 264.000000 
 2, 0600, 246.000000 
 2, 0700, 239.000000 
 2, 0800, 242.000000 
 2, 0900, 233.000000 
 2, 1000, 270.000000 
 2, 1100, 281.000000 
 2, 1200, 288.000000 
 2, 1300, 252.000000 
 2, 1400, 293.000000 
 2, 1500, 270.000000 
 2, 1600, 270.000000 
 2, 1700, 286.000000 
 2, 1800, 283.000000 
 2, 1900, 292.000000 
 2, 2000, 288.000000 
 2, 2100, 301.000000 
 2, 2200, 279.000000 
 2, 2300, 270.000000 
 3, 0000, 277.000000 
 3, 0100, 270.000000 
 3, 0200, 261.000000 
 3, 0300, 267.000000 
 3, 0400, 279.000000 
 3, 0500, 253.000000 
 3, 0600, 266.000000 
 3, 0700, 265.000000 
 3, 0800, 264.000000 
 3, 0900, 275.000000 
 3, 1000, 257.000000 
 3, 1100, 253.000000 
 3, 1200, 267.000000 
 3, 1300, 281.000000 
 3, 1400, 333.000000 
 3, 1500, 277.000000 
 3, 1600, 233.000000 
 3, 1700, 236.000000 
 3, 1800, 263.000000 
 3, 1900, 267.000000 
 3, 2000, 278.000000 
 3, 2100, 310.000000 
 3, 2200, 315.000000 
 3, 2300, 302.000000 
 4, 0000, 315.000000 
 4, 0100, 327.000000 
 4, 0200, 12.000000 
 4, 0300, 331.000000 
 4, 0400, 297.000000 
 4, 0500, 319.000000 
 4, 0600, 331.000000 
 4, 0700, 313.000000 
 4, 0800, 343.000000 
 4, 0900, 338.000000 
 4, 1000, 360.000000 
 4, 1100, 317.000000 
 4, 1200, 360.000000 
 4, 1300, 360.000000 
 4, 1400, 360.000000 
 4, 1500, 304.000000 
 4, 1600, 311.000000 
 4, 1700, 329.000000 
 4, 1800, 11.000000 
 4, 1900, 13.000000 
 4, 2000, 27.000000 
 4, 2100, 7.000000 
 4, 2200, 326.000000 
 4, 2300, 284.000000 
 5, 0000, 347.000000 
 5, 0100, 347.000000 
 5, 0200, 25.000000 
 5, 0300, 13.000000 
 5, 0400, 14.000000 
 5, 0500, 20.000000 
 5, 0600, 360.000000 
 5, 0700, 360.000000 
 5, 0800, 351.000000 
 5, 0900, 16.000000 
 5, 1000, 24.000000 
 5, 1100, 24.000000 
 5, 1200, 53.000000 
 5, 1300, 47.000000 
 5, 1400, 73.000000 
 5, 1500, 53.000000 
 5, 1600, 37.000000 
 5, 1700, 59.000000 
 5, 1800, 11.000000 
 5, 1900, 354.000000 
 5, 2000, 329.000000 
 5, 2100, 324.000000 
 5, 2200, 311.000000 
 5, 2300, 315.000000 
 6, 0000, 292.000000 
 6, 0100, 259.000000 
 6, 0200, 333.000000 
 6, 0300, 270.000000 
 6, 0400, 252.000000 
 6, 0500, 294.000000 
 6, 0600, 325.000000 
 6, 0700, 305.000000 
 6, 0800, 311.000000 
 6, 0900, 292.000000 
 6, 1000, 294.000000 
 6, 1100, 309.000000 
 6, 1200, 307.000000 
 6, 1300, 285.000000 
 6, 1400, 303.000000 
 6, 1500, 318.000000 
 6, 1600, 318.000000 
 6, 1700, 342.000000 
 6, 1800, 322.000000 
 6, 1900, 326.000000 
 6, 2000, 319.000000 
 6, 2100, 312.000000 
 6, 2200, 300.000000 
 6, 2300, 308.000000 
 7, 0000, 342.000000 
 7, 0100, 345.000000 
 7, 0200, 312.000000 
 7, 0300, 304.000000 
 7, 0400, 283.000000 
 7, 0500, 301.000000 
 7, 0600, 284.000000 
 7, 0700, 287.000000 
 7, 0800, 292.000000 
 7, 0900, 288.000000 
 7, 1000, 293.000000 
 7, 1100, 305.000000 
 7, 1200, 313.000000 
 7, 1300, 275.000000 
 7, 1400, 263.000000 
 7, 1500, 302.000000 
 7, 1600, 317.000000 
 7, 1700, 329.000000 
 7, 1800, 326.000000 
 7, 1900, 286.000000 
 7, 2000, 352.000000 
 7, 2100, 352.000000 
 7, 2200, 346.000000 
 7, 2300, 18.000000 
 8, 0000, 293.000000 
 8, 0100, 194.000000 
 8, 0200, 230.000000 
 8, 0300, 348.000000 
 8, 0400, 320.000000 
 8, 0500, 286.000000 
 8, 0600, 317.000000 
 8, 0700, 291.000000 
 8, 0800, 308.000000 
 8, 0900, 307.000000 
 8, 1000, 297.000000 
 8, 1100, 297.000000 
 8, 1200, 326.000000 
 8, 1300, 259.000000 
 8, 1400, 283.000000 
 8, 1500, 277.000000 
 8, 1600, 294.000000 
 8, 1700, 270.000000 
 8, 1800, 279.000000 
 8, 1900, 270.000000 
 8, 2000, 279.000000 
 8, 2100, 278.000000 
 8, 2200, 278.000000 
 8, 2300, 270.000000 
 9, 0000, 304.000000 
 9, 0100, 315.000000 
 9, 0200, 290.000000 
 9, 0300, 264.000000 
 9, 0400, 297.000000 
 9, 0500, 261.000000 
 9, 0600, 276.000000 
 9, 0700, 257.000000 
 9, 0800, 263.000000 
 9, 0900, 267.000000 
 9, 1000, 277.000000 
 9, 1100, 273.000000 
 9, 1200, 260.000000 
 9, 1300, 252.000000 
 9, 1400, 270.000000 
 9, 1500, 264.000000 
 9, 1600, 265.000000 
 9, 1700, 276.000000 
 9, 1800, 288.000000 
 9, 1900, 277.000000 
 9, 2000, 281.000000 
 9, 2100, 270.000000 
 9, 2200, 265.000000 
 9, 2300, 266.000000 
 10, 0000, 255.000000 
 10, 0100, 247.000000 
 10, 0200, 233.000000 
 10, 0300, 283.000000 
 10, 0400, 304.000000 
 10, 0500, 295.000000 
 10, 0600, 297.000000 
 10, 0700, 275.000000 
 10, 0800, 293.000000 
 10, 0900, 311.000000 
 10, 1000, 292.000000 
 10, 1100, 346.000000 
 10, 1200, 11.000000 
 10, 1300, 56.000000 
 10, 1400, 79.000000 
 10, 1500, 360.000000 
 10, 1600, 14.000000 
 10, 1700, 360.000000 
 10, 1800, 9.000000 
 10, 1900, 352.000000 
 10, 2000, 333.000000 
 10, 2100, 321.000000 
 10, 2200, 18.000000 
 10, 2300, 330.000000 
 11, 0000, 331.000000 
 11, 0100, 323.000000 
 11, 0200, 304.000000 
 11, 0300, 280.000000 
 11, 0400, 328.000000 
 11, 0500, 299.000000 
 11, 0600, 355.000000 
 11, 0700, 5.000000 
 11, 0800, 3.000000 
 11, 0900, 356.000000 
 11, 1000, 360.000000 
 11, 1100, 353.000000 
 11, 1200, 18.000000 
 11, 1300, 353.000000 
 11, 1400, 180.000000 
 11, 1500, 68.000000 
 11, 1600, 45.000000 
 11, 1700, 346.000000 
 11, 1800, 349.000000 
 11, 1900, 16.000000 
 11, 2000, 14.000000 
 11, 2100, 18.000000 
 11, 2200, 10.000000 
 11, 2300, 24.000000 
 12, 0000, 18.000000 
 12, 0100, 360.000000 
 12, 0200, 196.000000 
 12, 0300, 202.000000 
 12, 0400, 266.000000 
 12, 0500, 259.000000 
 12, 0600, 273.000000 
 12, 0700, 287.000000 
 12, 0800, 277.000000 
 12, 0900, 284.000000 
 12, 1000, 292.000000 
 12, 1100, 285.000000 
 12, 1200, 276.000000 
 12, 1300, 259.000000 
 12, 1400, 291.000000 
 12, 1500, 266.000000 
 12, 1600, 270.000000 
 12, 1700, 276.000000 
 12, 1800, 274.000000 
 12, 1900, 305.000000 
 12, 2000, 254.000000 
 12, 2100, 246.000000 
 12, 2200, 263.000000 
 12, 2300, 281.000000 
 13, 0000, 263.000000 
 13, 0100, 278.000000 
 13, 0200, 293.000000 
 13, 0300, 4.000000 
 13, 0400, 306.000000 
 13, 0500, 247.000000 
 13, 0600, 229.000000 
 13, 0700, 257.000000 
 13, 0800, 263.000000 
 13, 0900, 239.000000 
 13, 1000, 252.000000 
 13, 1100, 230.000000 
 13, 1200, 256.000000 
 13, 1300, 274.000000 
 13, 1400, 285.000000 
 13, 1500, 298.000000 
 13, 1600, 328.000000 
 13, 1700, 315.000000 
 13, 1800, 302.000000 
 13, 1900, 336.000000 
 13, 2000, 333.000000 
 13, 2100, 324.000000 
 13, 2200, 323.000000 
 13, 2300, 350.000000 
 14, 0000, 305.000000 
 14, 0100, 108.000000 
 14, 0200, 56.000000 
 14, 0300, 270.000000 
 14, 0400, 233.000000 
 14, 0500, 315.000000 
 14, 0600, 243.000000 
 14, 0700, 254.000000 
 14, 0800, 254.000000 
 14, 0900, 239.000000 
 14, 1000, 221.000000 
 14, 1100, 230.000000 
 14, 1200, 270.000000 
 14, 1300, 248.000000 
 14, 1400, 257.000000 
 14, 1500, 233.000000 
 14, 1600, 256.000000 
 14, 1700, 315.000000 
 14, 1800, 279.000000 
 14, 1900, 292.000000 
 14, 2000, 284.000000 
 14, 2100, 284.000000 
 14, 2200, 301.000000 
 14, 2300, 284.000000 
 15, 0000, 0.000000 
 15, 0100, 252.000000 
 15, 0200, 40.000000 
 15, 0300, 90.000000 
 15, 0400, 270.000000 
 15, 0500, 275.000000 
 15, 0600, 270.000000 
 15, 0700, 249.000000 
 15, 0800, 229.000000 
 15, 0900, 270.000000 
 15, 1000, 297.000000 
 15, 1100, 342.000000 
 15, 1200, 288.000000 
 15, 1300, 281.000000 
 15, 1400, 284.000000 
 15, 1500, 225.000000 
 15, 1600, 243.000000 
 15, 1700, 180.000000 
 15, 1800, 243.000000 
 15, 1900, 315.000000 
 15, 2000, 243.000000 
 15, 2100, 284.000000 
 15, 2200, 270.000000 
 15, 2300, 281.000000 
 16, 0000, 278.000000 
 16, 0100, 288.000000 
 16, 0200, 257.000000 
 16, 0300, 236.000000 
 16, 0400, 243.000000 
 16, 0500, 280.000000 
 16, 0600, 287.000000 
 16, 0700, 295.000000 
 16, 0800, 270.000000 
 16, 0900, 346.000000 
 16, 1000, 315.000000 
 16, 1100, 323.000000 
 16, 1200, 360.000000 
 16, 1300, 27.000000 
 16, 1400, 108.000000 
 16, 1500, 135.000000 
 16, 1600, 112.000000 
 16, 1700, 111.000000 
 16, 1800, 104.000000 
 16, 1900, 131.000000 
 16, 2000, 131.000000 
 16, 2100, 122.000000 
 16, 2200, 81.000000 
 16, 2300, 96.000000 
 17, 0000, 63.000000 
 17, 0100, 270.000000 
 17, 0200, 180.000000 
 17, 0300, 207.000000 
 17, 0400, 104.000000 
 17, 0500, 77.000000 
 17, 0600, 180.000000 
 17, 0700, 247.000000 
 17, 0800, 18.000000 
 17, 0900, 311.000000 
 17, 1000, 45.000000 
 17, 1100, 7.000000 
 17, 1200, 352.000000 
 17, 1300, 338.000000 
 17, 1400, 306.000000 
 17, 1500, 288.000000 
 17, 1600, 292.000000 
 17, 1700, 294.000000 
 17, 1800, 291.000000 
 17, 1900, 270.000000 
 17, 2000, 304.000000 
 17, 2100, 295.000000 
 17, 2200, 296.000000 
 17, 2300, 289.000000 
 18, 0000, 300.000000 
 18, 0100, 294.000000 
 18, 0200, 298.000000 
 18, 0300, 299.000000 
 18, 0400, 300.000000 
 18, 0500, 301.000000 
 18, 0600, 288.000000 
 18, 0700, 303.000000 
 18, 0800, 288.000000 
 18, 0900, 291.000000 
 18, 1000, 296.000000 
 18, 1100, 290.000000 
 18, 1200, 290.000000 
 18, 1300, 292.000000 
 18, 1400, 300.000000 
 18, 1500, 292.000000 
 18, 1600, 309.000000 
 18, 1700, 318.000000 
 18, 1800, 320.000000 
 18, 1900, 315.000000 
 18, 2000, 304.000000 
 18, 2100, 302.000000 
 18, 2200, 291.000000 
 18, 2300, 288.000000 
 19, 0000, 290.000000 
 19, 0100, 291.000000 
 19, 0200, 292.000000 
 19, 0300, 297.000000 
 19, 0400, 301.000000 
 19, 0500, 302.000000 
 19, 0600, 306.000000 
 19, 0700, 289.000000 
 19, 0800, 292.000000 
 19, 0900, 297.000000 
 19, 1000, 293.000000 
 19, 1100, 297.000000 
 19, 1200, 281.000000 
 19, 1300, 295.000000 
 19, 1400, 285.000000 
 19, 1500, 285.000000 
 19, 1600, 294.000000 
 19, 1700, 297.000000 
 19, 1800, 292.000000 
 19, 1900, 310.000000 
 19, 2000, 331.000000 
 19, 2100, 346.000000 
 19, 2200, 360.000000 
 19, 2300, 321.000000 
 20, 0000, 351.000000 
 20, 0100, 180.000000 
 20, 0200, 243.000000 
 20, 0300, 264.000000 
 20, 0400, 286.000000 
 20, 0500, 297.000000 
 20, 0600, 351.000000 
 20, 0700, 307.000000 
 20, 0800, 288.000000 
 20, 0900, 360.000000 
 20, 1000, 7.000000 
 20, 1100, 315.000000 
 20, 1200, 338.000000 
 20, 1300, 360.000000 
 20, 1400, 59.000000 
 20, 1500, 59.000000 
 20, 1600, 346.000000 
 20, 1700, 326.000000 
 20, 1800, 8.000000 
 20, 1900, 40.000000 
 20, 2000, 13.000000 
 20, 2100, 324.000000 
 20, 2200, 7.000000 
 20, 2300, 352.000000 
 21, 0000, 315.000000 
 21, 0100, 333.000000 
 21, 0200, 336.000000 
 21, 0300, 349.000000 
 21, 0400, 286.000000 
 21, 0500, 288.000000 
 21, 0600, 307.000000 
 21, 0700, 324.000000 
 21, 0800, 322.000000 
 21, 0900, 330.000000 
 21, 1000, 328.000000 
 21, 1100, 330.000000 
 21, 1200, 330.000000 
 21, 1300, 353.000000 
 21, 1400, 5.000000 
 21, 1500, 315.000000 
 21, 1600, 331.000000 
 21, 1700, 345.000000 
 21, 1800, 337.000000 
 21, 1900, 356.000000 
 21, 2000, 337.000000 
 21, 2100, 347.000000 
 21, 2200, 346.000000 
 21, 2300, 315.000000 
 22, 0000, 27.000000 
 22, 0100, 104.000000 
 22, 0200, 45.000000 
 22, 0300, 14.000000 
 22, 0400, 352.000000 
 22, 0500, 337.000000 
 22, 0600, 331.000000 
 22, 0700, 24.000000 
 22, 0800, 4.000000 
 22, 0900, 5.000000 
 22, 1000, 39.000000 
 22, 1100, 34.000000 
 22, 1200, 10.000000 
 22, 1300, 16.000000 
 22, 1400, 4.000000 
 22, 1500, 326.000000 
 22, 1600, 333.000000 
 22, 1700, 337.000000 
 22, 1800, 10.000000 
 22, 1900, 14.000000 
 22, 2000, 15.000000 
 22, 2100, 354.000000 
 22, 2200, 13.000000 
 22, 2300, 347.000000 
 23, 0000, 327.000000 
 23, 0100, 342.000000 
 23, 0200, 347.000000 
 23, 0300, 333.000000 
 23, 0400, 324.000000 
 23, 0500, 310.000000 
 23, 0600, 329.000000 
 23, 0700, 333.000000 
 23, 0800, 341.000000 
 23, 0900, 334.000000 
 23, 1000, 333.000000 
 23, 1100, 336.000000 
 23, 1200, 352.000000 
 23, 1300, 284.000000 
 23, 1400, 293.000000 
 23, 1500, 4.000000 
 23, 1600, 13.000000 
 23, 1700, 347.000000 
 23, 1800, 355.000000 
 23, 1900, 360.000000 
 23, 2000, 4.000000 
 23, 2100, 345.000000 
 23, 2200, 333.000000 
 23, 2300, 315.000000 
 24, 0000, 270.000000 
 24, 0100, 297.000000 
 24, 0200, 321.000000 
 24, 0300, 300.000000 
 24, 0400, 294.000000 
 24, 0500, 306.000000 
 24, 0600, 297.000000 
 24, 0700, 297.000000 
 24, 0800, 298.000000 
 24, 0900, 300.000000 
 24, 1000, 288.000000 
 24, 1100, 267.000000 
 24, 1200, 288.000000 
 24, 1300, 284.000000 
 24, 1400, 276.000000 
 24, 1500, 320.000000 
 24, 1600, 312.000000 
 24, 1700, 311.000000 
 24, 1800, 309.000000 
 24, 1900, 305.000000 
 24, 2000, 308.000000 
 24, 2100, 311.000000 
 24, 2200, 318.000000 
 24, 2300, 321.000000 
 25, 0000, 299.000000 
 25, 0100, 305.000000 
 25, 0200, 252.000000 
 25, 0300, 307.000000 
 25, 0400, 279.000000 
 25, 0500, 288.000000 
 25, 0600, 300.000000 
 25, 0700, 291.000000 
 25, 0800, 263.000000 
 25, 0900, 243.000000 
 25, 1000, 259.000000 
 25, 1100, 241.000000 
 25, 1200, 236.000000 
 25, 1300, 278.000000 
 25, 1400, 300.000000 
 25, 1500, 315.000000 
 25, 1600, 304.000000 
 25, 1700, 315.000000 
 25, 1800, 293.000000 
 25, 1900, 301.000000 
 25, 2000, 304.000000 
 25, 2100, 304.000000 
 25, 2200, 288.000000 
 25, 2300, 281.000000 
 26, 0000, 284.000000 
 26, 0100, 277.000000 
 26, 0200, 261.000000 
 26, 0300, 266.000000 
 26, 0400, 265.000000 
 26, 0500, 267.000000 
 26, 0600, 270.000000 
 26, 0700, 263.000000 
 26, 0800, 250.000000 
 26, 0900, 233.000000 
 26, 1000, 236.000000 
 26, 1100, 278.000000 
 26, 1200, 264.000000 
 26, 1300, 255.000000 
 26, 1400, 263.000000 
 26, 1500, 315.000000 
 26, 1600, 292.000000 
 26, 1700, 310.000000 
 26, 1800, 304.000000 
 26, 1900, 309.000000 
 26, 2000, 279.000000 
 26, 2100, 262.000000 
 26, 2200, 279.000000 
 26, 2300, 301.000000 
 27, 0000, 321.000000 
 27, 0100, 281.000000 
 27, 0200, 217.000000 
 27, 0300, 255.000000 
 27, 0400, 277.000000 
 27, 0500, 257.000000 
 27, 0600, 268.000000 
 27, 0700, 255.000000 
 27, 0800, 231.000000 
 27, 0900, 257.000000 
 27, 1000, 270.000000 
 27, 1100, 280.000000 
 27, 1200, 284.000000 
 27, 1300, 291.000000 
 27, 1400, 297.000000 
 27, 1500, 301.000000 
 27, 1600, 281.000000 
 27, 1700, 286.000000 
 27, 1800, 286.000000 
 27, 1900, 34.000000 
 27, 2000, 297.000000 
 27, 2100, 45.000000 
 27, 2200, 63.000000 
 27, 2300, 59.000000 
 28, 0000, 56.000000 
 28, 0100, 90.000000 
 28, 0200, 90.000000 
 28, 0300, 45.000000 
 28, 0400, 108.000000 
 28, 0500, 51.000000 
 28, 0600, 97.000000 
 28, 0700, 29.000000 
 28, 0800, 82.000000 
 28, 0900, 90.000000 
 28, 1000, 99.000000 
 28, 1100, 105.000000 
 28, 1200, 101.000000 
 28, 1300, 97.000000 
 28, 1400, 85.000000 
 28, 1500, 81.000000 
 28, 1600, 85.000000 
 28, 1700, 80.000000 
 28, 1800, 74.000000 
 28, 1900, 70.000000 
 28, 2000, 76.000000 
 28, 2100, 76.000000 
 28, 2200, 79.000000 
 28, 2300, 80.000000 
 29, 0000, 69.000000 
 29, 0100, 77.000000 
 29, 0200, 82.000000 
 29, 0300, 81.000000 
 29, 0400, 73.000000 
 29, 0500, 82.000000 
 29, 0600, 71.000000 
 29, 0700, 79.000000 
 29, 0800, 65.000000 
 29, 0900, 72.000000 
 29, 1000, 63.000000 
 29, 1100, 66.000000 
 29, 1200, 82.000000 
 29, 1300, 117.000000 
 29, 1400, 18.000000 
 29, 1500, 78.000000 
 29, 1600, 81.000000 
 29, 1700, 85.000000 
 29, 1800, 360.000000 
 29, 1900, 360.000000 
 29, 2000, 360.000000 
 29, 2100, 22.000000 
 29, 2200, 14.000000 
 29, 2300, 95.000000 
 30, 0000, 83.000000 
 30, 0100, 77.000000 
