 format: day,hour,value location:67_102 Start : 20120101 
 1, 0000, 14.000000 
 1, 0100, 333.000000 
 1, 0200, 355.000000 
 1, 0300, 21.000000 
 1, 0400, 22.000000 
 1, 0500, 28.000000 
 1, 0600, 332.000000 
 1, 0700, 313.000000 
 1, 0800, 322.000000 
 1, 0900, 317.000000 
 1, 1000, 321.000000 
 1, 1100, 355.000000 
 1, 1200, 346.000000 
 1, 1300, 360.000000 
 1, 1400, 339.000000 
 1, 1500, 360.000000 
 1, 1600, 342.000000 
 1, 1700, 326.000000 
 1, 1800, 63.000000 
 1, 1900, 11.000000 
 1, 2000, 37.000000 
 1, 2100, 0.000000 
 1, 2200, 63.000000 
 1, 2300, 0.000000 
 2, 0000, 143.000000 
 2, 0100, 0.000000 
 2, 0200, 0.000000 
 2, 0300, 85.000000 
 2, 0400, 63.000000 
 2, 0500, 45.000000 
 2, 0600, 16.000000 
 2, 0700, 23.000000 
 2, 0800, 337.000000 
 2, 0900, 37.000000 
 2, 1000, 29.000000 
 2, 1100, 0.000000 
 2, 1200, 0.000000 
 2, 1300, 0.000000 
 2, 1400, 360.000000 
 2, 1500, 0.000000 
 2, 1600, 342.000000 
 2, 1700, 330.000000 
 2, 1800, 9.000000 
 2, 1900, 329.000000 
 2, 2000, 352.000000 
 2, 2100, 0.000000 
 2, 2200, 360.000000 
 2, 2300, 333.000000 
 3, 0000, 333.000000 
 3, 0100, 352.000000 
 3, 0200, 284.000000 
 3, 0300, 198.000000 
 3, 0400, 127.000000 
 3, 0500, 0.000000 
 3, 0600, 211.000000 
 3, 0700, 221.000000 
 3, 0800, 290.000000 
 3, 0900, 281.000000 
 3, 1000, 315.000000 
 3, 1100, 290.000000 
 3, 1200, 323.000000 
 3, 1300, 353.000000 
 3, 1400, 360.000000 
 3, 1500, 16.000000 
 3, 1600, 346.000000 
 3, 1700, 6.000000 
 3, 1800, 15.000000 
 3, 1900, 346.000000 
 3, 2000, 0.000000 
 3, 2100, 342.000000 
 3, 2200, 24.000000 
 3, 2300, 29.000000 
 4, 0000, 50.000000 
 4, 0100, 349.000000 
 4, 0200, 340.000000 
 4, 0300, 318.000000 
 4, 0400, 315.000000 
 4, 0500, 315.000000 
 4, 0600, 315.000000 
 4, 0700, 310.000000 
 4, 0800, 319.000000 
 4, 0900, 337.000000 
 4, 1000, 318.000000 
 4, 1100, 318.000000 
 4, 1200, 352.000000 
 4, 1300, 325.000000 
 4, 1400, 335.000000 
 4, 1500, 4.000000 
 4, 1600, 6.000000 
 4, 1700, 14.000000 
 4, 1800, 339.000000 
 4, 1900, 0.000000 
 4, 2000, 45.000000 
 4, 2100, 16.000000 
 4, 2200, 0.000000 
 4, 2300, 0.000000 
 5, 0000, 0.000000 
 5, 0100, 180.000000 
 5, 0200, 315.000000 
 5, 0300, 330.000000 
 5, 0400, 346.000000 
 5, 0500, 339.000000 
 5, 0600, 329.000000 
 5, 0700, 357.000000 
 5, 0800, 2.000000 
 5, 0900, 336.000000 
 5, 1000, 342.000000 
 5, 1100, 339.000000 
 5, 1200, 354.000000 
 5, 1300, 0.000000 
 5, 1400, 328.000000 
 5, 1500, 329.000000 
 5, 1600, 320.000000 
 5, 1700, 0.000000 
 5, 1800, 0.000000 
 5, 1900, 0.000000 
 5, 2000, 0.000000 
 5, 2100, 0.000000 
 5, 2200, 0.000000 
 5, 2300, 189.000000 
 6, 0000, 0.000000 
 6, 0100, 0.000000 
 6, 0200, 0.000000 
 6, 0300, 0.000000 
 6, 0400, 11.000000 
 6, 0500, 351.000000 
 6, 0600, 326.000000 
 6, 0700, 344.000000 
 6, 0800, 335.000000 
 6, 0900, 344.000000 
 6, 1000, 354.000000 
 6, 1100, 335.000000 
 6, 1200, 339.000000 
 6, 1300, 328.000000 
 6, 1400, 344.000000 
 6, 1500, 0.000000 
 6, 1600, 0.000000 
 6, 1700, 326.000000 
 6, 1800, 0.000000 
 6, 1900, 360.000000 
 6, 2000, 321.000000 
 6, 2100, 0.000000 
 6, 2200, 323.000000 
 6, 2300, 0.000000 
 7, 0000, 0.000000 
 7, 0100, 0.000000 
 7, 0200, 261.000000 
 7, 0300, 124.000000 
 7, 0400, 59.000000 
 7, 0500, 0.000000 
 7, 0600, 34.000000 
 7, 0700, 360.000000 
 7, 0800, 351.000000 
 7, 0900, 0.000000 
 7, 1000, 0.000000 
 7, 1100, 0.000000 
 7, 1200, 0.000000 
 7, 1300, 0.000000 
 7, 1400, 301.000000 
 7, 1500, 0.000000 
 7, 1600, 0.000000 
 7, 1700, 323.000000 
 7, 1800, 11.000000 
 7, 1900, 315.000000 
 7, 2000, 329.000000 
 7, 2100, 315.000000 
 7, 2200, 0.000000 
 7, 2300, 0.000000 
 8, 0000, 0.000000 
 8, 0100, 0.000000 
 8, 0200, 0.000000 
 8, 0300, 104.000000 
 8, 0400, 301.000000 
 8, 0500, 327.000000 
 8, 0600, 7.000000 
 8, 0700, 9.000000 
 8, 0800, 14.000000 
 8, 0900, 337.000000 
 8, 1000, 14.000000 
 8, 1100, 9.000000 
 8, 1200, 340.000000 
 8, 1300, 319.000000 
 8, 1400, 329.000000 
