 format: day,hour,value location:68_102 Start : 20220101 
 1, 0000, 183.000000 
 1, 0100, 235.000000 
 1, 0200, 259.000000 
 1, 0300, 312.000000 
 1, 0400, 99.000000 
 1, 0500, 20.000000 
 1, 0600, 327.000000 
 1, 0700, 308.000000 
 1, 0800, 175.000000 
 1, 0900, 282.000000 
 1, 1000, 327.000000 
 1, 1100, 315.000000 
 1, 1200, 257.000000 
 1, 1300, 0.000000 
 1, 1400, 134.000000 
 1, 1500, 307.000000 
 1, 1600, 242.000000 
 1, 1700, 316.000000 
 1, 1800, 139.000000 
 1, 1900, 334.000000 
 1, 2000, 9.000000 
 1, 2100, 96.000000 
 1, 2200, 9.000000 
 1, 2300, 346.000000 
 2, 0000, 188.000000 
 2, 0100, 263.000000 
 2, 0200, 214.000000 
 2, 0300, 300.000000 
 2, 0400, 305.000000 
 2, 0500, 23.000000 
 2, 0600, 35.000000 
 2, 0700, 4.000000 
 2, 0800, 38.000000 
 2, 0900, 325.000000 
 2, 1000, 242.000000 
 2, 1100, 305.000000 
 2, 1200, 268.000000 
 2, 1300, 200.000000 
 2, 1400, 225.000000 
 2, 1500, 297.000000 
 2, 1600, 245.000000 
 2, 1700, 335.000000 
 2, 1800, 0.000000 
 2, 1900, 254.000000 
 2, 2000, 0.000000 
 2, 2100, 211.000000 
 2, 2200, 0.000000 
 2, 2300, 107.000000 
 3, 0000, 121.000000 
 3, 0100, 60.000000 
 3, 0200, 295.000000 
 3, 0300, 350.000000 
 3, 0400, 64.000000 
 3, 0500, 64.000000 
 3, 0600, 64.000000 
 3, 0700, 306.000000 
 3, 0800, 316.000000 
 3, 0900, 230.000000 
 3, 1000, 265.000000 
 3, 1100, 0.000000 
 3, 1200, 216.000000 
 3, 1300, 228.000000 
 3, 1400, 223.000000 
 3, 1500, 265.000000 
 3, 1600, 269.000000 
 3, 1700, 246.000000 
 3, 1800, 65.000000 
 3, 1900, 302.000000 
 3, 2000, 247.000000 
 3, 2100, 293.000000 
 3, 2200, 249.000000 
 3, 2300, 110.000000 
 4, 0000, 336.000000 
 4, 0100, 274.000000 
 4, 0200, 323.000000 
 4, 0300, 309.000000 
 4, 0400, 291.000000 
 4, 0500, 11.000000 
 4, 0600, 309.000000 
 4, 0700, 17.000000 
 4, 0800, 233.000000 
 4, 0900, 329.000000 
 4, 1000, 359.000000 
 4, 1100, 25.000000 
 4, 1200, 287.000000 
 4, 1300, 286.000000 
 4, 1400, 270.000000 
 4, 1500, 176.000000 
 4, 1600, 0.000000 
 4, 1700, 0.000000 
 4, 1800, 0.000000 
 4, 1900, 0.000000 
 4, 2000, 0.000000 
 4, 2100, 0.000000 
 4, 2200, 0.000000 
 4, 2300, 108.000000 
 5, 0000, 76.000000 
 5, 0100, 307.000000 
 5, 0200, 321.000000 
 5, 0300, 301.000000 
 5, 0400, 301.000000 
 5, 0500, 355.000000 
 5, 0600, 341.000000 
 5, 0700, 355.000000 
 5, 0800, 304.000000 
 5, 0900, 0.000000 
 5, 1000, 311.000000 
 5, 1100, 215.000000 
 5, 1200, 292.000000 
 5, 1300, 296.000000 
 5, 1400, 227.000000 
 5, 1500, 319.000000 
 5, 1600, 282.000000 
 5, 1700, 0.000000 
 5, 1800, 0.000000 
 5, 1900, 283.000000 
 5, 2000, 221.000000 
 5, 2100, 103.000000 
 5, 2200, 305.000000 
 5, 2300, 185.000000 
 6, 0000, 109.000000 
 6, 0100, 13.000000 
 6, 0200, 356.000000 
 6, 0300, 36.000000 
 6, 0400, 318.000000 
 6, 0500, 297.000000 
 6, 0600, 292.000000 
 6, 0700, 5.000000 
 6, 0800, 343.000000 
 6, 0900, 144.000000 
 6, 1000, 168.000000 
 6, 1100, 216.000000 
 6, 1200, 225.000000 
 6, 1300, 0.000000 
