 format: day,hour,value location:68_99 Start : 20150101 
 1, 0000, 307.000000 
 1, 0100, 313.000000 
 1, 0200, 312.000000 
 1, 0300, 303.000000 
 1, 0400, 308.000000 
 1, 0500, 300.000000 
 1, 0600, 320.000000 
 1, 0700, 299.000000 
 1, 0800, 310.000000 
 1, 0900, 312.000000 
 1, 1000, 329.000000 
 1, 1100, 308.000000 
 1, 1200, 253.000000 
 1, 1300, 241.000000 
 1, 1400, 90.000000 
 1, 1500, 256.000000 
 1, 1600, 259.000000 
 1, 1700, 360.000000 
 1, 1800, 292.000000 
 1, 1900, 39.000000 
 1, 2000, 27.000000 
 1, 2100, 180.000000 
 1, 2200, 73.000000 
 1, 2300, 45.000000 
 2, 0000, 360.000000 
 2, 0100, 360.000000 
 2, 0200, 323.000000 
 2, 0300, 337.000000 
 2, 0400, 313.000000 
 2, 0500, 295.000000 
 2, 0600, 312.000000 
 2, 0700, 318.000000 
 2, 0800, 313.000000 
 2, 0900, 308.000000 
 2, 1000, 321.000000 
 2, 1100, 308.000000 
 2, 1200, 236.000000 
 2, 1300, 315.000000 
 2, 1400, 300.000000 
 2, 1500, 297.000000 
 2, 1600, 270.000000 
 2, 1700, 256.000000 
 2, 1800, 301.000000 
 2, 1900, 288.000000 
 2, 2000, 291.000000 
 2, 2100, 9.000000 
 2, 2200, 292.000000 
 2, 2300, 276.000000 
 3, 0000, 243.000000 
 3, 0100, 236.000000 
 3, 0200, 45.000000 
 3, 0300, 135.000000 
 3, 0400, 90.000000 
 3, 0500, 13.000000 
 3, 0600, 360.000000 
 3, 0700, 308.000000 
 3, 0800, 252.000000 
 3, 0900, 149.000000 
 3, 1000, 198.000000 
 3, 1100, 219.000000 
 3, 1200, 217.000000 
 3, 1300, 217.000000 
 3, 1400, 225.000000 
 3, 1500, 338.000000 
 3, 1600, 225.000000 
 3, 1700, 171.000000 
 3, 1800, 117.000000 
 3, 1900, 135.000000 
 3, 2000, 45.000000 
 3, 2100, 236.000000 
 3, 2200, 204.000000 
 3, 2300, 170.000000 
 4, 0000, 104.000000 
 4, 0100, 323.000000 
 4, 0200, 326.000000 
 4, 0300, 315.000000 
 4, 0400, 210.000000 
 4, 0500, 219.000000 
 4, 0600, 239.000000 
 4, 0700, 266.000000 
 4, 0800, 219.000000 
 4, 0900, 135.000000 
 4, 1000, 217.000000 
 4, 1100, 0.000000 
 4, 1200, 166.000000 
 4, 1300, 180.000000 
 4, 1400, 214.000000 
 4, 1500, 256.000000 
