 format: day,hour,value location:68_102 Start : 20160101 
 1, 0000, 225.000000 
 1, 0100, 0.000000 
 1, 0200, 135.000000 
 1, 0300, 202.000000 
 1, 0400, 203.000000 
 1, 0500, 240.000000 
 1, 0600, 252.000000 
 1, 0700, 305.000000 
 1, 0800, 249.000000 
 1, 0900, 236.000000 
 1, 1000, 225.000000 
 1, 1100, 189.000000 
 1, 1200, 173.000000 
 1, 1300, 180.000000 
 1, 1400, 180.000000 
 1, 1500, 188.000000 
 1, 1600, 180.000000 
 1, 1700, 207.000000 
 1, 1800, 360.000000 
 1, 1900, 153.000000 
 1, 2000, 172.000000 
 1, 2100, 180.000000 
 1, 2200, 207.000000 
 1, 2300, 214.000000 
 2, 0000, 180.000000 
 2, 0100, 189.000000 
 2, 0200, 202.000000 
 2, 0300, 234.000000 
 2, 0400, 233.000000 
 2, 0500, 252.000000 
 2, 0600, 262.000000 
 2, 0700, 230.000000 
 2, 0800, 212.000000 
 2, 0900, 198.000000 
 2, 1000, 180.000000 
 2, 1100, 360.000000 
 2, 1200, 346.000000 
 2, 1300, 225.000000 
 2, 1400, 90.000000 
 2, 1500, 360.000000 
 2, 1600, 117.000000 
 2, 1700, 0.000000 
 2, 1800, 360.000000 
 2, 1900, 45.000000 
 2, 2000, 270.000000 
 2, 2100, 270.000000 
 2, 2200, 45.000000 
 2, 2300, 180.000000 
 3, 0000, 45.000000 
 3, 0100, 90.000000 
 3, 0200, 243.000000 
 3, 0300, 240.000000 
 3, 0400, 307.000000 
 3, 0500, 349.000000 
 3, 0600, 6.000000 
 3, 0700, 252.000000 
 3, 0800, 259.000000 
 3, 0900, 297.000000 
 3, 1000, 243.000000 
 3, 1100, 284.000000 
 3, 1200, 247.000000 
 3, 1300, 180.000000 
 3, 1400, 360.000000 
 3, 1500, 252.000000 
 3, 1600, 225.000000 
 3, 1700, 225.000000 
 3, 1800, 225.000000 
 3, 1900, 337.000000 
 3, 2000, 339.000000 
 3, 2100, 347.000000 
 3, 2200, 345.000000 
 3, 2300, 331.000000 
 4, 0000, 328.000000 
 4, 0100, 342.000000 
 4, 0200, 349.000000 
 4, 0300, 344.000000 
 4, 0400, 346.000000 
 4, 0500, 344.000000 
 4, 0600, 353.000000 
 4, 0700, 346.000000 
 4, 0800, 356.000000 
 4, 0900, 346.000000 
 4, 1000, 355.000000 
 4, 1100, 344.000000 
 4, 1200, 22.000000 
 4, 1300, 45.000000 
 4, 1400, 360.000000 
 4, 1500, 90.000000 
 4, 1600, 315.000000 
 4, 1700, 333.000000 
 4, 1800, 27.000000 
 4, 1900, 27.000000 
 4, 2000, 360.000000 
 4, 2100, 360.000000 
 4, 2200, 321.000000 
 4, 2300, 354.000000 
 5, 0000, 339.000000 
 5, 0100, 339.000000 
 5, 0200, 356.000000 
 5, 0300, 360.000000 
 5, 0400, 356.000000 
 5, 0500, 360.000000 
 5, 0600, 354.000000 
 5, 0700, 342.000000 
 5, 0800, 346.000000 
 5, 0900, 360.000000 
 5, 1000, 354.000000 
 5, 1100, 355.000000 
 5, 1200, 360.000000 
 5, 1300, 360.000000 
 5, 1400, 27.000000 
 5, 1500, 360.000000 
 5, 1600, 333.000000 
 5, 1700, 180.000000 
 5, 1800, 315.000000 
 5, 1900, 342.000000 
 5, 2000, 326.000000 
 5, 2100, 342.000000 
 5, 2200, 360.000000 
 5, 2300, 346.000000 
 6, 0000, 45.000000 
 6, 0100, 207.000000 
 6, 0200, 207.000000 
 6, 0300, 297.000000 
 6, 0400, 243.000000 
 6, 0500, 350.000000 
 6, 0600, 360.000000 
 6, 0700, 309.000000 
 6, 0800, 354.000000 
 6, 0900, 346.000000 
 6, 1000, 349.000000 
 6, 1100, 347.000000 
 6, 1200, 347.000000 
 6, 1300, 333.000000 
 6, 1400, 360.000000 
 6, 1500, 360.000000 
 6, 1600, 352.000000 
 6, 1700, 7.000000 
 6, 1800, 360.000000 
 6, 1900, 349.000000 
 6, 2000, 315.000000 
 6, 2100, 331.000000 
 6, 2200, 344.000000 
 6, 2300, 360.000000 
 7, 0000, 17.000000 
 7, 0100, 355.000000 
 7, 0200, 348.000000 
 7, 0300, 330.000000 
 7, 0400, 331.000000 
 7, 0500, 345.000000 
 7, 0600, 333.000000 
 7, 0700, 336.000000 
 7, 0800, 338.000000 
 7, 0900, 323.000000 
 7, 1000, 339.000000 
 7, 1100, 342.000000 
 7, 1200, 326.000000 
 7, 1300, 225.000000 
 7, 1400, 207.000000 
 7, 1500, 333.000000 
 7, 1600, 349.000000 
 7, 1700, 14.000000 
 7, 1800, 333.000000 
 7, 1900, 333.000000 
 7, 2000, 352.000000 
 7, 2100, 342.000000 
 7, 2200, 360.000000 
 7, 2300, 0.000000 
 8, 0000, 360.000000 
 8, 0100, 225.000000 
 8, 0200, 45.000000 
 8, 0300, 355.000000 
 8, 0400, 355.000000 
 8, 0500, 333.000000 
 8, 0600, 342.000000 
 8, 0700, 336.000000 
 8, 0800, 344.000000 
 8, 0900, 333.000000 
 8, 1000, 339.000000 
 8, 1100, 338.000000 
 8, 1200, 270.000000 
 8, 1300, 180.000000 
 8, 1400, 252.000000 
 8, 1500, 90.000000 
 8, 1600, 333.000000 
 8, 1700, 270.000000 
 8, 1800, 315.000000 
 8, 1900, 346.000000 
 8, 2000, 360.000000 
 8, 2100, 315.000000 
 8, 2200, 342.000000 
 8, 2300, 360.000000 
 9, 0000, 9.000000 
 9, 0100, 24.000000 
 9, 0200, 37.000000 
 9, 0300, 353.000000 
 9, 0400, 318.000000 
 9, 0500, 308.000000 
 9, 0600, 274.000000 
 9, 0700, 286.000000 
 9, 0800, 285.000000 
 9, 0900, 274.000000 
 9, 1000, 262.000000 
 9, 1100, 262.000000 
 9, 1200, 284.000000 
 9, 1300, 243.000000 
 9, 1400, 256.000000 
 9, 1500, 256.000000 
 9, 1600, 270.000000 
 9, 1700, 326.000000 
 9, 1800, 323.000000 
 9, 1900, 270.000000 
 9, 2000, 315.000000 
 9, 2100, 270.000000 
 9, 2200, 225.000000 
 9, 2300, 239.000000 
 10, 0000, 231.000000 
 10, 0100, 225.000000 
 10, 0200, 315.000000 
 10, 0300, 342.000000 
 10, 0400, 354.000000 
 10, 0500, 329.000000 
 10, 0600, 323.000000 
 10, 0700, 320.000000 
 10, 0800, 304.000000 
 10, 0900, 315.000000 
 10, 1000, 337.000000 
 10, 1100, 349.000000 
 10, 1200, 333.000000 
 10, 1300, 342.000000 
 10, 1400, 333.000000 
 10, 1500, 333.000000 
 10, 1600, 360.000000 
 10, 1700, 333.000000 
 10, 1800, 349.000000 
 10, 1900, 315.000000 
 10, 2000, 342.000000 
 10, 2100, 180.000000 
 10, 2200, 34.000000 
 10, 2300, 346.000000 
 11, 0000, 18.000000 
 11, 0100, 66.000000 
 11, 0200, 20.000000 
 11, 0300, 20.000000 
 11, 0400, 7.000000 
 11, 0500, 360.000000 
 11, 0600, 351.000000 
 11, 0700, 360.000000 
 11, 0800, 360.000000 
 11, 0900, 360.000000 
 11, 1000, 360.000000 
 11, 1100, 360.000000 
 11, 1200, 352.000000 
 11, 1300, 14.000000 
 11, 1400, 90.000000 
 11, 1500, 27.000000 
 11, 1600, 360.000000 
 11, 1700, 342.000000 
 11, 1800, 346.000000 
 11, 1900, 349.000000 
 11, 2000, 346.000000 
 11, 2100, 360.000000 
 11, 2200, 349.000000 
 11, 2300, 346.000000 
 12, 0000, 360.000000 
 12, 0100, 45.000000 
 12, 0200, 315.000000 
 12, 0300, 288.000000 
 12, 0400, 322.000000 
 12, 0500, 288.000000 
 12, 0600, 324.000000 
 12, 0700, 333.000000 
 12, 0800, 321.000000 
 12, 0900, 342.000000 
 12, 1000, 331.000000 
 12, 1100, 318.000000 
 12, 1200, 270.000000 
 12, 1300, 243.000000 
 12, 1400, 243.000000 
 12, 1500, 270.000000 
 12, 1600, 252.000000 
