 format: day,hour,value location:68_103 Start : 20220101 
 1, 0000, 77.000000 
 1, 0100, 12.000000 
 1, 0200, 24.000000 
 1, 0300, 359.000000 
 1, 0400, 23.000000 
 1, 0500, 1.000000 
 1, 0600, 358.000000 
 1, 0700, 8.000000 
 1, 0800, 129.000000 
 1, 0900, 11.000000 
 1, 1000, 63.000000 
 1, 1100, 16.000000 
 1, 1200, 350.000000 
 1, 1300, 18.000000 
 1, 1400, 93.000000 
 1, 1500, 61.000000 
 1, 1600, 197.000000 
 1, 1700, 211.000000 
 1, 1800, 221.000000 
 1, 1900, 187.000000 
 1, 2000, 193.000000 
 1, 2100, 282.000000 
 1, 2200, 257.000000 
 1, 2300, 282.000000 
 2, 0000, 310.000000 
 2, 0100, 4.000000 
 2, 0200, 14.000000 
 2, 0300, 14.000000 
 2, 0400, 5.000000 
 2, 0500, 359.000000 
 2, 0600, 357.000000 
 2, 0700, 2.000000 
 2, 0800, 29.000000 
 2, 0900, 3.000000 
 2, 1000, 30.000000 
 2, 1100, 213.000000 
 2, 1200, 26.000000 
 2, 1300, 30.000000 
 2, 1400, 355.000000 
 2, 1500, 5.000000 
 2, 1600, 352.000000 
 2, 1700, 52.000000 
 2, 1800, 18.000000 
 2, 1900, 8.000000 
 2, 2000, 13.000000 
 2, 2100, 80.000000 
 2, 2200, 96.000000 
 2, 2300, 117.000000 
 3, 0000, 25.000000 
 3, 0100, 356.000000 
 3, 0200, 77.000000 
 3, 0300, 9.000000 
 3, 0400, 13.000000 
 3, 0500, 25.000000 
 3, 0600, 13.000000 
 3, 0700, 353.000000 
 3, 0800, 145.000000 
 3, 0900, 129.000000 
 3, 1000, 204.000000 
 3, 1100, 193.000000 
 3, 1200, 188.000000 
 3, 1300, 204.000000 
 3, 1400, 12.000000 
 3, 1500, 35.000000 
 3, 1600, 24.000000 
 3, 1700, 20.000000 
 3, 1800, 3.000000 
 3, 1900, 6.000000 
 3, 2000, 10.000000 
 3, 2100, 0.000000 
 3, 2200, 100.000000 
 3, 2300, 9.000000 
 4, 0000, 13.000000 
 4, 0100, 6.000000 
 4, 0200, 16.000000 
 4, 0300, 7.000000 
 4, 0400, 358.000000 
 4, 0500, 2.000000 
 4, 0600, 2.000000 
 4, 0700, 4.000000 
 4, 0800, 5.000000 
 4, 0900, 21.000000 
 4, 1000, 358.000000 
 4, 1100, 27.000000 
 4, 1200, 20.000000 
 4, 1300, 70.000000 
 4, 1400, 332.000000 
 4, 1500, 8.000000 
 4, 1600, 20.000000 
 4, 1700, 21.000000 
 4, 1800, 16.000000 
 4, 1900, 30.000000 
 4, 2000, 2.000000 
 4, 2100, 37.000000 
 4, 2200, 25.000000 
 4, 2300, 15.000000 
 5, 0000, 15.000000 
 5, 0100, 12.000000 
 5, 0200, 26.000000 
 5, 0300, 7.000000 
 5, 0400, 15.000000 
 5, 0500, 11.000000 
 5, 0600, 355.000000 
 5, 0700, 17.000000 
 5, 0800, 168.000000 
 5, 0900, 179.000000 
 5, 1000, 79.000000 
 5, 1100, 357.000000 
 5, 1200, 17.000000 
 5, 1300, 351.000000 
 5, 1400, 246.000000 
 5, 1500, 174.000000 
 5, 1600, 236.000000 
 5, 1700, 11.000000 
 5, 1800, 21.000000 
 5, 1900, 358.000000 
 5, 2000, 280.000000 
 5, 2100, 20.000000 
 5, 2200, 48.000000 
 5, 2300, 68.000000 
 6, 0000, 55.000000 
 6, 0100, 11.000000 
 6, 0200, 18.000000 
 6, 0300, 9.000000 
 6, 0400, 12.000000 
 6, 0500, 352.000000 
 6, 0600, 9.000000 
 6, 0700, 7.000000 
 6, 0800, 347.000000 
 6, 0900, 79.000000 
 6, 1000, 152.000000 
 6, 1100, 75.000000 
 6, 1200, 313.000000 
 6, 1300, 18.000000 
 6, 1400, 25.000000 
 6, 1500, 15.000000 
 6, 1600, 9.000000 
 6, 1700, 5.000000 
 6, 1800, 15.000000 
 6, 1900, 358.000000 
 6, 2000, 357.000000 
 6, 2100, 40.000000 
 6, 2200, 60.000000 
 6, 2300, -1.000000 
 7, 0000, 24.000000 
 7, 0100, 20.000000 
 7, 0200, 6.000000 
 7, 0300, 7.000000 
 7, 0400, 295.000000 
 7, 0500, 9.000000 
 7, 0600, 323.000000 
 7, 0700, 23.000000 
 7, 0800, 340.000000 
 7, 0900, 70.000000 
 7, 1000, 161.000000 
 7, 1100, 18.000000 
 7, 1200, 24.000000 
 7, 1300, 44.000000 
 7, 1400, 51.000000 
 7, 1500, 20.000000 
 7, 1600, 20.000000 
 7, 1700, 348.000000 
 7, 1800, 14.000000 
 7, 1900, 39.000000 
 7, 2000, 21.000000 
 7, 2100, 47.000000 
 7, 2200, 138.000000 
 7, 2300, 57.000000 
 8, 0000, 233.000000 
 8, 0100, 233.000000 
 8, 0200, 16.000000 
 8, 0300, 17.000000 
 8, 0400, 21.000000 
 8, 0500, 8.000000 
 8, 0600, 12.000000 
 8, 0700, 21.000000 
 8, 0800, 187.000000 
 8, 0900, 173.000000 
 8, 1000, 5.000000 
 8, 1100, 3.000000 
 8, 1200, 50.000000 
 8, 1300, 202.000000 
 8, 1400, 67.000000 
 8, 1500, 198.000000 
 8, 1600, 89.000000 
 8, 1700, 181.000000 
 8, 1800, 48.000000 
 8, 1900, 43.000000 
 8, 2000, 65.000000 
 8, 2100, 347.000000 
 8, 2200, 140.000000 
 8, 2300, 242.000000 
 9, 0000, 8.000000 
 9, 0100, 229.000000 
 9, 0200, 17.000000 
 9, 0300, 14.000000 
 9, 0400, 9.000000 
 9, 0500, 19.000000 
 9, 0600, 13.000000 
 9, 0700, 5.000000 
 9, 0800, 265.000000 
 9, 0900, 113.000000 
 9, 1000, 33.000000 
 9, 1100, 40.000000 
 9, 1200, 39.000000 
 9, 1300, 117.000000 
 9, 1400, 34.000000 
 9, 1500, 17.000000 
 9, 1600, 343.000000 
 9, 1700, 11.000000 
 9, 1800, 7.000000 
 9, 1900, 94.000000 
 9, 2000, 23.000000 
 9, 2100, 34.000000 
 9, 2200, 127.000000 
 9, 2300, 23.000000 
 10, 0000, 232.000000 
 10, 0100, 21.000000 
 10, 0200, 27.000000 
 10, 0300, 8.000000 
 10, 0400, 19.000000 
 10, 0500, 14.000000 
 10, 0600, 1.000000 
 10, 0700, 0.000000 
 10, 0800, 6.000000 
 10, 0900, 4.000000 
 10, 1000, 356.000000 
 10, 1100, 353.000000 
 10, 1200, 353.000000 
 10, 1300, 11.000000 
 10, 1400, 30.000000 
 10, 1500, 4.000000 
 10, 1600, 8.000000 
 10, 1700, 9.000000 
 10, 1800, 360.000000 
 10, 1900, 5.000000 
 10, 2000, 5.000000 
 10, 2100, 11.000000 
 10, 2200, 11.000000 
 10, 2300, 7.000000 
 11, 0000, 16.000000 
 11, 0100, 10.000000 
 11, 0200, 6.000000 
 11, 0300, 13.000000 
 11, 0400, 9.000000 
 11, 0500, 3.000000 
 11, 0600, 10.000000 
 11, 0700, 3.000000 
 11, 0800, 10.000000 
 11, 0900, 5.000000 
 11, 1000, 6.000000 
 11, 1100, 6.000000 
 11, 1200, 6.000000 
 11, 1300, 7.000000 
 11, 1400, 4.000000 
 11, 1500, 6.000000 
 11, 1600, 10.000000 
 11, 1700, 29.000000 
 11, 1800, 3.000000 
 11, 1900, 101.000000 
 11, 2000, 186.000000 
 11, 2100, 234.000000 
 11, 2200, 88.000000 
 11, 2300, 70.000000 
 12, 0000, 93.000000 
 12, 0100, 8.000000 
 12, 0200, 16.000000 
 12, 0300, 13.000000 
 12, 0400, 8.000000 
 12, 0500, 11.000000 
 12, 0600, 6.000000 
 12, 0700, 5.000000 
 12, 0800, 5.000000 
 12, 0900, 7.000000 
 12, 1000, 10.000000 
 12, 1100, 334.000000 
 12, 1200, 12.000000 
 12, 1300, 281.000000 
 12, 1400, 97.000000 
 12, 1500, 14.000000 
 12, 1600, 331.000000 
 12, 1700, 22.000000 
 12, 1800, 11.000000 
 12, 1900, 25.000000 
 12, 2000, 356.000000 
 12, 2100, 360.000000 
 12, 2200, 7.000000 
 12, 2300, 6.000000 
 13, 0000, 14.000000 
 13, 0100, 7.000000 
 13, 0200, 3.000000 
 13, 0300, 10.000000 
 13, 0400, 7.000000 
