 format: day,hour,value location:66_100 Start : 20200101 
 1, 0000, 302.000000 
 1, 0100, 235.000000 
 1, 0200, 240.000000 
 1, 0300, 259.000000 
 1, 0400, 240.000000 
 1, 0500, 239.000000 
 1, 0600, 257.000000 
 1, 0700, 240.000000 
 1, 0800, 42.000000 
 1, 0900, 46.000000 
 1, 1000, 38.000000 
 1, 1100, 50.000000 
 1, 1200, 88.000000 
 1, 1300, 41.000000 
 1, 1400, 101.000000 
 1, 1500, 11.000000 
 1, 1600, 78.000000 
 1, 1700, 10.000000 
 1, 1800, 171.000000 
 1, 1900, 90.000000 
 1, 2000, 95.000000 
 1, 2100, 267.000000 
 1, 2200, 216.000000 
 1, 2300, 41.000000 
 2, 0000, 92.000000 
 2, 0100, 262.000000 
 2, 0200, 176.000000 
 2, 0300, 233.000000 
 2, 0400, 283.000000 
 2, 0500, 295.000000 
 2, 0600, 261.000000 
 2, 0700, 53.000000 
 2, 0800, 17.000000 
 2, 0900, 29.000000 
 2, 1000, 331.000000 
 2, 1100, 357.000000 
 2, 1200, 39.000000 
 2, 1300, 47.000000 
 2, 1400, 206.000000 
 2, 1500, 237.000000 
 2, 1600, 105.000000 
 2, 1700, 302.000000 
 2, 1800, 189.000000 
 2, 1900, 235.000000 
 2, 2000, 276.000000 
 2, 2100, 127.000000 
 2, 2200, 313.000000 
 2, 2300, 19.000000 
 3, 0000, 247.000000 
 3, 0100, 293.000000 
 3, 0200, 285.000000 
 3, 0300, 288.000000 
 3, 0400, 306.000000 
 3, 0500, 303.000000 
 3, 0600, 285.000000 
 3, 0700, 319.000000 
 3, 0800, 358.000000 
 3, 0900, 14.000000 
 3, 1000, 63.000000 
 3, 1100, 24.000000 
 3, 1200, 49.000000 
 3, 1300, 10.000000 
 3, 1400, 23.000000 
 3, 1500, 18.000000 
 3, 1600, 36.000000 
 3, 1700, 7.000000 
 3, 1800, 97.000000 
 3, 1900, 18.000000 
 3, 2000, 264.000000 
 3, 2100, 288.000000 
 3, 2200, 12.000000 
 3, 2300, 226.000000 
 4, 0000, 318.000000 
 4, 0100, 55.000000 
 4, 0200, 215.000000 
 4, 0300, 244.000000 
 4, 0400, 234.000000 
 4, 0500, 259.000000 
 4, 0600, 266.000000 
 4, 0700, 110.000000 
 4, 0800, 20.000000 
 4, 0900, 17.000000 
 4, 1000, 31.000000 
 4, 1100, 351.000000 
 4, 1200, 334.000000 
 4, 1300, 320.000000 
 4, 1400, 34.000000 
 4, 1500, 62.000000 
 4, 1600, 39.000000 
 4, 1700, 300.000000 
 4, 1800, 113.000000 
 4, 1900, 46.000000 
 4, 2000, 83.000000 
 4, 2100, 90.000000 
 4, 2200, 233.000000 
 4, 2300, 168.000000 
 5, 0000, 188.000000 
 5, 0100, 214.000000 
 5, 0200, 171.000000 
 5, 0300, 31.000000 
 5, 0400, 20.000000 
 5, 0500, 19.000000 
 5, 0600, 17.000000 
 5, 0700, 16.000000 
 5, 0800, 37.000000 
 5, 0900, 43.000000 
 5, 1000, 10.000000 
 5, 1100, 28.000000 
 5, 1200, 57.000000 
 5, 1300, 81.000000 
 5, 1400, 36.000000 
 5, 1500, 90.000000 
 5, 1600, 355.000000 
 5, 1700, 311.000000 
 5, 1800, 72.000000 
 5, 1900, 88.000000 
 5, 2000, 31.000000 
 5, 2100, 69.000000 
 5, 2200, 144.000000 
 5, 2300, 194.000000 
 6, 0000, 126.000000 
 6, 0100, 49.000000 
 6, 0200, 195.000000 
 6, 0300, 272.000000 
 6, 0400, 284.000000 
 6, 0500, 266.000000 
 6, 0600, 272.000000 
 6, 0700, 204.000000 
 6, 0800, 231.000000 
 6, 0900, 264.000000 
 6, 1000, 84.000000 
 6, 1100, 266.000000 
 6, 1200, 78.000000 
 6, 1300, 348.000000 
 6, 1400, 184.000000 
 6, 1500, 33.000000 
 6, 1600, 33.000000 
 6, 1700, 8.000000 
 6, 1800, 58.000000 
 6, 1900, 237.000000 
 6, 2000, 341.000000 
 6, 2100, 0.000000 
 6, 2200, 0.000000 
 6, 2300, 83.000000 
 7, 0000, 0.000000 
 7, 0100, 86.000000 
 7, 0200, 279.000000 
 7, 0300, 246.000000 
 7, 0400, 102.000000 
 7, 0500, 114.000000 
 7, 0600, 318.000000 
 7, 0700, 279.000000 
 7, 0800, 293.000000 
 7, 0900, 338.000000 
 7, 1000, 198.000000 
 7, 1100, 220.000000 
 7, 1200, 238.000000 
 7, 1300, 236.000000 
 7, 1400, 223.000000 
 7, 1500, 225.000000 
 7, 1600, 221.000000 
 7, 1700, 253.000000 
 7, 1800, 242.000000 
 7, 1900, 234.000000 
 7, 2000, 245.000000 
 7, 2100, 264.000000 
 7, 2200, 243.000000 
 7, 2300, 279.000000 
 8, 0000, 293.000000 
 8, 0100, 280.000000 
 8, 0200, 271.000000 
 8, 0300, 291.000000 
 8, 0400, 276.000000 
 8, 0500, 259.000000 
 8, 0600, 240.000000 
 8, 0700, 228.000000 
 8, 0800, 248.000000 
 8, 0900, 260.000000 
 8, 1000, 274.000000 
 8, 1100, 298.000000 
 8, 1200, 299.000000 
 8, 1300, 282.000000 
 8, 1400, 273.000000 
 8, 1500, 288.000000 
 8, 1600, 293.000000 
 8, 1700, 266.000000 
 8, 1800, 284.000000 
 8, 1900, 324.000000 
 8, 2000, 281.000000 
 8, 2100, 258.000000 
 8, 2200, 202.000000 
 8, 2300, 275.000000 
 9, 0000, 260.000000 
 9, 0100, 263.000000 
 9, 0200, 275.000000 
 9, 0300, 266.000000 
 9, 0400, 283.000000 
 9, 0500, 287.000000 
 9, 0600, 272.000000 
 9, 0700, 275.000000 
 9, 0800, 11.000000 
 9, 0900, 74.000000 
 9, 1000, 60.000000 
 9, 1100, 2.000000 
 9, 1200, 50.000000 
 9, 1300, 197.000000 
 9, 1400, 24.000000 
 9, 1500, 34.000000 
 9, 1600, 39.000000 
 9, 1700, 288.000000 
 9, 1800, 179.000000 
 9, 1900, 300.000000 
 9, 2000, 78.000000 
 9, 2100, 32.000000 
 9, 2200, 109.000000 
 9, 2300, 183.000000 
 10, 0000, 203.000000 
 10, 0100, 220.000000 
 10, 0200, 243.000000 
 10, 0300, 210.000000 
 10, 0400, 251.000000 
 10, 0500, 250.000000 
 10, 0600, 272.000000 
 10, 0700, 313.000000 
 10, 0800, 6.000000 
 10, 0900, 19.000000 
 10, 1000, 129.000000 
 10, 1100, 43.000000 
 10, 1200, 20.000000 
 10, 1300, 29.000000 
 10, 1400, 123.000000 
 10, 1500, 20.000000 
 10, 1600, 97.000000 
 10, 1700, 55.000000 
 10, 1800, 359.000000 
 10, 1900, 217.000000 
 10, 2000, 205.000000 
 10, 2100, 115.000000 
 10, 2200, 91.000000 
 10, 2300, 208.000000 
 11, 0000, 226.000000 
 11, 0100, 179.000000 
 11, 0200, 18.000000 
 11, 0300, 343.000000 
 11, 0400, 287.000000 
 11, 0500, 285.000000 
 11, 0600, 280.000000 
 11, 0700, 357.000000 
 11, 0800, 221.000000 
 11, 0900, 355.000000 
 11, 1000, 285.000000 
 11, 1100, 146.000000 
 11, 1200, 81.000000 
 11, 1300, 359.000000 
 11, 1400, 48.000000 
 11, 1500, 28.000000 
 11, 1600, 129.000000 
 11, 1700, 236.000000 
 11, 1800, 277.000000 
 11, 1900, 272.000000 
