 format: day,hour,value location:68_100 Start : 20120101 
 1, 0000, 0.000000 
 1, 0100, 321.000000 
 1, 0200, 0.000000 
 1, 0300, 61.000000 
 1, 0400, 0.000000 
 1, 0500, 0.000000 
 1, 0600, 330.000000 
 1, 0700, 290.000000 
 1, 0800, 302.000000 
 1, 0900, 322.000000 
 1, 1000, 287.000000 
 1, 1100, 320.000000 
 1, 1200, 348.000000 
 1, 1300, 312.000000 
 1, 1400, 21.000000 
 1, 1500, 39.000000 
 1, 1600, 333.000000 
 1, 1700, 249.000000 
 1, 1800, 0.000000 
 1, 1900, 0.000000 
 1, 2000, 354.000000 
 1, 2100, 270.000000 
 1, 2200, 333.000000 
 1, 2300, 0.000000 
 2, 0000, 204.000000 
 2, 0100, 207.000000 
 2, 0200, 172.000000 
 2, 0300, 355.000000 
 2, 0400, 233.000000 
 2, 0500, 217.000000 
 2, 0600, 211.000000 
 2, 0700, 198.000000 
 2, 0800, 162.000000 
 2, 0900, 122.000000 
 2, 1000, 0.000000 
 2, 1100, 157.000000 
 2, 1200, 203.000000 
 2, 1300, 130.000000 
 2, 1400, 0.000000 
 2, 1500, 0.000000 
 2, 1600, 0.000000 
 2, 1700, 0.000000 
 2, 1800, 135.000000 
 2, 1900, 0.000000 
 2, 2000, 0.000000 
 2, 2100, 126.000000 
 2, 2200, 0.000000 
 2, 2300, 0.000000 
 3, 0000, 0.000000 
 3, 0100, 0.000000 
 3, 0200, 0.000000 
 3, 0300, 320.000000 
 3, 0400, 349.000000 
 3, 0500, 301.000000 
 3, 0600, 248.000000 
 3, 0700, 273.000000 
 3, 0800, 294.000000 
 3, 0900, 270.000000 
 3, 1000, 293.000000 
 3, 1100, 286.000000 
 3, 1200, 255.000000 
 3, 1300, 276.000000 
 3, 1400, 3.000000 
 3, 1500, 333.000000 
 3, 1600, 350.000000 
 3, 1700, 348.000000 
 3, 1800, 347.000000 
 3, 1900, 350.000000 
 3, 2000, 246.000000 
 3, 2100, 8.000000 
 3, 2200, 360.000000 
 3, 2300, 352.000000 
 4, 0000, 45.000000 
 4, 0100, 9.000000 
 4, 0200, 319.000000 
 4, 0300, 319.000000 
 4, 0400, 300.000000 
 4, 0500, 293.000000 
 4, 0600, 297.000000 
 4, 0700, 307.000000 
 4, 0800, 327.000000 
 4, 0900, 304.000000 
 4, 1000, 291.000000 
 4, 1100, 287.000000 
 4, 1200, 276.000000 
 4, 1300, 287.000000 
 4, 1400, 286.000000 
 4, 1500, 290.000000 
 4, 1600, 343.000000 
 4, 1700, 342.000000 
 4, 1800, 18.000000 
 4, 1900, 111.000000 
 4, 2000, 37.000000 
 4, 2100, 61.000000 
 4, 2200, 0.000000 
 4, 2300, 0.000000 
 5, 0000, 0.000000 
 5, 0100, 0.000000 
 5, 0200, 270.000000 
 5, 0300, 328.000000 
 5, 0400, 270.000000 
 5, 0500, 175.000000 
 5, 0600, 315.000000 
 5, 0700, 324.000000 
 5, 0800, 333.000000 
 5, 0900, 349.000000 
 5, 1000, 355.000000 
 5, 1100, 150.000000 
 5, 1200, 143.000000 
 5, 1300, 0.000000 
 5, 1400, 0.000000 
 5, 1500, 0.000000 
 5, 1600, 0.000000 
 5, 1700, 0.000000 
 5, 1800, 323.000000 
 5, 1900, 0.000000 
 5, 2000, 0.000000 
 5, 2100, 0.000000 
 5, 2200, 0.000000 
 5, 2300, 0.000000 
 6, 0000, 0.000000 
 6, 0100, 0.000000 
 6, 0200, 309.000000 
 6, 0300, 0.000000 
 6, 0400, 355.000000 
 6, 0500, 43.000000 
 6, 0600, 342.000000 
 6, 0700, 270.000000 
 6, 0800, 291.000000 
 6, 0900, 333.000000 
 6, 1000, 15.000000 
 6, 1100, 348.000000 
 6, 1200, 323.000000 
 6, 1300, 349.000000 
 6, 1400, 360.000000 
 6, 1500, 153.000000 
 6, 1600, 0.000000 
 6, 1700, 0.000000 
 6, 1800, 0.000000 
 6, 1900, 0.000000 
 6, 2000, 0.000000 
 6, 2100, 0.000000 
 6, 2200, 0.000000 
 6, 2300, 323.000000 
 7, 0000, 0.000000 
 7, 0100, 259.000000 
 7, 0200, 0.000000 
 7, 0300, 309.000000 
 7, 0400, 8.000000 
 7, 0500, 315.000000 
 7, 0600, 101.000000 
 7, 0700, 315.000000 
 7, 0800, 61.000000 
 7, 0900, 121.000000 
 7, 1000, 121.000000 
 7, 1100, 0.000000 
 7, 1200, 0.000000 
 7, 1300, 0.000000 
 7, 1400, 0.000000 
 7, 1500, 0.000000 
 7, 1600, 0.000000 
 7, 1700, 0.000000 
 7, 1800, 0.000000 
 7, 1900, 0.000000 
 7, 2000, 0.000000 
 7, 2100, 0.000000 
 7, 2200, 0.000000 
 7, 2300, 0.000000 
 8, 0000, 0.000000 
 8, 0100, 0.000000 
 8, 0200, 307.000000 
 8, 0300, 31.000000 
 8, 0400, 337.000000 
 8, 0500, 103.000000 
 8, 0600, 356.000000 
 8, 0700, 62.000000 
 8, 0800, 356.000000 
 8, 0900, 339.000000 
 8, 1000, 352.000000 
 8, 1100, 18.000000 
 8, 1200, 9.000000 
 8, 1300, 0.000000 
 8, 1400, 0.000000 
 8, 1500, 0.000000 
 8, 1600, 0.000000 
 8, 1700, 0.000000 
 8, 1800, 0.000000 
 8, 1900, 0.000000 
 8, 2000, 0.000000 
 8, 2100, 0.000000 
 8, 2200, 0.000000 
 8, 2300, 0.000000 
 9, 0000, 0.000000 
 9, 0100, 0.000000 
 9, 0200, 0.000000 
 9, 0300, 0.000000 
 9, 0400, 217.000000 
 9, 0500, 236.000000 
 9, 0600, 233.000000 
 9, 0700, 0.000000 
 9, 0800, 249.000000 
 9, 0900, 131.000000 
 9, 1000, 236.000000 
 9, 1100, 217.000000 
 9, 1200, 81.000000 
 9, 1300, 127.000000 
 9, 1400, 0.000000 
 9, 1500, 141.000000 
 9, 1600, 315.000000 
 9, 1700, 0.000000 
 9, 1800, 261.000000 
 9, 1900, 329.000000 
 9, 2000, 331.000000 
 9, 2100, 352.000000 
 9, 2200, 4.000000 
 9, 2300, 351.000000 
 10, 0000, 90.000000 
 10, 0100, 61.000000 
 10, 0200, 347.000000 
 10, 0300, 328.000000 
 10, 0400, 357.000000 
 10, 0500, 349.000000 
 10, 0600, 245.000000 
 10, 0700, 315.000000 
 10, 0800, 298.000000 
 10, 0900, 294.000000 
 10, 1000, 230.000000 
 10, 1100, 225.000000 
 10, 1200, 283.000000 
 10, 1300, 259.000000 
 10, 1400, 281.000000 
 10, 1500, 256.000000 
 10, 1600, 264.000000 
 10, 1700, 335.000000 
 10, 1800, 333.000000 
 10, 1900, 29.000000 
 10, 2000, 351.000000 
 10, 2100, 24.000000 
 10, 2200, 259.000000 
 10, 2300, 315.000000 
 11, 0000, 302.000000 
 11, 0100, 319.000000 
 11, 0200, 353.000000 
 11, 0300, 330.000000 
 11, 0400, 346.000000 
 11, 0500, 358.000000 
 11, 0600, 317.000000 
 11, 0700, 317.000000 
 11, 0800, 335.000000 
 11, 0900, 330.000000 
 11, 1000, 338.000000 
 11, 1100, 349.000000 
 11, 1200, 146.000000 
 11, 1300, 180.000000 
 11, 1400, 217.000000 
 11, 1500, 0.000000 
 11, 1600, 315.000000 
 11, 1700, 0.000000 
 11, 1800, 329.000000 
 11, 1900, 323.000000 
 11, 2000, 0.000000 
 11, 2100, 0.000000 
 11, 2200, 0.000000 
 11, 2300, 0.000000 
 12, 0000, 0.000000 
 12, 0100, 207.000000 
 12, 0200, 187.000000 
 12, 0300, 229.000000 
 12, 0400, 210.000000 
 12, 0500, 259.000000 
 12, 0600, 231.000000 
 12, 0700, 272.000000 
 12, 0800, 255.000000 
 12, 0900, 231.000000 
 12, 1000, 216.000000 
 12, 1100, 216.000000 
 12, 1200, 231.000000 
 12, 1300, 218.000000 
 12, 1400, 0.000000 
 12, 1500, 0.000000 
 12, 1600, 0.000000 
 12, 1700, 0.000000 
 12, 1800, 0.000000 
 12, 1900, 0.000000 
 12, 2000, 0.000000 
 12, 2100, 329.000000 
 12, 2200, 0.000000 
 12, 2300, 270.000000 
 13, 0000, 0.000000 
 13, 0100, 0.000000 
 13, 0200, 243.000000 
 13, 0300, 247.000000 
 13, 0400, 252.000000 
 13, 0500, 255.000000 
 13, 0600, 272.000000 
 13, 0700, 266.000000 
 13, 0800, 270.000000 
 13, 0900, 306.000000 
 13, 1000, 18.000000 
 13, 1100, 344.000000 
 13, 1200, 308.000000 
 13, 1300, 180.000000 
 13, 1400, 162.000000 
 13, 1500, 0.000000 
 13, 1600, 0.000000 
 13, 1700, 0.000000 
 13, 1800, 0.000000 
 13, 1900, 77.000000 
 13, 2000, 120.000000 
 13, 2100, 0.000000 
 13, 2200, 0.000000 
 13, 2300, 0.000000 
 14, 0000, 0.000000 
 14, 0100, 0.000000 
 14, 0200, 342.000000 
 14, 0300, 180.000000 
 14, 0400, 350.000000 
 14, 0500, 277.000000 
 14, 0600, 325.000000 
 14, 0700, 343.000000 
 14, 0800, 283.000000 
 14, 0900, 23.000000 
 14, 1000, 180.000000 
 14, 1100, 214.000000 
 14, 1200, 0.000000 
 14, 1300, 330.000000 
 14, 1400, 0.000000 
 14, 1500, 0.000000 
 14, 1600, 0.000000 
 14, 1700, 304.000000 
 14, 1800, 0.000000 
 14, 1900, 0.000000 
 14, 2000, 0.000000 
 14, 2100, 0.000000 
 14, 2200, 0.000000 
 14, 2300, 0.000000 
 15, 0000, 0.000000 
 15, 0100, 307.000000 
 15, 0200, 42.000000 
 15, 0300, 344.000000 
 15, 0400, 333.000000 
 15, 0500, 346.000000 
 15, 0600, 57.000000 
 15, 0700, 45.000000 
 15, 0800, 25.000000 
 15, 0900, 9.000000 
 15, 1000, 45.000000 
 15, 1100, 11.000000 
 15, 1200, 354.000000 
 15, 1300, 135.000000 
 15, 1400, 0.000000 
 15, 1500, 0.000000 
 15, 1600, 0.000000 
 15, 1700, 141.000000 
 15, 1800, 0.000000 
 15, 1900, 0.000000 
 15, 2000, 0.000000 
 15, 2100, 0.000000 
 15, 2200, 0.000000 
 15, 2300, 0.000000 
 16, 0000, 0.000000 
 16, 0100, 0.000000 
 16, 0200, 0.000000 
 16, 0300, 324.000000 
 16, 0400, 326.000000 
 16, 0500, 82.000000 
 16, 0600, 86.000000 
 16, 0700, 51.000000 
 16, 0800, 76.000000 
 16, 0900, 51.000000 
 16, 1000, 0.000000 
 16, 1100, 79.000000 
 16, 1200, 0.000000 
 16, 1300, 67.000000 
 16, 1400, 73.000000 
 16, 1500, 37.000000 
 16, 1600, 297.000000 
 16, 1700, 0.000000 
 16, 1800, 0.000000 
 16, 1900, 0.000000 
 16, 2000, 259.000000 
 16, 2100, 0.000000 
 16, 2200, 0.000000 
 16, 2300, 0.000000 
 17, 0000, 0.000000 
 17, 0100, 0.000000 
 17, 0200, 0.000000 
 17, 0300, 0.000000 
 17, 0400, 330.000000 
 17, 0500, 339.000000 
 17, 0600, 246.000000 
 17, 0700, 248.000000 
 17, 0800, 239.000000 
 17, 0900, 189.000000 
 17, 1000, 202.000000 
 17, 1100, 346.000000 
 17, 1200, 114.000000 
 17, 1300, 124.000000 
 17, 1400, 105.000000 
 17, 1500, 139.000000 
 17, 1600, 0.000000 
 17, 1700, 0.000000 
 17, 1800, 0.000000 
 17, 1900, 0.000000 
 17, 2000, 0.000000 
 17, 2100, 0.000000 
 17, 2200, 0.000000 
 17, 2300, 0.000000 
 18, 0000, 0.000000 
 18, 0100, 0.000000 
 18, 0200, 0.000000 
 18, 0300, 344.000000 
 18, 0400, 324.000000 
 18, 0500, 323.000000 
 18, 0600, 304.000000 
 18, 0700, 349.000000 
 18, 0800, 343.000000 
 18, 0900, 16.000000 
 18, 1000, 42.000000 
 18, 1100, 15.000000 
 18, 1200, 96.000000 
 18, 1300, 117.000000 
 18, 1400, 0.000000 
 18, 1500, 106.000000 
 18, 1600, 0.000000 
 18, 1700, 0.000000 
 18, 1800, 127.000000 
 18, 1900, 149.000000 
 18, 2000, 0.000000 
 18, 2100, 315.000000 
 18, 2200, 0.000000 
 18, 2300, 0.000000 
 19, 0000, 0.000000 
 19, 0100, 0.000000 
 19, 0200, 321.000000 
 19, 0300, 329.000000 
 19, 0400, 45.000000 
 19, 0500, 343.000000 
 19, 0600, 0.000000 
 19, 0700, 49.000000 
 19, 0800, 39.000000 
 19, 0900, 54.000000 
 19, 1000, 0.000000 
 19, 1100, 111.000000 
 19, 1200, 127.000000 
 19, 1300, 126.000000 
 19, 1400, 140.000000 
 19, 1500, 0.000000 
 19, 1600, 90.000000 
 19, 1700, 90.000000 
 19, 1800, 106.000000 
 19, 1900, 0.000000 
 19, 2000, 114.000000 
 19, 2100, 0.000000 
 19, 2200, 0.000000 
 19, 2300, 143.000000 
 20, 0000, 0.000000 
 20, 0100, 180.000000 
 20, 0200, 323.000000 
 20, 0300, 75.000000 
 20, 0400, 60.000000 
 20, 0500, 54.000000 
 20, 0600, 67.000000 
 20, 0700, 45.000000 
 20, 0800, 61.000000 
 20, 0900, 75.000000 
 20, 1000, 90.000000 
 20, 1100, 61.000000 
 20, 1200, 56.000000 
 20, 1300, 49.000000 
 20, 1400, 104.000000 
 20, 1500, 130.000000 
 20, 1600, 0.000000 
 20, 1700, 143.000000 
 20, 1800, 22.000000 
 20, 1900, 0.000000 
 20, 2000, 90.000000 
 20, 2100, 143.000000 
 20, 2200, 0.000000 
 20, 2300, 143.000000 
 21, 0000, 18.000000 
 21, 0100, 347.000000 
 21, 0200, 35.000000 
 21, 0300, 342.000000 
 21, 0400, 341.000000 
 21, 0500, 346.000000 
 21, 0600, 355.000000 
 21, 0700, 347.000000 
 21, 0800, 360.000000 
 21, 0900, 347.000000 
 21, 1000, 325.000000 
 21, 1100, 332.000000 
 21, 1200, 43.000000 
 21, 1300, 15.000000 
 21, 1400, 42.000000 
 21, 1500, 30.000000 
 21, 1600, 354.000000 
 21, 1700, 320.000000 
 21, 1800, 3.000000 
 21, 1900, 309.000000 
 21, 2000, 343.000000 
 21, 2100, 327.000000 
 21, 2200, 343.000000 
 21, 2300, 308.000000 
 22, 0000, 336.000000 
 22, 0100, 338.000000 
 22, 0200, 336.000000 
 22, 0300, 345.000000 
 22, 0400, 330.000000 
 22, 0500, 312.000000 
 22, 0600, 349.000000 
 22, 0700, 331.000000 
 22, 0800, 322.000000 
 22, 0900, 288.000000 
 22, 1000, 320.000000 
 22, 1100, 322.000000 
 22, 1200, 306.000000 
 22, 1300, 284.000000 
 22, 1400, 286.000000 
 22, 1500, 291.000000 
 22, 1600, 303.000000 
 22, 1700, 285.000000 
 22, 1800, 344.000000 
