 format: day,hour,value location:69_100 Start : 20180101 
 1, 0000, 243.000000 
 1, 0100, 325.000000 
 1, 0200, 349.000000 
 1, 0300, 336.000000 
 1, 0400, 344.000000 
 1, 0500, 337.000000 
 1, 0600, 318.000000 
 1, 0700, 270.000000 
 1, 0800, 281.000000 
 1, 0900, 270.000000 
 1, 1000, 288.000000 
 1, 1100, 315.000000 
 1, 1200, 315.000000 
 1, 1300, 270.000000 
 1, 1400, 180.000000 
 1, 1500, 270.000000 
 1, 1600, 180.000000 
 1, 1700, 180.000000 
 1, 1800, 153.000000 
 1, 1900, 135.000000 
 1, 2000, 90.000000 
 1, 2100, 90.000000 
 1, 2200, 360.000000 
 1, 2300, 333.000000 
 2, 0000, 360.000000 
 2, 0100, 360.000000 
 2, 0200, 243.000000 
 2, 0300, 228.000000 
 2, 0400, 256.000000 
 2, 0500, 312.000000 
 2, 0600, 344.000000 
 2, 0700, 315.000000 
 2, 0800, 337.000000 
 2, 0900, 309.000000 
 2, 1000, 323.000000 
 2, 1100, 291.000000 
 2, 1200, 297.000000 
 2, 1300, 283.000000 
 2, 1400, 306.000000 
 2, 1500, 299.000000 
 2, 1600, 304.000000 
 2, 1700, 324.000000 
 2, 1800, 328.000000 
 2, 1900, 322.000000 
 2, 2000, 304.000000 
 2, 2100, 18.000000 
 2, 2200, 342.000000 
 2, 2300, 326.000000 
 3, 0000, 309.000000 
 3, 0100, 315.000000 
 3, 0200, 287.000000 
 3, 0300, 331.000000 
 3, 0400, 325.000000 
 3, 0500, 333.000000 
 3, 0600, 331.000000 
 3, 0700, 339.000000 
 3, 0800, 326.000000 
 3, 0900, 339.000000 
 3, 1000, 322.000000 
 3, 1100, 293.000000 
 3, 1200, 310.000000 
 3, 1300, 288.000000 
 3, 1400, 309.000000 
 3, 1500, 326.000000 
 3, 1600, 309.000000 
 3, 1700, 336.000000 
 3, 1800, 333.000000 
 3, 1900, 338.000000 
 3, 2000, 360.000000 
 3, 2100, 360.000000 
 3, 2200, 333.000000 
 3, 2300, 344.000000 
 4, 0000, 337.000000 
 4, 0100, 11.000000 
 4, 0200, 355.000000 
 4, 0300, 337.000000 
 4, 0400, 360.000000 
 4, 0500, 354.000000 
 4, 0600, 315.000000 
 4, 0700, 349.000000 
 4, 0800, 329.000000 
 4, 0900, 18.000000 
 4, 1000, 333.000000 
 4, 1100, 135.000000 
 4, 1200, 315.000000 
 4, 1300, 346.000000 
 4, 1400, 342.000000 
 4, 1500, 315.000000 
 4, 1600, 333.000000 
 4, 1700, 315.000000 
 4, 1800, 270.000000 
 4, 1900, 297.000000 
 4, 2000, 270.000000 
 4, 2100, 360.000000 
 4, 2200, 270.000000 
 4, 2300, 270.000000 
 5, 0000, 90.000000 
 5, 0100, 306.000000 
 5, 0200, 294.000000 
 5, 0300, 233.000000 
 5, 0400, 293.000000 
 5, 0500, 285.000000 
 5, 0600, 270.000000 
 5, 0700, 305.000000 
 5, 0800, 301.000000 
 5, 0900, 303.000000 
 5, 1000, 293.000000 
 5, 1100, 279.000000 
 5, 1200, 288.000000 
 5, 1300, 247.000000 
 5, 1400, 261.000000 
 5, 1500, 278.000000 
 5, 1600, 279.000000 
 5, 1700, 281.000000 
 5, 1800, 297.000000 
 5, 1900, 256.000000 
 5, 2000, 301.000000 
 5, 2100, 309.000000 
 5, 2200, 326.000000 
 5, 2300, 315.000000 
 6, 0000, 72.000000 
 6, 0100, 222.000000 
 6, 0200, 270.000000 
 6, 0300, 338.000000 
 6, 0400, 352.000000 
 6, 0500, 351.000000 
 6, 0600, 360.000000 
 6, 0700, 360.000000 
 6, 0800, 342.000000 
 6, 0900, 18.000000 
 6, 1000, 307.000000 
 6, 1100, 360.000000 
 6, 1200, 342.000000 
 6, 1300, 333.000000 
 6, 1400, 63.000000 
 6, 1500, 315.000000 
 6, 1600, 315.000000 
 6, 1700, 270.000000 
 6, 1800, 225.000000 
 6, 1900, 180.000000 
 6, 2000, 180.000000 
 6, 2100, 76.000000 
 6, 2200, 63.000000 
 6, 2300, 127.000000 
 7, 0000, 81.000000 
 7, 0100, 111.000000 
 7, 0200, 191.000000 
 7, 0300, 252.000000 
 7, 0400, 56.000000 
 7, 0500, 131.000000 
 7, 0600, 180.000000 
 7, 0700, 121.000000 
 7, 0800, 130.000000 
 7, 0900, 100.000000 
 7, 1000, 117.000000 
 7, 1100, 141.000000 
 7, 1200, 90.000000 
 7, 1300, 162.000000 
 7, 1400, 127.000000 
 7, 1500, 63.000000 
 7, 1600, 333.000000 
 7, 1700, 360.000000 
 7, 1800, 27.000000 
 7, 1900, 360.000000 
 7, 2000, 360.000000 
 7, 2100, 153.000000 
 7, 2200, 180.000000 
 7, 2300, 180.000000 
 8, 0000, 153.000000 
 8, 0100, 225.000000 
 8, 0200, 315.000000 
 8, 0300, 270.000000 
 8, 0400, 256.000000 
 8, 0500, 230.000000 
 8, 0600, 228.000000 
 8, 0700, 234.000000 
 8, 0800, 220.000000 
 8, 0900, 238.000000 
 8, 1000, 230.000000 
 8, 1100, 236.000000 
 8, 1200, 260.000000 
 8, 1300, 299.000000 
 8, 1400, 300.000000 
 8, 1500, 305.000000 
 8, 1600, 312.000000 
 8, 1700, 295.000000 
 8, 1800, 299.000000 
 8, 1900, 286.000000 
 8, 2000, 306.000000 
 8, 2100, 294.000000 
 8, 2200, 291.000000 
 8, 2300, 306.000000 
 9, 0000, 287.000000 
 9, 0100, 281.000000 
 9, 0200, 295.000000 
 9, 0300, 294.000000 
 9, 0400, 278.000000 
 9, 0500, 253.000000 
 9, 0600, 270.000000 
 9, 0700, 248.000000 
 9, 0800, 259.000000 
 9, 0900, 255.000000 
 9, 1000, 227.000000 
 9, 1100, 225.000000 
 9, 1200, 229.000000 
 9, 1300, 221.000000 
 9, 1400, 225.000000 
 9, 1500, 242.000000 
 9, 1600, 251.000000 
 9, 1700, 270.000000 
 9, 1800, 300.000000 
 9, 1900, 327.000000 
 9, 2000, 324.000000 
 9, 2100, 321.000000 
 9, 2200, 333.000000 
 9, 2300, 312.000000 
 10, 0000, 318.000000 
 10, 0100, 341.000000 
 10, 0200, 349.000000 
 10, 0300, 344.000000 
 10, 0400, 288.000000 
 10, 0500, 306.000000 
 10, 0600, 313.000000 
 10, 0700, 329.000000 
 10, 0800, 324.000000 
 10, 0900, 317.000000 
 10, 1000, 320.000000 
 10, 1100, 310.000000 
 10, 1200, 331.000000 
 10, 1300, 321.000000 
 10, 1400, 321.000000 
 10, 1500, 330.000000 
 10, 1600, 315.000000 
 10, 1700, 324.000000 
 10, 1800, 326.000000 
 10, 1900, 329.000000 
 10, 2000, 311.000000 
 10, 2100, 315.000000 
 10, 2200, 324.000000 
 10, 2300, 349.000000 
 11, 0000, 225.000000 
 11, 0100, 315.000000 
 11, 0200, 330.000000 
 11, 0300, 328.000000 
 11, 0400, 307.000000 
 11, 0500, 309.000000 
 11, 0600, 301.000000 
 11, 0700, 311.000000 
 11, 0800, 311.000000 
 11, 0900, 300.000000 
 11, 1000, 295.000000 
 11, 1100, 301.000000 
 11, 1200, 299.000000 
 11, 1300, 308.000000 
 11, 1400, 320.000000 
 11, 1500, 345.000000 
 11, 1600, 343.000000 
 11, 1700, 343.000000 
 11, 1800, 346.000000 
 11, 1900, 360.000000 
 11, 2000, 329.000000 
 11, 2100, 329.000000 
 11, 2200, 320.000000 
 11, 2300, 315.000000 
 12, 0000, 270.000000 
 12, 0100, 322.000000 
 12, 0200, 352.000000 
 12, 0300, 326.000000 
 12, 0400, 322.000000 
 12, 0500, 319.000000 
 12, 0600, 315.000000 
 12, 0700, 312.000000 
 12, 0800, 293.000000 
 12, 0900, 261.000000 
 12, 1000, 243.000000 
 12, 1100, 270.000000 
 12, 1200, 323.000000 
 12, 1300, 284.000000 
 12, 1400, 333.000000 
 12, 1500, 326.000000 
 12, 1600, 326.000000 
 12, 1700, 14.000000 
 12, 1800, 360.000000 
 12, 1900, 360.000000 
 12, 2000, 342.000000 
 12, 2100, 360.000000 
 12, 2200, 360.000000 
 12, 2300, 351.000000 
 13, 0000, 346.000000 
 13, 0100, 214.000000 
 13, 0200, 236.000000 
 13, 0300, 305.000000 
 13, 0400, 301.000000 
 13, 0500, 312.000000 
 13, 0600, 287.000000 
 13, 0700, 288.000000 
 13, 0800, 252.000000 
 13, 0900, 225.000000 
 13, 1000, 243.000000 
 13, 1100, 90.000000 
 13, 1200, 153.000000 
 13, 1300, 90.000000 
 13, 1400, 117.000000 
 13, 1500, 90.000000 
 13, 1600, 90.000000 
 13, 1700, 117.000000 
 13, 1800, 108.000000 
 13, 1900, 117.000000 
 13, 2000, 90.000000 
 13, 2100, 90.000000 
 13, 2200, 108.000000 
 13, 2300, 79.000000 
 14, 0000, 117.000000 
 14, 0100, 90.000000 
 14, 0200, 108.000000 
 14, 0300, 117.000000 
 14, 0400, 254.000000 
 14, 0500, 257.000000 
 14, 0600, 250.000000 
 14, 0700, 153.000000 
 14, 0800, 169.000000 
 14, 0900, 149.000000 
 14, 1000, 135.000000 
 14, 1100, 117.000000 
 14, 1200, 153.000000 
 14, 1300, 45.000000 
 14, 1400, 158.000000 
 14, 1500, 135.000000 
 14, 1600, 124.000000 
 14, 1700, 104.000000 
 14, 1800, 153.000000 
 14, 1900, 108.000000 
 14, 2000, 216.000000 
 14, 2100, 233.000000 
 14, 2200, 243.000000 
 14, 2300, 228.000000 
 15, 0000, 241.000000 
 15, 0100, 240.000000 
 15, 0200, 250.000000 
 15, 0300, 245.000000 
 15, 0400, 286.000000 
 15, 0500, 270.000000 
 15, 0600, 253.000000 
 15, 0700, 270.000000 
 15, 0800, 164.000000 
 15, 0900, 153.000000 
 15, 1000, 153.000000 
 15, 1100, 117.000000 
 15, 1200, 360.000000 
 15, 1300, 90.000000 
 15, 1400, 333.000000 
 15, 1500, 90.000000 
 15, 1600, 270.000000 
 15, 1700, 153.000000 
 15, 1800, 207.000000 
 15, 1900, 135.000000 
 15, 2000, 180.000000 
 15, 2100, 135.000000 
 15, 2200, 117.000000 
 15, 2300, 104.000000 
 16, 0000, 135.000000 
 16, 0100, 14.000000 
 16, 0200, 270.000000 
 16, 0300, 346.000000 
 16, 0400, 343.000000 
 16, 0500, 27.000000 
 16, 0600, 360.000000 
 16, 0700, 107.000000 
 16, 0800, 135.000000 
 16, 0900, 138.000000 
 16, 1000, 126.000000 
 16, 1100, 90.000000 
 16, 1200, 67.000000 
 16, 1300, 72.000000 
 16, 1400, 40.000000 
 16, 1500, 34.000000 
 16, 1600, 31.000000 
 16, 1700, 11.000000 
 16, 1800, 7.000000 
 16, 1900, 6.000000 
 16, 2000, 354.000000 
 16, 2100, 14.000000 
 16, 2200, 146.000000 
 16, 2300, 135.000000 
 17, 0000, 18.000000 
 17, 0100, 323.000000 
 17, 0200, 346.000000 
 17, 0300, 333.000000 
 17, 0400, 278.000000 
 17, 0500, 117.000000 
 17, 0600, 107.000000 
 17, 0700, 243.000000 
 17, 0800, 360.000000 
 17, 0900, 180.000000 
 17, 1000, 171.000000 
 17, 1100, 194.000000 
 17, 1200, 214.000000 
 17, 1300, 189.000000 
 17, 1400, 180.000000 
 17, 1500, 194.000000 
 17, 1600, 270.000000 
 17, 1700, 248.000000 
 17, 1800, 225.000000 
 17, 1900, 315.000000 
 17, 2000, 284.000000 
 17, 2100, 307.000000 
 17, 2200, 326.000000 
 17, 2300, 337.000000 
 18, 0000, 345.000000 
 18, 0100, 339.000000 
 18, 0200, 345.000000 
 18, 0300, 342.000000 
 18, 0400, 357.000000 
 18, 0500, 348.000000 
 18, 0600, 343.000000 
 18, 0700, 344.000000 
 18, 0800, 340.000000 
 18, 0900, 360.000000 
 18, 1000, 349.000000 
 18, 1100, 45.000000 
 18, 1200, 22.000000 
 18, 1300, 45.000000 
 18, 1400, 360.000000 
 18, 1500, 90.000000 
 18, 1600, 243.000000 
 18, 1700, 225.000000 
 18, 1800, 225.000000 
 18, 1900, 270.000000 
 18, 2000, 162.000000 
 18, 2100, 243.000000 
 18, 2200, 90.000000 
 18, 2300, 207.000000 
 19, 0000, 342.000000 
 19, 0100, 45.000000 
 19, 0200, 349.000000 
 19, 0300, 304.000000 
 19, 0400, 305.000000 
 19, 0500, 344.000000 
 19, 0600, 325.000000 
 19, 0700, 329.000000 
 19, 0800, 360.000000 
 19, 0900, 315.000000 
 19, 1000, 315.000000 
 19, 1100, 45.000000 
 19, 1200, 297.000000 
 19, 1300, 270.000000 
 19, 1400, 304.000000 
 19, 1500, 270.000000 
 19, 1600, 243.000000 
 19, 1700, 153.000000 
 19, 1800, 180.000000 
 19, 1900, 180.000000 
 19, 2000, 180.000000 
 19, 2100, 153.000000 
 19, 2200, 225.000000 
 19, 2300, 180.000000 
 20, 0000, 270.000000 
 20, 0100, 180.000000 
 20, 0200, 297.000000 
 20, 0300, 221.000000 
 20, 0400, 233.000000 
 20, 0500, 256.000000 
 20, 0600, 240.000000 
 20, 0700, 252.000000 
 20, 0800, 270.000000 
 20, 0900, 297.000000 
 20, 1000, 315.000000 
 20, 1100, 315.000000 
 20, 1200, 315.000000 
 20, 1300, 315.000000 
 20, 1400, 270.000000 
 20, 1500, 270.000000 
 20, 1600, 288.000000 
 20, 1700, 304.000000 
 20, 1800, 270.000000 
 20, 1900, 270.000000 
 20, 2000, 333.000000 
 20, 2100, 360.000000 
 20, 2200, 108.000000 
 20, 2300, 143.000000 
 21, 0000, 108.000000 
 21, 0100, 53.000000 
 21, 0200, 333.000000 
 21, 0300, 11.000000 
 21, 0400, 349.000000 
 21, 0500, 356.000000 
 21, 0600, 340.000000 
 21, 0700, 90.000000 
 21, 0800, 14.000000 
 21, 0900, 360.000000 
 21, 1000, 45.000000 
 21, 1100, 63.000000 
 21, 1200, 270.000000 
 21, 1300, 360.000000 
 21, 1400, 360.000000 
 21, 1500, 360.000000 
 21, 1600, 45.000000 
 21, 1700, 27.000000 
 21, 1800, 68.000000 
 21, 1900, 194.000000 
 21, 2000, 297.000000 
 21, 2100, 153.000000 
 21, 2200, 180.000000 
 21, 2300, 360.000000 
 22, 0000, 333.000000 
 22, 0100, 121.000000 
 22, 0200, 146.000000 
 22, 0300, 249.000000 
 22, 0400, 249.000000 
 22, 0500, 227.000000 
 22, 0600, 225.000000 
 22, 0700, 230.000000 
 22, 0800, 197.000000 
 22, 0900, 236.000000 
 22, 1000, 305.000000 
 22, 1100, 318.000000 
 22, 1200, 299.000000 
 22, 1300, 312.000000 
 22, 1400, 310.000000 
 22, 1500, 308.000000 
 22, 1600, 301.000000 
 22, 1700, 318.000000 
 22, 1800, 340.000000 
 22, 1900, 319.000000 
 22, 2000, 293.000000 
 22, 2100, 306.000000 
 22, 2200, 302.000000 
 22, 2300, 323.000000 
 23, 0000, 316.000000 
 23, 0100, 352.000000 
 23, 0200, 321.000000 
 23, 0300, 305.000000 
 23, 0400, 338.000000 
 23, 0500, 340.000000 
 23, 0600, 349.000000 
 23, 0700, 353.000000 
 23, 0800, 344.000000 
 23, 0900, 337.000000 
 23, 1000, 312.000000 
 23, 1100, 324.000000 
 23, 1200, 315.000000 
 23, 1300, 321.000000 
 23, 1400, 337.000000 
 23, 1500, 338.000000 
 23, 1600, 333.000000 
 23, 1700, 336.000000 
 23, 1800, 327.000000 
 23, 1900, 318.000000 
 23, 2000, 319.000000 
 23, 2100, 325.000000 
 23, 2200, 331.000000 
 23, 2300, 342.000000 
 24, 0000, 347.000000 
 24, 0100, 327.000000 
 24, 0200, 338.000000 
 24, 0300, 339.000000 
 24, 0400, 329.000000 
 24, 0500, 343.000000 
 24, 0600, 337.000000 
 24, 0700, 338.000000 
 24, 0800, 320.000000 
 24, 0900, 319.000000 
 24, 1000, 315.000000 
 24, 1100, 323.000000 
 24, 1200, 326.000000 
 24, 1300, 318.000000 
 24, 1400, 315.000000 
 24, 1500, 333.000000 
 24, 1600, 331.000000 
 24, 1700, 324.000000 
 24, 1800, 315.000000 
 24, 1900, 329.000000 
 24, 2000, 333.000000 
 24, 2100, 315.000000 
 24, 2200, 288.000000 
 24, 2300, 336.000000 
 25, 0000, 307.000000 
 25, 0100, 321.000000 
 25, 0200, 322.000000 
 25, 0300, 297.000000 
 25, 0400, 306.000000 
 25, 0500, 304.000000 
 25, 0600, 332.000000 
 25, 0700, 343.000000 
 25, 0800, 338.000000 
 25, 0900, 332.000000 
 25, 1000, 315.000000 
 25, 1100, 327.000000 
 25, 1200, 319.000000 
 25, 1300, 323.000000 
 25, 1400, 336.000000 
 25, 1500, 325.000000 
