 format: day,hour,value location:68_100 Start : 20160101 
 1, 0000, 315.000000 
 1, 0100, 333.000000 
 1, 0200, 349.000000 
 1, 0300, 360.000000 
 1, 0400, 214.000000 
 1, 0500, 265.000000 
 1, 0600, 250.000000 
 1, 0700, 291.000000 
 1, 0800, 246.000000 
 1, 0900, 202.000000 
 1, 1000, 243.000000 
 1, 1100, 189.000000 
 1, 1200, 174.000000 
 1, 1300, 211.000000 
 1, 1400, 171.000000 
 1, 1500, 214.000000 
 1, 1600, 211.000000 
 1, 1700, 239.000000 
 1, 1800, 11.000000 
 1, 1900, 79.000000 
 1, 2000, 90.000000 
 1, 2100, 135.000000 
 1, 2200, 117.000000 
 1, 2300, 135.000000 
 2, 0000, 63.000000 
 2, 0100, 27.000000 
 2, 0200, 292.000000 
 2, 0300, 288.000000 
 2, 0400, 270.000000 
 2, 0500, 272.000000 
 2, 0600, 250.000000 
 2, 0700, 240.000000 
 2, 0800, 221.000000 
 2, 0900, 166.000000 
 2, 1000, 135.000000 
 2, 1100, 270.000000 
 2, 1200, 315.000000 
 2, 1300, 236.000000 
 2, 1400, 284.000000 
 2, 1500, 326.000000 
 2, 1600, 0.000000 
 2, 1700, 333.000000 
 2, 1800, 297.000000 
 2, 1900, 360.000000 
 2, 2000, 288.000000 
 2, 2100, 326.000000 
 2, 2200, 315.000000 
 2, 2300, 270.000000 
 3, 0000, 326.000000 
 3, 0100, 0.000000 
 3, 0200, 270.000000 
 3, 0300, 232.000000 
 3, 0400, 264.000000 
 3, 0500, 286.000000 
 3, 0600, 270.000000 
 3, 0700, 238.000000 
 3, 0800, 263.000000 
 3, 0900, 243.000000 
 3, 1000, 238.000000 
 3, 1100, 230.000000 
 3, 1200, 238.000000 
 3, 1300, 297.000000 
 3, 1400, 39.000000 
 3, 1500, 360.000000 
 3, 1600, 202.000000 
 3, 1700, 201.000000 
 3, 1800, 220.000000 
 3, 1900, 248.000000 
 3, 2000, 306.000000 
 3, 2100, 335.000000 
 3, 2200, 325.000000 
 3, 2300, 278.000000 
 4, 0000, 311.000000 
 4, 0100, 336.000000 
 4, 0200, 347.000000 
 4, 0300, 341.000000 
 4, 0400, 333.000000 
 4, 0500, 342.000000 
 4, 0600, 347.000000 
 4, 0700, 339.000000 
 4, 0800, 356.000000 
 4, 0900, 360.000000 
 4, 1000, 16.000000 
 4, 1100, 333.000000 
 4, 1200, 68.000000 
 4, 1300, 90.000000 
 4, 1400, 63.000000 
 4, 1500, 90.000000 
 4, 1600, 315.000000 
 4, 1700, 0.000000 
 4, 1800, 56.000000 
 4, 1900, 59.000000 
 4, 2000, 31.000000 
 4, 2100, 360.000000 
 4, 2200, 315.000000 
 4, 2300, 315.000000 
 5, 0000, 331.000000 
 5, 0100, 331.000000 
 5, 0200, 355.000000 
 5, 0300, 349.000000 
 5, 0400, 343.000000 
 5, 0500, 355.000000 
 5, 0600, 344.000000 
 5, 0700, 337.000000 
 5, 0800, 336.000000 
 5, 0900, 11.000000 
 5, 1000, 16.000000 
 5, 1100, 353.000000 
 5, 1200, 72.000000 
 5, 1300, 23.000000 
 5, 1400, 104.000000 
 5, 1500, 117.000000 
 5, 1600, 180.000000 
 5, 1700, 180.000000 
 5, 1800, 270.000000 
 5, 1900, 0.000000 
 5, 2000, 288.000000 
 5, 2100, 315.000000 
 5, 2200, 315.000000 
 5, 2300, 338.000000 
 6, 0000, 342.000000 
 6, 0100, 270.000000 
 6, 0200, 333.000000 
 6, 0300, 243.000000 
 6, 0400, 217.000000 
 6, 0500, 292.000000 
 6, 0600, 340.000000 
 6, 0700, 312.000000 
 6, 0800, 6.000000 
 6, 0900, 34.000000 
 6, 1000, 349.000000 
 6, 1100, 353.000000 
 6, 1200, 315.000000 
 6, 1300, 301.000000 
 6, 1400, 324.000000 
 6, 1500, 6.000000 
 6, 1600, 340.000000 
 6, 1700, 360.000000 
 6, 1800, 343.000000 
 6, 1900, 331.000000 
 6, 2000, 315.000000 
 6, 2100, 319.000000 
 6, 2200, 297.000000 
 6, 2300, 315.000000 
 7, 0000, 63.000000 
 7, 0100, 354.000000 
 7, 0200, 342.000000 
 7, 0300, 332.000000 
 7, 0400, 320.000000 
 7, 0500, 336.000000 
 7, 0600, 309.000000 
 7, 0700, 306.000000 
 7, 0800, 308.000000 
 7, 0900, 295.000000 
 7, 1000, 320.000000 
 7, 1100, 310.000000 
 7, 1200, 315.000000 
 7, 1300, 207.000000 
 7, 1400, 202.000000 
 7, 1500, 270.000000 
 7, 1600, 322.000000 
 7, 1700, 14.000000 
 7, 1800, 323.000000 
 7, 1900, 225.000000 
 7, 2000, 351.000000 
 7, 2100, 342.000000 
 7, 2200, 333.000000 
 7, 2300, 117.000000 
 8, 0000, 243.000000 
 8, 0100, 189.000000 
 8, 0200, 135.000000 
 8, 0300, 341.000000 
 8, 0400, 339.000000 
 8, 0500, 336.000000 
 8, 0600, 332.000000 
 8, 0700, 323.000000 
 8, 0800, 337.000000 
 8, 0900, 304.000000 
 8, 1000, 315.000000 
 8, 1100, 63.000000 
 8, 1200, 56.000000 
 8, 1300, 117.000000 
 8, 1400, 304.000000 
 8, 1500, 225.000000 
 8, 1600, 297.000000 
 8, 1700, 248.000000 
 8, 1800, 225.000000 
 8, 1900, 248.000000 
 8, 2000, 236.000000 
 8, 2100, 217.000000 
 8, 2200, 225.000000 
 8, 2300, 214.000000 
 9, 0000, 333.000000 
 9, 0100, 346.000000 
 9, 0200, 326.000000 
 9, 0300, 297.000000 
 9, 0400, 308.000000 
 9, 0500, 281.000000 
 9, 0600, 287.000000 
 9, 0700, 249.000000 
 9, 0800, 253.000000 
 9, 0900, 247.000000 
 9, 1000, 234.000000 
 9, 1100, 256.000000 
 9, 1200, 236.000000 
 9, 1300, 191.000000 
 9, 1400, 233.000000 
 9, 1500, 214.000000 
 9, 1600, 207.000000 
 9, 1700, 252.000000 
 9, 1800, 346.000000 
