일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2015년 08월 15일 03시,0,13,148.2,1000,18,65,150,약,소형,서북서,16,0
2015년 08월 15일 03시,24,14.5,146.9,994,21,76,170,약,소형,북서,9,140
2015년 08월 15일 03시,48,16,144.7,985,27,97,200,중,소형,북서,12,230
2015년 08월 15일 03시,72,17.6,141.2,970,35,126,250,강,소형,서북서,17,320
2015년 08월 15일 03시,96,19.1,135.8,960,39,140,300,강,중형,서북서,25,460
2015년 08월 15일 03시,120,19.8,131,950,43,155,350,강,중형,서,21,550
2015년 08월 15일 09시,0,13,147,990,24,86,150,약,소형,서,22,0
2015년 08월 15일 09시,24,13.8,145,980,29,104,200,중,소형,서북서,10,140
2015년 08월 15일 09시,48,14.9,142.6,970,35,126,220,강,소형,서북서,12,230
2015년 08월 15일 09시,72,17,139.1,955,40,144,260,강,소형,서북서,19,320
2015년 08월 15일 09시,96,18.5,135.5,945,45,162,320,매우강,중형,서북서,18,460
2015년 08월 15일 09시,120,19.6,130.8,935,49,176,350,매우강,중형,서북서,21,550
2015년 08월 15일 15시,0,13.5,146.3,990,24,86,170,약,소형,북서,16,0
2015년 08월 15일 15시,24,14.8,143.7,975,32,115,210,중,소형,서북서,13,140
2015년 08월 15일 15시,48,16.3,140.8,965,37,133,230,강,소형,서북서,14,230
2015년 08월 15일 15시,72,17.6,137,950,43,155,270,강,소형,서북서,18,320
2015년 08월 15일 15시,96,18.6,132.5,940,47,169,330,매우강,중형,서북서,20,460
2015년 08월 15일 15시,120,19.8,128.1,930,50,180,360,매우강,중형,서북서,20,550
2015년 08월 15일 21시,0,14,145.7,990,24,86,200,약,소형,북서,14,0
2015년 08월 15일 21시,24,15.4,143.3,980,29,104,230,중,소형,서북서,12,140
2015년 08월 15일 21시,48,16.9,140.2,970,35,126,250,강,소형,서북서,16,230
2015년 08월 15일 21시,72,18.3,135.4,950,43,155,270,강,소형,서북서,22,320
2015년 08월 15일 21시,96,19.5,130.4,945,45,162,330,매우강,중형,서북서,22,460
2015년 08월 15일 21시,120,20.5,125.6,940,47,169,360,매우강,중형,서북서,21,550
2015년 08월 16일 03시,0,14.1,144.9,985,27,97,220,중,소형,서,15,0
2015년 08월 16일 03시,24,15.8,142.6,970,35,126,250,강,소형,북서,13,140
2015년 08월 16일 03시,48,17.5,138.8,960,39,140,280,강,소형,서북서,18,230
2015년 08월 16일 03시,72,18.7,133.9,940,47,169,330,매우강,중형,서북서,22,320
2015년 08월 16일 03시,96,19.7,129,935,49,176,380,매우강,중형,서북서,22,460
2015년 08월 16일 03시,120,20.6,124.1,935,49,176,380,매우강,중형,서,22,550
2015년 08월 16일 09시,0,14.7,144.7,985,27,97,250,중,소형,북북서,12,0
2015년 08월 16일 09시,24,16.1,142.2,965,37,133,280,강,소형,서북서,13,140
2015년 08월 16일 09시,48,17.7,137.8,955,40,144,290,강,소형,서북서,21,230
2015년 08월 16일 09시,72,18.7,132.5,940,47,169,330,매우강,중형,서,24,320
2015년 08월 16일 09시,96,19.5,128.3,930,50,180,390,매우강,중형,서,18,460
2015년 08월 16일 09시,120,20.4,124,935,49,176,380,매우강,중형,서북서,19,550
2015년 08월 16일 15시,0,15.1,144.1,980,29,104,280,중,소형,서북서,13,0
2015년 08월 16일 15시,24,16.5,140.8,960,39,140,300,강,중형,서북서,16,140
2015년 08월 16일 15시,48,17.9,135.8,950,43,155,320,강,중형,서북서,23,230
2015년 08월 16일 15시,72,19.2,130.5,935,49,176,340,매우강,중형,서북서,24,320
2015년 08월 16일 15시,96,19.6,126.5,930,50,180,350,매우강,중형,서,18,460
2015년 08월 16일 15시,120,20.8,123.9,940,47,169,330,매우강,중형,서북서,12,550
2015년 08월 16일 21시,0,15.5,143.5,980,29,104,280,중,소형,서북서,13,0
2015년 08월 16일 21시,24,17.3,139.3,960,39,140,300,강,중형,서북서,20,140
2015년 08월 16일 21시,48,18.6,134.2,950,43,155,320,강,중형,서북서,23,230
2015년 08월 16일 21시,72,19.6,129,930,50,180,350,매우강,중형,서,23,320
2015년 08월 16일 21시,96,20.4,124.8,935,49,176,330,매우강,중형,서,19,460
2015년 08월 16일 21시,120,22,122.2,940,47,169,310,매우강,중형,서북서,14,550
2015년 08월 17일 03시,0,16,142.8,965,37,133,300,강,중형,북서,16,0
2015년 08월 17일 03시,24,17.7,137.9,950,43,155,320,강,중형,서북서,22,140
2015년 08월 17일 03시,48,18.8,132.3,935,49,176,360,매우강,중형,서,25,230
2015년 08월 17일 03시,72,19.5,126.9,930,50,180,380,매우강,중형,서,24,320
2015년 08월 17일 03시,96,20.4,124.1,935,49,176,360,매우강,중형,서북서,13,460
2015년 08월 17일 03시,120,22,122.2,940,47,169,330,매우강,중형,북서,11,550
2015년 08월 17일 09시,0,16.5,141.7,955,40,144,320,강,중형,서북서,22,0
2015년 08월 17일 09시,24,18.1,136.4,935,49,176,360,매우강,중형,서북서,25,140
2015년 08월 17일 09시,48,19.2,130.5,925,51,184,380,매우강,중형,서,26,230
2015년 08월 17일 09시,72,19.6,125.9,920,53,191,400,매우강,중형,서,20,320
2015년 08월 17일 09시,96,20.6,123.6,935,49,176,360,매우강,중형,서북서,11,460
2015년 08월 17일 09시,120,22.1,121.4,945,45,162,340,매우강,중형,북서,12,550
2015년 08월 17일 15시,0,17,140.5,940,47,169,370,매우강,중형,서북서,23,0
2015년 08월 17일 15시,24,18.5,134.9,920,53,191,400,매우강,중형,서북서,26,140
2015년 08월 17일 15시,48,19.5,129,905,58,209,420,매우강,중형,서,26,230
2015년 08월 17일 15시,72,19.8,124.9,915,55,198,400,매우강,중형,서,18,320
2015년 08월 17일 15시,96,20.8,122.8,925,51,184,380,매우강,중형,서북서,10,460
2015년 08월 17일 15시,120,22.6,120.8,945,45,162,350,매우강,중형,북서,12,550
2015년 08월 17일 21시,0,17.3,139.2,935,49,176,370,매우강,중형,서북서,24,0
2015년 08월 17일 21시,24,18.9,133.4,915,55,198,410,매우강,중형,서북서,27,140
2015년 08월 17일 21시,48,19.8,127.5,905,58,209,420,매우강,중형,서,26,230
2015년 08월 17일 21시,72,20.2,123.7,915,55,198,410,매우강,중형,서,17,320
2015년 08월 17일 21시,96,20.6,121.9,930,50,180,380,매우강,중형,서북서,8,460
2015년 08월 17일 21시,120,22.6,120.5,945,45,162,350,매우강,중형,북서,11,550
2015년 08월 18일 03시,0,17.7,137.6,930,50,180,370,매우강,중형,서북서,29,0
2015년 08월 18일 03시,24,19.1,131.5,915,55,198,410,매우강,중형,서북서,28,140
2015년 08월 18일 03시,48,19.7,126,910,56,202,420,매우강,중형,서,24,230
2015년 08월 18일 03시,72,20.3,122.9,920,53,191,390,매우강,중형,서,14,320
2015년 08월 18일 03시,96,21.1,121.6,935,49,176,350,매우강,중형,서북서,7,460
2015년 08월 18일 03시,120,22.9,120.3,945,45,162,340,매우강,중형,북서,10,550
2015년 08월 18일 09시,0,18.2,136.1,940,47,169,350,매우강,중형,서북서,28,0
2015년 08월 18일 09시,24,19.2,130.2,925,51,184,380,매우강,중형,서,26,140
2015년 08월 18일 09시,48,19.5,125.2,915,55,198,400,매우강,중형,서,22,230
2015년 08월 18일 09시,72,20.7,122.8,925,51,184,370,매우강,중형,서북서,12,320
2015년 08월 18일 09시,96,21.8,121.9,935,49,176,360,매우강,중형,북서,6,460
2015년 08월 18일 09시,120,23.8,121.4,945,45,162,350,매우강,중형,북북서,9,550
2015년 08월 18일 15시,0,18.5,134.6,940,47,169,330,매우강,중형,서북서,27,0
2015년 08월 18일 15시,24,19.4,128.6,930,50,180,350,매우강,중형,서,27,140
2015년 08월 18일 15시,48,19.8,123.6,925,51,184,380,매우강,중형,서,22,230
2015년 08월 18일 15시,72,20.8,122.6,930,50,180,350,매우강,중형,북서,6,320
2015년 08월 18일 15시,96,22.3,122,940,47,169,320,매우강,중형,북북서,7,460
2015년 08월 18일 15시,120,24.2,122.3,955,40,144,280,강,소형,북,9,550
2015년 08월 18일 21시,0,18.7,132.9,940,47,169,320,매우강,중형,서,30,0
2015년 08월 18일 21시,24,19.1,127.1,930,50,180,340,매우강,중형,서,25,140
2015년 08월 18일 21시,48,19.5,123.4,930,50,180,340,매우강,중형,서,16,230
2015년 08월 18일 21시,72,20.7,122,935,49,176,330,매우강,중형,북서,9,320
2015년 08월 18일 21시,96,22.5,121.6,940,47,169,310,매우강,중형,북북서,8,460
2015년 08월 18일 21시,120,24.8,122.4,960,39,140,270,강,소형,북북동,11,550
2015년 08월 19일 03시,0,18.8,131.2,940,47,169,330,매우강,중형,서,30,0
2015년 08월 19일 03시,24,19.1,125.9,935,49,176,350,매우강,중형,서,23,140
2015년 08월 19일 03시,48,19.5,123,935,49,176,350,매우강,중형,서,13,230
2015년 08월 19일 03시,72,20.9,121.7,930,50,180,340,매우강,중형,북서,9,320
2015년 08월 19일 03시,96,22.7,121.6,940,47,169,310,매우강,중형,북,8,460
2015년 08월 19일 03시,120,25.1,122.4,960,39,140,280,강,소형,북북동,12,550
2015년 08월 19일 09시,0,18.8,129.8,940,47,169,330,매우강,중형,서,25,0
2015년 08월 19일 09시,24,19.2,125.4,935,49,176,350,매우강,중형,서,19,140
2015년 08월 19일 09시,48,19.9,122.8,930,50,180,350,매우강,중형,서북서,12,230
2015년 08월 19일 09시,72,21.2,121.8,930,50,180,350,매우강,중형,북서,7,320
2015년 08월 19일 09시,96,23.2,121.9,945,45,162,320,매우강,중형,북,9,460
2015년 08월 19일 09시,120,25.3,122.6,960,39,140,270,강,소형,북북동,10,550
2015년 08월 19일 15시,0,19,128.4,935,49,176,340,매우강,중형,서,25,0
2015년 08월 19일 15시,24,19.4,124.7,930,50,180,350,매우강,중형,서,16,140
2015년 08월 19일 15시,48,19.9,122.5,930,50,180,350,매우강,중형,서북서,10,230
2015년 08월 19일 15시,72,21.7,122,935,49,176,350,매우강,중형,북북서,9,320
2015년 08월 19일 15시,96,23.9,122.5,950,43,155,320,강,중형,북북동,10,460
2015년 08월 19일 15시,120,26.1,123.4,965,37,133,270,강,소형,북북동,11,550
2015년 08월 19일 21시,0,18.9,127.2,930,50,180,340,매우강,중형,서,21,0
2015년 08월 19일 21시,24,19.3,123.7,925,51,184,350,매우강,중형,서,16,140
2015년 08월 19일 21시,48,20.5,122.6,930,50,180,330,매우강,중형,북서,7,230
2015년 08월 19일 21시,72,22.3,122.5,940,47,169,320,매우강,중형,북,8,320
2015년 08월 19일 21시,96,24.5,123.3,960,39,140,300,강,중형,북북동,11,460
2015년 08월 19일 21시,120,27,124.9,970,35,126,250,강,소형,북북동,13,550
2015년 08월 20일 03시,0,18.9,126.1,930,50,180,340,매우강,중형,서,19,0
2015년 08월 20일 03시,24,19.2,123.3,925,51,184,350,매우강,중형,서,12,140
2015년 08월 20일 03시,48,20.3,122.7,930,50,180,330,매우강,중형,북북서,6,230
2015년 08월 20일 03시,72,22.8,123,940,47,169,320,매우강,중형,북,11,320
2015년 08월 20일 03시,96,25.1,124,955,40,144,300,강,중형,북북동,12,460
2015년 08월 20일 03시,120,27.8,126.1,965,37,133,270,강,소형,북동,15,550
2015년 08월 20일 09시,0,18.8,125.3,930,50,180,350,매우강,중형,서,14,0
2015년 08월 20일 09시,24,19.2,123.1,930,50,180,350,매우강,중형,서,10,140
2015년 08월 20일 09시,48,20.8,122.7,935,49,176,340,매우강,중형,북북서,8,230
2015년 08월 20일 09시,72,23.2,123.2,945,45,162,320,매우강,중형,북북동,11,320
2015년 08월 20일 09시,96,25.8,124.7,960,39,140,300,강,중형,북북동,14,460
2015년 08월 20일 09시,120,29,127.3,970,35,126,270,강,소형,북동,18,550
2015년 08월 20일 15시,0,18.9,124.7,935,49,176,350,매우강,중형,서,11,0
2015년 08월 20일 15시,24,19.6,122.9,935,49,176,350,매우강,중형,서북서,9,140
