일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2010년 08월 29일 21시,0,21.2,134.4,1000,18,65,220,약,소형,서,18,0
2010년 08월 29일 21시,24,23.1,131.5,992,22,79,250,약,소형,서북서,16,150
2010년 08월 29일 21시,48,25.3,128.5,985,27,97,300,중,중형,북서,17,250
2010년 08월 29일 21시,72,28.6,125.9,980,31,112,350,중,중형,북서,19,400
2010년 08월 29일 21시,96,32.4,124.4,980,31,112,350,중,중형,북북서,19,550
2010년 08월 29일 21시,120,36.2,123.5,985,27,97,300,중,중형,북북서,19,700
2010년 08월 30일 03시,0,21.7,133.2,996,19,68,250,약,소형,서북서,23,0
2010년 08월 30일 03시,24,22.9,130.7,990,24,86,300,약,중형,서북서,13,150
2010년 08월 30일 03시,48,25.5,127.4,980,31,112,350,중,중형,북서,19,250
2010년 08월 30일 03시,72,29.7,122.5,975,34,122,350,강,중형,북서,28,400
2010년 08월 30일 03시,96,34,122.1,980,31,112,300,중,중형,북,21,550
2010년 08월 30일 03시,120,38.4,122.8,990,24,86,250,약,소형,북,21,700
2010년 08월 30일 09시,0,22.8,132.4,992,21,76,280,약,소형,북서,25,0
2010년 08월 30일 09시,24,24.9,129.4,985,27,97,300,중,중형,서북서,16,150
2010년 08월 30일 09시,48,27.4,125.6,980,31,112,350,중,중형,북서,20,250
2010년 08월 30일 09시,72,31.2,122.3,975,34,122,380,강,중형,북서,23,400
2010년 08월 30일 09시,96,36.4,122.8,980,31,112,350,중,중형,북,25,550
2010년 08월 30일 09시,120,41.6,126.3,990,24,86,250,약,소형,북북동,28,700
2010년 08월 30일 15시,0,23.3,131.8,985,27,97,300,중,중형,북서,14,0
2010년 08월 30일 15시,24,26.6,127.2,980,31,112,350,중,중형,북서,25,150
2010년 08월 30일 15시,48,30,123.9,975,34,122,380,강,중형,북서,21,250
2010년 08월 30일 15시,72,34.3,122.4,975,34,122,380,강,중형,북북서,21,400
2010년 08월 30일 15시,96,38.9,124.3,985,27,97,300,중,중형,북북동,23,550
2010년 08월 30일 15시,120,44.1,132.4,995,20,72,250,약,소형,동북동,37,700
2010년 08월 30일 21시,0,23.8,131.2,980,31,112,350,중,중형,북서,14,0
2010년 08월 30일 21시,24,28.1,126.6,975,34,122,400,강,중형,북서,28,150
2010년 08월 30일 21시,48,32.2,123.8,970,36,130,450,강,중형,북북서,23,250
2010년 08월 30일 21시,72,36.9,124.7,975,34,122,400,강,중형,북,23,400
2010년 08월 30일 21시,96,41.3,129.4,980,31,112,350,중,중형,북동,27,550
2010년 08월 30일 21시,120,44.9,136.6,995,20,72,250,약,소형,동북동,30,700
2010년 08월 31일 03시,0,24.5,130.3,970,36,130,450,강,중형,북서,20,0
2010년 08월 31일 03시,24,28.5,125.7,960,40,144,500,강,대형,북서,27,150
2010년 08월 31일 03시,48,34,123,970,36,130,450,강,중형,북북서,28,250
2010년 08월 31일 03시,72,39.3,127.3,980,31,112,350,중,중형,북동,30,400
2010년 08월 31일 03시,96,42.8,137.5,990,24,86,300,약,중형,동북동,40,550
2010년 08월 31일 03시,120,44,149.3,999,-1,-4,0,-,-,동,41,0
2010년 08월 31일 09시,0,25.1,129.4,960,40,144,450,강,중형,북서,19,0
2010년 08월 31일 09시,24,29.8,123.8,950,43,155,500,강,대형,북서,32,150
2010년 08월 31일 09시,48,35.5,123.4,970,36,130,450,강,중형,북,27,250
2010년 08월 31일 09시,72,40.1,129.7,985,27,97,350,중,중형,북동,32,400
2010년 08월 31일 09시,96,43.4,142.4,990,24,86,300,약,중형,동북동,47,550
