일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2014년 07월 30일 03시,0,18.6,128.6,994,21,76,300,약,중형,서북서,17,0
2014년 07월 30일 03시,24,23.2,126.4,990,24,86,320,약,중형,북북서,23,150
2014년 07월 30일 03시,48,27,124.7,985,27,97,330,중,중형,북북서,19,250
2014년 07월 30일 03시,72,30.1,122.3,980,31,112,350,중,중형,북서,17,400
2014년 07월 30일 03시,96,33.1,118.7,980,31,112,350,중,중형,북서,20,550
2014년 07월 30일 03시,120,34.6,115.7,985,27,97,330,중,중형,서북서,13,700
2014년 07월 30일 04시,0,18.6,128.6,994,21,76,300,약,중형,서북서,17,0
2014년 07월 30일 04시,24,23.2,126.4,990,24,86,320,약,중형,북북서,23,150
2014년 07월 30일 04시,48,27,124.7,985,27,97,330,중,중형,북북서,19,250
2014년 07월 30일 04시,72,30.1,122.3,980,31,112,350,중,중형,북서,17,400
2014년 07월 30일 04시,96,33.1,118.7,980,31,112,350,중,중형,북서,20,550
2014년 07월 30일 04시,120,34.6,115.7,985,27,97,330,중,중형,서북서,13,700
2014년 07월 30일 09시,0,20,128.4,994,21,76,350,약,중형,북,31,0
2014년 07월 30일 09시,24,23.6,127,990,24,86,380,약,중형,북북서,18,150
2014년 07월 30일 09시,48,27.1,124.9,985,27,97,400,중,중형,북북서,18,250
2014년 07월 30일 09시,72,30.4,122.7,980,31,112,380,중,중형,북북서,18,400
2014년 07월 30일 09시,96,32.7,121.3,985,27,97,350,중,중형,북북서,12,550
2014년 07월 30일 09시,120,35,120.1,990,24,86,300,약,중형,북북서,11,700
2014년 07월 30일 15시,0,22.1,129,994,21,76,350,약,중형,북북동,40,0
2014년 07월 30일 15시,24,25.2,126.3,990,24,86,370,약,중형,북서,16,150
2014년 07월 30일 15시,48,28.3,124.5,985,27,97,380,중,중형,북북서,16,250
2014년 07월 30일 15시,72,31.2,123.4,980,31,112,380,중,중형,북북서,14,400
2014년 07월 30일 15시,96,33.4,122.6,985,27,97,290,중,소형,북북서,11,550
2014년 07월 30일 15시,120,35.4,122.2,990,24,86,280,약,소형,북,9,700
2014년 07월 30일 21시,0,23.9,128.5,994,21,76,350,약,중형,북북서,34,0
2014년 07월 30일 21시,24,26.5,125.8,990,24,86,360,약,중형,북서,16,150
2014년 07월 30일 21시,48,29.5,123.8,985,27,97,380,중,중형,북북서,16,250
2014년 07월 30일 21시,72,32.3,122.8,985,27,97,380,중,중형,북북서,13,400
2014년 07월 30일 21시,96,34.7,122.3,990,24,86,290,약,소형,북북서,11,550
2014년 07월 30일 21시,120,36.3,121.9,998,18,65,250,약,소형,북북서,7,700
2014년 07월 31일 03시,0,24.1,128.3,994,21,76,300,약,중형,북서,5,0
2014년 07월 31일 03시,24,27.1,125.7,990,24,86,310,약,중형,북서,17,150
2014년 07월 31일 03시,48,29.9,124.1,985,27,97,320,중,중형,북북서,15,250
2014년 07월 31일 03시,72,32.5,123.5,992,22,79,280,약,소형,북북서,12,400
2014년 07월 31일 03시,96,34.8,123.3,994,21,76,170,약,소형,북,10,550
2014년 07월 31일 03시,120,36.6,123.7,998,-1,-4,0,-,-,북북동,9,0
2014년 07월 31일 09시,0,24.7,127.4,990,24,86,330,약,중형,서북서,19,0
2014년 07월 31일 09시,24,28.7,125.9,985,27,97,350,중,중형,북북서,19,150
2014년 07월 31일 09시,48,31.8,125,985,27,97,350,중,중형,북북서,15,250
2014년 07월 31일 09시,72,34.1,124.8,990,24,86,300,약,중형,북,11,400
2014년 07월 31일 09시,96,35.9,125,994,21,76,250,약,소형,북,8,550
2014년 07월 31일 09시,120,37.6,125.2,998,-1,-4,0,-,-,북,8,0
2014년 07월 31일 15시,0,25.7,126.7,990,24,86,350,약,중형,북서,22,0
2014년 07월 31일 15시,24,29.4,125.6,985,27,97,380,중,중형,북북서,18,150
2014년 07월 31일 15시,48,32.7,124.9,985,27,97,350,중,중형,북북서,16,250
2014년 07월 31일 15시,72,34.5,124.8,990,24,86,300,약,중형,북,8,400
2014년 07월 31일 15시,96,36,124.8,994,21,76,250,약,소형,북,7,550
2014년 07월 31일 15시,120,37.5,125.1,998,-1,-4,0,-,-,북북동,7,0
2014년 07월 31일 21시,0,26.5,126.5,988,24,86,350,약,중형,북북서,15,0
2014년 07월 31일 21시,24,30,125.3,985,27,97,370,중,중형,북북서,17,150
2014년 07월 31일 21시,48,33.1,124.7,985,27,97,330,중,중형,북북서,15,250
2014년 07월 31일 21시,72,34.9,124.6,990,24,86,280,약,소형,북,8,400
2014년 07월 31일 21시,96,36.4,124.8,994,21,76,200,약,소형,북,7,550
2014년 07월 31일 21시,120,37.6,125.2,998,-1,-4,0,-,-,북북동,6,0
2014년 08월 01일 03시,0,27.1,126.6,980,25,90,380,중,중형,북,11,0
2014년 08월 01일 03시,24,30.5,125.5,980,25,90,370,중,중형,북북서,17,150
2014년 08월 01일 03시,48,33.3,124.6,985,24,86,330,약,중형,북북서,14,250
2014년 08월 01일 03시,72,35.3,124.6,990,23,83,280,약,소형,북,9,400
2014년 08월 01일 03시,96,36.7,124.8,998,-1,-4,0,-,-,북,6,0
2014년 08월 01일 09시,0,28.7,126.9,980,25,90,380,중,중형,북,30,0
2014년 08월 01일 09시,12,30.2,126.1,980,25,90,380,중,중형,북북서,15,100
2014년 08월 01일 09시,24,31.6,125.4,980,25,90,350,중,중형,북북서,14,150
2014년 08월 01일 09시,36,32.9,124.8,985,24,86,330,약,중형,북북서,13,210
2014년 08월 01일 09시,48,34,124.6,985,24,86,320,약,중형,북북서,11,250
2014년 08월 01일 09시,60,35.1,124.6,990,23,83,300,약,중형,북,10,325
2014년 08월 01일 09시,72,35.9,124.7,992,22,79,270,약,소형,북,8,400
2014년 08월 01일 09시,84,36.6,124.8,996,19,68,230,약,소형,북북동,6,475
2014년 08월 01일 09시,96,37.3,125,998,-1,-4,0,-,-,북북동,7,0
2014년 08월 01일 15시,0,29.6,126,980,25,90,380,중,중형,북서,22,0
2014년 08월 01일 15시,12,31.1,125.5,980,25,90,360,중,중형,북북서,14,100
